job,method,seed,nodes,partition,scenario,topology,period,epochs,dataset,use_cycle,event_threshold,hidden,stride,protocol_id,split,policy,accuracy,precision,recall,f1,average_precision,roc_auc,fpr,bytes_total,training_wall_s,modeled_parallel_s
FD001_centralized_s11_n10_d49907b8f853,centralized,11,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,fixed,0.989824348879467,0.8712574850299402,0.8765060240963856,0.8738738738738738,0.9522257984447445,0.996626034619356,0.005427237157642307,0,197.5870116769995,197.33888365100017
FD001_centralized_s11_n10_d49907b8f853,centralized,11,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,val_f1,0.9892186553603877,0.9802371541501976,0.7469879518072289,0.8478632478632478,0.9522257984447445,0.996626034619356,0.0006310740880979427,0,197.5870116769995,197.33888365100017
FD001_centralized_s11_n10_d49907b8f853,centralized,11,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,val_fpr02,0.989824348879467,0.8712574850299402,0.8765060240963856,0.8738738738738738,0.9522257984447445,0.996626034619356,0.005427237157642307,0,197.5870116769995,197.33888365100017
FD001_centralized_s11_n10_d49907b8f853,centralized,11,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,fixed,0.967741935483871,0.9583333333333334,0.92,0.9387755102040817,0.9954370370370372,0.9982352941176471,0.014705882352941176,0,197.5870116769995,197.33888365100017
FD001_centralized_s11_n10_d49907b8f853,centralized,11,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,val_f1,0.967741935483871,1.0,0.88,0.9361702127659575,0.9954370370370372,0.9982352941176471,0.0,0,197.5870116769995,197.33888365100017
FD001_centralized_s11_n10_d49907b8f853,centralized,11,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,val_fpr02,0.967741935483871,0.9583333333333334,0.92,0.9387755102040817,0.9954370370370372,0.9982352941176471,0.014705882352941176,0,197.5870116769995,197.33888365100017
FD001_centralized_s22_n10_8d647c3f0fdc,centralized,22,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,fixed,0.9887341005451241,0.8424068767908309,0.8855421686746988,0.8634361233480177,0.9551746485563573,0.9979007282442911,0.00694181496907737,0,194.70115096300015,194.54424019300086
FD001_centralized_s22_n10_8d647c3f0fdc,centralized,22,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,val_f1,0.9884918231374924,0.8338028169014085,0.891566265060241,0.8617176128093159,0.9551746485563573,0.9979007282442911,0.007446674239555724,0,194.70115096300015,194.54424019300086
FD001_centralized_s22_n10_8d647c3f0fdc,centralized,22,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,val_fpr02,0.9877649909145972,0.8031496062992126,0.9216867469879518,0.8583450210378681,0.9551746485563573,0.9979007282442911,0.00946611132146914,0,194.70115096300015,194.54424019300086
FD001_centralized_s22_n10_8d647c3f0fdc,centralized,22,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,fixed,0.978494623655914,0.96,0.96,0.96,0.9984615384615384,0.9994117647058824,0.014705882352941176,0,194.70115096300015,194.54424019300086
FD001_centralized_s22_n10_8d647c3f0fdc,centralized,22,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,val_f1,0.978494623655914,0.96,0.96,0.96,0.9984615384615384,0.9994117647058824,0.014705882352941176,0,194.70115096300015,194.54424019300086
FD001_centralized_s22_n10_8d647c3f0fdc,centralized,22,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,val_fpr02,0.989247311827957,0.9615384615384616,1.0,0.9803921568627451,0.9984615384615384,0.9994117647058824,0.014705882352941176,0,194.70115096300015,194.54424019300086
FD001_centralized_s33_n10_20588d14651b,centralized,33,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,fixed,0.98885523924894,0.9285714285714286,0.7831325301204819,0.8496732026143791,0.951831050532285,0.9973909268273397,0.002524296352391771,0,172.63735476699958,172.47636714700002
FD001_centralized_s33_n10_20588d14651b,centralized,33,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,val_f1,0.9903089036947305,0.9038461538461539,0.8493975903614458,0.8757763975155279,0.951831050532285,0.9973909268273397,0.003786444528587656,0,172.63735476699958,172.47636714700002
FD001_centralized_s33_n10_20588d14651b,centralized,33,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,val_fpr02,0.9899454875832828,0.8526912181303116,0.9066265060240963,0.8788321167883212,0.951831050532285,0.9973909268273397,0.0065631705162186044,0,172.63735476699958,172.47636714700002
