epoch,split,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
5,train,0,2232,371,34,617,0.8755377996312231,0.6244939271255061,0.9477726574500768,0.7528981086028066,0.1425278524779101,0.9026224024860834,3254,651,0.5,0.9773185022834932,0.9285970620746202,0.07936743399598713,0.24447205778682476
5,train,1,2121,286,47,604,0.8911052975801177,0.6786516853932584,0.9278033794162827,0.7839065541855937,0.11882010801828001,0.9044916356990014,3058,651,0.5,0.9727557935540032,0.9187227518179117,0.07321248487827262,0.23059848481937084
5,train,2,2269,234,89,562,0.8975903614457831,0.7060301507537688,0.8632872503840245,0.7767795438838977,0.09348781462245305,0.8848997178807858,3154,651,0.5,0.9616905182291235,0.8757145939042351,0.06998319165416578,0.2237504843714121
5,train,3,2396,233,74,577,0.9064024390243902,0.7123456790123457,0.8863287250384024,0.7898699520876112,0.08862685431723089,0.8988509353605858,3280,651,0.5,0.9558913664730913,0.8523948599025073,0.07308319531755288,0.242850988158831
5,train,4,2549,269,52,599,0.9074661285673105,0.6900921658986175,0.9201228878648233,0.7886767610269915,0.09545777146912704,0.9123325581978481,3469,651,0.5,0.9574580352986453,0.8179277025879923,0.07940397722148983,0.26280920557340093
5,train,5,2429,273,81,570,0.8944229048613183,0.6761565836298933,0.8755760368663594,0.7630522088353414,0.10103626943005181,0.8872698837181539,3353,651,0.5,0.9636077730440329,0.8805009188807914,0.07328462710713605,0.2321559334060841
5,train,6,2450,228,91,560,0.9041754280564734,0.7106598984771574,0.8602150537634409,0.778318276580959,0.08513816280806571,0.8875384454776876,3329,651,0.5,0.9670931949353497,0.8908691737279083,0.06462276443252185,0.20401372479293922
5,train,7,2586,268,86,565,0.8990014265335236,0.6782713085234093,0.8678955453149002,0.761455525606469,0.09390329362298529,0.8869961258459574,3505,651,0.5,0.9549644393779394,0.8492837904610877,0.07525071160927825,0.2449064516594387
5,train,8,2669,206,69,551,0.9213161659513591,0.7278731836195509,0.8887096774193548,0.8002904865649964,0.07165217391304347,0.9085287517531557,3495,620,0.5,0.9746906030855539,0.9177699730540948,0.06048712301150641,0.19964363850233424
5,train,9,2187,188,32,588,0.9265442404006677,0.7577319587628866,0.9483870967741935,0.8424068767908309,0.07915789473684211,0.9346146010186758,2995,620,0.5,0.9796312393887946,0.9181459282311064,0.055693399756591044,0.18864326172725313
5,validation,0,739,107,5,181,0.8914728682170543,0.6284722222222222,0.9731182795698925,0.7637130801687764,0.12647754137115838,0.923320369099367,1032,186,0.5,0.9713515849411526,0.8731040805959769,0.08116023114713122,0.2594750521311763
5,validation,1,605,41,4,182,0.9459134615384616,0.8161434977578476,0.978494623655914,0.8899755501222494,0.06346749226006192,0.9575135656979261,832,186,0.5,0.9949482339625154,0.9836085457944582,0.04035764153239231,0.14630364888627717
5,validation,2,436,24,34,121,0.9056910569105691,0.8344827586206897,0.7806451612903226,0.8066666666666666,0.05217391304347826,0.8642356241234221,615,155,0.5,0.9757643758765778,0.9298669535235138,0.061301093620954414,0.19656032897825643
5,validation,3,580,30,34,121,0.9163398692810457,0.8013245033112583,0.7806451612903226,0.7908496732026143,0.04918032786885246,0.865732416710735,765,155,0.5,0.9562453728186145,0.882553545618316,0.06482016540077143,0.212574166909315
5,validation,4,555,163,0,155,0.8132875143184422,0.48742138364779874,1.0,0.6553911205073996,0.22701949860724233,0.8864902506963788,873,155,0.5,0.9741665917872225,0.8933545630908912,0.12597894012137412,0.38640034200790446
5,validation,5,543,47,17,138,0.9140939597315436,0.745945945945946,0.8903225806451613,0.8117647058823529,0.07966101694915254,0.9053307818480044,745,155,0.5,0.9661454346637507,0.9161254768074637,0.063145075286572,0.20840306690366636
5,validation,6,700,90,2,153,0.9026455026455027,0.6296296296296297,0.9870967741935484,0.7688442211055276,0.11392405063291139,0.9365863617803185,945,155,0.5,0.9904532462229482,0.9587906308043418,0.06707066473241753,0.2113276425824907
5,validation,7,419,64,33,122,0.8479623824451411,0.6559139784946236,0.7870967741935484,0.7155425219941349,0.13250517598343686,0.8272957991050558,638,155,0.5,0.9509650704601615,0.8868797426917139,0.08149794711580778,0.24165335994763434
5,validation,8,619,76,19,136,0.888235294117647,0.6415094339622641,0.8774193548387097,0.7411444141689373,0.1093525179856115,0.884033418426549,850,155,0.5,0.9584590392202367,0.7892237352869541,0.07832365725852423,0.2658501202507345
5,validation,9,606,71,10,145,0.9026442307692307,0.6712962962962963,0.9354838709677419,0.7816711590296496,0.10487444608567208,0.915304712441035,832,155,0.5,0.9707723829037023,0.8779318201139454,0.06492542326450454,0.21825692952481646
10,train,0,2411,192,37,614,0.9296250768285187,0.7617866004962779,0.9431643625192012,0.8428277282086479,0.07376104494813676,0.9347016587855322,3254,651,0.5,0.984038858625254,0.9495380911385164,0.05157788639904342,0.1646275465956691
10,train,1,2232,175,56,595,0.9244604316546763,0.7727272727272727,0.9139784946236559,0.8374384236453202,0.07270461154964686,0.9206369415370045,3058,651,0.5,0.9804417096321086,0.9395110161065996,0.052177010471569286,0.16476666032850876
10,train,2,2396,107,96,555,0.9356372859860494,0.8383685800604229,0.8525345622119815,0.8453922315308454,0.042748701558130243,0.9048929303269256,3154,651,0.5,0.9774826276057057,0.932823688398069,0.048040081336577285,0.15658959663316818
