split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,2594,9,72,579,0.9751075599262446,0.9846938775510204,0.8894009216589862,0.9346246973365617,0.0034575489819439107,0.9429716863385211,3254,651,0.5,0.998448558410389,0.9939852678607168,0.018305582949769656,0.057939007193153036
train,fixed,1,2400,7,57,594,0.9790712884238064,0.9883527454242929,0.9124423963133641,0.9488817891373802,0.0029081844619858743,0.954767105925689,3058,651,0.5,0.9977561605072762,0.992517603956429,0.016843754231413217,0.05830209286150813
train,fixed,2,2500,3,81,570,0.9733671528218135,0.9947643979057592,0.8755760368663594,0.9313725490196079,0.0011985617259288853,0.9371887375702153,3154,651,0.5,0.997105163511927,0.9901200965534225,0.020838768577641366,0.07027776268664267
train,fixed,3,2627,2,88,563,0.9725609756097561,0.9964601769911504,0.8648233486943164,0.9259868421052632,0.0007607455306200076,0.9320313015818482,3280,651,0.5,0.9984937004777739,0.994667905138067,0.01906291615902528,0.06279729397305397
train,fixed,4,2814,4,107,544,0.968002306140098,0.9927007299270073,0.8356374807987711,0.9074228523769808,0.0014194464158978,0.9171090171914367,3469,651,0.5,0.9976484286335702,0.9905214369821398,0.02260325151576538,0.07350442809515455
train,fixed,5,2694,8,104,547,0.9665970772442589,0.9855855855855856,0.8402457757296466,0.9071310116086235,0.0029607698001480384,0.9186425029647494,3353,651,0.5,0.9971313278779671,0.9886239265676104,0.02427320252646531,0.07889611653992062
train,fixed,6,2677,1,96,555,0.9708621207569841,0.9982014388489209,0.8525345622119815,0.9196354598177299,0.0003734129947722181,0.9260805746086047,3329,651,0.5,0.9983118979360758,0.9936498691925277,0.021273033078494666,0.0698192563892973
train,fixed,7,2849,5,102,549,0.969472182596291,0.9909747292418772,0.8433179723502304,0.9112033195020747,0.001751927119831815,0.9207830226151993,3505,651,0.5,0.9980580789405982,0.9918904327911018,0.02124664061883511,0.06857942036940617
train,fixed,8,2871,4,88,532,0.9736766809728183,0.9925373134328358,0.8580645161290322,0.9204152249134948,0.001391304347826087,0.9283366058906031,3495,620,0.5,0.9975988779803647,0.99047960665376,0.018904310072050994,0.06881872664059337
train,fixed,9,2375,0,84,536,0.9719532554257095,1.0,0.864516129032258,0.9273356401384083,0.0,0.932258064516129,2995,620,0.5,0.9974743633276739,0.9917613711203974,0.02170358304739531,0.08057937159166542
train,val_f1,0,2565,38,25,626,0.980639213275968,0.9427710843373494,0.9615975422427036,0.9520912547528517,0.014598540145985401,0.9734995010483591,3254,651,0.11,0.998448558410389,0.9939852678607168,0.018305582949769656,0.057939007193153036
train,val_f1,1,2346,61,23,628,0.972531066056246,0.9114658925979681,0.9646697388632872,0.9373134328358209,0.02534275031159119,0.969663494275848,3058,651,0.11,0.9977561605072762,0.992517603956429,0.016843754231413217,0.05830209286150813
train,val_f1,2,2442,61,29,622,0.9714648065948003,0.9106881405563689,0.9554531490015361,0.9325337331334332,0.024370755093887336,0.9655411969538243,3154,651,0.11,0.997105163511927,0.9901200965534225,0.020838768577641366,0.07027776268664267
train,val_f1,3,2600,29,19,632,0.9853658536585366,0.9561270801815431,0.9708141321044547,0.9634146341463414,0.01103081019399011,0.9798916609552323,3280,651,0.11,0.9984937004777739,0.994667905138067,0.01906291615902528,0.06279729397305397
train,val_f1,4,2776,42,35,616,0.9778034015566446,0.9361702127659575,0.946236559139785,0.9411764705882353,0.014904187366926898,0.965666185886429,3469,651,0.11,0.9976484286335702,0.9905214369821398,0.02260325151576538,0.07350442809515455
