epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.38093494609700024,,,,6.2003104872587755e-09,7.815795299848105e-08,,0.0,0,0,0,0,0,23.711543479003012,23.705470668151975,23.705470668151975,0.0012550060637295246,0.0,32532,0,10,1.0
2,0.2899583814168466,,,,5.900799848745919e-09,7.296418402802374e-08,,0.0,0,0,0,0,0,19.070225139847025,19.06445538601838,19.06445538601838,0.0012962338514626026,0.0,32532,0,10,1.0
3,0.26388964759611666,,,,6.150691955753018e-09,7.391019352098738e-08,,0.0,0,0,0,0,0,17.849910707911476,17.845465626800433,17.845465626800433,0.001204830827191472,0.0,32532,0,10,1.0
4,0.2492308445145661,,,,6.340123093195871e-09,7.425079218137398e-08,,0.0,0,0,0,0,0,18.208907856838778,18.20469222893007,18.20469222893007,0.0011551899369806051,0.0,32532,0,10,1.0
5,0.2401659124915954,0.1988233924536798,0.9211735595616826,0.7974568574023615,6.580796796384902e-09,7.499815524170117e-08,0.0,0.0,0,0,0,0,0,17.841683038976043,17.836775093805045,17.836775093805045,0.0011933369096368551,0.0,32532,0,10,1.0
6,0.22052844981418446,,,,6.7845582485404066e-09,7.518315925381103e-08,,0.0,0,0,0,0,0,19.003802896942943,18.999401359120384,18.999401359120384,0.0011853850446641445,0.0,32532,0,10,1.0
7,0.21120773422187447,,,,6.893324577816884e-09,7.438644189505794e-08,,0.0,0,0,0,0,0,18.1623843209818,18.15725802211091,18.15725802211091,0.0012280149385333061,0.0,32532,0,10,1.0
8,0.2027747494721785,,,,6.894735893325787e-09,7.228143772408657e-08,,0.0,0,0,0,0,0,18.09835279895924,18.09414806822315,18.09414806822315,0.0012146749068051577,0.0,32532,0,10,1.0
9,0.20012754058795384,,,,7.2652164284647824e-09,7.435722437776349e-08,,0.0,0,0,0,0,0,19.293711332138628,19.289517635013908,19.289517635013908,0.0011772231664508581,0.0,32532,0,10,1.0
10,0.1778379279731253,0.1245682712061961,0.9498055850123719,0.8562753036437247,7.436599336330119e-09,7.401597201805998e-08,0.0,0.0,0,0,0,0,0,19.765107737854123,19.760941958986223,19.760941958986223,0.0011744680814445019,0.0,32532,0,10,1.0
