split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,2384,32,11,640,0.9859797848059993,0.9523809523809523,0.9831029185867896,0.9674981103552532,0.013245033112582781,0.9849289427371034,3067,651,0.5,0.9993222347687206,0.9975907509770716,0.009715848143424632,0.03283290553392128
train,fixed,1,2999,90,1,650,0.975668449197861,0.8783783783783784,0.9984639016897081,0.9345794392523364,0.029135642602784072,0.9846641295434619,3740,651,0.5,0.9993097751846276,0.9968270610380784,0.0188344923605178,0.06336371617698339
train,fixed,2,2809,80,3,648,0.9765536723163842,0.8901098901098901,0.9953917050691244,0.939811457577955,0.027691242644513673,0.9838502312123054,3540,651,0.5,0.9991960606974173,0.9965152240947446,0.01636397636275391,0.05340329030595228
train,fixed,3,2373,59,4,647,0.9795653584171262,0.9164305949008499,0.9938556067588326,0.9535740604274134,0.02425986842105263,0.9847978691688899,3083,651,0.5,0.9991195225968146,0.9968841520198649,0.01576545257715383,0.0537687447494935
train,fixed,4,2457,40,6,645,0.9853875476493011,0.9416058394160584,0.9907834101382489,0.9655688622754491,0.016019223067681217,0.9873820935352838,3148,651,0.5,0.9993829769302273,0.9976973662322934,0.010268461806475086,0.03565969765883703
train,fixed,5,2187,74,2,649,0.9739010989010989,0.8976486860304288,0.9969278033794163,0.9446870451237264,0.03272888102609465,0.9820994611766609,2912,651,0.5,0.9991188325924598,0.9970304292510729,0.0187204157161155,0.05908784402686384
train,fixed,6,2631,122,11,640,0.9609283196239718,0.8398950131233596,0.9831029185867896,0.9058740268931351,0.04431529240828187,0.9693938130892539,3404,651,0.5,0.99712755753673,0.9886907439115007,0.028732410879532093,0.09943988158398535
train,fixed,7,2480,40,4,647,0.9861242510249133,0.9417758369723436,0.9938556067588326,0.9671150971599403,0.015873015873015872,0.9889912954429083,3171,651,0.5,0.999463584717041,0.9979991667709669,0.011000261646797325,0.03608956402959315
train,fixed,8,2404,47,11,609,0.9811136437642461,0.9283536585365854,0.9822580645161291,0.9545454545454546,0.019175846593227255,0.981541108961451,3071,620,0.5,0.9988549769021202,0.9958080475946397,0.013501460253072719,0.044759710807912155
train,fixed,9,2722,54,3,617,0.9832155477031802,0.9195230998509687,0.9951612903225806,0.9558481797056545,0.019452449567723344,0.9878544203774287,3396,620,0.5,0.9993620433206284,0.9971873019709643,0.011957696632064668,0.04042683429011849
train,val_f1,0,2412,4,45,606,0.984023475709162,0.9934426229508196,0.9308755760368663,0.9611419508326725,0.0016556291390728477,0.9646099734488968,3067,651,0.89,0.9993222347687206,0.9975907509770716,0.009715848143424632,0.03283290553392128
train,val_f1,1,3051,38,17,634,0.9852941176470589,0.9434523809523809,0.9738863287250384,0.9584278155706727,0.012301715765619942,0.9807923064797093,3740,651,0.89,0.9993097751846276,0.9968270610380784,0.0188344923605178,0.06336371617698339
train,val_f1,2,2868,21,25,626,0.9870056497175141,0.9675425038639877,0.9615975422427036,0.9645608628659477,0.007268951194184839,0.9771642955242594,3540,651,0.89,0.9991960606974173,0.9965152240947446,0.01636397636275391,0.05340329030595228
train,val_f1,3,2415,17,22,629,0.9873499837820305,0.9736842105263158,0.9662058371735791,0.9699306090979183,0.0069901315789473685,0.9796078527973159,3083,651,0.89,0.9991195225968146,0.9968841520198649,0.01576545257715383,0.0537687447494935
train,val_f1,4,2486,11,31,620,0.9866581956797967,0.9825673534072901,0.9523809523809523,0.9672386895475819,0.004405286343612335,0.97398783301867,3148,651,0.89,0.9993829769302273,0.9976973662322934,0.010268461806475086,0.03565969765883703
train,val_f1,5,2239,22,21,630,0.9852335164835165,0.9662576687116564,0.967741935483871,0.9669992325402916,0.009730207872622734,0.9790058638056242,2912,651,0.89,0.9991188325924598,0.9970304292510729,0.0187204157161155,0.05908784402686384
train,val_f1,6,2707,46,34,617,0.9764982373678026,0.9306184012066365,0.9477726574500768,0.939117199391172,0.01670904467853251,0.9655318063857721,3404,651,0.89,0.99712755753673,0.9886907439115007,0.028732410879532093,0.09943988158398535
train,val_f1,7,2508,12,23,628,0.9889624724061811,0.98125,0.9646697388632872,0.9728892331525949,0.004761904761904762,0.9799539170506912,3171,651,0.89,0.999463584717041,0.9979991667709669,0.011000261646797325,0.03608956402959315
train,val_f1,8,2440,11,42,578,0.9827417779225008,0.9813242784380306,0.932258064516129,0.9561621174524401,0.00448796409628723,0.9638850502099209,3071,620,0.89,0.9988549769021202,0.9958080475946397,0.013501460253072719,0.044759710807912155
train,val_f1,9,2759,17,21,599,0.9888103651354535,0.9724025974025974,0.9661290322580646,0.9692556634304207,0.006123919308357349,0.9800025564748536,3396,620,0.89,0.9993620433206284,0.9971873019709643,0.011957696632064668,0.04042683429011849
