epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.33649280941364956,,,,6.0539457891195525e-09,7.590637096654973e-08,,0.0,0,0,0,0,0,28.772005922859535,28.7668075831607,28.7668075831607,0.001283514080569148,0.0,32895,0,10,1.0
2,0.2796793474621424,,,,6.0865379403196584e-09,7.504189625251456e-08,,0.0,0,0,0,0,0,23.30477092694491,23.299583354964852,23.299583354964852,0.0013500410132110119,0.0,32895,0,10,1.0
3,0.25058016362188795,,,,6.1932170503098405e-09,7.422764269904292e-08,,0.0,0,0,0,0,0,23.937767455121502,23.932123723905534,23.932123723905534,0.0013799101579934359,0.0,32895,0,10,1.0
4,0.23083667964001414,,,,6.405723063096502e-09,7.501047605273925e-08,,0.0,0,0,0,0,0,23.628092965111136,23.623688243795186,23.623688243795186,0.0011864518746733665,0.0,32895,0,10,1.0
5,0.21963961479746838,0.2127662565778025,0.9092811422944362,0.771755961598018,6.617610015524633e-09,7.524982237328004e-08,0.0,0.0,0,0,0,0,0,24.255696706008166,24.250389776891097,24.250389776891097,0.0012905700132250786,0.0,32895,0,10,1.0
6,0.227144668864287,,,,6.703332111612781e-09,7.382325151183977e-08,,0.0,0,0,0,0,0,24.49681609380059,24.49239011388272,24.49239011388272,0.0012546400539577007,0.0,32895,0,10,1.0
7,0.202810151797784,,,,6.889234960283375e-09,7.418719860652345e-08,,0.0,0,0,0,0,0,24.18648596596904,24.181543891783804,24.181543891783804,0.0012259669601917267,0.0,32895,0,10,1.0
8,0.2089339924050711,,,,7.1880132956891885e-09,7.46397361695017e-08,,0.0,0,0,0,0,0,23.69752070796676,23.692363674985245,23.692363674985245,0.0013160589151084423,0.0,32895,0,10,1.0
9,0.1790721710600884,,,,7.201241380982992e-09,7.304882387870748e-08,,0.0,0,0,0,0,0,23.531834865920246,23.526824017055333,23.526824017055333,0.0013300469145178795,0.0,32895,0,10,1.0
10,0.19703795399042878,0.1531594401514355,0.9366075824716888,0.8381012260295505,7.477530594712789e-09,7.417678915544457e-08,0.0,0.0,0,0,0,0,0,22.73148413305171,22.727098928997293,22.727098928997293,0.0011492918711155653,0.0,32895,0,10,1.0
11,0.17226941207020927,,,,7.607740215576086e-09,7.387596667740581e-08,,0.0,0,0,0,0,0,22.43404734507203,22.429688264848664,22.429688264848664,0.0012312440667301416,0.0,32895,0,10,1.0
12,0.15106646879898195,,,,7.654460176809152e-09,7.283620107045863e-08,,0.0,0,0,0,0,0,22.752673094160855,22.74761215504259,22.74761215504259,0.0012291620951145887,0.0,32895,0,10,1.0
13,0.1557607065718086,,,,7.863918405348613e-09,7.348357655700966e-08,,0.0,0,0,0,0,0,22.859726710943505,22.85506851086393,22.85506851086393,0.0013267099857330322,0.0,32895,0,10,1.0
14,0.1440109041616998,,,,8.150890629110563e-09,7.450768180206069e-08,,0.0,0,0,0,0,0,22.63666311185807,22.631393775111064,22.631393775111064,0.0014074170030653477,0.0,32895,0,10,1.0
15,0.14822837673235237,0.2301368036324132,0.9082964057114722,0.8075432704727461,8.367361026273556e-09,7.418004344117435e-08,0.0,0.0,0,0,0,0,0,22.234117581043392,22.230015620123595,22.230015620123595,0.0011309569235891104,0.0,32895,0,10,1.0
16,0.1366759745441213,,,,8.453105770911407e-09,7.337461482848084e-08,,0.0,0,0,0,0,0,23.13394315703772,23.129467773949727,23.129467773949727,0.0012312389444559813,0.0,32895,0,10,1.0
17,0.1348597975856882,,,,8.790703276417844e-09,7.414608660383237e-08,,0.0,0,0,0,0,0,22.466137054841965,22.461704945890233,22.461704945890233,0.0012739910744130611,0.0,32895,0,10,1.0
18,0.12967283752419734,,,,8.936088313760138e-09,7.377687438747671e-08,,0.0,0,0,0,0,0,22.799436423927546,22.79424969200045,22.79424969200045,0.0012757028453052044,0.0,32895,0,10,1.0
19,0.11598291235625843,,,,9.08372932428847e-09,7.336768703680718e-08,,0.0,0,0,0,0,0,22.6734603990335,22.66886205296032,22.66886205296032,0.0013375510461628437,0.0,32895,0,10,1.0
20,0.10624672884359641,0.10435045762339022,0.9550713934022649,0.882598906400772,9.44516020950914e-09,7.410677227426277e-08,0.0,0.0,0,0,0,0,0,22.5487579270266,22.54342115507461,22.54342115507461,0.0013843611814081669,0.0,32895,0,10,1.0
21,0.11698959098070258,,,,9.657469490775838e-09,7.410425695297818e-08,,0.0,0,0,0,0,0,22.708166329888627,22.703408747911453,22.703408747911453,0.0013585351407527924,0.0,32895,0,10,1.0
22,0.14246205960405073,,,,9.839221881691174e-09,7.371809118694728e-08,,0.0,0,0,0,0,0,22.392705579055473,22.38838438107632,22.38838438107632,0.0011856539640575647,0.0,32895,0,10,1.0
23,0.10349193934834208,,,,1.000260674288711e-08,7.335378171546836e-08,,0.0,0,0,0,0,0,22.749953048070893,22.744587092893198,22.744587092893198,0.0013883952051401138,0.0,32895,0,10,1.0
24,0.10338191961441237,,,,1.0252778182007205e-08,7.369657595290846e-08,,0.0,0,0,0,0,0,22.617115403991193,22.605963985901326,22.605963985901326,0.0012840188574045897,0.0,32895,0,10,1.0
25,0.11603431163664592,0.1251571850019657,0.9442392909896603,0.871197042934319,1.039682917536311e-08,7.371144050694056e-08,0.0,0.0,0,0,0,0,0,22.730836416827515,22.726427445886657,22.726427445886657,0.0012243390083312988,0.0,32895,0,10,1.0
26,0.09915696531149153,,,,1.0589794818827158e-08,7.34569240989913e-08,,0.0,0,0,0,0,0,22.754734535934404,22.750159317161888,22.750159317161888,0.0012566698715090752,0.0,32895,0,10,1.0
27,0.10491911857654339,,,,1.0894579460796194e-08,7.414494973545516e-08,,0.0,0,0,0,0,0,22.50222876900807,22.497932505095378,22.497932505095378,0.0011809540446847677,0.0,32895,0,10,1.0
28,0.09635936973981989,,,,1.098528201737281e-08,7.35340961455222e-08,,0.0,0,0,0,0,0,22.675906148040667,22.671449044020846,22.671449044020846,0.0012232421431690454,0.0,32895,0,10,1.0
29,0.10623868006823871,,,,1.1243977304786767e-08,7.371041732540107e-08,,0.0,0,0,0,0,0,22.41059541492723,22.405601429985836,22.405601429985836,0.0012883839663118124,0.0,32895,0,10,1.0
30,0.10325037989369604,0.10434454043166357,0.9548252092565239,0.8786776859504132,1.1407753852665792e-08,7.359538045648151e-08,0.0,0.0,0,0,0,0,0,22.577242096187547,22.572309733135626,22.572309733135626,0.0012513920664787292,0.0,32895,0,10,1.0
31,0.09850227532234213,,,,1.174238839496411e-08,7.417136771437072e-08,,0.0,0,0,0,0,0,22.59699171804823,22.592422764981166,22.592422764981166,0.0013201050460338593,0.0,32895,0,10,1.0
32,0.082415286935713,,,,1.197986776446669e-08,7.443250638061727e-08,,0.0,0,0,0,0,0,22.760247878963128,22.75563972699456,22.75563972699456,0.0012073288671672344,0.0,32895,0,10,1.0
33,0.08797083824869006,,,,1.2040091590392876e-08,7.36205691964642e-08,,0.0,0,0,0,0,0,22.682093309005722,22.67763303499669,22.67763303499669,0.0012429379858076572,0.0,32895,0,10,1.0
34,0.08864022837024561,,,,1.2295069851120388e-08,7.403666302252532e-08,,0.0,0,0,0,0,0,22.71278118598275,22.707686602137983,22.707686602137983,0.0012296380009502172,0.0,32895,0,10,1.0
35,0.08038204873943604,0.13119029042349672,0.9446085672082718,0.8468345813478557,1.2410824368203066e-08,7.343427199657526e-08,0.0,0.0,0,0,0,0,0,22.47202852391638,22.467502992833033,22.467502992833033,0.0013502100482583046,0.0,32895,0,10,1.0
36,0.07263153551511896,,,,1.2679211458532791e-08,7.379863120604568e-08,,0.0,0,0,0,0,0,22.6286364661064,22.623473003041,22.623473003041,0.0012963199988007545,0.0,32895,0,10,1.0
37,0.06983983831975323,,,,1.2829688422755225e-08,7.377570909739006e-08,,0.0,0,0,0,0,0,22.653015370015055,22.648524922085926,22.648524922085926,0.0013033321592956781,0.0,32895,0,10,1.0
38,0.06743033241403014,,,,1.311946284943133e-08,7.435163951186041e-08,,0.0,0,0,0,0,0,22.64394873008132,22.639509869972244,22.639509869972244,0.0012301900424063206,0.0,32895,0,10,1.0
39,0.07329940161596843,,,,1.3129167975023393e-08,7.368972632093573e-08,,0.0,0,0,0,0,0,23.227327459026128,23.222786081954837,23.222786081954837,0.0013018210884183645,0.0,32895,0,10,1.0
40,0.05923755814552507,0.15236615917809482,0.9415312653865091,0.8520710059171598,1.321595544112597e-08,7.299858140186188e-08,0.0,0.0,0,0,0,0,0,22.495663094101474,22.49116081208922,22.49116081208922,0.0012864309828728437,0.0,32895,0,10,1.0
41,0.05600042624062437,,,,1.3508718588184365e-08,7.37501792968942e-08,,0.0,0,0,0,0,0,23.051693985937163,23.046521520009264,23.046521520009264,0.001339184818789363,0.0,32895,0,10,1.0
42,0.05105146019518384,,,,1.3691930256243268e-08,7.381641609072176e-08,,0.0,0,0,0,0,0,21.91085542109795,21.905734028900042,21.905734028900042,0.0012528719380497932,0.0,32895,0,10,1.0
43,0.06154797166254106,,,,1.3754696048806636e-08,7.339649954474226e-08,,0.0,0,0,0,0,0,17.614525703014806,17.608684432925656,17.608684432925656,0.0014564408920705318,0.0,32895,0,10,1.0
44,0.045942491848774275,,,,1.395283000249492e-08,7.374693922201914e-08,,0.0,0,0,0,0,0,19.48400031402707,19.478336774976924,19.478336774976924,0.0014319170732051134,0.0,32895,0,10,1.0
45,0.054932617265994396,0.23298870550385883,0.9255292959133432,0.8260994538660534,1.4045855145639052e-08,7.35183434130704e-08,0.0,0.0,0,0,0,0,0,17.730361446971074,17.72501733410172,17.72501733410172,0.001322000054642558,0.0,32895,0,10,1.0
46,0.049951166331429424,,,,1.4189140529197175e-08,7.35703622467554e-08,,0.0,0,0,0,0,0,16.783719612983987,16.779017116874456,16.779017116874456,0.001238892087712884,0.0,32895,0,10,1.0
47,0.05644606094768316,,,,1.433082008617248e-08,7.355252051866046e-08,,0.0,0,0,0,0,0,17.42576700099744,17.421122182859108,17.421122182859108,0.0011702929623425007,0.0,32895,0,10,1.0
48,0.04038325579250057,,,,1.4541608805984652e-08,7.386677225440508e-08,,0.0,0,0,0,0,0,17.753977563930675,17.748500456800684,17.748500456800684,0.0012279709335416555,0.0,32895,0,10,1.0
49,0.04128848861346339,,,,1.456347398232083e-08,7.329710882686413e-08,,0.0,0,0,0,0,0,17.247826772974804,17.243238297989592,17.243238297989592,0.0011332740541547537,0.0,32895,0,10,1.0
50,0.0443160448368876,0.2667503335894233,0.9272525849335302,0.8367854183927091,1.4665512360068078e-08,7.322419293132043e-08,0.0,0.0,0,0,0,0,0,16.60981769906357,16.605654038023204,16.605654038023204,0.0012267699930816889,0.0,32895,0,10,1.0
