split,node,engines,windows,positive,positive_fraction
train,0,21,3456,651,0.18836805555555555
train,1,21,3478,651,0.18717653824036803
train,2,21,3602,651,0.1807329261521377
train,3,21,3432,651,0.1896853146853147
train,4,21,3149,651,0.20673229596697365
train,5,21,3402,651,0.19135802469135801
train,6,21,2986,651,0.21801741460147353
train,7,21,3180,651,0.20471698113207548
train,8,20,3300,620,0.18787878787878787
train,9,20,2910,620,0.21305841924398625
validation,0,6,1024,186,0.181640625
validation,1,6,902,186,0.20620842572062084
validation,2,5,754,155,0.20557029177718833
validation,3,5,831,155,0.1865222623345367
validation,4,5,840,155,0.18452380952380953
validation,5,5,787,155,0.19695044472681067
validation,6,5,829,155,0.18697225572979492
validation,7,5,726,155,0.21349862258953167
validation,8,5,772,155,0.20077720207253885
validation,9,5,659,155,0.23520485584218512
test,0,24,1897,75,0.03953610964681075
test,1,24,2136,76,0.035580524344569285
test,2,24,2122,140,0.06597549481621112
test,3,24,1954,97,0.0496417604912999
test,4,24,2404,202,0.08402662229617304
test,5,23,2262,119,0.052608311229000886
test,6,23,2044,131,0.06409001956947162
test,7,23,2285,100,0.0437636761487965
test,8,23,2154,20,0.009285051067780872
test,9,23,2326,127,0.05460017196904557
