split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,2741,64,2,649,0.9809027777777778,0.9102384291725105,0.9969278033794163,0.9516129032258065,0.02281639928698752,0.9870557020462144,3456,651,0.5,0.9993543458439094,0.9972534970963618,0.013037723317699808,0.044184808043122845
train,fixed,1,2769,58,0,651,0.983323749281196,0.918194640338505,1.0,0.9573529411764706,0.020516448532012736,0.9897417757339937,3478,651,0.5,0.999707125224886,0.9987491453010617,0.011530904606946363,0.03728177676584105
train,fixed,2,2910,41,5,646,0.9872293170460855,0.9403202328966521,0.9923195084485407,0.9656203288490284,0.013893595391392748,0.9892129565285739,3602,651,0.5,0.9995846131983691,0.9982447189473821,0.009593597930744024,0.03143678159123269
train,fixed,3,2723,58,5,646,0.9816433566433567,0.9176136363636364,0.9923195084485407,0.9535055350553505,0.020855807263574253,0.9857318505924832,3432,651,0.5,0.9993366220529808,0.9972682032412964,0.01387876877693329,0.0468685533134415
train,fixed,4,2465,33,9,642,0.9866624325182598,0.9511111111111111,0.9861751152073732,0.9683257918552036,0.01321056845476381,0.9864822733763048,3149,651,0.5,0.9995467956546497,0.9983596646926076,0.008998826759938528,0.02829873199975229
train,fixed,5,2700,51,5,646,0.9835390946502057,0.926829268292683,0.9923195084485407,0.9584569732937686,0.018538713195201745,0.9868903976266694,3402,651,0.5,0.9992769002865037,0.9970223413048386,0.011711952528700617,0.039256283303687016
train,fixed,6,2254,81,4,647,0.9715338245144005,0.8887362637362637,0.9938556067588326,0.9383611312545322,0.03468950749464668,0.979583049632093,2986,651,0.5,0.9990763674399787,0.9968753275327757,0.019815099881039994,0.06053283088499743
train,fixed,7,2471,58,1,650,0.9814465408805031,0.9180790960451978,0.9984639016897081,0.9565857247976454,0.022933965994464216,0.9877649678476219,3180,651,0.5,0.9994563827648434,0.9979071747386163,0.014021530715075146,0.047780765003918695
train,fixed,8,2612,68,1,619,0.9790909090909091,0.901018922852984,0.9983870967741936,0.9472073450650345,0.025373134328358207,0.9865069812229177,3300,620,0.5,0.9993446076071257,0.9972696894789967,0.014830082677815892,0.0465943798950165
train,fixed,9,2257,33,6,614,0.98659793814433,0.9489953632148377,0.9903225806451613,0.9692186266771902,0.014410480349344978,0.9879560501479081,2910,620,0.5,0.9994421749542189,0.9979800814685622,0.00972745396552885,0.031927106978249506
train,val_f1,0,2793,12,29,622,0.9881365740740741,0.9810725552050473,0.9554531490015361,0.9680933852140078,0.0042780748663101605,0.975587537067613,3456,651,0.92,0.9993543458439094,0.9972534970963618,0.013037723317699808,0.044184808043122845
train,val_f1,1,2815,12,16,635,0.9919493962047153,0.98145285935085,0.9754224270353302,0.9784283513097073,0.004244782454899187,0.9855888222902155,3478,651,0.92,0.999707125224886,0.9987491453010617,0.011530904606946363,0.03728177676584105
