epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5166134529015637,,,,6.070932201396317e-09,7.829156345451338e-08,,0.0,6452080,20,6452080,6452080,0,24.52840062486939,24.52300237189047,6.416078431066126,0.003266470041126013,5.181664,32892,10,10,
2,0.4527967934161822,,,,6.135773222837315e-09,7.884229091814632e-08,,0.0,6452080,20,6452080,6452080,0,17.56355133606121,17.559050192823634,1.9424770788755268,0.0028282329440116882,5.181664,32892,10,10,
3,0.46110350207639994,,,,5.899223776140161e-09,7.581639493992043e-08,,0.0,6452080,20,6452080,6452080,0,16.541599536081776,16.537169951712713,1.9013664070516825,0.0028658329974859953,5.181664,32892,10,10,
4,0.3948823577532295,,,,6.029056365264296e-09,7.72600756704378e-08,,0.0,6452080,20,6452080,6452080,0,16.762944104149938,16.758785256184638,1.8794556378852576,0.002686820924282074,5.181664,32892,10,10,
5,0.3961653298645686,0.35562082989224547,0.8165374677002584,0.2701908957415565,5.945620884517666e-09,7.608463192809722e-08,0.0,0.0,6452080,20,6452080,6452080,0,16.65055720997043,16.646168203325942,1.8356978800147772,0.002869480988010764,5.181664,32892,10,10,
6,0.372734086282064,,,,5.948337378214319e-09,7.589502359905964e-08,,0.0,6452080,20,6452080,6452080,0,18.454808756010607,18.450235090916976,2.067226067883894,0.0030588828958570957,5.181664,32892,10,10,
7,0.3718209695197983,,,,5.8926592494401575e-09,7.501698462419881e-08,,0.0,6452080,20,6452080,6452080,0,18.102334301918745,18.097913598641753,2.007878069067374,0.002871937118470669,5.181664,32892,10,10,
8,0.3609436580285885,,,,6.113873407542769e-09,7.762647413755985e-08,,0.0,6452080,20,6452080,6452080,0,19.004945968976244,19.000007503200322,2.4715499479789287,0.0028557279147207737,5.181664,32892,10,10,
9,0.34584081525638133,,,,5.984520878854482e-09,7.579759397913222e-08,,0.0,6452080,20,6452080,6452080,0,18.768021709052846,18.763367258943617,2.1175208180211484,0.003072975901886821,5.181664,32892,10,10,
10,0.3344688992672872,0.3107725770996192,0.8512366186784791,0.569291058069113,6.090045800988264e-09,7.696045400962248e-08,0.0,0.0,6452080,20,6452080,6452080,0,19.497778235934675,19.492648139595985,2.2757484880276024,0.0029299731831997633,5.181664,32892,10,10,
11,0.32585262353016387,,,,6.112639283628596e-09,7.706312032951246e-08,,0.0,6452080,20,6452080,6452080,0,19.46942829992622,19.46487144846469,2.3984811450354755,0.002951333997771144,5.181664,32892,10,10,
12,0.3239453011096213,,,,5.995475671483064e-09,7.542443114516573e-08,,0.0,6452080,20,6452080,6452080,0,19.647844241000712,19.643063733819872,2.2244485039263964,0.0030593080446124077,5.181664,32892,10,10,
13,0.31772225134808585,,,,6.170760791235352e-09,7.746301378119824e-08,,0.0,6452080,20,6452080,6452080,0,19.859919768059626,19.855482194107026,2.214688229141757,0.0028561160434037447,5.181664,32892,10,10,
14,0.3099173800843959,,,,6.086698256524414e-09,7.619522079949093e-08,,0.0,6452080,20,6452080,6452080,0,19.238068619044498,19.233649123692885,2.278354134876281,0.0028619570657610893,5.181664,32892,10,10,
15,0.303836295322654,0.2863582204918702,0.8715393133997785,0.6616979909267661,6.196859470009031e-09,7.736510809763786e-08,0.0,0.0,6452080,20,6452080,6452080,0,19.621081656077877,19.61638174718246,2.1989134890027344,0.0030252928845584393,5.181664,32892,10,10,
16,0.2926791848266078,,,,6.083731296513406e-09,7.576827698585475e-08,,0.0,6452080,20,6452080,6452080,0,19.217503777937964,19.21316324803047,2.223260180093348,0.0027690199203789234,5.181664,32892,10,10,
17,0.2927707817871927,,,,6.1501133075125836e-09,7.638008980848099e-08,,0.0,6452080,20,6452080,6452080,0,19.269755196990445,19.265441447496414,2.2235215238761157,0.002814269857481122,5.181664,32892,10,10,
18,0.28652468981227985,,,,6.051506407089846e-09,7.494590903434073e-08,,0.0,6452080,20,6452080,6452080,0,19.651804456021637,19.64705803641118,2.3495918600820005,0.003085545962676406,5.181664,32892,10,10,
19,0.2914260863842111,,,,6.10033445980207e-09,7.538673685303365e-08,,0.0,6452080,20,6452080,6452080,0,18.904311994090676,18.899839799385518,2.1881241002120078,0.0028509448748081923,5.181664,32892,10,10,
20,0.29597226830287515,0.2635240301913137,0.8874123292727943,0.7159267308289351,5.958176618747757e-09,7.34395442236746e-08,0.0,0.0,6452080,20,6452080,6452080,0,19.40384773304686,19.399057041155174,2.3087330700363964,0.0030365188140422106,5.181664,32892,10,10,
