split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,2443,160,94,557,0.9219422249539029,0.7768479776847977,0.8556067588325653,0.814327485380117,0.06146753745678064,0.8970696106878924,3254,651,0.5,0.9699625801022453,0.9059993950968942,0.057376882455341664,0.18762227651550434
train,fixed,1,2288,119,110,541,0.9251144538914323,0.8196969696969697,0.8310291858678955,0.8253241800152555,0.04943913585375987,0.8907950250070678,3058,651,0.5,0.9629843065253227,0.8846294363381341,0.0595444296108822,0.19904742117145616
train,fixed,2,2431,72,216,435,0.9086873811033608,0.8579881656804734,0.6682027649769585,0.7512953367875648,0.028765481422293248,0.8197186417773326,3154,651,0.5,0.9492308154945248,0.8529869297202777,0.06954583378622672,0.2258163007135669
train,fixed,3,2513,116,224,427,0.8963414634146342,0.7863720073664825,0.6559139784946236,0.7152428810720268,0.04412324077596044,0.8058953688593316,3280,651,0.5,0.93407456357922,0.8054419732336022,0.07881430858174021,0.25311809056913154
train,fixed,4,2601,217,193,458,0.8818103199769386,0.6785185185185185,0.7035330261136713,0.6907993966817496,0.07700496806245564,0.8132640290256079,3469,651,0.5,0.9444251841628155,0.7639841039235681,0.07889433659161907,0.24905419364183667
train,fixed,5,2586,116,198,453,0.9063525201312258,0.7961335676625659,0.695852534562212,0.7426229508196721,0.04293116210214656,0.8264606862300328,3353,651,0.5,0.953123418847733,0.863597460685547,0.06559866867526888,0.2110893153069655
train,fixed,6,2597,81,219,432,0.9098828477020127,0.8421052631578947,0.663594470046083,0.7422680412371134,0.030246452576549662,0.8166740087347666,3329,651,0.5,0.954708617408273,0.8604112732432618,0.06496113443479203,0.20914799508611376
train,fixed,7,2716,138,164,487,0.9138373751783166,0.7792,0.7480798771121352,0.7633228840125392,0.04835318850735809,0.8498633443023885,3505,651,0.5,0.9481747126139829,0.8553938205144291,0.06366495667950184,0.21077609945860448
train,fixed,8,2772,103,135,485,0.9319027181688125,0.8248299319727891,0.782258064516129,0.8029801324503312,0.03582608695652174,0.8732159887798037,3495,620,0.5,0.9664807854137449,0.8961093917970593,0.051125600497075346,0.17624285176986382
train,fixed,9,2299,76,165,455,0.9195325542570951,0.8568738229755178,0.7338709677419355,0.790616854908775,0.032,0.8509354838709677,2995,620,0.5,0.9743881154499151,0.9037757030486309,0.05384689672414357,0.1777879314363972
train,val_f1,0,2336,267,60,591,0.8995082974800246,0.6888111888111889,0.9078341013824884,0.7833001988071571,0.10257395313100269,0.9026300741257429,3254,651,0.36000000000000004,0.9699625801022453,0.9059993950968942,0.057376882455341664,0.18762227651550434
train,val_f1,1,2206,201,72,579,0.9107259646827992,0.7423076923076923,0.8894009216589862,0.8092243186582809,0.08350643955130868,0.9029472410538388,3058,651,0.36000000000000004,0.9629843065253227,0.8846294363381341,0.0595444296108822,0.19904742117145616
train,val_f1,2,2367,136,155,496,0.9077362079898541,0.7848101265822784,0.7619047619047619,0.7731878409976617,0.05433479824210947,0.8537849818313261,3154,651,0.36000000000000004,0.9492308154945248,0.8529869297202777,0.06954583378622672,0.2258163007135669
train,val_f1,3,2435,194,180,471,0.8859756097560976,0.7082706766917293,0.7235023041474654,0.71580547112462,0.07379231647014074,0.8248549938386623,3280,651,0.36000000000000004,0.93407456357922,0.8054419732336022,0.07881430858174021,0.25311809056913154
train,val_f1,4,2576,242,113,538,0.897665033150764,0.6897435897435897,0.82642089093702,0.7519217330538085,0.0858765081618169,0.8702721913876015,3469,651,0.36000000000000004,0.9444251841628155,0.7639841039235681,0.07889433659161907,0.24905419364183667
