epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.523181181028163,,,,6.003522567965547e-09,7.745106955781011e-08,,0.0,6452080,20,6452080,6452080,0,23.72473180294037,23.718782497104257,5.5031388129573315,0.0030772590544074774,5.181664,32532,10,10,
2,0.46836880024270566,,,,5.952086823413083e-09,7.646669075711543e-08,,0.0,6452080,20,6452080,6452080,0,19.23566821194254,19.230868805898353,2.5137349208816886,0.0031225348357111216,5.181664,32532,10,10,
3,0.4327945832249803,,,,6.070403735236596e-09,7.787757994037747e-08,,0.0,6452080,20,6452080,6452080,0,17.651646080892533,17.647276973817497,2.099247697973624,0.0028357149567455053,5.181664,32532,10,10,
4,0.38973115451917234,,,,6.0416009972641405e-09,7.727984296934665e-08,,0.0,6452080,20,6452080,6452080,0,18.15889638895169,18.154322963906452,2.073921259958297,0.0029025499243289232,5.181664,32532,10,10,
5,0.40372912070654204,0.3342881187961662,0.8297396017438435,0.31092036242250837,6.1099689752097674e-09,7.803934209960062e-08,0.0,0.0,6452080,20,6452080,6452080,0,17.51635042601265,17.511947959195822,2.016426040092483,0.00276558892801404,5.181664,32532,10,10,
6,0.36728370119316167,,,,6.080939307651079e-09,7.745607177866987e-08,,0.0,6452080,20,6452080,6452080,0,19.76322723715566,19.758455726783723,2.426010458962992,0.003051226958632469,5.181664,32532,10,10,
7,0.36640560507051173,,,,6.032423449653379e-09,7.669289203704466e-08,,0.0,6452080,20,6452080,6452080,0,17.931327719939873,17.926703075878322,2.1378384130075574,0.0028371799271553755,5.181664,32532,10,10,
8,0.3597464320148108,,,,6.12026873625382e-09,7.759911824223309e-08,,0.0,6452080,20,6452080,6452080,0,17.869202598929405,17.864801472751424,2.063806004822254,0.0029048908036202192,5.181664,32532,10,10,
9,0.3403419636972642,,,,6.277976360991033e-09,7.934048085189715e-08,,0.0,6452080,20,6452080,6452080,0,19.420016749063507,19.41518301703036,2.2834473859984428,0.003127477830275893,5.181664,32532,10,10,
10,0.336749406822544,0.31203393389558753,0.8398727465535525,0.5692551505546751,6.145628006493098e-09,7.746835706257116e-08,0.0,0.0,6452080,20,6452080,6452080,0,19.603035266976804,19.59877196350135,2.4842840638011694,0.00273701804690063,5.181664,32532,10,10,
11,0.332896001343788,,,,6.084948989126815e-09,7.64969954047956e-08,,0.0,6452080,20,6452080,6452080,0,20.148585071088746,20.14417058113031,2.2948731151409447,0.002862044144421816,5.181664,32532,10,10,
12,0.3278080909820791,,,,6.2129488220818985e-09,7.790010414510107e-08,,0.0,6452080,20,6452080,6452080,0,20.151109327096492,20.14683555928059,2.4935446919407696,0.0027746250852942467,5.181664,32532,10,10,
13,0.32434500611087785,,,,6.072622404929007e-09,7.59433618213734e-08,,0.0,6452080,20,6452080,6452080,0,19.282376830931753,19.277570380829275,2.2888983029406518,0.0030204870272427797,5.181664,32532,10,10,
14,0.3156174492990571,,,,6.090054682772461e-09,7.593650508397332e-08,,0.0,6452080,20,6452080,6452080,0,19.585596004035324,19.58075657696463,2.47976257186383,0.0031497390009462833,5.181664,32532,10,10,
15,0.302618319723035,0.29075764564474715,0.8558972546247201,0.6343796711509716,6.381870587546246e-09,7.932356282935871e-08,0.0,0.0,6452080,20,6452080,6452080,0,19.624331451021135,19.619360345881432,2.4104662819299847,0.0028402619063854218,5.181664,32532,10,10,
16,0.30935881300116735,,,,6.184579515178257e-09,7.670394097658573e-08,,0.0,6452080,20,6452080,6452080,0,19.54408106696792,19.539362771902233,2.459395441925153,0.0030706000979989767,5.181664,32532,10,10,
17,0.30063145865052976,,,,6.31210639312485e-09,7.809670421465853e-08,,0.0,6452080,20,6452080,6452080,0,19.048001701012254,19.04378363210708,2.244166905991733,0.0027131130918860435,5.181664,32532,10,10,
18,0.30586549935001395,,,,6.262742324736337e-09,7.735731344382657e-08,,0.0,6452080,20,6452080,6452080,0,19.136455378960818,19.13211433100514,2.3601361447945237,0.002800496993586421,5.181664,32532,10,10,
19,0.291450037522811,,,,6.150588038877913e-09,7.577619243193112e-08,,0.0,6452080,20,6452080,6452080,0,19.30321549414657,19.298690918134525,2.2748780061956495,0.0029171500355005264,5.181664,32532,10,10,
20,0.29685449395726604,0.2723913151725768,0.8805231530576175,0.65439672801636,6.172612199151217e-09,7.58953149215813e-08,0.0,0.0,6452080,20,6452080,6452080,0,19.643440084997565,19.638136812020093,2.4100900660268962,0.0030097251292318106,5.181664,32532,10,10,
