epoch,split,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
5,train,0,2397,19,573,78,0.8069775024453864,0.8041237113402062,0.11981566820276497,0.20855614973262032,0.007864238410596027,0.5559757148960844,3067,651,0.5,0.8955643889685762,0.6414288551650315,0.12141667280475973,0.3604537934677596
5,train,1,2987,102,439,212,0.8553475935828877,0.6751592356687898,0.32565284178187404,0.43937823834196893,0.03302039494982195,0.646316223416026,3740,651,0.5,0.8890284588443508,0.6019938785732681,0.09859571749257541,0.3127535950219964
5,train,2,2828,61,482,169,0.8466101694915255,0.7347826086956522,0.25960061443932414,0.3836549375709421,0.021114572516441676,0.6192430209614412,3540,651,0.5,0.9053536934151948,0.6301066785893198,0.0991239600943459,0.30741461257304037
5,train,3,2432,0,616,35,0.8001946156341226,1.0,0.053763440860215055,0.10204081632653061,0.0,0.5268817204301075,3083,651,0.5,0.9218604727544668,0.7774604862711518,0.11172529499195061,0.3379371314868676
5,train,4,2485,12,553,98,0.8205209656925032,0.8909090909090909,0.15053763440860216,0.2575558475689882,0.004805766920304365,0.572865933744149,3148,651,0.5,0.8984643323139843,0.6883081665616556,0.11471512502121751,0.3449938211122885
5,train,5,2261,0,590,61,0.7973901098901099,1.0,0.09370199692780339,0.17134831460674158,0.0,0.5468509984639017,2912,651,0.5,0.9100360008179843,0.7102738999864243,0.12918809743739368,0.37867454347337176
5,train,6,2736,17,503,148,0.8472385428907168,0.896969696969697,0.22734254992319508,0.3627450980392157,0.006175081729022884,0.6105837340970861,3404,651,0.5,0.8879038814241467,0.6803650047427743,0.10661734487551494,0.3322801991615541
5,train,7,2400,120,535,116,0.793440555029959,0.4915254237288136,0.1781874039938556,0.2615558060879369,0.047619047619047616,0.565284178187404,3171,651,0.5,0.8450540072659888,0.49731635207540414,0.12927666807634042,0.3827988578622609
5,train,8,2395,56,517,103,0.8134158254640182,0.6477987421383647,0.16612903225806452,0.2644415917843389,0.02284781721746226,0.5716406075203011,3071,620,0.5,0.8893420723601952,0.6245916986565724,0.1145734219982159,0.34584979784551806
5,train,9,2669,107,457,163,0.833922261484099,0.6037037037037037,0.2629032258064516,0.36629213483146067,0.03854466858789626,0.6121792786092777,3396,620,0.5,0.87674188900251,0.5457017811991106,0.10681731223110653,0.331088727454424
5,validation,0,804,48,155,31,0.8044315992292871,0.3924050632911392,0.16666666666666666,0.2339622641509434,0.056338028169014086,0.5551643192488263,1038,186,0.5,0.8526805997273967,0.5190331634553632,0.11346636534593166,0.3455433750314062
5,validation,1,658,22,155,31,0.7956120092378753,0.5849056603773585,0.16666666666666666,0.2594142259414226,0.03235294117647059,0.567156862745098,866,186,0.5,0.8734108159392788,0.5839149708956605,0.13524474395556824,0.38759131222671867
5,validation,2,673,4,124,31,0.8461538461538461,0.8857142857142857,0.2,0.3263157894736842,0.005908419497784343,0.5970457902511078,832,155,0.5,0.8877781483775671,0.6661331310990223,0.10420976207474023,0.3287615665916918
5,validation,3,745,0,118,37,0.8688888888888889,1.0,0.23870967741935484,0.3854166666666667,0.0,0.6193548387096774,900,155,0.5,0.9675687378220394,0.840103704941517,0.07960735026493726,0.263233769435465
5,validation,4,651,0,111,44,0.8622828784119106,1.0,0.2838709677419355,0.44221105527638194,0.0,0.6419354838709678,806,155,0.5,0.8262325950151133,0.6229003404117873,0.12248432458587134,0.37998848981136973
5,validation,5,517,0,153,2,0.7723214285714286,1.0,0.012903225806451613,0.025477707006369428,0.0,0.5064516129032258,672,155,0.5,0.9128221126848443,0.7397752226397054,0.13165730986982155,0.38385099392233085
5,validation,6,726,9,95,60,0.8831460674157303,0.8695652173913043,0.3870967741935484,0.5357142857142857,0.012244897959183673,0.6874259381171823,890,155,0.5,0.9416984858459513,0.7777590542856446,0.08596139053356404,0.2808341643210996
5,validation,7,603,52,124,31,0.782716049382716,0.37349397590361444,0.2,0.2605042016806723,0.07938931297709924,0.5603053435114503,810,155,0.5,0.8168529918739226,0.5047942503276129,0.13252522471001052,0.39153258490248377
5,validation,8,704,24,121,34,0.8357870894677236,0.5862068965517241,0.21935483870967742,0.3192488262910798,0.03296703296703297,0.5931939028713222,883,155,0.5,0.89798830202056,0.608379302803103,0.10058853440883546,0.3130809150038342
5,validation,9,635,0,130,25,0.8354430379746836,1.0,0.16129032258064516,0.2777777777777778,0.0,0.5806451612903226,790,155,0.5,0.9595631191262383,0.8072430388359005,0.0915076825862509,0.28428140504680044
10,train,0,2320,96,375,276,0.846429735898272,0.7419354838709677,0.423963133640553,0.5395894428152492,0.039735099337748346,0.6921140171514023,3067,651,0.5,0.9099901069165115,0.6943794402751268,0.10308223446024962,0.317119090957388
10,train,1,2774,315,219,432,0.8572192513368984,0.5783132530120482,0.663594470046083,0.6180257510729614,0.10197474910974426,0.7808098604681694,3740,651,0.5,0.8989163768766728,0.6600521559492568,0.09629989526882927,0.3001182919129312
10,train,2,2651,238,211,440,0.8731638418079096,0.6489675516224189,0.6758832565284179,0.6621519939804364,0.08238144686742818,0.7967509048304948,3540,651,0.5,0.919632123330244,0.6867212745028791,0.08773553924443088,0.26996141601545903
10,train,3,2337,95,261,390,0.8845280570872527,0.8041237113402062,0.5990783410138248,0.6866197183098591,0.0390625,0.7800079205069124,3083,651,0.5,0.92768905631013,0.8009196968859803,0.09197913207746086,0.29058186964400706
10,train,4,2332,165,332,319,0.8421219822109276,0.6590909090909091,0.49001536098310294,0.5621145374449339,0.06607929515418502,0.711968032914459,3148,651,0.5,0.9062371004960176,0.6993363480104114,0.10307178346223658,0.30922454092402224
10,train,5,2196,65,435,216,0.8282967032967034,0.7686832740213523,0.3317972350230415,0.463519313304721,0.028748341441839895,0.6515244467906007,2912,651,0.5,0.9197145751339586,0.7410745693565267,0.10989393977050319,0.339084612244282
10,train,6,2532,221,253,398,0.8607520564042304,0.6429725363489499,0.6113671274961597,0.6267716535433071,0.08027606247729749,0.7655455325094311,3404,651,0.5,0.903412727241278,0.7230307716155706,0.0972015111195977,0.30151585212200405
10,train,7,2260,260,351,300,0.8073163040050457,0.5357142857142857,0.4608294930875576,0.495458298926507,0.10317460317460317,0.6788274449564773,3171,651,0.5,0.864862970277717,0.5374428955551993,0.12322188828954482,0.3655898281036214
10,train,8,2295,156,287,333,0.8557473135786389,0.6809815950920245,0.5370967741935484,0.6005410279531109,0.06364749082007344,0.7367246416867375,3071,620,0.5,0.9025934115107723,0.6632460478170015,0.10057392267475153,0.3106779945046142
10,train,9,2530,246,234,386,0.8586572438162544,0.6107594936708861,0.6225806451612903,0.6166134185303515,0.08861671469740634,0.7669819652319421,3396,620,0.5,0.8888043831923399,0.574565213978007,0.10176744815975361,0.3121456703657981
10,validation,0,750,102,105,81,0.8005780346820809,0.4426229508196721,0.43548387096774194,0.43902439024390244,0.11971830985915492,0.6578827805542935,1038,186,0.5,0.8573186430410419,0.5121103430378786,0.11134549775818978,0.3429881393107151
