split,node,engines,windows,positive,positive_fraction
train,0,21,3067,651,0.21225953700684708
train,1,21,3740,651,0.17406417112299466
train,2,21,3540,651,0.18389830508474575
train,3,21,3083,651,0.21115796302302953
train,4,21,3148,651,0.2067979669631512
train,5,21,2912,651,0.22355769230769232
train,6,21,3404,651,0.19124559341950648
train,7,21,3171,651,0.2052980132450331
train,8,20,3071,620,0.20188863562357537
train,9,20,3396,620,0.18256772673733804
validation,0,6,1038,186,0.1791907514450867
validation,1,6,866,186,0.21478060046189376
validation,2,5,832,155,0.18629807692307693
validation,3,5,900,155,0.17222222222222222
validation,4,5,806,155,0.19230769230769232
validation,5,5,672,155,0.23065476190476192
validation,6,5,890,155,0.17415730337078653
validation,7,5,810,155,0.19135802469135801
validation,8,5,883,155,0.1755379388448471
validation,9,5,790,155,0.1962025316455696
test,0,24,2492,96,0.038523274478330656
test,1,24,2501,107,0.042782886845261894
test,2,24,2360,130,0.05508474576271186
test,3,24,1830,57,0.03114754098360656
test,4,24,2076,150,0.07225433526011561
test,5,23,1868,62,0.033190578158458245
test,6,23,1865,77,0.04128686327077748
test,7,23,2069,147,0.07104881585306912
test,8,23,2578,160,0.062063615205585725
test,9,23,1945,101,0.0519280205655527
