split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,2319,97,152,499,0.918813172481252,0.837248322147651,0.7665130568356375,0.8003207698476343,0.04014900662251655,0.8631820251065605,3067,651,0.5,0.9676783552557959,0.8951856604021551,0.05891159790705261,0.19318862309390764
train,fixed,1,2884,205,125,526,0.9117647058823529,0.719562243502052,0.8079877112135176,0.7612156295224313,0.06636451926189706,0.8708115959758103,3740,651,0.5,0.9499273722375468,0.8519233733735297,0.06526468321877857,0.21370816691364866
train,fixed,2,2759,130,81,570,0.9403954802259887,0.8142857142857143,0.8755760368663594,0.843819393042191,0.04499826929733472,0.9152888837845123,3540,651,0.5,0.977573709057982,0.9131009862561732,0.0470075267305689,0.16449631184340954
train,fixed,3,2253,179,169,482,0.8871229322088875,0.7291981845688351,0.7403993855606759,0.7347560975609756,0.07360197368421052,0.8333987059382326,3083,651,0.5,0.9446006649688736,0.8325600857161969,0.0799339492693105,0.24822208798862644
train,fixed,4,2335,162,164,487,0.8964421855146124,0.7503852080123267,0.7480798771121352,0.7492307692307693,0.06487785342410893,0.8416010118440131,3148,651,0.5,0.9367462152739969,0.7669076004958882,0.08089924733872102,0.25764135357275225
train,fixed,5,2200,61,222,429,0.9028159340659341,0.8755102040816326,0.6589861751152074,0.7519719544259421,0.02697921273772667,0.8160034811887404,2912,651,0.5,0.9575986591580605,0.8842273113844668,0.07062157921332145,0.2262173296505895
train,fixed,6,2559,194,143,508,0.9009988249118684,0.7236467236467237,0.7803379416282642,0.7509238728750924,0.07046857973120232,0.854934680948531,3404,651,0.5,0.9622911020682366,0.8550605987200152,0.06406079575143042,0.20475621664236834
train,fixed,7,2386,134,146,505,0.9116997792494481,0.7902973395931142,0.7757296466973886,0.7829457364341085,0.05317460317460317,0.8612775217613927,3171,651,0.5,0.9644621827225514,0.879520570849394,0.061437977996882276,0.19865601935068003
train,fixed,8,2332,119,179,441,0.9029632041680234,0.7875,0.7112903225806452,0.747457627118644,0.0485516115871073,0.8313693554967689,3071,620,0.5,0.9549959858385649,0.851463282811597,0.06543746563685567,0.21277901290757772
train,fixed,9,2613,163,128,492,0.9143109540636042,0.751145038167939,0.7935483870967742,0.7717647058823529,0.058717579250720464,0.8674154039230269,3396,620,0.5,0.9519586083480525,0.83102140473707,0.06643439462517296,0.21827093563893407
train,val_f1,0,2285,131,109,542,0.921747636126508,0.8053491827637445,0.8325652841781874,0.8187311178247734,0.05422185430463576,0.8891717149367758,3067,651,0.41000000000000003,0.9676783552557959,0.8951856604021551,0.05891159790705261,0.19318862309390764
train,val_f1,1,2840,249,109,542,0.9042780748663102,0.6852085967130215,0.8325652841781874,0.7517337031900139,0.08060861120103593,0.8759783364885758,3740,651,0.41000000000000003,0.9499273722375468,0.8519233733735297,0.06526468321877857,0.21370816691364866
train,val_f1,2,2722,167,63,588,0.9350282485875706,0.7788079470198676,0.9032258064516129,0.8364153627311522,0.057805469020422294,0.9227101687155953,3540,651,0.41000000000000003,0.977573709057982,0.9131009862561732,0.0470075267305689,0.16449631184340954
train,val_f1,3,2179,253,120,531,0.8790139474537788,0.6772959183673469,0.815668202764977,0.7400696864111498,0.1040296052631579,0.8558192987509096,3083,651,0.41000000000000003,0.9446006649688736,0.8325600857161969,0.0799339492693105,0.24822208798862644
train,val_f1,4,2263,234,130,521,0.8843710292249047,0.6900662251655629,0.8003072196620584,0.7411095305832148,0.09371245494593512,0.8532973823580616,3148,651,0.41000000000000003,0.9367462152739969,0.7669076004958882,0.08089924733872102,0.25764135357275225
train,val_f1,5,2178,83,196,455,0.9041895604395604,0.845724907063197,0.6989247311827957,0.7653490328006728,0.0367094206103494,0.8311076552862231,2912,651,0.41000000000000003,0.9575986591580605,0.8842273113844668,0.07062157921332145,0.2262173296505895
train,val_f1,6,2510,243,118,533,0.8939482961222092,0.6868556701030928,0.8187403993855606,0.747021723896286,0.08826734471485652,0.8652365273353521,3404,651,0.41000000000000003,0.9622911020682366,0.8550605987200152,0.06406079575143042,0.20475621664236834
train,val_f1,7,2333,187,102,549,0.9088615578681803,0.7459239130434783,0.8433179723502304,0.7916366258111031,0.0742063492063492,0.8845558115719406,3171,651,0.41000000000000003,0.9644621827225514,0.879520570849394,0.061437977996882276,0.19865601935068003
