epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5100185435005431,,,,6.024042153995879e-09,7.770833576614677e-08,,0.0,6452080,20,6452080,6452080,0,28.671996902208775,28.66690964694135,7.732886578887701,0.003314959816634655,5.181664,32895,10,10,
2,0.4357086153363404,,,,6.2058287397803724e-09,7.961713777149271e-08,,0.0,6452080,20,6452080,6452080,0,23.437379765091464,23.431798495119438,2.5698125371709466,0.0033098850399255753,5.181664,32895,10,10,
3,0.4087962825984827,,,,5.94563820399685e-09,7.624882414347667e-08,,0.0,6452080,20,6452080,6452080,0,23.79848244599998,23.793421337148175,2.6635186809580773,0.00319583504460752,5.181664,32895,10,10,
4,0.3900534873952406,,,,5.9355849124642646e-09,7.591789596972376e-08,,0.0,6452080,20,6452080,6452080,0,23.719240004196763,23.71382688637823,2.5447274572215974,0.0031684699933975935,5.181664,32895,10,10,
5,0.3659080004772366,0.3217794638204901,0.8401033973412112,0.5081408557364635,6.047863099212236e-09,7.711549443456533e-08,0.0,0.0,6452080,20,6452080,6452080,0,23.180615953868255,23.176085656741634,2.585899851983413,0.0028629901353269815,5.181664,32895,10,10,
6,0.3555486651134555,,,,5.974433392452738e-09,7.596653261998654e-08,,0.0,6452080,20,6452080,6452080,0,24.515787451993674,24.5109310222324,2.727212685858831,0.003018076065927744,5.181664,32895,10,10,
7,0.3446916756635891,,,,6.0610365615332285e-09,7.687727077154705e-08,,0.0,6452080,20,6452080,6452080,0,24.093704083003104,24.089064483065158,2.6783587920945138,0.003038541181012988,5.181664,32895,10,10,
8,0.3408173449357714,,,,6.127035323544305e-09,7.749761721242976e-08,,0.0,6452080,20,6452080,6452080,0,23.663902023108676,23.65946586499922,2.564595222938806,0.0029004300013184547,5.181664,32895,10,10,
9,0.32654373197367387,,,,6.11852124521306e-09,7.714347560749957e-08,,0.0,6452080,20,6452080,6452080,0,23.44316755211912,23.43870077515021,2.6337530300952494,0.0029034039471298456,5.181664,32895,10,10,
10,0.31569055202550905,0.29251974184071206,0.8570901033973413,0.633175355450237,6.2606431150413755e-09,7.871036444839774e-08,0.0,0.0,6452080,20,6452080,6452080,0,22.826800195965916,22.822151007829234,2.5781131950207055,0.0030376941431313753,5.181664,32895,10,10,
11,0.3121489171470656,,,,6.122859996793295e-09,7.677903113290085e-08,,0.0,6452080,20,6452080,6452080,0,22.84558026283048,22.840518364449963,2.5623981419485062,0.0031174018513411283,5.181664,32895,10,10,
12,0.3058900009077888,,,,6.207255598411621e-09,7.759265230333767e-08,,0.0,6452080,20,6452080,6452080,0,22.669494195841253,22.664716879837215,2.427973347948864,0.003113582031801343,5.181664,32895,10,10,
13,0.3051583020188694,,,,6.318052747644742e-09,7.877694940816582e-08,,0.0,6452080,20,6452080,6452080,0,22.8723083070945,22.86746277892962,2.5022951900027692,0.0031761189457029104,5.181664,32895,10,10,
14,0.2926870559354672,,,,6.1905809367601705e-09,7.695970083432258e-08,,0.0,6452080,20,6452080,6452080,0,22.621308871079236,22.616720797028393,2.4633629280142486,0.0029126740992069244,5.181664,32895,10,10,
15,0.29005977119694326,0.27399936744168935,0.8725997045790251,0.6774696167030227,6.207873326502522e-09,7.693243730955146e-08,0.0,0.0,6452080,20,6452080,6452080,0,22.402230323059484,22.39775427780114,2.462303831940517,0.0029104058630764484,5.181664,32895,10,10,
16,0.2858508904323588,,,,6.035740796050959e-09,7.456861084165212e-08,,0.0,6452080,20,6452080,6452080,0,24.522022363962606,24.51431306800805,2.989248953992501,0.0050252380315214396,5.181664,32895,10,10,
17,0.29831783459703287,,,,6.257533602394005e-09,7.707606641815801e-08,,0.0,6452080,20,6452080,6452080,0,23.208566518034786,23.203963896259665,2.7042542591225356,0.003015032969415188,5.181664,32895,10,10,
18,0.2831771384788266,,,,6.1536615802992856e-09,7.561766324215569e-08,,0.0,6452080,20,6452080,6452080,0,22.977143445052207,22.97192846192047,2.6349793830886483,0.0032899430952966213,5.181664,32895,10,10,
19,0.2904375972666981,,,,6.317315115467181e-09,7.740532481648188e-08,,0.0,6452080,20,6452080,6452080,0,22.736655429005623,22.731909490190446,2.511811285978183,0.003142627887427807,5.181664,32895,10,10,
20,0.2782751883755686,0.26033391722542487,0.8834318069916297,0.6936266580394694,6.289040843654448e-09,7.679359725898394e-08,0.0,0.0,6452080,20,6452080,6452080,0,21.946752204094082,21.942434649914503,2.4689881149679422,0.002774846972897649,5.181664,32895,10,10,
21,0.2701629323781076,,,,6.15933570813354e-09,7.496683451790886e-08,,0.0,6452080,20,6452080,6452080,0,22.801856457954273,22.797148525249213,2.4931222801096737,0.0031034620478749275,5.181664,32895,10,10,
22,0.2752269056821074,,,,6.3062168820238185e-09,7.659039624741126e-08,,0.0,6452080,20,6452080,6452080,0,23.206193374004215,23.20107677206397,2.98543327790685,0.0029542390257120132,5.181664,32895,10,10,
23,0.28170542340414395,,,,6.427637977424183e-09,7.776611710141879e-08,,0.0,6452080,20,6452080,6452080,0,22.773094484116882,22.768380044260994,2.551386933075264,0.0030845629516988993,5.181664,32895,10,10,
