split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,2625,180,149,502,0.9048032407407407,0.7360703812316716,0.7711213517665131,0.7531882970742686,0.06417112299465241,0.8534751143859303,3456,651,0.5,0.954816530717859,0.8246951050594886,0.06804226745425526,0.21916850977952132
train,fixed,1,2756,71,103,548,0.9499712478435882,0.8852988691437803,0.8417818740399385,0.862992125984252,0.025114962858153518,0.9083334555908925,3478,651,0.5,0.9793232582237226,0.9397719802750959,0.04132579971451485,0.14971036226460954
train,fixed,2,2831,120,173,478,0.9186563020544142,0.7993311036789298,0.7342549923195084,0.7654123298638911,0.04066418163334463,0.846795405343082,3602,651,0.5,0.9631221887865345,0.8762722056381911,0.05659325948285254,0.1878804355063945
train,fixed,3,2563,218,124,527,0.9003496503496503,0.7073825503355705,0.8095238095238095,0.7550143266475645,0.07838906868033081,0.8655673704217394,3432,651,0.5,0.9491712194499541,0.7782391866362278,0.07489889256195774,0.23845156863854852
train,fixed,4,2415,83,185,466,0.9148936170212766,0.848816029143898,0.7158218125960062,0.7766666666666666,0.03322658126501201,0.8412976156654971,3149,651,0.5,0.9641267545526437,0.8926676745736666,0.058847894393184476,0.19391195974142358
train,fixed,5,2658,93,193,458,0.9159318048206937,0.8312159709618875,0.7035330261136713,0.762063227953411,0.03380588876772083,0.8348635686729753,3402,651,0.5,0.9524965366594803,0.8525916911586728,0.063231882171697,0.20925610052407118
train,fixed,6,2199,136,160,491,0.9008707300736771,0.7830940988835726,0.7542242703533026,0.7683881064162754,0.058244111349036405,0.8479900795021331,2986,651,0.5,0.9531045961245588,0.848451850561829,0.07212237145131481,0.2274356238936242
train,fixed,7,2430,99,146,505,0.9229559748427673,0.8360927152317881,0.7757296466973886,0.8047808764940239,0.03914590747330961,0.8682918696120395,3180,651,0.5,0.9552223394491791,0.8638615017314507,0.06271784067517486,0.21284055587821651
train,fixed,8,2551,129,156,464,0.9136363636363637,0.7824620573355818,0.7483870967741936,0.765045342126958,0.04813432835820895,0.8501263842079922,3300,620,0.5,0.9625114347616756,0.8622735704489374,0.06113829585125457,0.19540685807689223
train,fixed,9,2214,76,178,442,0.9127147766323024,0.8532818532818532,0.7129032258064516,0.7768014059753954,0.03318777292576419,0.8398577264403437,2910,620,0.5,0.9639061839695733,0.8947805705425047,0.062153743470679285,0.20025456305340728
train,val_f1,0,2610,195,126,525,0.9071180555555556,0.7291666666666666,0.8064516129032258,0.7658643326039387,0.06951871657754011,0.8684664481628428,3456,651,0.44,0.954816530717859,0.8246951050594886,0.06804226745425526,0.21916850977952132
train,val_f1,1,2733,94,84,567,0.948821161587119,0.8577912254160364,0.8709677419354839,0.864329268292683,0.033250795896710296,0.9188584730193867,3478,651,0.44,0.9793232582237226,0.9397719802750959,0.04132579971451485,0.14971036226460954
train,val_f1,2,2801,150,146,505,0.917823431426985,0.7709923664122137,0.7757296466973886,0.7733537519142419,0.05083022704168079,0.8624497098278538,3602,651,0.44,0.9631221887865345,0.8762722056381911,0.05659325948285254,0.1878804355063945
train,val_f1,3,2535,246,109,542,0.8965617715617715,0.6878172588832487,0.8325652841781874,0.7533009034051424,0.08845738942826321,0.8720539473749621,3432,651,0.44,0.9491712194499541,0.7782391866362278,0.07489889256195774,0.23845156863854852
train,val_f1,4,2404,94,154,497,0.9212448396316291,0.8409475465313029,0.7634408602150538,0.8003220611916264,0.03763010408326661,0.8629053780658935,3149,651,0.44,0.9641267545526437,0.8926676745736666,0.058847894393184476,0.19391195974142358
train,val_f1,5,2627,124,176,475,0.9118165784832452,0.7929883138564274,0.7296466973886329,0.76,0.04507451835696111,0.842286089515836,3402,651,0.44,0.9524965366594803,0.8525916911586728,0.063231882171697,0.20925610052407118
train,val_f1,6,2182,153,142,509,0.9012056262558606,0.7688821752265861,0.7818740399385561,0.7753236862147753,0.06552462526766595,0.8581747073354451,2986,651,0.44,0.9531045961245588,0.848451850561829,0.07212237145131481,0.2274356238936242
train,val_f1,7,2407,122,129,522,0.9210691823899371,0.8105590062111802,0.8018433179723502,0.8061776061776061,0.048240411229735075,0.8768014533713075,3180,651,0.44,0.9552223394491791,0.8638615017314507,0.06271784067517486,0.21284055587821651
train,val_f1,8,2530,150,132,488,0.9145454545454546,0.7648902821316614,0.7870967741935484,0.7758346581875993,0.055970149253731345,0.8655633124699085,3300,620,0.44,0.9625114347616756,0.8622735704489374,0.06113829585125457,0.19540685807689223
train,val_f1,9,2193,97,162,458,0.9109965635738831,0.8252252252252252,0.7387096774193549,0.7795744680851063,0.042358078602620086,0.8481757994083674,2910,620,0.44,0.9639061839695733,0.8947805705425047,0.062153743470679285,0.20025456305340728
train,val_fpr02,0,2719,86,278,373,0.8946759259259259,0.8126361655773421,0.5729646697388633,0.6720720720720721,0.030659536541889482,0.7711525665984869,3456,651,0.8,0.954816530717859,0.8246951050594886,0.06804226745425526,0.21916850977952132
train,val_fpr02,1,2825,2,304,347,0.9120184013801035,0.994269340974212,0.533026113671275,0.694,0.0007074637424831977,0.7661593249643959,3478,651,0.8,0.9793232582237226,0.9397719802750959,0.04132579971451485,0.14971036226460954
train,val_fpr02,2,2936,15,346,305,0.8997779011660189,0.953125,0.4685099846390169,0.6282183316168898,0.005083022704168078,0.7317134809674244,3602,651,0.8,0.9631221887865345,0.8762722056381911,0.05659325948285254,0.1878804355063945
train,val_fpr02,3,2689,92,321,330,0.8796620046620046,0.7819905213270142,0.5069124423963134,0.6150978564771669,0.03308162531463502,0.7369154085408391,3432,651,0.8,0.9491712194499541,0.7782391866362278,0.07489889256195774,0.23845156863854852
train,val_fpr02,4,2487,11,345,306,0.8869482375357256,0.9652996845425867,0.4700460829493088,0.6322314049586777,0.004403522818254604,0.732821280065527,3149,651,0.8,0.9641267545526437,0.8926676745736666,0.058847894393184476,0.19391195974142358
train,val_fpr02,5,2720,31,342,309,0.8903586125808348,0.9088235294117647,0.47465437788018433,0.6236125126135217,0.011268629589240277,0.731692874145472,3402,651,0.8,0.9524965366594803,0.8525916911586728,0.063231882171697,0.20925610052407118
