epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5166134529015637,,,,0.0010276439134031534,0.013252721168100834,,1.4417721033096313,6452080,20,6452080,6452080,0,28.859657919965684,28.85144983511418,7.915581479901448,0.005719653097912669,0.5261664,32892,10,10,0.8726779962499653
2,0.4618726464597042,,,,0.0017549676122143865,0.0225614532828331,,2.419753313064575,6452080,20,6452080,6452080,0,23.41487889108248,23.40737700392492,2.5353973179589957,0.005555606912821531,0.5261664,32892,10,10,0.8726779962499653
3,0.4119939125068564,,,,0.0018422516295686364,0.023648247122764587,,2.2393949031829834,6452080,20,6452080,6452080,0,23.980106720002368,23.970844599884003,2.781502752099186,0.006554475985467434,0.5261664,32892,10,10,0.8726779962499653
4,0.42623450745678354,,,,0.0020794346928596497,0.02666780725121498,,2.0872814655303955,6452080,20,6452080,6452080,0,23.588137455051765,23.58123257011175,2.567183209117502,0.005032106069847941,0.5261664,32892,10,10,0.8726779962499653
5,0.38085800085798616,0.3514399272246685,0.8233050326073582,0.46656760772659733,0.0023698173463344574,0.030309883877635002,0.0626068376068376,2.2843048572540283,6452080,20,6452080,6452080,0,22.98404614906758,22.977841183776036,2.4990177049767226,0.004548430908471346,0.5261664,32892,10,10,0.8726779962499653
6,0.3877406777014859,,,,0.0024220759514719248,0.030930571258068085,,2.5965805053710938,6452080,20,6452080,6452080,0,24.677338571986184,24.670930200023577,2.6659065748099238,0.004709785105660558,0.5261664,32892,10,10,0.8726779962499653
7,0.36200183459102186,,,,0.0027480872813612223,0.0350063294172287,,2.563873291015625,6452080,20,6452080,6452080,0,24.20194280706346,24.195597684942186,2.5753746149130166,0.004683513892814517,0.5261664,32892,10,10,0.8726779962499653
8,0.3622546016649193,,,,0.0030106876511126757,0.03827087581157684,,2.625495672225952,6452080,20,6452080,6452080,0,23.76974914385937,23.763725790427998,2.5270123439840972,0.004412045935168862,0.5261664,32892,10,10,0.8726779962499653
9,0.35313967747678726,,,,0.0031296717934310436,0.039680834859609604,,2.522239923477173,6452080,20,6452080,6452080,0,23.55038929102011,23.543746686307713,2.5031062960624695,0.004960034973919392,0.5261664,32892,10,10,0.8726779962499653
10,0.3404339814823295,0.3166277651056468,0.8533284114679464,0.5787985865724382,0.0034730497281998396,0.0439208447933197,0.05737179487179487,3.002176523208618,6452080,20,6452080,6452080,0,22.89727255399339,22.890927704283968,2.387282666983083,0.00472865579649806,0.5261664,32892,10,10,0.8726779962499653
11,0.3339635503259261,,,,0.0035634099040180445,0.044960666447877884,,2.9692554473876953,6452080,20,6452080,6452080,0,22.752277605002746,22.746178509201854,2.4084220689255744,0.00451387302018702,0.5261664,32892,10,10,0.8726779962499653
12,0.3210911721201282,,,,0.0037519545294344425,0.047236669808626175,,2.96256160736084,6452080,20,6452080,6452080,0,22.829984450014308,22.823776609962806,2.4951157770119607,0.004599737003445625,0.5261664,32892,10,10,0.8726779962499653
13,0.30171382917662504,,,,0.004029417410492897,0.050615694373846054,,3.0858449935913086,6452080,20,6452080,6452080,0,22.866163260070607,22.85965641704388,2.4362963680177927,0.00457371398806572,0.5261664,32892,10,10,0.8726779962499653
14,0.30899086058212777,,,,0.00416985061019659,0.05226374417543411,,3.10577654838562,6452080,20,6452080,6452080,0,22.653539109043777,22.647489694179967,2.397474190220237,0.004477332113310695,0.5261664,32892,10,10,0.8726779962499653
15,0.3033020643506668,0.29635371479094447,0.8679709609942168,0.6316512186749056,0.004447608720511198,0.05559355765581131,0.056463675213675214,3.1086344718933105,6452080,20,6452080,6452080,0,22.477910884888843,22.47180505259894,2.362014951882884,0.004530332051217556,0.5261664,32892,10,10,0.8726779962499653
16,0.2959834766104873,,,,0.004581891465932131,0.05716169998049736,,3.209778308868408,6452080,20,6452080,6452080,0,23.080972681054845,23.07485184399411,2.4480771070811898,0.004474590066820383,0.5261664,32892,10,10,0.8726779962499653
17,0.3027974912627749,,,,0.004724296275526285,0.05880729854106903,,2.9127304553985596,6452080,20,6452080,6452080,0,23.037531365873292,23.031044367002323,2.452210359973833,0.004741424927487969,0.5261664,32892,10,10,0.8726779962499653
18,0.28568835481132326,,,,0.005087041296064854,0.06311145424842834,,3.225799798965454,6452080,20,6452080,6452080,0,23.01316291699186,23.006654502591118,2.4814791129902005,0.004765199963003397,0.5261664,32892,10,10,0.8726779962499653
19,0.28967490525375456,,,,0.004990088287740946,0.06177115812897682,,3.2401301860809326,6452080,20,6452080,6452080,0,22.66674593393691,22.660658489447087,2.4668357090558857,0.00446019321680069,0.5261664,32892,10,10,0.8726779962499653
20,0.28731551342712314,0.25996798490959816,0.886427956195398,0.7025459233000322,0.005052301567047834,0.06239902228116989,0.0375,3.3732290267944336,6452080,20,6452080,6452080,0,22.429191580973566,22.42349772504531,2.406353344209492,0.004133869893848896,0.5261664,32892,10,10,0.8726779962499653
21,0.2743942416908018,,,,0.005170147400349379,0.06367436796426773,,3.1524362564086914,6452080,20,6452080,6452080,0,22.842916333815083,22.836189597845078,2.486626415979117,0.004734542919322848,0.5261664,32892,10,10,0.8726779962499653
22,0.2840848139378255,,,,0.005289904307574034,0.06496146321296692,,3.4016292095184326,6452080,20,6452080,6452080,0,22.326256003929302,22.320042480016127,2.343343922169879,0.004558450076729059,0.5261664,32892,10,10,0.8726779962499653
23,0.27564491525600815,,,,0.005312254652380943,0.06511873006820679,,3.2694027423858643,6452080,20,6452080,6452080,0,23.019947193097323,23.01350216800347,2.424161511939019,0.004476319067180157,0.5261664,32892,10,10,0.8726779962499653
24,0.25926903314662153,,,,0.00556740490719676,0.06800592690706253,,3.3675339221954346,6452080,20,6452080,6452080,0,22.607440791791305,22.601003121817484,2.425914301071316,0.00470729498192668,0.5261664,32892,10,10,0.8726779962499653
25,0.26907656826418275,0.2522438943663738,0.8887658422542144,0.7117346938775511,0.005572962574660778,0.06791234761476517,0.02954059829059829,3.168694257736206,6452080,20,6452080,6452080,0,22.645541133824736,22.639729033224285,2.438049762044102,0.004252312937751412,0.5261664,32892,10,10,0.8726779962499653
26,0.2618619642791986,,,,0.005694346036761999,0.06919198483228683,,3.090456962585449,6452080,20,6452080,6452080,0,22.934525601100177,22.92833370831795,2.4647492580115795,0.004484210861846805,0.5261664,32892,10,10,0.8726779962499653
27,0.2618236395781488,,,,0.00574449310079217,0.06963720172643661,,3.30361270904541,6452080,20,6452080,6452080,0,23.01141153718345,23.005267350235954,2.4657827091868967,0.004513251828029752,0.5261664,32892,10,10,0.8726779962499653
28,0.2600286385311777,,,,0.00588804017752409,0.07115087658166885,,3.3284788131713867,6452080,20,6452080,6452080,0,22.689615203998983,22.683581473771483,2.4371320619247854,0.004434286849573255,0.5261664,32892,10,10,0.8726779962499653
29,0.26364924870143913,,,,0.005904149729758501,0.07116658985614777,,3.30344295501709,6452080,20,6452080,6452080,0,22.967760059051216,22.961760787293315,2.4994368930347264,0.004391165915876627,0.5261664,32892,10,10,0.8726779962499653
30,0.2606907499630816,0.24890313583195173,0.8940568475452196,0.7198177676537585,0.006005263887345791,0.0721413791179657,0.03226495726495727,3.306103467941284,6452080,20,6452080,6452080,0,22.119053668808192,22.112958152778447,2.348297036020085,0.0044173430651426315,0.5261664,32892,10,10,0.8726779962499653
31,0.2432663347530862,,,,0.006196781061589718,0.07420779764652252,,3.564120054244995,6452080,20,6452080,6452080,0,22.812417659908533,22.80536569422111,2.436848958954215,0.004648595117032528,0.5261664,32892,10,10,0.8726779962499653
