split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,2491,112,134,517,0.9244007375537799,0.821939586645469,0.794162826420891,0.8078125,0.043027276219746446,0.8755677751005723,3254,651,0.5,0.9677088884207222,0.8892476732721648,0.05844153530528305,0.18758405535798978
train,fixed,1,2282,125,112,539,0.9224983649444081,0.8117469879518072,0.8279569892473119,0.8197718631178708,0.0519318653926049,0.8880125619273536,3058,651,0.5,0.970579282009653,0.8957714663689211,0.05625243311934931,0.18915653571059424
train,fixed,2,2371,132,147,504,0.9115409004438808,0.7924528301886793,0.7741935483870968,0.7832167832167832,0.052736715940870954,0.8607284162231129,3154,651,0.5,0.9564037747636783,0.8761391288640553,0.06563201721054054,0.2148195688977829
train,fixed,3,2484,145,165,486,0.9054878048780488,0.7702060221870047,0.7465437788018433,0.7581903276131046,0.055154050969950554,0.8456948639159464,3280,651,0.5,0.9513117017503574,0.8526935975688259,0.06711722779373158,0.21695391454395832
train,fixed,4,2662,156,198,453,0.8979533006630153,0.7438423645320197,0.695852534562212,0.719047619047619,0.05535841022001419,0.8202470621710989,3469,651,0.5,0.9466284877008566,0.8050721752017869,0.07303181134442749,0.22843254091318946
train,fixed,5,2592,110,177,474,0.9144050104384134,0.8116438356164384,0.728110599078341,0.7676113360323886,0.04071058475203553,0.8437000071631527,3353,651,0.5,0.9682052663953763,0.8963428681847881,0.0562477392791697,0.1771788159896913
train,fixed,6,2616,62,190,461,0.9243015920696906,0.8814531548757171,0.7081413210445469,0.7853492333901193,0.02315160567587752,0.8424948576843347,3329,651,0.5,0.9610015728086508,0.8906265042362326,0.05640733848009762,0.1887137428139339
train,fixed,7,2712,142,194,457,0.9041369472182597,0.7629382303839732,0.7019969278033794,0.7312,0.049754730203223546,0.826121098800078,3505,651,0.5,0.9506607806221253,0.8514270152835326,0.06636219488873871,0.2148914153043334
train,fixed,8,2831,44,181,439,0.9356223175965666,0.9089026915113871,0.7080645161290322,0.7960108794197642,0.015304347826086957,0.8463800841514726,3495,620,0.5,0.9651102384291725,0.9003769217855061,0.04831738660224014,0.16879719579011113
train,fixed,9,2343,32,223,397,0.9148580968280468,0.9254079254079254,0.6403225806451613,0.7569113441372736,0.013473684210526317,0.8134244482173175,2995,620,0.5,0.9791320882852292,0.9202405688470401,0.055603977149729616,0.17383395265447182
train,val_f1,0,2378,225,79,572,0.9065765212046711,0.7176913425345044,0.8786482334869432,0.7900552486187845,0.08643872454859777,0.8961047544691727,3254,651,0.33,0.9677088884207222,0.8892476732721648,0.05844153530528305,0.18758405535798978
train,val_f1,1,2172,235,48,603,0.9074558534990189,0.7195704057279236,0.9262672811059908,0.8099395567494964,0.09763190693809722,0.9143176870839468,3058,651,0.33,0.970579282009653,0.8957714663689211,0.05625243311934931,0.18915653571059424
train,val_f1,2,2230,273,107,544,0.8795180722891566,0.6658506731946144,0.8356374807987711,0.7411444141689373,0.10906911705952857,0.8632841818696213,3154,651,0.33,0.9564037747636783,0.8761391288640553,0.06563201721054054,0.2148195688977829
train,val_f1,3,2370,259,95,556,0.8920731707317073,0.6822085889570552,0.8540706605222734,0.7585266030013642,0.09851654621529099,0.8777770571534913,3280,651,0.33,0.9513117017503574,0.8526935975688259,0.06711722779373158,0.21695391454395832
train,val_f1,4,2576,242,127,524,0.8936292879792448,0.6840731070496083,0.804915514592934,0.739590684544813,0.0858765081618169,0.8595195032155585,3469,651,0.33,0.9466284877008566,0.8050721752017869,0.07303181134442749,0.22843254091318946
train,val_f1,5,2527,175,121,530,0.9117208470026842,0.75177304964539,0.8141321044546851,0.7817109144542773,0.06476683937823834,0.8746826325382233,3353,651,0.33,0.9682052663953763,0.8963428681847881,0.0562477392791697,0.1771788159896913
train,val_f1,6,2545,133,119,532,0.9243015920696906,0.8,0.8172043010752689,0.8085106382978723,0.049663928304705,0.8837701863852819,3329,651,0.33,0.9610015728086508,0.8906265042362326,0.05640733848009762,0.1887137428139339
train,val_f1,7,2676,178,158,493,0.9041369472182597,0.7347242921013413,0.7572964669738863,0.745839636913767,0.06236860546601261,0.8474639307539369,3505,651,0.33,0.9506607806221253,0.8514270152835326,0.06636219488873871,0.2148914153043334
train,val_f1,8,2784,91,128,492,0.9373390557939915,0.8439108061749572,0.7935483870967742,0.8179551122194514,0.03165217391304348,0.8809481065918654,3495,620,0.33,0.9651102384291725,0.9003769217855061,0.04831738660224014,0.16879719579011113
train,val_f1,9,2313,62,141,479,0.932220367278798,0.8853974121996303,0.7725806451612903,0.8251507321274764,0.026105263157894736,0.8732376910016978,2995,620,0.33,0.9791320882852292,0.9202405688470401,0.055603977149729616,0.17383395265447182
train,val_fpr02,0,2522,81,207,444,0.9114935464044254,0.8457142857142858,0.6820276497695853,0.7551020408163265,0.0311179408374952,0.825454854466045,3254,651,0.7100000000000001,0.9677088884207222,0.8892476732721648,0.05844153530528305,0.18758405535798978
train,val_fpr02,1,2366,41,219,432,0.9149771092217135,0.9133192389006343,0.663594470046083,0.7686832740213523,0.01703365184877441,0.8232804090986543,3058,651,0.7100000000000001,0.970579282009653,0.8957714663689211,0.05625243311934931,0.18915653571059424
train,val_fpr02,2,2457,46,227,424,0.913443246670894,0.902127659574468,0.6513056835637481,0.7564674397859055,0.018377946464242907,0.8164638685497525,3154,651,0.7100000000000001,0.9564037747636783,0.8761391288640553,0.06563201721054054,0.2148195688977829
train,val_fpr02,3,2569,60,260,391,0.9024390243902439,0.8669623059866962,0.6006144393241167,0.7096188747731398,0.022822365918600228,0.7888960367027582,3280,651,0.7100000000000001,0.9513117017503574,0.8526935975688259,0.06711722779373158,0.21695391454395832
train,val_fpr02,4,2730,88,300,351,0.8881522052464688,0.7995444191343963,0.5391705069124424,0.6440366972477064,0.031227821149751596,0.7539713428813454,3469,651,0.7100000000000001,0.9466284877008566,0.8050721752017869,0.07303181134442749,0.22843254091318946
train,val_fpr02,5,2654,48,235,416,0.9155979719654042,0.896551724137931,0.6390168970814132,0.7461883408071749,0.01776461880088823,0.8106261391402625,3353,651,0.7100000000000001,0.9682052663953763,0.8963428681847881,0.0562477392791697,0.1771788159896913
train,val_fpr02,6,2658,20,304,347,0.9026734755181737,0.9455040871934605,0.533026113671275,0.6817288801571709,0.0074682598954443615,0.7627789268879153,3329,651,0.7100000000000001,0.9610015728086508,0.8906265042362326,0.05640733848009762,0.1887137428139339
train,val_fpr02,7,2778,76,244,407,0.9087018544935807,0.8426501035196687,0.6251920122887865,0.7178130511463845,0.026629292221443588,0.7992813600336715,3505,651,0.7100000000000001,0.9506607806221253,0.8514270152835326,0.06636219488873871,0.2148914153043334
train,val_fpr02,8,2856,19,243,377,0.925035765379113,0.952020202020202,0.6080645161290322,0.7421259842519685,0.006608695652173913,0.8007279102384292,3495,620,0.7100000000000001,0.9651102384291725,0.9003769217855061,0.04831738660224014,0.16879719579011113
train,val_fpr02,9,2360,15,288,332,0.8988313856427379,0.9567723342939481,0.535483870967742,0.6866597724922441,0.00631578947368421,0.7645840407470289,2995,620,0.7100000000000001,0.9791320882852292,0.9202405688470401,0.055603977149729616,0.17383395265447182
validation,fixed,0,807,39,48,138,0.9156976744186046,0.7796610169491526,0.7419354838709677,0.7603305785123967,0.04609929078014184,0.847918096545413,1032,186,0.5,0.9662993467042884,0.832179085780356,0.061626590856969025,0.1941740343678336
validation,fixed,1,646,0,32,154,0.9615384615384616,1.0,0.8279569892473119,0.9058823529411765,0.0,0.913978494623656,832,186,0.5,0.9941908851825959,0.982843826362454,0.03600356966050396,0.13592437002325036
