epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.523181181028163,,,,0.0008284641080535948,0.010688192211091518,,1.2606652975082397,6452080,20,6452080,6452080,0,28.6247524630744,28.616493625100702,7.825739809079096,0.0058052861131727695,0.5261664,32532,10,10,0.8726779962499653
2,0.4673549564992857,,,,0.0018892909865826368,0.024273082613945007,,2.5475680828094482,6452080,20,6452080,6452080,0,23.25421464908868,23.24741643690504,2.704400691902265,0.004951380891725421,0.5261664,32532,10,10,0.8726779962499653
3,0.4290648374374208,,,,0.002077663317322731,0.026645582169294357,,1.8355908393859863,6452080,20,6452080,6452080,0,24.15848038205877,24.15132155548781,2.7609538740944117,0.004680637968704104,0.5261664,32532,10,10,0.8726779962499653
4,0.4025187430377833,,,,0.002240600064396858,0.028682468459010124,,1.9130791425704956,6452080,20,6452080,6452080,0,25.089178608963266,25.08245304157026,3.942150810966268,0.004851179895922542,0.5261664,32532,10,10,0.8726779962499653
5,0.37977228170171295,0.3392316141872891,0.8335100742311771,0.4563293574451712,0.002411916619166732,0.030800171196460724,0.03376068376068376,2.044757843017578,6452080,20,6452080,6452080,0,22.641843606950715,22.635945576243103,2.606983861885965,0.004386108135804534,0.5261664,32532,10,10,0.8726779962499653
6,0.3715454294298115,,,,0.002732163993641734,0.034804943948984146,,2.3708720207214355,6452080,20,6452080,6452080,0,25.411486957222223,25.40495610423386,3.4807373201474547,0.004731402033939958,0.5261664,32532,10,10,0.8726779962499653
7,0.34205634497352416,,,,0.0031386942137032747,0.039868053048849106,,2.6452414989471436,6452080,20,6452080,6452080,0,23.75568669103086,23.74905539606698,2.7569390540011227,0.0044620169792324305,0.5261664,32532,10,10,0.8726779962499653
8,0.3590306928329329,,,,0.0032998635433614254,0.041811440140008926,,2.3808765411376953,6452080,20,6452080,6452080,0,23.334716635057703,23.327605487778783,2.7122865840792656,0.004792884923517704,0.5261664,32532,10,10,0.8726779962499653
9,0.34304008362231925,,,,0.0035236673429608345,0.044541291892528534,,2.795794725418091,6452080,20,6452080,6452080,0,23.330322216032073,23.323852628702298,2.6445110861677676,0.004752028034999967,0.5261664,32532,10,10,0.8726779962499653
10,0.33282818596558145,0.31072487249676256,0.8376340285141982,0.5801340645947592,0.0038890191353857517,0.04903460294008255,0.0406517094017094,2.7032690048217773,6452080,20,6452080,6452080,0,23.187375789042562,23.18106710864231,2.708173262886703,0.004486139165237546,0.5261664,32532,10,10,0.8726779962499653
11,0.33059401159867324,,,,0.004238020163029432,0.05328408628702164,,2.7248764038085938,6452080,20,6452080,6452080,0,22.53842311911285,22.532293503172696,2.627101624151692,0.004471513908356428,0.5261664,32532,10,10,0.8726779962499653
12,0.32391889036715155,,,,0.004548392258584499,0.057027172297239304,,3.1051242351531982,6452080,20,6452080,6452080,0,22.402023013215512,22.395330826053396,2.6233624038286507,0.0044647748582065105,0.5261664,32532,10,10,0.8726779962499653
13,0.31054410924997805,,,,0.004699516575783491,0.05877437815070152,,3.063220977783203,6452080,20,6452080,6452080,0,22.538596847793087,22.532172814244404,2.6327136589679867,0.004740716889500618,0.5261664,32532,10,10,0.8726779962499653
14,0.3090876008425072,,,,0.0048427521251142025,0.06043051928281784,,2.8583128452301025,6452080,20,6452080,6452080,0,22.20300507778302,22.195330023067072,2.5899637080729008,0.00493612396530807,0.5261664,32532,10,10,0.8726779962499653
15,0.30337145650006564,0.29522324924004084,0.8621420996818664,0.6216041397153945,0.0049766795709729195,0.06193683668971062,0.05,2.89947509765625,6452080,20,6452080,6452080,0,22.039726240793243,22.03345018182881,2.5837291521020234,0.004499427974224091,0.5261664,32532,10,10,0.8726779962499653
16,0.3010792488476556,,,,0.004962571896612644,0.06162548065185547,,2.982056140899658,6452080,20,6452080,6452080,0,22.67260247003287,22.66661114594899,2.651463018031791,0.0043378048576414585,0.5261664,32532,10,10,0.8726779962499653
