epoch,split,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
5,train,0,2353,63,524,127,0.8086077600260841,0.6684210526315789,0.19508448540706605,0.30202140309155767,0.026076158940397352,0.5845041632333343,3067,651,0.5,0.8907704397717217,0.629082332403497,0.1285734839451635,0.3925960078991288
5,train,1,2916,173,340,311,0.8628342245989304,0.6425619834710744,0.47772657450076805,0.5480176211453744,0.05600517966979605,0.7108606974154861,3740,651,0.5,0.888247729045983,0.6022976556262354,0.09786333441371663,0.30741534673538917
5,train,2,2800,89,447,204,0.848587570621469,0.6962457337883959,0.31336405529953915,0.4322033898305085,0.03080650744202146,0.6412787739287589,3540,651,0.5,0.903905858282303,0.6309175927821944,0.10408434303197939,0.31628686908103
5,train,3,2412,20,437,214,0.8517677586766137,0.9145299145299145,0.32872503840245776,0.48361581920903957,0.008223684210526315,0.6602506770959657,3083,651,0.5,0.9215124504810414,0.7766073848070034,0.10452720791490172,0.3238153380395381
5,train,4,2413,84,385,266,0.8510165184243964,0.76,0.40860215053763443,0.5314685314685315,0.03364036844213056,0.6874808910477519,3148,651,0.5,0.8988494334522472,0.6859846386165493,0.10907772857647856,0.329728994984151
5,train,5,2231,30,544,107,0.8028846153846154,0.781021897810219,0.16436251920122888,0.2715736040609137,0.013268465280849183,0.5755470269601899,2912,651,0.5,0.9116814807417025,0.71451501740795,0.11836554152620694,0.3507745845332463
5,train,6,2720,33,448,203,0.8586956521739131,0.8601694915254238,0.3118279569892473,0.4577226606538895,0.01198692335633854,0.6499205168164544,3404,651,0.5,0.8925350532277873,0.6923891860422204,0.10469678054076932,0.3313924000660438
5,train,7,2316,204,450,201,0.793755912961211,0.4962962962962963,0.3087557603686636,0.3806818181818182,0.08095238095238096,0.6139016897081413,3171,651,0.5,0.8549563553019774,0.5132458525505945,0.12115014060726033,0.36396095827404573
5,train,8,2331,120,427,193,0.8218821230869424,0.6166134185303515,0.31129032258064515,0.4137191854233655,0.04895960832313342,0.6311653571287559,3071,620,0.5,0.8916340927337097,0.6314188199811894,0.10708588825236841,0.3265165465490441
5,train,9,2509,267,265,355,0.8433451118963486,0.5707395498392283,0.5725806451612904,0.571658615136876,0.09618155619596541,0.7381995444826625,3396,620,0.5,0.8745677233429395,0.5504779322581603,0.10708176789770797,0.32679624973849675
5,validation,0,775,77,146,40,0.7851637764932563,0.3418803418803419,0.21505376344086022,0.264026402640264,0.0903755868544601,0.5623390882932,1038,186,0.5,0.8470455348578929,0.5054915953949377,0.11901267345632437,0.359975157090271
5,validation,1,648,32,147,39,0.7933025404157044,0.5492957746478874,0.20967741935483872,0.3035019455252918,0.047058823529411764,0.5813092979127135,866,186,0.5,0.8677656546489564,0.5754724175351263,0.1607667082251763,0.49933574178560014
5,validation,2,663,14,123,32,0.8353365384615384,0.6956521739130435,0.2064516129032258,0.31840796019900497,0.0206794682422452,0.5928860723304903,832,155,0.5,0.8839948539572116,0.6537328312709254,0.10475044679626004,0.3419873151617171
5,validation,3,716,29,61,94,0.9,0.7642276422764228,0.6064516129032258,0.6762589928057554,0.038926174496644296,0.7837627192032908,900,155,0.5,0.9652825286858627,0.8325402274393957,0.0673292049427825,0.22145186775704007
5,validation,4,593,58,93,62,0.8126550868486352,0.5166666666666667,0.4,0.4509090909090909,0.0890937019969278,0.6554531490015361,806,155,0.5,0.8190773499826569,0.6155669261702736,0.12824390234823574,0.3999881570158592
5,validation,5,513,4,124,31,0.8095238095238095,0.8857142857142857,0.2,0.3263157894736842,0.007736943907156673,0.5961315280464217,672,155,0.5,0.9106382978723405,0.7363643813745117,0.12184058519942788,0.3588127794465606
5,validation,6,721,14,80,75,0.8943820224719101,0.8426966292134831,0.4838709677419355,0.6147540983606558,0.01904761904761905,0.7324116743471583,890,155,0.5,0.9418301514154048,0.7755733430204126,0.08856503209111276,0.2955766753639665
5,validation,7,578,77,112,43,0.7666666666666667,0.35833333333333334,0.27741935483870966,0.31272727272727274,0.11755725190839694,0.5799310514651563,810,155,0.5,0.8226052696380203,0.5139029065985803,0.1291640075518959,0.38278232251203886
5,validation,8,666,62,80,75,0.8391845979614949,0.5474452554744526,0.4838709677419355,0.5136986301369864,0.08516483516483517,0.6993530662885501,883,155,0.5,0.8975895072669267,0.5969605970182275,0.09889182838306866,0.3049396630267513
5,validation,9,608,27,53,102,0.8987341772151899,0.7906976744186046,0.6580645161290323,0.7183098591549296,0.04251968503937008,0.8077724155448311,790,155,0.5,0.9608432816865634,0.817659029938021,0.07307170458319696,0.23195991121700302
10,train,0,2344,72,410,241,0.8428431692207369,0.7699680511182109,0.37019969278033793,0.5,0.029801324503311258,0.6701991841385133,3067,651,0.5,0.9154204941963968,0.7088517714603823,0.10238990115325959,0.3115236579796427
10,train,1,2742,347,186,465,0.8574866310160428,0.5726600985221675,0.7142857142857143,0.6356801093643198,0.11233408870184526,0.8009758127919345,3740,651,0.5,0.9031477334717761,0.6774142857281552,0.09820860490550662,0.30541145996455715
