split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,2368,48,129,522,0.9422888816432996,0.9157894736842105,0.8018433179723502,0.855036855036855,0.019867549668874173,0.890987884151738,3067,651,0.5,0.9813614561398154,0.9459846479565884,0.04256758206073747,0.14916874219541273
train,fixed,1,2928,161,114,537,0.9264705882352942,0.7693409742120344,0.8248847926267281,0.7961452928094885,0.05212042732275817,0.886382182651985,3740,651,0.5,0.9584288732776082,0.875613077745627,0.05750049746865248,0.1938750653916667
train,fixed,2,2802,87,117,534,0.9423728813559322,0.8599033816425121,0.8202764976958525,0.839622641509434,0.030114226375908618,0.8950811356599719,3540,651,0.5,0.9787727058353126,0.908758458440922,0.04504993151326375,0.15670535292061766
train,fixed,3,2308,124,188,463,0.898799870256244,0.7887563884156729,0.7112135176651305,0.7479806138933764,0.05098684210526316,0.8301133377799337,3083,651,0.5,0.9565527983264612,0.8700380915213484,0.06790464826599654,0.2129608842652202
train,fixed,4,2341,156,166,485,0.897712833545108,0.7566302652106084,0.7450076804915514,0.7507739938080495,0.062474969963956746,0.8412663552637973,3148,651,0.5,0.9450283504568001,0.8193629688578087,0.07597245978893614,0.2448576202061284
train,fixed,5,2192,69,210,441,0.9041895604395604,0.8647058823529412,0.6774193548387096,0.7596899224806202,0.03051747014595312,0.8234509423463783,2912,651,0.5,0.962938655937757,0.8956981153002097,0.06481088114638915,0.2078037259310445
train,fixed,6,2399,354,48,603,0.881903642773208,0.6300940438871473,0.9262672811059908,0.75,0.12858699600435888,0.8988401425508159,3404,651,0.5,0.9649604425391544,0.8722511525171845,0.08202005651181395,0.2601861026518792
train,fixed,7,2398,122,92,559,0.9325134027120782,0.8208516886930984,0.858678955453149,0.8393393393393394,0.048412698412698414,0.9051331285202253,3171,651,0.5,0.9781508302245628,0.9250823833871624,0.048886318363200294,0.16061471411273492
train,fixed,8,2369,82,128,492,0.9316183653533051,0.8571428571428571,0.7935483870967742,0.8241206030150754,0.03345573235414117,0.8800463273713166,3071,620,0.5,0.9649484739605955,0.8832348778578272,0.054940250197937836,0.1858640028196934
train,fixed,9,2684,92,148,472,0.9293286219081273,0.8368794326241135,0.7612903225806451,0.7972972972972973,0.03314121037463977,0.8640745561030027,3396,620,0.5,0.9607848377800503,0.8813320966552759,0.05429659816069375,0.18300231941751824
train,val_f1,0,2357,59,112,539,0.9442451907401369,0.9013377926421404,0.8279569892473119,0.8630904723779024,0.024420529801324503,0.9017682297229936,3067,651,0.46,0.9813614561398154,0.9459846479565884,0.04256758206073747,0.14916874219541273
train,val_f1,1,2907,182,109,542,0.922192513368984,0.7486187845303868,0.8325652841781874,0.7883636363636364,0.05891874393007446,0.8868232701240565,3740,651,0.46,0.9584288732776082,0.875613077745627,0.05750049746865248,0.1938750653916667
train,val_f1,2,2790,99,94,557,0.9454802259887005,0.8490853658536586,0.8556067588325653,0.8523335883703137,0.03426791277258567,0.9106694230299899,3540,651,0.46,0.9787727058353126,0.908758458440922,0.04504993151326375,0.15670535292061766
train,val_f1,3,2298,134,170,481,0.9013947453778787,0.7821138211382114,0.738863287250384,0.7598736176935229,0.055098684210526314,0.8418823015199288,3083,651,0.46,0.9565527983264612,0.8700380915213484,0.06790464826599654,0.2129608842652202
train,val_f1,4,2319,178,151,500,0.8954891994917408,0.7374631268436578,0.7680491551459293,0.7524454477050414,0.07128554265118142,0.848381806247374,3148,651,0.46,0.9450283504568001,0.8193629688578087,0.07597245978893614,0.2448576202061284
train,val_f1,5,2188,73,184,467,0.9117445054945055,0.8648148148148148,0.717357910906298,0.7842149454240135,0.03228659885006634,0.8425356560281159,2912,651,0.46,0.962938655937757,0.8956981153002097,0.06481088114638915,0.2078037259310445
train,val_f1,6,2368,385,43,608,0.8742655699177438,0.6122860020140987,0.9339477726574501,0.7396593673965937,0.13984743915728295,0.8970501667500836,3404,651,0.46,0.9649604425391544,0.8722511525171845,0.08202005651181395,0.2601861026518792
train,val_f1,7,2381,139,80,571,0.9309366130558183,0.8042253521126761,0.8771121351766513,0.8390889052167524,0.05515873015873016,0.9109767025089606,3171,651,0.46,0.9781508302245628,0.9250823833871624,0.048886318363200294,0.16061471411273492
train,val_f1,8,2360,91,120,500,0.9312927385216542,0.8460236886632826,0.8064516129032258,0.8257638315441783,0.03712770297837617,0.8846619549624248,3071,620,0.46,0.9649484739605955,0.8832348778578272,0.054940250197937836,0.1858640028196934
train,val_f1,9,2665,111,135,485,0.9275618374558304,0.8137583892617449,0.782258064516129,0.7976973684210527,0.03998559077809798,0.8711362368690155,3396,620,0.46,0.9607848377800503,0.8813320966552759,0.05429659816069375,0.18300231941751824
train,val_fpr02,0,2414,2,375,276,0.8770785784153896,0.9928057553956835,0.423963133640553,0.5941872981700753,0.0008278145695364238,0.7115676595355083,3067,651,0.88,0.9813614561398154,0.9459846479565884,0.04256758206073747,0.14916874219541273
train,val_fpr02,1,3044,45,273,378,0.9149732620320855,0.8936170212765957,0.5806451612903226,0.7039106145251397,0.014567821301392036,0.7830386699944654,3740,651,0.88,0.9584288732776082,0.875613077745627,0.05750049746865248,0.1938750653916667
train,val_fpr02,2,2873,16,365,286,0.8923728813559322,0.9470198675496688,0.4393241167434716,0.6002098635886673,0.005538248528902735,0.7168929341072845,3540,651,0.88,0.9787727058353126,0.908758458440922,0.04504993151326375,0.15670535292061766
train,val_fpr02,3,2426,6,398,253,0.868958806357444,0.9768339768339769,0.38863287250384027,0.5560439560439561,0.0024671052631578946,0.6930828836203412,3083,651,0.88,0.9565527983264612,0.8700380915213484,0.06790464826599654,0.2129608842652202
train,val_fpr02,4,2452,45,372,279,0.8675349428208387,0.8611111111111112,0.42857142857142855,0.5723076923076923,0.01802162595114137,0.7052749013101436,3148,651,0.88,0.9450283504568001,0.8193629688578087,0.07597245978893614,0.2448576202061284
train,val_fpr02,5,2261,0,428,223,0.853021978021978,1.0,0.3425499231950845,0.5102974828375286,0.0,0.6712749615975422,2912,651,0.88,0.962938655937757,0.8956981153002097,0.06481088114638915,0.2078037259310445
train,val_fpr02,6,2670,83,194,457,0.9186251468860165,0.8462962962962963,0.7019969278033794,0.7674223341729639,0.030148928441699963,0.8359239996808397,3404,651,0.88,0.9649604425391544,0.8722511525171845,0.08202005651181395,0.2601861026518792
train,val_fpr02,7,2502,18,235,416,0.9202144433932513,0.9585253456221198,0.6390168970814132,0.7668202764976959,0.007142857142857143,0.815937019969278,3171,651,0.88,0.9781508302245628,0.9250823833871624,0.048886318363200294,0.16061471411273492
train,val_fpr02,8,2431,20,321,299,0.8889612504070336,0.9373040752351097,0.482258064516129,0.6368477103301384,0.008159934720522236,0.7370490648978034,3071,620,0.88,0.9649484739605955,0.8832348778578272,0.054940250197937836,0.1858640028196934
train,val_fpr02,9,2762,14,329,291,0.8989988221436984,0.9540983606557377,0.4693548387096774,0.6291891891891892,0.005043227665706052,0.7321558055219857,3396,620,0.88,0.9607848377800503,0.8813320966552759,0.05429659816069375,0.18300231941751824
validation,fixed,0,809,43,66,120,0.894990366088632,0.7361963190184049,0.6451612903225806,0.6876790830945558,0.05046948356807512,0.7973459033772528,1038,186,0.5,0.9542442829017114,0.7806944935666416,0.06962632433623374,0.2222555927324241
validation,fixed,1,665,15,98,88,0.8695150115473441,0.8543689320388349,0.4731182795698925,0.6089965397923875,0.022058823529411766,0.7255297280202404,866,186,0.5,0.9574794433902594,0.834124156294944,0.09489998078707865,0.2771088359218806
validation,fixed,2,667,10,53,102,0.9242788461538461,0.9107142857142857,0.6580645161290323,0.7640449438202247,0.014771048744460856,0.8216467336922857,832,155,0.5,0.9514747224472292,0.865682735052491,0.0600670404805771,0.20844486967368636
validation,fixed,3,710,35,28,127,0.93,0.7839506172839507,0.8193548387096774,0.8012618296529969,0.04697986577181208,0.8861874864689326,900,155,0.5,0.9738298332972506,0.8818802195204567,0.052621298201733266,0.17081635686020588
validation,fixed,4,629,22,48,107,0.913151364764268,0.8294573643410853,0.6903225806451613,0.7535211267605634,0.03379416282642089,0.8282642089093701,806,155,0.5,0.8987958971309647,0.8040827751989554,0.07944911144815871,0.28604024009357754
validation,fixed,5,489,28,49,106,0.8854166666666666,0.7910447761194029,0.6838709677419355,0.7335640138408305,0.05415860735009671,0.8148561801959193,672,155,0.5,0.9490859175141948,0.7723987714691545,0.07740890640583675,0.2436561081703821
validation,fixed,6,618,117,10,145,0.8573033707865169,0.5534351145038168,0.9354838709677419,0.6954436450839329,0.15918367346938775,0.888150098749177,890,155,0.5,0.9592187842879087,0.8576156715703861,0.12085151523504553,0.4098330169081212
validation,fixed,7,638,17,25,130,0.9481481481481482,0.8843537414965986,0.8387096774193549,0.8609271523178808,0.025954198473282442,0.9063777394730362,810,155,0.5,0.9559517360256096,0.9084893279928852,0.051874995151303116,0.18926264760153563
validation,fixed,8,670,58,19,136,0.912797281993205,0.7010309278350515,0.8774193548387097,0.7793696275071633,0.07967032967032966,0.8988745125841899,883,155,0.5,0.9764002126905353,0.9060686517930453,0.058334663429200594,0.1886502214007822
validation,fixed,9,577,58,7,148,0.9177215189873418,0.7184466019417476,0.9548387096774194,0.8199445983379502,0.09133858267716535,0.931750063500127,790,155,0.5,0.9849326898653796,0.9413247386063269,0.05371202232920495,0.17326193482232596
validation,val_f1,0,805,47,60,126,0.896917148362235,0.7283236994219653,0.6774193548387096,0.7019498607242339,0.05516431924882629,0.8111275177949417,1038,186,0.46,0.9542442829017114,0.7806944935666416,0.06962632433623374,0.2222555927324241
validation,val_f1,1,664,16,95,91,0.871824480369515,0.8504672897196262,0.489247311827957,0.621160409556314,0.023529411764705882,0.7328589500316256,866,186,0.46,0.9574794433902594,0.834124156294944,0.09489998078707865,0.2771088359218806
validation,val_f1,2,666,11,39,116,0.9399038461538461,0.9133858267716536,0.7483870967741936,0.8226950354609929,0.01624815361890694,0.8660694715776434,832,155,0.46,0.9514747224472292,0.865682735052491,0.0600670404805771,0.20844486967368636
validation,val_f1,3,704,41,19,136,0.9333333333333333,0.768361581920904,0.8774193548387097,0.8192771084337349,0.05503355704697987,0.9111928988958649,900,155,0.46,0.9738298332972506,0.8818802195204567,0.052621298201733266,0.17081635686020588
validation,val_f1,4,627,24,45,110,0.9143920595533499,0.8208955223880597,0.7096774193548387,0.7612456747404844,0.03686635944700461,0.836405529953917,806,155,0.46,0.8987958971309647,0.8040827751989554,0.07944911144815871,0.28604024009357754
validation,val_f1,5,488,29,46,109,0.8883928571428571,0.7898550724637681,0.7032258064516129,0.7440273037542662,0.05609284332688588,0.8235664815623636,672,155,0.46,0.9490859175141948,0.7723987714691545,0.07740890640583675,0.2436561081703821
validation,val_f1,6,612,123,9,146,0.851685393258427,0.5427509293680297,0.9419354838709677,0.6886792452830188,0.1673469387755102,0.8872942725477287,890,155,0.46,0.9592187842879087,0.8576156715703861,0.12085151523504553,0.4098330169081212
validation,val_f1,7,635,20,24,131,0.945679012345679,0.8675496688741722,0.8451612903225807,0.8562091503267973,0.030534351145038167,0.9073134695887712,810,155,0.46,0.9559517360256096,0.9084893279928852,0.051874995151303116,0.18926264760153563
validation,val_f1,8,658,70,12,143,0.9071347678369196,0.6713615023474179,0.9225806451612903,0.7771739130434783,0.09615384615384616,0.9132133995037222,883,155,0.46,0.9764002126905353,0.9060686517930453,0.058334663429200594,0.1886502214007822
validation,val_f1,9,574,61,6,149,0.9151898734177215,0.7095238095238096,0.9612903225806452,0.8164383561643835,0.09606299212598425,0.9326136652273305,790,155,0.46,0.9849326898653796,0.9413247386063269,0.05371202232920495,0.17326193482232596
validation,val_fpr02,0,841,11,120,66,0.873795761078998,0.8571428571428571,0.3548387096774194,0.5019011406844106,0.012910798122065728,0.6709639557776768,1038,186,0.88,0.9542442829017114,0.7806944935666416,0.06962632433623374,0.2222555927324241
validation,val_fpr02,1,670,10,134,52,0.8337182448036952,0.8387096774193549,0.27956989247311825,0.41935483870967744,0.014705882352941176,0.6324320050600886,866,186,0.88,0.9574794433902594,0.834124156294944,0.09489998078707865,0.2771088359218806
validation,val_fpr02,2,674,3,115,40,0.8581730769230769,0.9302325581395349,0.25806451612903225,0.40404040404040403,0.004431314623338257,0.6268166007528471,832,155,0.88,0.9514747224472292,0.865682735052491,0.0600670404805771,0.20844486967368636
validation,val_fpr02,3,745,0,93,62,0.8966666666666666,1.0,0.4,0.5714285714285714,0.0,0.7,900,155,0.88,0.9738298332972506,0.8818802195204567,0.052621298201733266,0.17081635686020588
validation,val_fpr02,4,651,0,111,44,0.8622828784119106,1.0,0.2838709677419355,0.44221105527638194,0.0,0.6419354838709678,806,155,0.88,0.8987958971309647,0.8040827751989554,0.07944911144815871,0.28604024009357754
validation,val_fpr02,5,502,15,121,34,0.7976190476190477,0.6938775510204082,0.21935483870967742,0.3333333333333333,0.029013539651837523,0.59517064952892,672,155,0.88,0.9490859175141948,0.7723987714691545,0.07740890640583675,0.2436561081703821
