epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5100185435005431,,,,0.0011191151570528746,0.014436584897339344,,1.7623251676559448,6452080,20,6452080,6452080,0,27.091961154947057,27.08320077206008,6.089600085979328,0.006630829069763422,0.5261664,32895,10,10,0.8726779962499653
2,0.4343163920525729,,,,0.0018680562498047948,0.023974096402525902,,2.187525749206543,6452080,20,6452080,6452080,0,23.569285352015868,23.56128353229724,2.5909819800872356,0.005660001887008548,0.5261664,32895,10,10,0.8726779962499653
3,0.4372562101966667,,,,0.002467149868607521,0.03167197108268738,,1.9933115243911743,6452080,20,6452080,6452080,0,23.83883026894182,23.830399469006807,2.611607793951407,0.005873979069292545,0.5261664,32895,10,10,0.8726779962499653
4,0.3660463796683418,,,,0.0024470211938023567,0.03131721168756485,,2.0938668251037598,6452080,20,6452080,6452080,0,23.601050991099328,23.593033661833033,2.5373033999931067,0.00549682998098433,0.5261664,32895,10,10,0.8726779962499653
5,0.3642962163188047,0.3258781183518052,0.8413343180699163,0.5675947668567595,0.002640891121700406,0.03371525555849075,0.058333333333333334,2.5195960998535156,6452080,20,6452080,6452080,0,22.969951348146424,22.962711575906724,2.540458151837811,0.00488430610857904,0.5261664,32895,10,10,0.8726779962499653
6,0.35027403617252323,,,,0.0027363914996385574,0.034844547510147095,,2.4975719451904297,6452080,20,6452080,6452080,0,24.559982762904838,24.55156244733371,2.720287631964311,0.005943405907601118,0.5261664,32895,10,10,0.8726779962499653
7,0.3456821649208998,,,,0.0029795144218951464,0.03785562142729759,,2.6803596019744873,6452080,20,6452080,6452080,0,23.956287696957588,23.949438283219934,2.6845757940318435,0.004814345855265856,0.5261664,32895,10,10,0.8726779962499653
8,0.33308858537982006,,,,0.003235204378142953,0.04096551984548569,,2.863558292388916,6452080,20,6452080,6452080,0,23.64205183601007,23.635631600394845,2.5872759229969233,0.004583628149703145,0.5261664,32895,10,10,0.8726779962499653
9,0.3227634033465834,,,,0.0035920673981308937,0.045363835990428925,,2.895833730697632,6452080,20,6452080,6452080,0,23.5862793631386,23.580191845772788,2.63352004182525,0.004510351922363043,0.5261664,32895,10,10,0.8726779962499653
10,0.31832925772902637,0.3155887816580808,0.8561053668143771,0.6345733041575492,0.0037880775053054094,0.047735072672367096,0.04075854700854701,2.869317054748535,6452080,20,6452080,6452080,0,22.740269819973037,22.734282791847363,2.5776535279583186,0.004456755006685853,0.5261664,32895,10,10,0.8726779962499653
11,0.31627885905612296,,,,0.003991305828094482,0.050161391496658325,,2.8567278385162354,6452080,20,6452080,6452080,0,23.113777245860547,23.107648727716878,2.6146361930295825,0.004542490933090448,0.5261664,32895,10,10,0.8726779962499653
12,0.30081747080887206,,,,0.0043027387000620365,0.0539122112095356,,3.3207430839538574,6452080,20,6452080,6452080,0,22.629676940850914,22.623688257299364,2.4322652600239962,0.004396182019263506,0.5261664,32895,10,10,0.8726779962499653
13,0.3066384906479235,,,,0.004544742871075869,0.056799352169036865,,3.1035315990448,6452080,20,6452080,6452080,0,22.780641448916867,22.77415346005,2.466975204180926,0.004761648830026388,0.5261664,32895,10,10,0.8726779962499653
14,0.2953092517755252,,,,0.004719945602118969,0.05881434679031372,,3.3068573474884033,6452080,20,6452080,6452080,0,22.468593216966838,22.462578476639464,2.5519290899392217,0.004442836856469512,0.5261664,32895,10,10,0.8726779962499653
15,0.31477110227406396,0.2842234290820892,0.8698916789758739,0.6366448951529735,0.004887604620307684,0.06078307330608368,0.025,3.1674606800079346,6452080,20,6452080,6452080,0,22.244273797841743,22.237885439535603,2.448329354869202,0.004764433018863201,0.5261664,32895,10,10,0.8726779962499653
16,0.28782080063480847,,,,0.0050494070164859295,0.06259594857692719,,3.1502649784088135,6452080,20,6452080,6452080,0,23.188133137999102,23.181908507132903,2.543272976996377,0.004558031912893057,0.5261664,32895,10,10,0.8726779962499653
17,0.3004169664407747,,,,0.004993000067770481,0.061751991510391235,,3.217190742492676,6452080,20,6452080,6452080,0,22.941723060095683,22.93521389272064,2.478506597923115,0.004391747992485762,0.5261664,32895,10,10,0.8726779962499653
18,0.27629244062155234,,,,0.005223027430474758,0.06435272842645645,,3.106145143508911,6452080,20,6452080,6452080,0,22.77727287984453,22.77121538715437,2.5239946821238846,0.004409092012792826,0.5261664,32895,10,10,0.8726779962499653
19,0.2818437681358994,,,,0.005349302664399147,0.06573115289211273,,3.280923366546631,6452080,20,6452080,6452080,0,22.472075565950945,22.465591803658754,2.4470083711203188,0.004774756031110883,0.5261664,32895,10,10,0.8726779962499653
20,0.2910481149932821,0.28370897786068466,0.8778926637124569,0.6793794440853265,0.005447429604828358,0.06674396246671677,0.03498931623931624,3.2680156230926514,6452080,20,6452080,6452080,0,22.38856620597653,22.3822312427219,2.467867434024811,0.004492641892284155,0.5261664,32895,10,10,0.8726779962499653
21,0.27726520447363184,,,,0.005742170382291079,0.07008428126573563,,3.1926109790802,6452080,20,6452080,6452080,0,22.757847798988223,22.751303661148995,2.522047603968531,0.004816168919205666,0.5261664,32895,10,10,0.8726779962499653
