epoch,split,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
5,train,0,2418,387,258,393,0.8133680555555556,0.5038461538461538,0.6036866359447005,0.549266247379455,0.13796791443850268,0.7328593607530989,3456,651,0.5,0.8779856028432879,0.5224046087491576,0.10901045176382418,0.316925315220237
5,train,1,2693,134,374,277,0.8539390454284072,0.6739659367396593,0.4254992319508449,0.5216572504708098,0.04740007074637425,0.6890495806022353,3478,651,0.5,0.91404587212294,0.7176981512956097,0.09382596013791844,0.28960659160440094
5,train,2,2851,100,364,287,0.8711826762909495,0.7416020671834626,0.44086021505376344,0.5529865125240848,0.03388681802778719,0.7034866985129882,3602,651,0.5,0.8951897896050234,0.6559186125095533,0.09536533698400149,0.3069798765638693
5,train,3,2542,239,353,298,0.8275058275058275,0.5549348230912476,0.4577572964669739,0.5016835016835017,0.08594030924128011,0.6859084936128469,3432,651,0.5,0.8857951504365534,0.5696396874651876,0.10608091392997386,0.31711360960157187
5,train,4,2427,71,413,238,0.8463004128294697,0.7702265372168284,0.3655913978494624,0.49583333333333335,0.02842273819055244,0.6685843298294549,3149,651,0.5,0.9113945534307629,0.7438536198076615,0.09965916435033587,0.31222601831262625
5,train,5,2408,343,274,377,0.8186360964138741,0.5236111111111111,0.5791090629800307,0.549963530269876,0.12468193384223919,0.7272135645688957,3402,651,0.5,0.8547206126971842,0.5473398708890674,0.11986521026434738,0.3616178171680338
5,train,6,2297,38,299,352,0.8871399866041527,0.9025641025641026,0.5407066052227343,0.6762728146013448,0.016274089935760173,0.762216257643487,2986,651,0.5,0.9294684178845263,0.8273200313730282,0.0947254125255905,0.3047459268198659
5,train,7,2220,309,237,414,0.8283018867924529,0.5726141078838174,0.6359447004608295,0.6026200873362445,0.1221826809015421,0.7568810097796437,3180,651,0.5,0.876691818833938,0.6474648514989387,0.1153610798419116,0.3510884299808675
5,train,8,2344,336,192,428,0.84,0.5602094240837696,0.6903225806451613,0.6184971098265896,0.1253731343283582,0.7824747231584015,3300,620,0.5,0.8969866393837267,0.6544803903867057,0.10522762303152103,0.3248515788092925
5,train,9,2134,156,241,379,0.8635738831615121,0.708411214953271,0.6112903225806452,0.6562770562770562,0.06812227074235808,0.7715840259191435,2910,620,0.5,0.9141812227074235,0.7546426132331813,0.09870966682400546,0.3066157139293065
5,validation,0,734,104,67,119,0.8330078125,0.5336322869955157,0.6397849462365591,0.5819070904645477,0.12410501193317422,0.7578399671516924,1024,186,0.5,0.8809441322144379,0.6457389513346796,0.1065748691680748,0.3285638179905771
5,validation,1,690,26,117,69,0.8414634146341463,0.7263157894736842,0.3709677419354839,0.49110320284697506,0.036312849162011177,0.6673274463867364,902,186,0.5,0.8980146572956089,0.6901136057432504,0.11708332367510119,0.362777503019193
5,validation,2,599,0,97,58,0.8713527851458885,1.0,0.3741935483870968,0.5446009389671361,0.0,0.6870967741935484,754,155,0.5,0.9504335182293069,0.8600861395270984,0.09798657651744153,0.30018315125550726
5,validation,3,610,66,93,62,0.8086642599277978,0.484375,0.4,0.4381625441696113,0.09763313609467456,0.6511834319526627,831,155,0.5,0.8598682954762359,0.6288677457404637,0.12239205342524774,0.3617436576001941
5,validation,4,633,52,88,67,0.8333333333333334,0.5630252100840336,0.432258064516129,0.48905109489051096,0.07591240875912408,0.6781728278785024,840,155,0.5,0.9075111843654345,0.7153841715761549,0.09434815462927537,0.29508855501180903
5,validation,5,522,110,83,72,0.7547649301143583,0.3956043956043956,0.4645161290322581,0.42729970326409494,0.17405063291139242,0.6452327480604328,787,155,0.5,0.8618007349938751,0.6312442950441751,0.12562110769507923,0.36640935779478395
5,validation,6,632,42,45,110,0.8950542822677925,0.7236842105263158,0.7096774193548387,0.7166123778501629,0.06231454005934718,0.8236814396477458,829,155,0.5,0.9405188092275294,0.8172249091519564,0.08533759656371238,0.2872147330644275
5,validation,7,505,66,80,75,0.7988980716253443,0.5319148936170213,0.4838709677419355,0.5067567567567568,0.11558669001751314,0.6841421388622112,726,155,0.5,0.8534659058810237,0.640026764792368,0.12691486642613195,0.38174847665311695
5,validation,8,562,55,11,144,0.9145077720207254,0.7236180904522613,0.9290322580645162,0.8135593220338984,0.08914100486223663,0.9199456266011398,772,155,0.5,0.965483348146599,0.8436265872645222,0.07914294371008257,0.2678480153609544
5,validation,9,502,2,85,70,0.8679817905918058,0.9722222222222222,0.45161290322580644,0.6167400881057269,0.003968253968253968,0.7238223246287763,659,155,0.5,0.937442396313364,0.8392570397050452,0.09945897184983483,0.30128144797927775
10,train,0,2429,376,211,440,0.8301504629629629,0.5392156862745098,0.6758832565284179,0.59986366734833,0.13404634581105168,0.7709184553586831,3456,651,0.5,0.8985441292841672,0.5689727390716453,0.10476971824799479,0.30381439935730736
10,train,1,2711,116,274,377,0.8878665899942496,0.7647058823529411,0.5791090629800307,0.6590909090909091,0.04103289706402547,0.7690380829580026,3478,651,0.5,0.940045979709592,0.8072295259084673,0.0771125802374601,0.24564377291477288
10,train,2,2820,131,252,399,0.893670183231538,0.7528301886792453,0.6129032258064516,0.6756985605419137,0.04439173161640122,0.7842557470950252,3602,651,0.5,0.9222456289388221,0.7480693027444284,0.08300710847685216,0.2652430161710152
10,train,3,2573,208,291,360,0.8546037296037297,0.6338028169014085,0.5529953917050692,0.5906480721903199,0.07479323984178353,0.7391010759316428,3432,651,0.5,0.9163011459702137,0.6500592061432843,0.09362432019419437,0.28379091157948316
10,train,4,2363,135,201,450,0.8932994601460781,0.7692307692307693,0.6912442396313364,0.7281553398058253,0.05404323458767014,0.8186005025218331,3149,651,0.5,0.9366079653277154,0.8248002127746644,0.0801088980144108,0.26206767236558853
10,train,5,2397,354,211,440,0.8339212228101117,0.5541561712846348,0.6758832565284179,0.6089965397923875,0.128680479825518,0.7736013883514499,3402,651,0.5,0.8754866963612171,0.6143512210590448,0.11474987503593552,0.35059933489840983
10,train,6,2164,171,188,463,0.8797722705961152,0.7302839116719243,0.7112135176651305,0.7206225680933852,0.07323340471092077,0.8189900564771049,2986,651,0.5,0.9357641184539023,0.8338632928080766,0.08577286724424826,0.2798449352427044
10,train,7,2284,245,268,383,0.8386792452830188,0.6098726114649682,0.5883256528417818,0.5989053948397185,0.09687623566627125,0.7457247085877553,3180,651,0.5,0.8925502572615419,0.6837886278736789,0.10670802060015508,0.3255164722635716
10,train,8,2411,269,205,415,0.8563636363636363,0.6067251461988304,0.6693548387096774,0.6365030674846626,0.1003731343283582,0.7844908521906595,3300,620,0.5,0.9134707510832932,0.7083849238810678,0.09441337007385103,0.2896794732312634
10,train,9,2199,91,278,342,0.8731958762886598,0.789838337182448,0.5516129032258065,0.6495726495726496,0.03973799126637555,0.7559374559797154,2910,620,0.5,0.9247717988449078,0.7871216494534812,0.09269752341643564,0.29964237046301834
10,validation,0,742,96,57,129,0.8505859375,0.5733333333333334,0.6935483870967742,0.6277372262773723,0.11455847255369929,0.7894949572715375,1024,186,0.5,0.8909269381784587,0.6718729151375119,0.10260605007426998,0.32612252279295073
10,validation,1,691,25,92,94,0.8702882483370288,0.7899159663865546,0.5053763440860215,0.6163934426229508,0.034916201117318434,0.7352300714843516,902,186,0.5,0.9179957349672614,0.7368862281779799,0.09980795399516193,0.3189386280422322
10,validation,2,573,26,54,101,0.8938992042440318,0.7952755905511811,0.6516129032258065,0.7163120567375887,0.04340567612687813,0.8041036135494641,754,155,0.5,0.931757229791588,0.8238346342506738,0.08616143938110621,0.284261876381809
10,validation,3,608,68,79,76,0.8231046931407943,0.5277777777777778,0.49032258064516127,0.5083612040133779,0.10059171597633136,0.694865432334415,831,155,0.5,0.8702137812559649,0.6430192644066262,0.1199431956732988,0.3690863428529681
10,validation,4,626,59,50,105,0.8702380952380953,0.6402439024390244,0.6774193548387096,0.658307210031348,0.08613138686131387,0.795643983988698,840,155,0.5,0.9421897810218978,0.7921128429313168,0.08022020405314624,0.25576136629376134
10,validation,5,516,116,56,99,0.7814485387547649,0.4604651162790698,0.6387096774193548,0.5351351351351351,0.18354430379746836,0.7275826868109432,787,155,0.5,0.8684667211106574,0.6346952599301838,0.13053124581111092,0.3718168620961534
10,validation,6,595,79,28,127,0.8709288299155609,0.616504854368932,0.8193548387096774,0.703601108033241,0.1172106824925816,0.8510720781085479,829,155,0.5,0.9512491624389777,0.8407982955588607,0.08467337824712601,0.28487993683892454
10,validation,7,531,40,82,73,0.8319559228650137,0.6460176991150443,0.47096774193548385,0.5447761194029851,0.07005253940455342,0.7004576012654653,726,155,0.5,0.8702107225580475,0.6915319487331086,0.11466991551792967,0.36036627699011825
10,validation,8,554,63,7,148,0.9093264248704663,0.7014218009478673,0.9548387096774194,0.8087431693989071,0.10210696920583469,0.9263658702357923,772,155,0.5,0.960328331677733,0.8234085273115823,0.07239627284292749,0.23935025164444662
10,validation,9,504,0,92,63,0.8603945371775418,1.0,0.4064516129032258,0.5779816513761468,0.0,0.7032258064516129,659,155,0.5,0.9527137736815157,0.874868375993548,0.10944061273519141,0.35074014187137104
15,train,0,2548,257,210,441,0.8648726851851852,0.6318051575931232,0.6774193548387096,0.653817642698295,0.09162210338680928,0.7928986257259502,3456,651,0.5,0.9207006360706551,0.6947841100689895,0.0907789496766487,0.2759216737619703
15,train,1,2760,67,239,412,0.9120184013801035,0.860125260960334,0.6328725038402457,0.7292035398230089,0.023700035373187125,0.8045862342335293,3478,651,0.5,0.9545335004730011,0.855218489367742,0.0682031621206292,0.22239364492458102
15,train,2,2804,147,228,423,0.8958911715713492,0.7421052631578947,0.6497695852534562,0.6928746928746928,0.04981362250084717,0.7999779813763045,3602,651,0.5,0.925909673671504,0.779572056366945,0.0795439825953074,0.25883116725135924
