epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5166134529015637,,,,0.001958972541615367,0.025263430550694466,,0.0,0,0,0,0,0,27.376227773027495,27.372714650584385,6.364472493994981,0.0014235707931220531,0.0,32892,0,10,1.0
2,0.4587163659488098,,,,0.0041175177320837975,0.052947748452425,,0.0,0,0,0,0,0,22.607468412956223,22.60444731474854,2.5576843400485814,0.001328066224232316,0.0,32892,0,10,1.0
3,0.4532369709149021,,,,0.005092133767902851,0.06546223163604736,,0.0,0,0,0,0,0,23.205414861207828,23.202054352965206,2.5815707340370864,0.0013563910033553839,0.0,32892,0,10,1.0
4,0.41769194460776243,,,,0.006114477291703224,0.07844128459692001,,0.0,0,0,0,0,0,22.736501088831574,22.73355609923601,2.5152772599831223,0.001337599940598011,0.0,32892,0,10,1.0
5,0.39682666290514385,0.3501492716727532,0.8546819244493663,0.5085310029130253,0.006827610079199076,0.08743572235107422,0.08039529914529915,0.0,0,0,0,0,0,22.377648656023666,22.374052804661915,2.534605289809406,0.0012837920803576708,0.0,32892,0,10,1.0
6,0.37841881068768696,,,,0.00785511452704668,0.10039602220058441,,0.0,0,0,0,0,0,23.295248261885718,23.29225341626443,2.6240330941509455,0.0013535770121961832,0.0,32892,0,10,1.0
7,0.36808546333595477,,,,0.00899505615234375,0.11476430296897888,,0.0,0,0,0,0,0,23.900411451002583,23.8975506327115,2.576263481983915,0.0012223741505295038,0.0,32892,0,10,1.0
8,0.34369271618794417,,,,0.010150996036827564,0.12920525670051575,,0.0,0,0,0,0,0,22.770984971197322,22.768147975904867,2.5396789480000734,0.0012222819495946169,0.0,32892,0,10,1.0
9,0.3457109535855899,,,,0.011267958208918571,0.14317931234836578,,0.0,0,0,0,0,0,23.21338549000211,23.21010921918787,2.4931006331462413,0.0013394178822636604,0.0,32892,0,10,1.0
10,0.32242785944864866,0.3213423649739428,0.85369755137197,0.6019417475728155,0.012352056801319122,0.1566028743982315,0.1093482905982906,0.0,0,0,0,0,0,22.243431668030098,22.239897410850972,2.5006443590391427,0.0013577090576291084,0.0,32892,0,10,1.0
11,0.3286825611829638,,,,0.01339733600616455,0.16953429579734802,,0.0,0,0,0,0,0,20.658761577913538,20.655911698006094,2.4131841170601547,0.0012712469324469566,0.0,32892,0,10,1.0
12,0.3225618049875589,,,,0.014413638971745968,0.1820850819349289,,0.0,0,0,0,0,0,22.269310890929773,22.266443538712338,2.408565490040928,0.001231983071193099,0.0,32892,0,10,1.0
13,0.31324706308516015,,,,0.015546975657343864,0.19604884088039398,,0.0,0,0,0,0,0,22.46638778806664,22.46360379899852,2.434840955073014,0.0012192151043564081,0.0,32892,0,10,1.0
14,0.3031240183221103,,,,0.01670258678495884,0.21020424365997314,,0.0,0,0,0,0,0,22.479133180109784,22.476230207597837,2.468735021073371,0.0012681130319833755,0.0,32892,0,10,1.0
15,0.28798379846224564,0.31899565443919053,0.8632951888765842,0.6419593941347084,0.017983773723244667,0.22589749097824097,0.10197649572649573,0.0,0,0,0,0,0,22.483291466953233,22.48039349820465,2.3999844409991056,0.0012565129436552525,0.0,32892,0,10,1.0
16,0.28406078803543633,,,,0.01913955807685852,0.23993125557899475,,0.0,0,0,0,0,0,20.934447115985677,20.93135247658938,2.5337979099713266,0.0012437959667295218,0.0,32892,0,10,1.0
17,0.2921028211925906,,,,0.020032428205013275,0.2506811022758484,,0.0,0,0,0,0,0,23.15714604500681,23.154152241302654,2.4734026009682566,0.001336229033768177,0.0,32892,0,10,1.0
18,0.27886462792179467,,,,0.0212098341435194,0.26494190096855164,,0.0,0,0,0,0,0,22.79186413087882,22.78846424166113,2.467290353961289,0.0013016110751777887,0.0,32892,0,10,1.0
19,0.2652234207198417,,,,0.02235659398138523,0.27875152230262756,,0.0,0,0,0,0,0,22.559653425123543,22.556582145160064,2.442445981083438,0.0013736160472035408,0.0,32892,0,10,1.0
20,0.269150938525778,0.3151970841818138,0.8624338624338624,0.6479848866498741,0.023389002308249474,0.2910862863063812,0.10090811965811966,0.0,0,0,0,0,0,22.55974679091014,22.556802162900567,2.4608520148321986,0.0012943039182573557,0.0,32892,0,10,1.0
21,0.2592084729152465,,,,0.02445124462246895,0.30375936627388,,0.0,0,0,0,0,0,20.911772175924852,20.908916325075552,2.4737968558911234,0.0012599939946085215,0.0,32892,0,10,1.0
22,0.24493281901281608,,,,0.025589413940906525,0.3171285092830658,,0.0,0,0,0,0,0,22.49820018396713,22.49529463169165,2.4909946529660374,0.001264035003259778,0.0,32892,0,10,1.0
23,0.24339699486490182,,,,0.026547446846961975,0.32848238945007324,,0.0,0,0,0,0,0,22.48420838615857,22.481223688228056,2.4576926259323955,0.001286366954445839,0.0,32892,0,10,1.0
24,0.23443082539740456,,,,0.027702132239937782,0.3421211540699005,,0.0,0,0,0,0,0,22.6045793320518,22.601684267632663,2.4789439470041543,0.0012717980425804853,0.0,32892,0,10,1.0
25,0.22842997927645628,0.33551635641597527,0.8738771994585948,0.6598075008297378,0.02878418006002903,0.35474908351898193,0.11581196581196582,0.0,0,0,0,0,0,22.866681179963052,22.8632537687663,2.5117097669281065,0.0013019661419093609,0.0,32892,0,10,1.0
26,0.2253964983975675,,,,0.02981833554804325,0.36680305004119873,,0.0,0,0,0,0,0,20.98512297682464,20.98202783172019,2.4372926249634475,0.0013359051663428545,0.0,32892,0,10,1.0
27,0.21625683953766878,,,,0.03073619306087494,0.37743180990219116,,0.0,0,0,0,0,0,22.784611282870173,22.781113461824134,2.4918105299584568,0.0012875490356236696,0.0,32892,0,10,1.0
28,0.2378169526116407,,,,0.03158925846219063,0.38723668456077576,,0.0,0,0,0,0,0,22.840406608069316,22.837481702910736,2.510221001924947,0.0012724001426249743,0.0,32892,0,10,1.0
29,0.21628195134577152,,,,0.03260336071252823,0.3988180458545685,,0.0,0,0,0,0,0,22.773815287975594,22.770901062060148,2.4980385380331427,0.0012652508448809385,0.0,32892,0,10,1.0
30,0.2112634693994639,0.3937995225631319,0.8487756859849883,0.6285886974916893,0.03341297805309296,0.4080432057380676,0.11837606837606837,0.0,0,0,0,0,0,22.642261933069676,22.63926538778469,2.452650111867115,0.0012796649243682623,0.0,32892,0,10,1.0
31,0.21560456419795085,,,,0.03426535427570343,0.4176461398601532,,0.0,0,0,0,0,0,21.39631297509186,21.39324359316379,2.4665020171087235,0.001327012898400426,0.0,32892,0,10,1.0
32,0.1914951353508015,,,,0.03519570082426071,0.42814671993255615,,0.0,0,0,0,0,0,22.50578387407586,22.5028873172123,2.4839678881689906,0.0012666729744523764,0.0,32892,0,10,1.0
33,0.18904015634058174,,,,0.03592181205749512,0.43631550669670105,,0.0,0,0,0,0,0,22.334996399935335,22.332134840777144,2.5014658530708402,0.0012658520136028528,0.0,32892,0,10,1.0
34,0.2023568741464566,,,,0.036619555205106735,0.44409114122390747,,0.0,0,0,0,0,0,22.421231376938522,22.418386693345383,2.4852993288077414,0.001230842899531126,0.0,32892,0,10,1.0
