split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,2449,154,32,619,0.942839582052858,0.8007761966364813,0.9508448540706606,0.8693820224719101,0.059162504802151364,0.9458411746342545,3254,651,0.5,0.9912472492745875,0.9684384948307653,0.04038972465682733,0.13485715993858188
train,fixed,1,2392,15,23,628,0.9875735775016351,0.9766718506998445,0.9646697388632872,0.9706336939721792,0.0062318238471125885,0.9792189575080873,3058,651,0.5,0.998957852704318,0.9965973707383875,0.00929215682707483,0.035729352083406204
train,fixed,2,2453,50,27,624,0.9755865567533291,0.9258160237388724,0.9585253456221198,0.9418867924528301,0.01997602876548142,0.9692746584283192,3154,651,0.5,0.9969296444880582,0.9895343604268156,0.017650668872930684,0.061608625568229325
train,fixed,3,2612,17,20,631,0.988719512195122,0.9737654320987654,0.9692780337941628,0.9715165511932256,0.006466337010270064,0.9814058483919463,3280,651,0.5,0.9989839197559538,0.9963851684711703,0.009670998647022214,0.03639362291976121
train,fixed,4,2782,36,106,545,0.9590660132603056,0.9380378657487092,0.837173579109063,0.8847402597402597,0.0127750177430802,0.9121992806829914,3469,651,0.5,0.9903549597223903,0.962283562757411,0.02957777620778418,0.10313728500698387
train,fixed,5,2674,28,122,529,0.9552639427378466,0.9497307001795332,0.8125960061443932,0.8758278145695364,0.010362694300518135,0.9011166559219375,3353,651,0.5,0.9895525985757834,0.9643961508211338,0.03173218751945063,0.1021554688718664
train,fixed,6,2662,16,46,605,0.9813757885250826,0.9742351046698873,0.9293394777265745,0.9512578616352201,0.00597460791635549,0.9616824349051095,3329,651,0.5,0.9975363919930158,0.9914777915858259,0.014254094279885944,0.05433400817948689
train,fixed,7,2835,19,50,601,0.9803138373751783,0.9693548387096774,0.9231950844854071,0.9457120377655389,0.006657323055360897,0.958268880715023,3505,651,0.5,0.9948615520082844,0.9867500790182347,0.01582989870966772,0.06286707167281677
train,fixed,8,2866,9,58,562,0.9808297567954221,0.9842381786339754,0.9064516129032258,0.943744752308984,0.003130434782608696,0.9516605890603086,3495,620,0.5,0.997781206171108,0.9907565671593086,0.015428357015595204,0.05442120152246308
train,fixed,9,2362,13,89,531,0.9659432387312187,0.9761029411764706,0.8564516129032258,0.9123711340206185,0.0054736842105263155,0.9254889643463498,2995,620,0.5,0.9928692699490662,0.978968491232241,0.026324582586033932,0.09394075455326184
train,val_f1,0,2379,224,12,639,0.9274738783036263,0.7404403244495944,0.9815668202764977,0.8441215323645971,0.08605455243949289,0.9477561339185023,3254,651,0.3,0.9912472492745875,0.9684384948307653,0.04038972465682733,0.13485715993858188
train,val_f1,1,2379,28,11,640,0.987246566383257,0.9580838323353293,0.9831029185867896,0.9704321455648218,0.011632737847943497,0.9857350903694231,3058,651,0.3,0.998957852704318,0.9965973707383875,0.00929215682707483,0.035729352083406204
train,val_f1,2,2414,89,15,636,0.9670259987317692,0.8772413793103448,0.9769585253456221,0.9244186046511628,0.035557331202556934,0.9707005970715326,3154,651,0.3,0.9969296444880582,0.9895343604268156,0.017650668872930684,0.061608625568229325
train,val_f1,3,2582,47,8,643,0.9832317073170732,0.9318840579710145,0.9877112135176651,0.9589858314690529,0.01787751996957018,0.9849168467740474,3280,651,0.3,0.9989839197559538,0.9963851684711703,0.009670998647022214,0.03639362291976121
train,val_f1,4,2755,63,56,595,0.9656961660420871,0.9042553191489362,0.9139784946236559,0.9090909090909091,0.022356281050390347,0.9458111067866328,3469,651,0.3,0.9903549597223903,0.962283562757411,0.02957777620778418,0.10313728500698387
train,val_f1,5,2621,81,71,580,0.9546674619743514,0.8774583963691377,0.890937019969278,0.8841463414634146,0.02997779422649889,0.9304796128713895,3353,651,0.3,0.9895525985757834,0.9643961508211338,0.03173218751945063,0.1021554688718664
train,val_f1,6,2619,59,23,628,0.9753679783718835,0.9141193595342066,0.9646697388632872,0.9387144992526159,0.022031366691560868,0.9713191860858632,3329,651,0.3,0.9975363919930158,0.9914777915858259,0.014254094279885944,0.05433400817948689
train,val_f1,7,2800,54,26,625,0.9771754636233951,0.9204712812960235,0.9600614439324117,0.9398496240601504,0.0189208128941836,0.9705703155191141,3505,651,0.3,0.9948615520082844,0.9867500790182347,0.01582989870966772,0.06286707167281677
train,val_f1,8,2855,20,42,578,0.9822603719599428,0.9665551839464883,0.932258064516129,0.9490968801313628,0.006956521739130435,0.9626507713884993,3495,620,0.3,0.997781206171108,0.9907565671593086,0.015428357015595204,0.05442120152246308
train,val_f1,9,2324,51,51,569,0.9659432387312187,0.917741935483871,0.917741935483871,0.917741935483871,0.021473684210526315,0.9481341256366723,2995,620,0.3,0.9928692699490662,0.978968491232241,0.026324582586033932,0.09394075455326184
train,val_fpr02,0,2603,0,651,0,0.7999385371850031,0.0,0.0,0.0,0.0,0.5,3254,651,1.000001,0.9912472492745875,0.9684384948307653,0.04038972465682733,0.13485715993858188
train,val_fpr02,1,2407,0,651,0,0.7871157619359058,0.0,0.0,0.0,0.0,0.5,3058,651,1.000001,0.998957852704318,0.9965973707383875,0.00929215682707483,0.035729352083406204
train,val_fpr02,2,2503,0,651,0,0.7935954343690552,0.0,0.0,0.0,0.0,0.5,3154,651,1.000001,0.9969296444880582,0.9895343604268156,0.017650668872930684,0.061608625568229325
train,val_fpr02,3,2629,0,651,0,0.8015243902439024,0.0,0.0,0.0,0.0,0.5,3280,651,1.000001,0.9989839197559538,0.9963851684711703,0.009670998647022214,0.03639362291976121
train,val_fpr02,4,2818,0,651,0,0.8123378495243586,0.0,0.0,0.0,0.0,0.5,3469,651,1.000001,0.9903549597223903,0.962283562757411,0.02957777620778418,0.10313728500698387
train,val_fpr02,5,2702,0,651,0,0.8058455114822547,0.0,0.0,0.0,0.0,0.5,3353,651,1.000001,0.9895525985757834,0.9643961508211338,0.03173218751945063,0.1021554688718664
train,val_fpr02,6,2678,0,651,0,0.8044457795133674,0.0,0.0,0.0,0.0,0.5,3329,651,1.000001,0.9975363919930158,0.9914777915858259,0.014254094279885944,0.05433400817948689
train,val_fpr02,7,2854,0,651,0,0.814265335235378,0.0,0.0,0.0,0.0,0.5,3505,651,1.000001,0.9948615520082844,0.9867500790182347,0.01582989870966772,0.06286707167281677
train,val_fpr02,8,2875,0,620,0,0.8226037195994278,0.0,0.0,0.0,0.0,0.5,3495,620,1.000001,0.997781206171108,0.9907565671593086,0.015428357015595204,0.05442120152246308
train,val_fpr02,9,2375,0,620,0,0.7929883138564274,0.0,0.0,0.0,0.0,0.5,2995,620,1.000001,0.9928692699490662,0.978968491232241,0.026324582586033932,0.09394075455326184
validation,fixed,0,625,221,42,144,0.7451550387596899,0.39452054794520547,0.7741935483870968,0.5226860254083484,0.26122931442080377,0.7564821169831465,1032,186,0.5,0.8217862680800223,0.40367963320348743,0.23176051076236034,1.091295093310624
validation,fixed,1,600,46,58,128,0.875,0.735632183908046,0.6881720430107527,0.7111111111111111,0.07120743034055728,0.8084823063350977,832,186,0.5,0.909908785245847,0.7437623145635933,0.10978958768883217,0.4746055441569197
validation,fixed,2,453,7,87,68,0.8471544715447155,0.9066666666666666,0.43870967741935485,0.591304347826087,0.015217391304347827,0.7117461430575035,615,155,0.5,0.9257223001402526,0.8260066797110291,0.13053487429428495,0.5179058855104015
validation,fixed,3,561,49,55,100,0.8640522875816994,0.6711409395973155,0.6451612903225806,0.6578947368421053,0.08032786885245902,0.7824167107350608,765,155,0.5,0.8771866737176096,0.6312159702607112,0.11922533114864427,0.6147183630148123
validation,fixed,4,648,70,77,78,0.8316151202749141,0.527027027027027,0.5032258064516129,0.5148514851485149,0.09749303621169916,0.7028663851199568,873,155,0.5,0.8381615598885793,0.6124654787078735,0.13511449133321798,0.49656302430325844
validation,fixed,5,565,25,76,79,0.8644295302013423,0.7596153846153846,0.5096774193548387,0.61003861003861,0.0423728813559322,0.7336522689994532,745,155,0.5,0.9106724986331329,0.7518590632672528,0.11138854562810169,0.41594015982331894
validation,fixed,6,720,70,82,73,0.8391534391534392,0.5104895104895105,0.47096774193548385,0.4899328859060403,0.08860759493670886,0.6911800734993875,945,155,0.5,0.7485340955492038,0.5221984668991483,0.13755323705122638,0.595298030688163
validation,fixed,7,409,74,45,110,0.8134796238244514,0.5978260869565217,0.7096774193548387,0.6489675516224189,0.15320910973084886,0.7782341548119949,638,155,0.5,0.9014893474921526,0.7325080351748678,0.13151269681284955,0.4084937304175246
validation,fixed,8,592,103,71,84,0.7952941176470588,0.44919786096256686,0.5419354838709678,0.49122807017543857,0.14820143884892087,0.6968670225110234,850,155,0.5,0.7983569273613367,0.439333841314219,0.1788004421733354,0.8847677596319735
validation,fixed,9,632,45,38,117,0.9002403846153846,0.7222222222222222,0.7548387096774194,0.7381703470031545,0.06646971935007386,0.8441844951636728,832,155,0.5,0.9325010720922475,0.8308036079489529,0.07667954477906685,0.26586570619401
validation,val_f1,0,609,237,40,146,0.7315891472868217,0.381201044386423,0.7849462365591398,0.5131810193321616,0.2801418439716312,0.7524021962937543,1032,186,0.3,0.8217862680800223,0.40367963320348743,0.23176051076236034,1.091295093310624
validation,val_f1,1,589,57,53,133,0.8677884615384616,0.7,0.7150537634408602,0.7074468085106383,0.08823529411764706,0.8134092346616066,832,186,0.3,0.909908785245847,0.7437623145635933,0.10978958768883217,0.4746055441569197
validation,val_f1,2,451,9,81,74,0.8536585365853658,0.891566265060241,0.4774193548387097,0.6218487394957983,0.01956521739130435,0.7289270687237026,615,155,0.3,0.9257223001402526,0.8260066797110291,0.13053487429428495,0.5179058855104015
validation,val_f1,3,548,62,54,101,0.8483660130718954,0.6196319018404908,0.6516129032258065,0.6352201257861635,0.10163934426229508,0.7749867794817558,765,155,0.3,0.8771866737176096,0.6312159702607112,0.11922533114864427,0.6147183630148123
validation,val_f1,4,632,86,70,85,0.8213058419243986,0.49707602339181284,0.5483870967741935,0.5214723926380368,0.11977715877437325,0.7143049689999101,873,155,0.3,0.8381615598885793,0.6124654787078735,0.13511449133321798,0.49656302430325844
validation,val_f1,5,544,46,63,92,0.8536912751677852,0.6666666666666666,0.5935483870967742,0.6279863481228669,0.07796610169491526,0.7577911427009294,745,155,0.3,0.9106724986331329,0.7518590632672528,0.11138854562810169,0.41594015982331894
validation,val_f1,6,690,100,73,82,0.816931216931217,0.45054945054945056,0.5290322580645161,0.486646884272997,0.12658227848101267,0.7012249897917517,945,155,0.3,0.7485340955492038,0.5221984668991483,0.13755323705122638,0.595298030688163
validation,val_f1,7,397,86,33,122,0.8134796238244514,0.5865384615384616,0.7870967741935484,0.6721763085399449,0.17805383022774326,0.8045214719829026,638,155,0.3,0.9014893474921526,0.7325080351748678,0.13151269681284955,0.4084937304175246
validation,val_f1,8,581,114,61,94,0.7941176470588235,0.4519230769230769,0.6064516129032258,0.5179063360881543,0.16402877697841728,0.7212114179624043,850,155,0.3,0.7983569273613367,0.439333841314219,0.1788004421733354,0.8847677596319735
