epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.523181181028163,,,,0.001593249849975109,0.02055496722459793,,0.0,0,0,0,0,0,23.80277427798137,23.798999048070982,5.565966009162366,0.0014372528530657291,0.0,32532,0,10,1.0
2,0.46667763979139004,,,,0.004072609823197126,0.05233670771121979,,0.0,0,0,0,0,0,19.21772480593063,19.214583304477856,2.522348277969286,0.0013149429578334093,0.0,32532,0,10,1.0
3,0.4463832054381779,,,,0.004762852564454079,0.06118118390440941,,0.0,0,0,0,0,0,17.905846904031932,17.903054816182703,2.1130229611881077,0.0012250370346009731,0.0,32532,0,10,1.0
4,0.3882412916754372,,,,0.005766930524259806,0.07387074083089828,,0.0,0,0,0,0,0,18.452278833137825,18.449526290176436,2.0399759029969573,0.0012200979981571436,0.0,32532,0,10,1.0
5,0.39761826494393965,0.3502398769205884,0.8289148108872393,0.4769452449567723,0.00645087705925107,0.08253317326307297,0.09177350427350427,0.0,0,0,0,0,0,17.611096687149256,17.6084105479531,2.141459388891235,0.0011783309746533632,0.0,32532,0,10,1.0
6,0.3849508084979399,,,,0.0074843051843345165,0.09558160603046417,,0.0,0,0,0,0,0,18.97718953411095,18.974406216992065,2.2844044719822705,0.0011795810423791409,0.0,32532,0,10,1.0
7,0.34645980908838836,,,,0.008699767291545868,0.11079662293195724,,0.0,0,0,0,0,0,18.116711044916883,18.113953355699778,2.1407184549607337,0.0012158241588622332,0.0,32532,0,10,1.0
8,0.35096979170258036,,,,0.009881073608994484,0.12564021348953247,,0.0,0,0,0,0,0,18.03310664696619,18.030339630087838,2.0595378670841455,0.00122522609308362,0.0,32532,0,10,1.0
9,0.3418410437393363,,,,0.011022388935089111,0.13982442021369934,,0.0,0,0,0,0,0,19.426471333950758,19.423173170769587,2.205934617901221,0.001456413883715868,0.0,32532,0,10,1.0
10,0.3222096839475056,0.32965472281373337,0.8297396017438435,0.5566124578091439,0.012031878344714642,0.1522899568080902,0.09396367521367521,0.0,0,0,0,0,0,19.562743080081418,19.559892954537645,2.380107185104862,0.0012751510366797447,0.0,32532,0,10,1.0
