epoch,split,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
5,train,0,2194,222,249,402,0.846429735898272,0.6442307692307693,0.6175115207373272,0.6305882352941177,0.09188741721854304,0.762812051759392,3067,651,0.5,0.9027979115166681,0.6818831486558773,0.10986027289564662,0.3553493325278707
5,train,1,2966,123,376,275,0.8665775401069519,0.6909547738693468,0.42242703533026116,0.5243088655862727,0.03981871155713823,0.6913041618865614,3740,651,0.5,0.8909409982102888,0.6145650706143263,0.09675859246693823,0.3047977651339665
5,train,2,2613,276,227,424,0.857909604519774,0.6057142857142858,0.6513056835637481,0.6276831976313841,0.09553478712357218,0.7778854482200879,3540,651,0.5,0.9086704747442361,0.6604184905773401,0.09297901566852568,0.29036946588023616
5,train,3,2358,74,302,349,0.8780408692831657,0.8250591016548463,0.5360983102918587,0.6499068901303539,0.03042763157894737,0.7528353393564557,3083,651,0.5,0.9217107789635379,0.7747472779699497,0.09751324831449729,0.31295369634090947
5,train,4,2413,84,369,282,0.8560991105463787,0.7704918032786885,0.43317972350230416,0.5545722713864307,0.03364036844213056,0.6997696775300868,3148,651,0.5,0.8990419840213786,0.7006881361300472,0.10838531468037542,0.3320669678454545
5,train,5,2261,0,581,70,0.8004807692307693,1.0,0.10752688172043011,0.1941747572815534,0.0,0.553763440860215,2912,651,0.5,0.9070392163656634,0.6971540310607051,0.13734361222330188,0.40243104588719797
5,train,6,2746,7,528,123,0.8428319623971798,0.9461538461538461,0.1889400921658986,0.31498079385403327,0.0025426807119505995,0.593198705726974,3404,651,0.5,0.8904381925485004,0.6870975953545816,0.10658760599005251,0.33567556269120163
5,train,7,2389,131,446,205,0.8180384736676127,0.6101190476190477,0.31490015360983103,0.4154002026342452,0.05198412698412699,0.631458013312852,3171,651,0.5,0.882421427352303,0.580343100655603,0.11507728854773316,0.3494501018229277
5,train,8,2289,162,363,257,0.8290459133832628,0.6133651551312649,0.41451612903225804,0.49470644850818096,0.06609547123623011,0.6742103288980139,3071,620,0.5,0.8934398073202512,0.6205663620282672,0.10839901165443946,0.32725910346068726
5,train,9,2698,78,512,108,0.826266195524146,0.5806451612903226,0.17419354838709677,0.2679900744416873,0.028097982708933718,0.5730477828390815,3396,620,0.5,0.8860073672957145,0.5335679764439165,0.10493531552911495,0.31296935440353174
5,validation,0,738,114,54,132,0.838150289017341,0.5365853658536586,0.7096774193548387,0.6111111111111112,0.13380281690140844,0.7879373012267151,1038,186,0.5,0.8508569337169972,0.48689025432077593,0.1315882078921344,0.41209711491764084
5,validation,1,651,29,146,40,0.7979214780600462,0.5797101449275363,0.21505376344086022,0.3137254901960784,0.04264705882352941,0.5862033523086654,866,186,0.5,0.8719481340923466,0.5857627032174995,0.15193961787343804,0.45549306241009047
5,validation,2,594,83,62,93,0.8257211538461539,0.5284090909090909,0.6,0.5619335347432024,0.12259970457902511,0.7387001477104874,832,155,0.5,0.8875875542002193,0.6711424514817393,0.10257057498832049,0.3232018684433289
5,validation,3,702,43,33,122,0.9155555555555556,0.7393939393939394,0.7870967741935484,0.7625,0.05771812080536913,0.8646893266940896,900,155,0.5,0.9595063866637801,0.8040633210077918,0.0663169458736896,0.22016624468176701
5,validation,4,581,70,91,64,0.8002481389578163,0.47761194029850745,0.4129032258064516,0.4429065743944637,0.10752688172043011,0.6526881720430108,806,155,0.5,0.8261285367424805,0.6212721514084271,0.1272599752029953,0.39831242672529765
5,validation,5,517,0,155,0,0.7693452380952381,0.0,0.0,0.0,0.0,0.5,672,155,0.5,0.8974106195794597,0.7006683107232445,0.14394889004590386,0.42215886432461747
5,validation,6,733,2,98,57,0.8876404494382022,0.9661016949152542,0.36774193548387096,0.5327102803738317,0.0027210884353741495,0.6825104235242484,890,155,0.5,0.9410577134079438,0.76923607133064,0.08799819060467491,0.2885206925592344
5,validation,7,604,51,112,43,0.7987654320987654,0.4574468085106383,0.27741935483870966,0.3453815261044177,0.07786259541984733,0.5997783797094312,810,155,0.5,0.8318739226791431,0.5281175102030684,0.1278786531203742,0.387475947638907
5,validation,8,618,110,64,91,0.8029445073612684,0.4527363184079602,0.5870967741935483,0.5112359550561798,0.1510989010989011,0.7179989365473236,883,155,0.5,0.8887894363700816,0.5964564436345208,0.10343681353907284,0.3145618327168809
5,validation,9,635,0,135,20,0.8291139240506329,1.0,0.12903225806451613,0.22857142857142856,0.0,0.564516129032258,790,155,0.5,0.9374244348488698,0.7548320264948214,0.09880434666383098,0.29125425103034436
10,train,0,2305,111,171,480,0.9080534724486469,0.8121827411167513,0.7373271889400922,0.7729468599033816,0.04594370860927152,0.8456917401654103,3067,651,0.5,0.9471680094810836,0.8385082269855858,0.07345004927566832,0.24595626439414184
10,train,1,2929,160,246,405,0.8914438502673797,0.7168141592920354,0.6221198156682027,0.6661184210526315,0.05179669796050502,0.7851615588538489,3740,651,0.5,0.9123160871612714,0.715448824974624,0.08860812615942323,0.29077645458640283
10,train,2,2719,170,255,396,0.8799435028248588,0.6996466431095406,0.6082949308755761,0.6507806080525883,0.058843890619591555,0.7747255201279923,3540,651,0.5,0.9291618879599988,0.7438727179640687,0.08087358147191391,0.2571432545879149
10,train,3,2250,182,204,447,0.8747972753811223,0.7106518282988871,0.6866359447004609,0.6984375,0.07483552631578948,0.8059002091923357,3083,651,0.5,0.9285802712426228,0.7994317680758328,0.08998461810554498,0.2961610210637817
10,train,4,2325,172,309,342,0.8472045743329097,0.6653696498054474,0.5253456221198156,0.5871244635193134,0.06888265919102923,0.7282314814643932,3148,651,0.5,0.9090090904784666,0.7208766234677922,0.10046782621085096,0.3002198297655821
10,train,5,2021,240,172,479,0.8585164835164835,0.6662030598052852,0.7357910906298003,0.6992700729927007,0.10614772224679346,0.8148216841915035,2912,651,0.5,0.9177518205924136,0.731358887868962,0.09885272900246013,0.30769385835022184
