split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,2406,10,30,621,0.986957939354418,0.9841521394611727,0.9539170506912442,0.968798751950078,0.0041390728476821195,0.9748889889217811,3067,651,0.5,0.9988104139327169,0.9962445289601315,0.010312592623229913,0.03898851714000301
train,fixed,1,3041,48,102,549,0.9598930481283422,0.9195979899497487,0.8433179723502304,0.8798076923076923,0.015539009388151505,0.9138894814810394,3740,651,0.5,0.989666518974469,0.962929043537249,0.027915963830010694,0.09414141046843023
train,fixed,2,2842,47,50,601,0.9725988700564971,0.9274691358024691,0.9231950844854071,0.9253271747498075,0.016268605053651783,0.9534632397158777,3540,651,0.5,0.9940868988200916,0.9801208505141864,0.020702643381614334,0.07447011609177669
train,fixed,3,2416,16,155,496,0.9445345442750568,0.96875,0.7619047619047619,0.8529664660361135,0.006578947368421052,0.8776629072681704,3083,651,0.5,0.9857083484921981,0.9593495666939116,0.03966913145483359,0.13214018825408655
train,fixed,4,2471,26,34,617,0.9809402795425667,0.9595645412130638,0.9477726574500768,0.9536321483771252,0.010412494993992792,0.9686800812280421,3148,651,0.5,0.9976426396775978,0.9919188770382634,0.015293182664037867,0.05642886939673988
train,fixed,5,2223,38,56,595,0.9677197802197802,0.9399684044233807,0.9139784946236559,0.926791277258567,0.01680672268907563,0.9485858859672901,2912,651,0.5,0.9944249346597722,0.9808706432156808,0.02492749153717781,0.08714252063468644
train,fixed,6,2611,142,30,621,0.9494712103407755,0.8138925294888598,0.9539170506912442,0.8783592644978784,0.05158009444242644,0.951168478124409,3404,651,0.5,0.9926972558354159,0.9757593118952993,0.03583420500218868,0.11414312207990147
train,fixed,7,2497,23,37,614,0.9810785241248817,0.9638932496075353,0.9431643625192012,0.953416149068323,0.009126984126984128,0.9670186891961086,3171,651,0.5,0.9972356326042963,0.9899556631088883,0.016213354103444835,0.0600252225202327
train,fixed,8,2414,37,51,569,0.9713448388147183,0.9389438943894389,0.917741935483871,0.9282218597063622,0.015095879232966136,0.9513230281254523,3071,620,0.5,0.9964589831668443,0.9867974037575215,0.01963875002643912,0.06688759936554839
train,fixed,9,2750,26,57,563,0.9755594817432274,0.9558573853989814,0.9080645161290323,0.9313482216708023,0.009365994236311239,0.9493492609463605,3396,620,0.5,0.9968503067769825,0.9874364557131986,0.017106948151373678,0.05854678431053749
train,val_f1,0,2348,68,4,647,0.9765242908379524,0.9048951048951049,0.9938556067588326,0.9472913616398243,0.028145695364238412,0.9828549556972971,3067,651,0.09999999999999999,0.9988104139327169,0.9962445289601315,0.010312592623229913,0.03898851714000301
train,val_f1,1,2769,320,18,633,0.9096256684491979,0.664218258132214,0.9723502304147466,0.7892768079800498,0.10359339592101004,0.9343784172468683,3740,651,0.09999999999999999,0.989666518974469,0.962929043537249,0.027915963830010694,0.09414141046843023
train,val_f1,2,2627,262,12,639,0.9225988700564972,0.709211986681465,0.9815668202764977,0.8234536082474226,0.09068881966078228,0.9454390003078577,3540,651,0.09999999999999999,0.9940868988200916,0.9801208505141864,0.020702643381614334,0.07447011609177669
train,val_f1,3,2264,168,42,609,0.9318845280570872,0.7837837837837838,0.9354838709677419,0.8529411764705882,0.06907894736842106,0.9332024617996604,3083,651,0.09999999999999999,0.9857083484921981,0.9593495666939116,0.03966913145483359,0.13214018825408655
train,val_f1,4,2328,169,5,646,0.9447268106734434,0.7926380368098159,0.9923195084485407,0.8813096862210096,0.06768121746095314,0.9623191454937938,3148,651,0.09999999999999999,0.9976426396775978,0.9919188770382634,0.015293182664037867,0.05642886939673988
train,val_f1,5,2027,234,3,648,0.9186126373626373,0.7346938775510204,0.9953917050691244,0.8454011741682974,0.10349402919062362,0.9459488379392504,2912,651,0.09999999999999999,0.9944249346597722,0.9808706432156808,0.02492749153717781,0.08714252063468644
train,val_f1,6,2462,291,11,640,0.9112808460634547,0.6874328678839957,0.9831029185867896,0.809102402022756,0.10570286959680349,0.938700024494993,3404,651,0.09999999999999999,0.9926972558354159,0.9757593118952993,0.03583420500218868,0.11414312207990147
train,val_f1,7,2358,162,7,644,0.9467045096184169,0.7990074441687345,0.989247311827957,0.8840082361015786,0.06428571428571428,0.9624807987711214,3171,651,0.09999999999999999,0.9972356326042963,0.9899556631088883,0.016213354103444835,0.0600252225202327
train,val_f1,8,2292,159,3,617,0.9472484532725497,0.7951030927835051,0.9951612903225806,0.8839541547277937,0.06487148102815178,0.9651449046472145,3071,620,0.09999999999999999,0.9964589831668443,0.9867974037575215,0.01963875002643912,0.06688759936554839
train,val_f1,9,2587,189,6,614,0.9425795053003534,0.7646326276463262,0.9903225806451613,0.8629655657062544,0.0680835734870317,0.9611195035790648,3396,620,0.09999999999999999,0.9968503067769825,0.9874364557131986,0.017106948151373678,0.05854678431053749
train,val_fpr02,0,2416,0,651,0,0.7877404629931529,0.0,0.0,0.0,0.0,0.5,3067,651,1.000001,0.9988104139327169,0.9962445289601315,0.010312592623229913,0.03898851714000301
train,val_fpr02,1,3089,0,651,0,0.8259358288770053,0.0,0.0,0.0,0.0,0.5,3740,651,1.000001,0.989666518974469,0.962929043537249,0.027915963830010694,0.09414141046843023
train,val_fpr02,2,2889,0,651,0,0.8161016949152542,0.0,0.0,0.0,0.0,0.5,3540,651,1.000001,0.9940868988200916,0.9801208505141864,0.020702643381614334,0.07447011609177669
train,val_fpr02,3,2432,0,651,0,0.7888420369769705,0.0,0.0,0.0,0.0,0.5,3083,651,1.000001,0.9857083484921981,0.9593495666939116,0.03966913145483359,0.13214018825408655
train,val_fpr02,4,2497,0,651,0,0.7932020330368488,0.0,0.0,0.0,0.0,0.5,3148,651,1.000001,0.9976426396775978,0.9919188770382634,0.015293182664037867,0.05642886939673988
train,val_fpr02,5,2261,0,651,0,0.7764423076923077,0.0,0.0,0.0,0.0,0.5,2912,651,1.000001,0.9944249346597722,0.9808706432156808,0.02492749153717781,0.08714252063468644
train,val_fpr02,6,2753,0,651,0,0.8087544065804936,0.0,0.0,0.0,0.0,0.5,3404,651,1.000001,0.9926972558354159,0.9757593118952993,0.03583420500218868,0.11414312207990147
train,val_fpr02,7,2520,0,651,0,0.7947019867549668,0.0,0.0,0.0,0.0,0.5,3171,651,1.000001,0.9972356326042963,0.9899556631088883,0.016213354103444835,0.0600252225202327
