epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5100185435005431,,,,0.0022376265842467546,0.028865337371826172,,0.0,0,0,0,0,0,28.119415409164503,28.114957423415035,7.080310087883845,0.0014884930569678545,0.0,32895,0,10,1.0
2,0.433136043086422,,,,0.004271323326975107,0.05484325811266899,,0.0,0,0,0,0,0,23.518945473013446,23.51531386678107,2.5966379318851978,0.0014187239576131105,0.0,32895,0,10,1.0
3,0.4100969015777708,,,,0.005169207695871592,0.06635759025812149,,0.0,0,0,0,0,0,23.7329682870768,23.72971028275788,2.613619920797646,0.001348984893411398,0.0,32895,0,10,1.0
4,0.38340868766545466,,,,0.00608575064688921,0.0779736116528511,,0.0,0,0,0,0,0,23.592525786953047,23.588716394500807,2.521801011869684,0.0013429650571197271,0.0,32895,0,10,1.0
5,0.3642493839312526,0.3328107409709413,0.8425652387986213,0.5313301575668743,0.007272358518093824,0.09293818473815918,0.10865384615384616,0.0,0,0,0,0,0,23.064913855167106,23.06148985796608,2.587573636090383,0.0013504030648618937,0.0,32895,0,10,1.0
6,0.3514926265346549,,,,0.008426983840763569,0.10746468603610992,,0.0,0,0,0,0,0,24.32728192396462,24.32351012318395,2.72075218311511,0.0014020348899066448,0.0,32895,0,10,1.0
7,0.34677318882743097,,,,0.009584665298461914,0.12197409570217133,,0.0,0,0,0,0,0,24.140052067115903,24.136228955117986,2.7039769520051777,0.0013807490468025208,0.0,32895,0,10,1.0
8,0.320922316441882,,,,0.010778041556477547,0.13682414591312408,,0.0,0,0,0,0,0,23.78205688786693,23.77888478874229,2.6224183631129563,0.0013572520110756159,0.0,32895,0,10,1.0
9,0.31293957870552813,,,,0.011908250860869884,0.15082697570323944,,0.0,0,0,0,0,0,23.492799268104136,23.489741294877604,2.6347162711899728,0.0014080239925533533,0.0,32895,0,10,1.0
10,0.3048892810475905,0.34162770467235537,0.8515509601181684,0.6132135984605517,0.013054927811026573,0.16502714157104492,0.10357905982905984,0.0,0,0,0,0,0,22.72237766114995,22.719253556570038,2.5989078008569777,0.0014174599200487137,0.0,32895,0,10,1.0
11,0.30761416296474964,,,,0.01409105584025383,0.17784664034843445,,0.0,0,0,0,0,0,22.798118269070983,22.795234183082357,2.4576520319096744,0.0012672031298279762,0.0,32895,0,10,1.0
12,0.29231653576056854,,,,0.015166246332228184,0.19105838239192963,,0.0,0,0,0,0,0,22.723070428008214,22.719932090258226,2.4788175139110535,0.0014434559270739555,0.0,32895,0,10,1.0
13,0.278792543487574,,,,0.016364457085728645,0.2057139277458191,,0.0,0,0,0,0,0,22.90789523604326,22.904685580404475,2.535249234875664,0.0014932469930499792,0.0,32895,0,10,1.0
14,0.2858335466783534,,,,0.017421476542949677,0.21859636902809143,,0.0,0,0,0,0,0,22.742031435947865,22.738831602968276,2.5631165360100567,0.001465517096221447,0.0,32895,0,10,1.0
15,0.2848668441287077,0.34870296807785506,0.8483505662235352,0.5906976744186047,0.018705248832702637,0.23430638015270233,0.11201923076923077,0.0,0,0,0,0,0,22.441629357868806,22.4388741212897,2.52321889414452,0.001204092986881733,0.0,32895,0,10,1.0
16,0.27985659603070173,,,,0.019680121913552284,0.2460378259420395,,0.0,0,0,0,0,0,23.076527348021045,23.07363473204896,2.481794612016529,0.0012637400068342686,0.0,32895,0,10,1.0
17,0.26165611086749707,,,,0.020900849252939224,0.26079654693603516,,0.0,0,0,0,0,0,22.97155280201696,22.968686307081953,2.5012179859913886,0.0012550931423902512,0.0,32895,0,10,1.0
18,0.2497478808467029,,,,0.02203240804374218,0.2743212878704071,,0.0,0,0,0,0,0,22.841570629971102,22.838426367146894,2.5509540729690343,0.0012317609507590532,0.0,32895,0,10,1.0
19,0.2654228585069516,,,,0.023079901933670044,0.28689855337142944,,0.0,0,0,0,0,0,22.64159050490707,22.638767389114946,2.5383975938893855,0.0012422171421349049,0.0,32895,0,10,1.0
20,0.2749542342442853,0.37562835795873145,0.8500738552437223,0.6150442477876106,0.023996606469154358,0.29785555601119995,0.10373931623931625,0.0,0,0,0,0,0,22.379436624003574,22.37654025107622,2.4914358879905194,0.0013199131935834885,0.0,32895,0,10,1.0
21,0.24232895823898862,,,,0.02518065832555294,0.3118686378002167,,0.0,0,0,0,0,0,22.772422237088904,22.769487872254103,2.552915472071618,0.0012784830760210752,0.0,32895,0,10,1.0
22,0.24281540853231182,,,,0.026268132030963898,0.3248067796230316,,0.0,0,0,0,0,0,22.324604217195883,22.32149497489445,2.4664054887834936,0.001406738068908453,0.0,32895,0,10,1.0
23,0.22140395722934492,,,,0.027473054826259613,0.3390215039253235,,0.0,0,0,0,0,0,22.949540982954204,22.946185117587447,2.4465543469414115,0.0015124969650059938,0.0,32895,0,10,1.0
24,0.24447841458463465,,,,0.028345460072159767,0.34920305013656616,,0.0,0,0,0,0,0,22.533245793078095,22.530386839294806,2.480798725038767,0.001269020140171051,0.0,32895,0,10,1.0
25,0.2278846346865576,0.3795402310660969,0.8519202363367799,0.6057030481809242,0.029441609978675842,0.3620993196964264,0.11303418803418804,0.0,0,0,0,0,0,22.704268916044384,22.701446504797786,2.5217605649959296,0.0012139170430600643,0.0,32895,0,10,1.0
26,0.22135646764118944,,,,0.030425596982240677,0.37343740463256836,,0.0,0,0,0,0,0,22.913185362005606,22.909868511836976,2.4664739060681313,0.0013260049745440483,0.0,32895,0,10,1.0
27,0.22914269820751648,,,,0.03134883940219879,0.384107381105423,,0.0,0,0,0,0,0,22.955840557813644,22.952937338966876,2.5127709968946874,0.0012740599922835827,0.0,32895,0,10,1.0
28,0.20116804788992787,,,,0.03239358961582184,0.39621952176094055,,0.0,0,0,0,0,0,22.570929822977632,22.567975868470967,2.4873251549433917,0.0013378451112657785,0.0,32895,0,10,1.0
29,0.18936372783913552,,,,0.033340808004140854,0.4069163203239441,,0.0,0,0,0,0,0,22.732670492026955,22.72950186324306,2.4478348549455404,0.0013400039169937372,0.0,32895,0,10,1.0
30,0.22629382153500707,0.37302563057541827,0.8611521418020679,0.6289473684210526,0.033950891345739365,0.41386204957962036,0.10988247863247863,0.0,0,0,0,0,0,22.342206906992942,22.33921262761578,2.4826198059599847,0.0013628259766846895,0.0,32895,0,10,1.0
31,0.19502914972662289,,,,0.034942906349897385,0.4250938594341278,,0.0,0,0,0,0,0,22.66548859886825,22.662647341378033,2.4952353220432997,0.0012450430076569319,0.0,32895,0,10,1.0
32,0.1870418047144407,,,,0.03582563251256943,0.4351404011249542,,0.0,0,0,0,0,0,22.338966553099453,22.336043683812022,2.4473047400824726,0.0012460879515856504,0.0,32895,0,10,1.0
33,0.18495387599154822,,,,0.03658243268728256,0.44358354806900024,,0.0,0,0,0,0,0,22.670009698951617,22.66716022323817,2.5049814127851278,0.0012301700189709663,0.0,32895,0,10,1.0
34,0.1667674312145489,,,,0.037590015679597855,0.45482900738716125,,0.0,0,0,0,0,0,22.63971381005831,22.636621376965195,2.5563305460382253,0.0013269719202071428,0.0,32895,0,10,1.0
35,0.19180331557545832,0.43474272407404085,0.8466272772033481,0.6054464851171628,0.038361456245183945,0.4635480046272278,0.11912393162393162,0.0,0,0,0,0,0,22.42980446200818,22.426623926963657,2.563209107145667,0.0014513370115309954,0.0,32895,0,10,1.0
36,0.16276804075144238,,,,0.03917393833398819,0.4724228084087372,,0.0,0,0,0,0,0,22.590640032896772,22.587438707239926,2.5779524000827223,0.0012980280444025993,0.0,32895,0,10,1.0
37,0.17165881190019966,,,,0.039915334433317184,0.48070400953292847,,0.0,0,0,0,0,0,22.637061910005286,22.633974639466032,2.4601161738391966,0.0013661831617355347,0.0,32895,0,10,1.0
38,0.16290544787670358,,,,0.040705665946006775,0.4895160496234894,,0.0,0,0,0,0,0,22.431628342019394,22.42873712000437,2.4749263350386173,0.0012834290973842144,0.0,32895,0,10,1.0
39,0.17013332525076894,,,,0.04144038259983063,0.49760928750038147,,0.0,0,0,0,0,0,22.9129034508951,22.909961548866704,2.54239030694589,0.001309417886659503,0.0,32895,0,10,1.0
40,0.14717337171624464,0.45902833380437663,0.8547513540128016,0.6249205340114431,0.04218999668955803,0.5056571364402771,0.12761752136752136,0.0,0,0,0,0,0,22.61688469699584,22.613896516850218,2.5005361910443753,0.0012916580308228731,0.0,32895,0,10,1.0
41,0.14083868650738715,,,,0.04304356873035431,0.5149403214454651,,0.0,0,0,0,0,0,23.054438966093585,23.05143325193785,2.5270521701313555,0.0012973649427294731,0.0,32895,0,10,1.0
42,0.14686062216779766,,,,0.04376336932182312,0.5227511525154114,,0.0,0,0,0,0,0,21.8316991860047,21.828895405400544,2.4682025250513107,0.0012299739755690098,0.0,32895,0,10,1.0
43,0.1360598549084859,,,,0.04444751888513565,0.5301687121391296,,0.0,0,0,0,0,0,20.85748507012613,20.8545189446304,2.3513671858236194,0.0013279160484671593,0.0,32895,0,10,1.0
44,0.12573808717151297,,,,0.045249778777360916,0.5388421416282654,,0.0,0,0,0,0,0,19.72843776200898,19.72546504694037,2.2629640789236873,0.0012968408409506083,0.0,32895,0,10,1.0
45,0.11829781499820687,0.5271363917602954,0.8429345150172329,0.6097859327217126,0.04598917439579964,0.5467833876609802,0.134508547008547,0.0,0,0,0,0,0,17.341868127929047,17.339218576205894,1.9399618380703032,0.001164230052381754,0.0,32895,0,10,1.0
46,0.11585141799902243,,,,0.046657316386699677,0.5539707541465759,,0.0,0,0,0,0,0,17.099069572985172,17.096292433096096,1.9139701100066304,0.0012133610434830189,0.0,32895,0,10,1.0
47,0.10859407978470889,,,,0.04727550595998764,0.5605279207229614,,0.0,0,0,0,0,0,17.302963027963415,17.30024740472436,1.876769543159753,0.0011881031095981598,0.0,32895,0,10,1.0
48,0.10484992676495228,,,,0.0479668565094471,0.5676906108856201,,0.0,0,0,0,0,0,17.708879585843533,17.706118962028995,1.9564152020029724,0.0012092029210180044,0.0,32895,0,10,1.0
49,0.11851513596591016,,,,0.04854658246040344,0.5739210247993469,,0.0,0,0,0,0,0,17.071235295850784,17.068450845312327,1.9975527769420296,0.001220216043293476,0.0,32895,0,10,1.0
50,0.10360916491647784,0.5773142242087193,0.8474889217134417,0.6322350845948352,0.04917004331946373,0.5803501605987549,0.15737179487179487,0.0,0,0,0,0,0,16.536662284052,16.533926515141502,1.8296620741020888,0.0011889729648828506,0.0,32895,0,10,1.0
