split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,2781,24,25,626,0.9858217592592593,0.963076923076923,0.9615975422427036,0.962336664104535,0.008556149732620321,0.9765206962550417,3456,651,0.5,0.9990306973229175,0.9959646404490555,0.009986036321210947,0.03425318702925243
train,fixed,1,2786,41,30,621,0.979585968947671,0.9380664652567976,0.9539170506912442,0.945925361766946,0.014503006720905553,0.9697070219851693,3478,651,0.5,0.9972684944443448,0.9905384790587621,0.01499338216257816,0.056279903219403536
train,fixed,2,2946,5,22,629,0.9925041643531372,0.9921135646687698,0.9662058371735791,0.978988326848249,0.0016943409013893595,0.982255748136095,3602,651,0.5,0.9995372445280076,0.9980208762925734,0.006334717145162514,0.025140580627449463
train,fixed,3,2739,42,28,623,0.9796037296037297,0.9368421052631579,0.956989247311828,0.9468085106382979,0.015102481121898598,0.9709433830949648,3432,651,0.5,0.9974431502774754,0.9903192049293741,0.017188740159967797,0.06102624458940542
train,fixed,4,2416,82,19,632,0.9679263258177199,0.8851540616246498,0.9708141321044547,0.926007326007326,0.03282626100880705,0.9689939355478239,3149,651,0.5,0.9971799251997604,0.9903768359954329,0.023119408584770178,0.08079372944653497
train,fixed,5,2679,72,18,633,0.9735449735449735,0.8978723404255319,0.9723502304147466,0.9336283185840708,0.026172300981461286,0.9730889647166426,3402,651,0.5,0.9966927261752603,0.9879563733917232,0.0212620632309273,0.0760054209494541
train,fixed,6,2306,29,69,582,0.9671801741460148,0.9525368248772504,0.8940092165898618,0.9223454833597464,0.012419700214132762,0.9407947581878645,2986,651,0.5,0.9963153376291457,0.9870803343661256,0.023035294839631768,0.07294319037182634
train,fixed,7,2406,123,43,608,0.9477987421383648,0.8317373461012312,0.9339477726574501,0.8798842257597684,0.04863582443653618,0.942655974110457,3180,651,0.5,0.9906339913227756,0.9704100275629506,0.03865219992365206,0.12987169230680826
train,fixed,8,2670,10,30,590,0.9878787878787879,0.9833333333333333,0.9516129032258065,0.9672131147540983,0.0037313432835820895,0.9739407799711122,3300,620,0.5,0.9988577274915744,0.9953152868625499,0.011416942721382646,0.04530811813263304
train,fixed,9,2273,17,26,594,0.9852233676975946,0.972176759410802,0.9580645161290322,0.9650690495532088,0.007423580786026201,0.975320467671503,2910,620,0.5,0.9978968868854768,0.9934119997250168,0.012894794927995959,0.048271204521548636
train,val_f1,0,2761,44,9,642,0.9846643518518519,0.9358600583090378,0.9861751152073732,0.9603590127150337,0.01568627450980392,0.9852444203487847,3456,651,0.32,0.9990306973229175,0.9959646404490555,0.009986036321210947,0.03425318702925243
train,val_f1,1,2752,75,21,630,0.9723979298447384,0.8936170212765957,0.967741935483871,0.9292035398230089,0.026529890343119915,0.9706060225703755,3478,651,0.32,0.9972684944443448,0.9905384790587621,0.01499338216257816,0.056279903219403536
train,val_f1,2,2939,12,13,638,0.99305941143809,0.9815384615384616,0.9800307219662059,0.9807840122982321,0.004066418163334463,0.9879821519014358,3602,651,0.32,0.9995372445280076,0.9980208762925734,0.006334717145162514,0.025140580627449463
train,val_f1,3,2669,112,11,640,0.9641608391608392,0.851063829787234,0.9831029185867896,0.9123307198859587,0.040273282991729595,0.9714148177975299,3432,651,0.32,0.9974431502774754,0.9903192049293741,0.017188740159967797,0.06102624458940542
train,val_f1,4,2359,139,7,644,0.9536360749444268,0.822477650063857,0.989247311827957,0.898186889818689,0.055644515612489995,0.9668013981077335,3149,651,0.32,0.9971799251997604,0.9903768359954329,0.023119408584770178,0.08079372944653497
train,val_f1,5,2610,141,14,637,0.9544385655496767,0.8187660668380463,0.978494623655914,0.8915325402379286,0.05125408942202835,0.9636202671169428,3402,651,0.32,0.9966927261752603,0.9879563733917232,0.0212620632309273,0.0760054209494541
train,val_f1,6,2291,44,49,602,0.9688546550569324,0.9318885448916409,0.9247311827956989,0.9282960678488821,0.018843683083511777,0.9529437498560935,2986,651,0.32,0.9963153376291457,0.9870803343661256,0.023035294839631768,0.07294319037182634
train,val_f1,7,2352,177,23,628,0.9371069182389937,0.7801242236024845,0.9646697388632872,0.8626373626373627,0.06998813760379596,0.9473408006297457,3180,651,0.32,0.9906339913227756,0.9704100275629506,0.03865219992365206,0.12987169230680826
train,val_f1,8,2648,32,18,602,0.9848484848484849,0.9495268138801262,0.9709677419354839,0.960127591706539,0.011940298507462687,0.9795137217140106,3300,620,0.32,0.9988577274915744,0.9953152868625499,0.011416942721382646,0.04530811813263304
train,val_f1,9,2246,44,20,600,0.9780068728522336,0.9316770186335404,0.967741935483871,0.9493670886075949,0.01921397379912664,0.9742639808423722,2910,620,0.32,0.9978968868854768,0.9934119997250168,0.012894794927995959,0.048271204521548636
train,val_fpr02,0,2805,0,651,0,0.8116319444444444,0.0,0.0,0.0,0.0,0.5,3456,651,1.000001,0.9990306973229175,0.9959646404490555,0.009986036321210947,0.03425318702925243
