epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.2986003992057616,,,,6.0271561075353475e-09,7.65058274510011e-08,,0.0,0,0,0,0,0,19.056176640093327,19.04799654800445,19.04799654800445,0.0017243600450456142,0.0,15500,0,10,1.0
2,0.11611752312990926,,,,6.217952375209279e-09,7.754742625820654e-08,,0.0,0,0,0,0,0,12.708261600928381,12.70220302301459,12.70220302301459,0.001405858900398016,0.0,15500,0,10,1.0
3,0.10094049243677047,,,,6.138058505911204e-09,7.588187855844808e-08,,0.0,0,0,0,0,0,12.648404408013448,12.641922174021602,12.641922174021602,0.0014005987904965878,0.0,15500,0,10,1.0
4,0.08814551037165426,,,,6.300719945784294e-09,7.701586923758441e-08,,0.0,0,0,0,0,0,12.34130272991024,12.33631912781857,12.33631912781857,0.0013650457840412855,0.0,15500,0,10,1.0
5,0.0753425061101875,0.047099325930438724,0.9770833333333333,0.9234338747099768,6.055179468944516e-09,7.306344684820942e-08,0.0,0.0,0,0,0,0,0,12.336489262059331,12.331726261181757,12.331726261181757,0.001282121054828167,0.0,15500,0,10,1.0
6,0.06816942415410472,,,,6.386071227382217e-09,7.629980558476746e-08,,0.0,0,0,0,0,0,12.267447018995881,12.262859632028267,12.262859632028267,0.0012515690177679062,0.0,15500,0,10,1.0
7,0.06448981405025528,,,,6.387428808096729e-09,7.546173463879313e-08,,0.0,0,0,0,0,0,12.487204866018146,12.482231987873092,12.482231987873092,0.0014467928558588028,0.0,15500,0,10,1.0
8,0.06817788051501397,,,,6.353292558713974e-09,7.406636370888009e-08,,0.0,0,0,0,0,0,12.865875269984826,12.86103746201843,12.86103746201843,0.0013508901465684175,0.0,15500,0,10,1.0
9,0.055083326875202114,,,,6.43899022989558e-09,7.421787273642622e-08,,0.0,0,0,0,0,0,12.390542046166956,12.385655241087079,12.385655241087079,0.001280744792893529,0.0,15500,0,10,1.0
10,0.054458837908121845,0.047348197667369425,0.9770833333333333,0.9139878366637706,6.663759766212252e-09,7.6115405533983e-08,0.0,0.0,0,0,0,0,0,12.66460087406449,12.659746795194224,12.659746795194224,0.0013198619708418846,0.0,15500,0,10,1.0
11,0.051598477531825344,,,,6.583904532675433e-09,7.438480054133834e-08,,0.0,0,0,0,0,0,12.012952056946233,12.008170651970431,12.008170651970431,0.0012653269805014133,0.0,15500,0,10,1.0
12,0.0549741702935388,,,,6.684195419381922e-09,7.47290584968141e-08,,0.0,0,0,0,0,0,12.663139974931255,12.657853827113286,12.657853827113286,0.0014332321006804705,0.0,15500,0,10,1.0
13,0.05243929500781721,,,,6.718710032771469e-09,7.423799530670294e-08,,0.0,0,0,0,0,0,12.2188319650013,12.214134122943506,12.214134122943506,0.0012361088301986456,0.0,15500,0,10,1.0
14,0.05391591771716072,,,,6.6705929668842145e-09,7.301942162030173e-08,,0.0,0,0,0,0,0,12.67113658390008,12.666375295026228,12.666375295026228,0.001322166994214058,0.0,15500,0,10,1.0
15,0.0472654735369067,0.0417072263966504,0.9819444444444444,0.9336734693877551,6.689777620749737e-09,7.235666998894885e-08,0.0,0.0,0,0,0,0,0,12.141984753776342,12.137139051919803,12.137139051919803,0.001311248866841197,0.0,15500,0,10,1.0
16,0.0432581979180536,,,,6.974465449616218e-09,7.476959495988922e-08,,0.0,0,0,0,0,0,12.272087291115895,12.267510318895802,12.267510318895802,0.0012473119422793388,0.0,15500,0,10,1.0
