epoch,split,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
5,train,0,1203,24,19,229,0.9708474576271187,0.9051383399209486,0.9233870967741935,0.9141716566866267,0.019559902200488997,0.9519135972868522,1475,248,0.5,0.9958625811709652,0.9799043164289155,0.020737650897350402,0.06696386035307518
5,train,1,1294,38,11,237,0.9689873417721518,0.8618181818181818,0.9556451612903226,0.9063097514340345,0.028528528528528527,0.9635583163808971,1580,248,0.5,0.9959647147147147,0.9813076750514609,0.023025127149878536,0.0731837172850704
5,train,2,1622,25,7,241,0.98311345646438,0.9060150375939849,0.9717741935483871,0.9377431906614786,0.015179113539769277,0.9782975400043089,1895,248,0.5,0.9983474352194606,0.9896691860489205,0.012994887499744071,0.042820990112026204
5,train,3,1347,17,15,233,0.9801488833746899,0.932,0.9395161290322581,0.9357429718875502,0.012463343108504398,0.9635263929618769,1612,248,0.5,0.9975522656323905,0.9887208203320498,0.013770266039573202,0.04618635281889715
5,train,4,1652,38,4,244,0.978328173374613,0.8652482269503546,0.9838709677419355,0.9207547169811321,0.022485207100591716,0.9806928803206718,1938,248,0.5,0.9981270280587898,0.9878098681167891,0.01567537610848204,0.05012589902137565
5,train,5,1282,17,4,244,0.9864253393665159,0.9348659003831418,0.9838709677419355,0.9587426326129665,0.01308698999230177,0.9853919888748168,1547,248,0.5,0.9991774069383397,0.995811432279739,0.010016987204972507,0.035553466290558416
5,train,6,1265,38,7,241,0.9709864603481625,0.8637992831541219,0.9717741935483871,0.9146110056925996,0.02916346891788181,0.9713053623152527,1551,248,0.5,0.9979359047359692,0.9901146162312926,0.017733261015895733,0.05403879002267606
5,train,7,1044,12,14,234,0.9800613496932515,0.9512195121951219,0.9435483870967742,0.9473684210526315,0.011363636363636364,0.9660923753665689,1304,248,0.5,0.9978387707722385,0.9911047215937776,0.015308652126250778,0.05235133679745749
5,train,8,1039,32,13,235,0.9658832448824868,0.8801498127340824,0.9475806451612904,0.912621359223301,0.029878618113912233,0.9588510135236891,1319,248,0.5,0.9962388181078883,0.9863946696503663,0.02170485229164547,0.06882055597047168
5,train,9,1007,24,7,241,0.9757623143080532,0.909433962264151,0.9717741935483871,0.9395711500974658,0.023278370514064017,0.9742479115171616,1279,248,0.5,0.9981266230718688,0.9930026072928779,0.015387044236324247,0.05358803244106481
5,validation,0,437,5,3,59,0.9841269841269841,0.921875,0.9516129032258065,0.9365079365079365,0.011312217194570135,0.9701503430156182,504,62,0.5,0.9988322872573347,0.9919404574136003,0.00987227939653339,0.032667940925888414
5,validation,1,284,3,5,57,0.9770773638968482,0.95,0.9193548387096774,0.9344262295081968,0.010452961672473868,0.9544509385186017,349,62,0.5,0.9982578397212544,0.9923629913451049,0.014462931753358424,0.045613100453313966
5,validation,2,437,15,0,62,0.9708171206225681,0.8051948051948052,1.0,0.8920863309352518,0.033185840707964605,0.9834070796460177,514,62,0.5,0.9997145304025121,0.9979792433762907,0.016348247781599833,0.05030593911547259
5,validation,3,679,10,0,62,0.9866844207723036,0.8611111111111112,1.0,0.9253731343283582,0.01451378809869376,0.9927431059506531,751,62,0.5,0.9998595439861416,0.9984791399915671,0.008434872648769519,0.025881042310872827
5,validation,4,221,12,4,58,0.9457627118644067,0.8285714285714286,0.9354838709677419,0.8787878787878788,0.05150214592274678,0.9419908625224975,295,62,0.5,0.9937006783884812,0.9802661586279511,0.03297865394210245,0.10495977035208391
5,validation,5,371,0,8,54,0.9815242494226328,1.0,0.8709677419354839,0.9310344827586207,0.0,0.935483870967742,433,62,0.5,0.9993478827928006,0.9963180873522429,0.013510919501398794,0.04415117273042439
5,validation,6,184,10,0,62,0.9609375,0.8611111111111112,1.0,0.9253731343283582,0.05154639175257732,0.9742268041237113,256,62,0.5,0.9991686065846358,0.9976953291026074,0.022541009334020735,0.0784042879476221
5,validation,7,427,10,0,62,0.9799599198396793,0.8611111111111112,1.0,0.9253731343283582,0.02288329519450801,0.9885583524027459,499,62,0.5,0.9993725548091829,0.9958180684657882,0.014204139620739244,0.044735803490869565
5,validation,8,354,11,0,62,0.9742388758782201,0.8493150684931506,1.0,0.9185185185185185,0.030136986301369864,0.9849315068493151,427,62,0.5,0.9994697304463103,0.9969439489853151,0.017857378427439282,0.05706885947554666
5,validation,9,230,0,3,59,0.9897260273972602,1.0,0.9516129032258065,0.9752066115702479,0.0,0.9758064516129032,292,62,0.5,1.0,1.0,0.0073047582458805735,0.030643498476337017
10,train,0,1225,2,32,216,0.9769491525423729,0.9908256880733946,0.8709677419354839,0.927038626609442,0.0016299918500407497,0.9346688750427216,1475,248,0.5,0.9975714435943949,0.9888050090065422,0.018866248582839727,0.06207053309508678
10,train,1,1330,2,33,215,0.9778481012658228,0.9907834101382489,0.8669354838709677,0.9247311827956989,0.0015015015015015015,0.9327169911847331,1580,248,0.5,0.9975328150731376,0.9881767818554967,0.01677126552447308,0.055287015939151286
10,train,2,1641,6,26,222,0.98311345646438,0.9736842105263158,0.8951612903225806,0.9327731092436975,0.0036429872495446266,0.945759151536518,1895,248,0.5,0.998912979611023,0.9930681518586454,0.010823986023811518,0.03551103362816098
10,train,3,1364,0,26,222,0.9838709677419355,1.0,0.8951612903225806,0.9446808510638298,0.0,0.9475806451612903,1612,248,0.5,0.9988707312458613,0.9945710196858406,0.012696957315265189,0.04476923761550396
10,train,4,1687,3,34,214,0.9809081527347782,0.9861751152073732,0.8629032258064516,0.9204301075268817,0.0017751479289940828,0.9305640389387287,1938,248,0.5,0.9988547432716167,0.9924486351531625,0.012226327080171387,0.03828644643538237
10,train,5,1296,3,29,219,0.9793148028442146,0.9864864864864865,0.8830645161290323,0.9319148936170213,0.0023094688221709007,0.9403775236534306,1547,248,0.5,0.999143261565969,0.9954948378121184,0.013933362143362663,0.043190582014260515
10,train,6,1300,3,35,213,0.9754996776273372,0.9861111111111112,0.8588709677419355,0.9181034482758621,0.0023023791250959325,0.9282842943084197,1551,248,0.5,0.9982206075310078,0.9910578582892777,0.016728191935181908,0.05116036609454073
10,train,7,1056,0,36,212,0.9723926380368099,1.0,0.8548387096774194,0.9217391304347826,0.0,0.9274193548387097,1304,248,0.5,0.998610092864125,0.9943140393359976,0.021111356015274505,0.06714427470215042
10,train,8,1070,1,23,225,0.9818043972706596,0.995575221238938,0.907258064516129,0.9493670886075949,0.0009337068160597573,0.9531621788500346,1319,248,0.5,0.9982605945604048,0.9931968977375841,0.01502496126501134,0.05033049076220383
10,train,9,1031,0,35,213,0.9726348709929633,1.0,0.8588709677419355,0.9240780911062907,0.0,0.9294354838709677,1279,248,0.5,0.9988697162166391,0.9955948127578567,0.020256061786890003,0.06390028537392546
10,validation,0,442,0,10,52,0.9801587301587301,1.0,0.8387096774193549,0.9122807017543859,0.0,0.9193548387096775,504,62,0.5,0.9999635089767918,0.9997439836149513,0.01195031522632092,0.034667259664074745
10,validation,1,287,0,5,57,0.9856733524355301,1.0,0.9193548387096774,0.957983193277311,0.0,0.9596774193548387,349,62,0.5,0.9995504102506463,0.9980020241414675,0.011218866334543377,0.03708190611840924
10,validation,2,452,0,11,51,0.9785992217898832,1.0,0.8225806451612904,0.9026548672566371,0.0,0.9112903225806452,514,62,0.5,0.9992863260062803,0.995336098362974,0.013689252216899036,0.043340674651049516
10,validation,3,688,1,5,57,0.9920106524633822,0.9827586206896551,0.9193548387096774,0.95,0.001451378809869376,0.958951729949904,751,62,0.5,0.999602041294068,0.9957847103986686,0.005289522222804915,0.017541111263749392
10,validation,4,233,0,18,44,0.9389830508474576,1.0,0.7096774193548387,0.8301886792452831,0.0,0.8548387096774194,295,62,0.5,0.9957773778208501,0.9866813718397528,0.040110630974363216,0.12299083482659653
10,validation,5,371,0,12,50,0.9722863741339491,1.0,0.8064516129032258,0.8928571428571429,0.0,0.9032258064516129,433,62,0.5,1.0,1.0,0.022492205772747218,0.07214138775267306
10,validation,6,194,0,9,53,0.96484375,1.0,0.8548387096774194,0.9217391304347826,0.0,0.9274193548387097,256,62,0.5,1.0,1.0,0.02434658512291487,0.07930517127825332
10,validation,7,437,0,5,57,0.9899799599198397,1.0,0.9193548387096774,0.957983193277311,0.0,0.9596774193548387,499,62,0.5,0.9997416402155459,0.9982460397584669,0.006743123235543338,0.0247686071201119
10,validation,8,361,4,9,53,0.9695550351288056,0.9298245614035088,0.8548387096774194,0.8907563025210085,0.010958904109589041,0.9219399027839152,427,62,0.5,0.997348652231551,0.9846725890281507,0.016749189591175714,0.04892219144737297
10,validation,9,230,0,10,52,0.9657534246575342,1.0,0.8387096774193549,0.9122807017543859,0.0,0.9193548387096775,292,62,0.5,0.9999298737727911,0.9997439836149513,0.020663049267831066,0.060304440987506265
15,train,0,1220,7,30,218,0.9749152542372881,0.9688888888888889,0.8790322580645161,0.9217758985200846,0.0057049714751426246,0.9366636432946868,1475,248,0.5,0.997729184741173,0.9892889189154894,0.016637073701862397,0.05101007040744579
15,train,1,1322,10,21,227,0.980379746835443,0.9578059071729957,0.9153225806451613,0.9360824742268041,0.0075075075075075074,0.9539075365688269,1580,248,0.5,0.9979445170977429,0.9899748858667667,0.013398631238620892,0.044824779842137695
15,train,2,1638,9,15,233,0.987335092348285,0.9628099173553719,0.9395161290322581,0.9510204081632653,0.00546448087431694,0.9670258240789706,1895,248,0.5,0.9992043206612218,0.9947628026249724,0.008401383052631377,0.028449451429036023
15,train,3,1362,2,17,231,0.9882133995037221,0.9914163090128756,0.9314516129032258,0.9604989604989606,0.001466275659824047,0.9649926686217009,1612,248,0.5,0.998758395610633,0.9939914687732181,0.009885914787980413,0.03510041338093484
