split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1225,2,12,236,0.9905084745762712,0.9915966386554622,0.9516129032258065,0.9711934156378601,0.0016299918500407497,0.9749914556878829,1475,248,0.5,0.9995596392985777,0.9979436968296496,0.0070777280986869945,0.023626967983301137
train,fixed,1,1330,2,12,236,0.9911392405063291,0.9915966386554622,0.9516129032258065,0.9711934156378601,0.0015015015015015015,0.9750557008621525,1580,248,0.5,0.9997245229100068,0.9985514311134378,0.006472733543978921,0.02096255051826673
train,fixed,2,1645,2,9,239,0.9941952506596307,0.991701244813278,0.9637096774193549,0.9775051124744376,0.0012143290831815423,0.9812476741680867,1895,248,0.5,0.9998751395499148,0.9991727257652017,0.0036253192137606916,0.01168153849881816
train,fixed,3,1362,2,10,238,0.9925558312655087,0.9916666666666667,0.9596774193548387,0.9754098360655737,0.001466275659824047,0.9791055718475073,1612,248,0.5,0.9996570806924605,0.9982249671156087,0.005811264532966018,0.019886973949603634
train,fixed,4,1688,2,8,240,0.9948400412796697,0.9917355371900827,0.967741935483871,0.9795918367346939,0.001183431952662722,0.9832792517656042,1938,248,0.5,0.9999141057453712,0.9994193243831435,0.003342928255257536,0.012183649498828981
train,fixed,5,1299,0,16,232,0.9896574014221073,1.0,0.9354838709677419,0.9666666666666667,0.0,0.967741935483871,1547,248,0.5,0.9998416896371899,0.9991822664443835,0.006498437785527005,0.020257166660297428
train,fixed,6,1302,1,14,234,0.9903288201160542,0.9957446808510638,0.9435483870967742,0.968944099378882,0.0007674597083653108,0.9713904636942045,1551,248,0.5,0.999736959374149,0.9986473892026204,0.006807764597944753,0.021843685902579596
train,fixed,7,1055,1,14,234,0.9884969325153374,0.9957446808510638,0.9435483870967742,0.968944099378882,0.000946969696969697,0.9713007086999023,1304,248,0.5,0.9996219758064516,0.9984380419603422,0.007869654308230735,0.025341842928358654
train,fixed,8,1069,2,6,242,0.9939347990902199,0.9918032786885246,0.9758064516129032,0.983739837398374,0.0018674136321195146,0.9869695189903919,1319,248,0.5,0.9996875094123672,0.9987756631512223,0.004820414289279807,0.017980397007068185
train,fixed,9,1031,0,10,238,0.9921813917122753,1.0,0.9596774193548387,0.9794238683127572,0.0,0.9798387096774194,1279,248,0.5,0.9999804449172429,0.9999197367986389,0.005371837254845081,0.01759494348662532
train,val_f1,0,1223,4,7,241,0.9925423728813559,0.9836734693877551,0.9717741935483871,0.9776876267748479,0.0032599837000814994,0.9842571049241529,1475,248,0.34,0.9995596392985777,0.9979436968296496,0.0070777280986869945,0.023626967983301137
train,val_f1,1,1329,3,8,240,0.9930379746835443,0.9876543209876543,0.967741935483871,0.9775967413441955,0.0022522522522522522,0.9827448416158093,1580,248,0.34,0.9997245229100068,0.9985514311134378,0.006472733543978921,0.02096255051826673
train,val_f1,2,1641,6,4,244,0.9947229551451188,0.976,0.9838709677419355,0.9799196787148594,0.0036429872495446266,0.9901139902461955,1895,248,0.34,0.9998751395499148,0.9991727257652017,0.0036253192137606916,0.01168153849881816
train,val_f1,3,1361,3,6,242,0.9944168734491315,0.9877551020408163,0.9758064516129032,0.9817444219066938,0.0021994134897360706,0.9868035190615836,1612,248,0.34,0.9996570806924605,0.9982249671156087,0.005811264532966018,0.019886973949603634
train,val_f1,4,1686,4,2,246,0.9969040247678018,0.984,0.9919354838709677,0.9879518072289156,0.002366863905325444,0.9947843099828211,1938,248,0.34,0.9999141057453712,0.9994193243831435,0.003342928255257536,0.012183649498828981
train,val_f1,5,1297,2,9,239,0.9928894634776988,0.991701244813278,0.9637096774193549,0.9775051124744376,0.001539645881447267,0.9810850157689538,1547,248,0.34,0.9998416896371899,0.9991822664443835,0.006498437785527005,0.020257166660297428
train,val_f1,6,1299,4,10,238,0.9909735654416505,0.9834710743801653,0.9596774193548387,0.9714285714285714,0.0030698388334612432,0.9783037902606888,1551,248,0.34,0.999736959374149,0.9986473892026204,0.006807764597944753,0.021843685902579596
train,val_f1,7,1052,4,8,240,0.99079754601227,0.9836065573770492,0.967741935483871,0.975609756097561,0.003787878787878788,0.981977028347996,1304,248,0.34,0.9996219758064516,0.9984380419603422,0.007869654308230735,0.025341842928358654
train,val_f1,8,1067,4,4,244,0.9939347990902199,0.9838709677419355,0.9838709677419355,0.9838709677419355,0.003734827264239029,0.9900680702388482,1319,248,0.34,0.9996875094123672,0.9987756631512223,0.004820414289279807,0.017980397007068185
train,val_f1,9,1031,0,6,242,0.9953088350273651,1.0,0.9758064516129032,0.9877551020408163,0.0,0.9879032258064516,1279,248,0.34,0.9999804449172429,0.9999197367986389,0.005371837254845081,0.01759494348662532
train,val_fpr02,0,1206,21,2,246,0.984406779661017,0.9213483146067416,0.9919354838709677,0.9553398058252427,0.017114914425427872,0.9874102847227699,1475,248,0.060000000000000005,0.9995596392985777,0.9979436968296496,0.0070777280986869945,0.023626967983301137
train,val_fpr02,1,1305,27,0,248,0.9829113924050633,0.9018181818181819,1.0,0.9483747609942639,0.02027027027027027,0.9898648648648649,1580,248,0.060000000000000005,0.9997245229100068,0.9985514311134378,0.006472733543978921,0.02096255051826673
train,val_fpr02,2,1627,20,0,248,0.9894459102902374,0.9253731343283582,1.0,0.9612403100775194,0.012143290831815421,0.9939283545840922,1895,248,0.060000000000000005,0.9998751395499148,0.9991727257652017,0.0036253192137606916,0.01168153849881816
train,val_fpr02,3,1339,25,1,247,0.9838709677419355,0.9080882352941176,0.9959677419354839,0.95,0.018328445747800588,0.9888196480938416,1612,248,0.060000000000000005,0.9996570806924605,0.9982249671156087,0.005811264532966018,0.019886973949603634
train,val_fpr02,4,1655,35,0,248,0.9819401444788441,0.8763250883392226,1.0,0.9340866290018832,0.020710059171597635,0.9896449704142012,1938,248,0.060000000000000005,0.9999141057453712,0.9994193243831435,0.003342928255257536,0.012183649498828981
train,val_fpr02,5,1282,17,0,248,0.989010989010989,0.9358490566037736,1.0,0.9668615984405458,0.01308698999230177,0.9934565050038491,1547,248,0.060000000000000005,0.9998416896371899,0.9991822664443835,0.006498437785527005,0.020257166660297428
train,val_fpr02,6,1274,29,0,248,0.9813023855577047,0.8953068592057761,1.0,0.9447619047619048,0.022256331542594012,0.9888718342287031,1551,248,0.060000000000000005,0.999736959374149,0.9986473892026204,0.006807764597944753,0.021843685902579596
train,val_fpr02,7,1038,18,2,246,0.9846625766871165,0.9318181818181818,0.9919354838709677,0.9609375,0.017045454545454544,0.9874450146627566,1304,248,0.060000000000000005,0.9996219758064516,0.9984380419603422,0.007869654308230735,0.025341842928358654
train,val_fpr02,8,1042,29,1,247,0.9772554965883244,0.894927536231884,0.9959677419354839,0.9427480916030534,0.02707749766573296,0.9844451221348754,1319,248,0.060000000000000005,0.9996875094123672,0.9987756631512223,0.004820414289279807,0.017980397007068185
train,val_fpr02,9,1019,12,0,248,0.9906176700547302,0.9538461538461539,1.0,0.9763779527559056,0.011639185257032008,0.9941804073714839,1279,248,0.060000000000000005,0.9999804449172429,0.9999197367986389,0.005371837254845081,0.01759494348662532
validation,fixed,0,442,0,5,57,0.9900793650793651,1.0,0.9193548387096774,0.957983193277311,0.0,0.9596774193548387,504,62,0.5,1.0,0.9999999999999999,0.0057142379047708065,0.01639581844144854
validation,fixed,1,287,0,7,55,0.9799426934097422,1.0,0.8870967741935484,0.9401709401709402,0.0,0.9435483870967742,349,62,0.5,0.9999438012813309,0.9997439836149513,0.01344722452329207,0.03927558189882383
validation,fixed,2,449,3,3,59,0.9883268482490273,0.9516129032258065,0.9516129032258065,0.9516129032258065,0.00663716814159292,0.9724878675421068,514,62,0.5,0.9987867542106765,0.9927493069636596,0.007839855609412772,0.027375869045456393
validation,fixed,3,688,1,2,60,0.996005326231691,0.9836065573770492,0.967741935483871,0.975609756097561,0.001451378809869376,0.9831452783370008,751,62,0.5,0.9998361346504987,0.9982460397584669,0.002975314865800116,0.009421228310888473
validation,fixed,4,233,0,8,54,0.9728813559322034,1.0,0.8709677419354839,0.9310344827586207,0.0,0.935483870967742,295,62,0.5,0.9979233005676311,0.9926986663089581,0.018993950564979507,0.0624413652958866
validation,fixed,5,371,0,10,52,0.976905311778291,1.0,0.8387096774193549,0.9122807017543859,0.0,0.9193548387096775,433,62,0.5,1.0,0.9999999999999999,0.018810129665991698,0.06522834885098712
validation,fixed,6,189,5,4,58,0.96484375,0.9206349206349206,0.9354838709677419,0.928,0.02577319587628866,0.9548553375457266,256,62,0.5,0.9956767542401064,0.9875517091721189,0.025163049597415686,0.07454786354630558
validation,fixed,7,437,0,2,60,0.9959919839679359,1.0,0.967741935483871,0.9836065573770492,0.0,0.9838709677419355,499,62,0.5,0.999889274378091,0.9992358220603538,0.003849945571195869,0.012527521629330842
validation,fixed,8,357,8,3,59,0.9742388758782201,0.8805970149253731,0.9516129032258065,0.9147286821705426,0.021917808219178082,0.9648475475033143,427,62,0.5,0.997039328325232,0.9834121600918416,0.02042194678363688,0.07015327063100268
validation,fixed,9,230,0,5,57,0.9828767123287672,1.0,0.9193548387096774,0.957983193277311,0.0,0.9596774193548387,292,62,0.5,0.9997896213183731,0.9992358220603538,0.012290208516117156,0.03886423907787241
validation,val_f1,0,442,0,3,59,0.9940476190476191,1.0,0.9516129032258065,0.9752066115702479,0.0,0.9758064516129032,504,62,0.34,1.0,0.9999999999999999,0.0057142379047708065,0.01639581844144854
validation,val_f1,1,287,0,4,58,0.9885386819484241,1.0,0.9354838709677419,0.9666666666666667,0.0,0.967741935483871,349,62,0.34,0.9999438012813309,0.9997439836149513,0.01344722452329207,0.03927558189882383
validation,val_f1,2,448,4,3,59,0.9863813229571985,0.9365079365079365,0.9516129032258065,0.944,0.008849557522123894,0.9713816728518413,514,62,0.34,0.9987867542106765,0.9927493069636596,0.007839855609412772,0.027375869045456393
validation,val_f1,3,688,1,2,60,0.996005326231691,0.9836065573770492,0.967741935483871,0.975609756097561,0.001451378809869376,0.9831452783370008,751,62,0.34,0.9998361346504987,0.9982460397584669,0.002975314865800116,0.009421228310888473
validation,val_f1,4,232,1,6,56,0.976271186440678,0.9824561403508771,0.9032258064516129,0.9411764705882353,0.004291845493562232,0.9494669804790253,295,62,0.34,0.9979233005676311,0.9926986663089581,0.018993950564979507,0.0624413652958866
validation,val_f1,5,371,0,8,54,0.9815242494226328,1.0,0.8709677419354839,0.9310344827586207,0.0,0.935483870967742,433,62,0.34,1.0,0.9999999999999999,0.018810129665991698,0.06522834885098712
validation,val_f1,6,188,6,3,59,0.96484375,0.9076923076923077,0.9516129032258065,0.9291338582677166,0.030927835051546393,0.9603425340871301,256,62,0.34,0.9956767542401064,0.9875517091721189,0.025163049597415686,0.07454786354630558
validation,val_f1,7,436,1,1,61,0.9959919839679359,0.9838709677419355,0.9838709677419355,0.9838709677419355,0.002288329519450801,0.9907913191112423,499,62,0.34,0.999889274378091,0.9992358220603538,0.003849945571195869,0.012527521629330842
validation,val_f1,8,356,9,0,62,0.9789227166276346,0.8732394366197183,1.0,0.9323308270676691,0.024657534246575342,0.9876712328767123,427,62,0.34,0.997039328325232,0.9834121600918416,0.02042194678363688,0.07015327063100268
validation,val_f1,9,230,0,3,59,0.9897260273972602,1.0,0.9516129032258065,0.9752066115702479,0.0,0.9758064516129032,292,62,0.34,0.9997896213183731,0.9992358220603538,0.012290208516117156,0.03886423907787241
validation,val_fpr02,0,440,2,0,62,0.996031746031746,0.96875,1.0,0.9841269841269841,0.004524886877828055,0.997737556561086,504,62,0.060000000000000005,1.0,0.9999999999999999,0.0057142379047708065,0.01639581844144854
validation,val_fpr02,1,285,2,0,62,0.994269340974212,0.96875,1.0,0.9841269841269841,0.006968641114982578,0.9965156794425087,349,62,0.060000000000000005,0.9999438012813309,0.9997439836149513,0.01344722452329207,0.03927558189882383
validation,val_fpr02,2,442,10,1,61,0.9785992217898832,0.8591549295774648,0.9838709677419355,0.9172932330827067,0.022123893805309734,0.9808735369683128,514,62,0.060000000000000005,0.9987867542106765,0.9927493069636596,0.007839855609412772,0.027375869045456393
validation,val_fpr02,3,684,5,0,62,0.9933422103861518,0.9253731343283582,1.0,0.9612403100775194,0.00725689404934688,0.9963715529753265,751,62,0.060000000000000005,0.9998361346504987,0.9982460397584669,0.002975314865800116,0.009421228310888473
validation,val_fpr02,4,227,6,2,60,0.9728813559322034,0.9090909090909091,0.967741935483871,0.9375,0.02575107296137339,0.9709954312612488,295,62,0.060000000000000005,0.9979233005676311,0.9926986663089581,0.018993950564979507,0.0624413652958866
validation,val_fpr02,5,371,0,4,58,0.9907621247113164,1.0,0.9354838709677419,0.9666666666666667,0.0,0.967741935483871,433,62,0.060000000000000005,1.0,0.9999999999999999,0.018810129665991698,0.06522834885098712
validation,val_fpr02,6,181,13,0,62,0.94921875,0.8266666666666667,1.0,0.9051094890510949,0.06701030927835051,0.9664948453608248,256,62,0.060000000000000005,0.9956767542401064,0.9875517091721189,0.025163049597415686,0.07454786354630558
validation,val_fpr02,7,432,5,0,62,0.9899799599198397,0.9253731343283582,1.0,0.9612403100775194,0.011441647597254004,0.994279176201373,499,62,0.060000000000000005,0.999889274378091,0.9992358220603538,0.003849945571195869,0.012527521629330842
validation,val_fpr02,8,347,18,0,62,0.9578454332552693,0.775,1.0,0.8732394366197183,0.049315068493150684,0.9753424657534246,427,62,0.060000000000000005,0.997039328325232,0.9834121600918416,0.02042194678363688,0.07015327063100268
validation,val_fpr02,9,229,1,1,61,0.9931506849315068,0.9838709677419355,0.9838709677419355,0.9838709677419355,0.004347826086956522,0.9897615708274895,292,62,0.060000000000000005,0.9997896213183731,0.9992358220603538,0.012290208516117156,0.03886423907787241
test_all,fixed,0,1209,1,4,11,0.9959183673469387,0.9166666666666666,0.7333333333333333,0.8148148148148148,0.0008264462809917355,0.8662534435261708,1225,15,0.5,0.9993939393939395,0.947128002716238,0.002436345439067358,0.007606664488834305
