epoch,split,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
5,train,0,1411,38,10,238,0.971714790807307,0.8623188405797102,0.9596774193548387,0.9083969465648855,0.026224982746721876,0.9667262183040584,1697,248,0.5,0.9969111066586522,0.9839536147189407,0.020624382601065513,0.06601904347777596
5,train,1,1374,29,4,244,0.9800121138703816,0.8937728937728938,0.9838709677419355,0.9366602687140115,0.020669992872416252,0.9816004874347597,1651,248,0.5,0.9990113351573817,0.9948491935667823,0.014241940638189614,0.04695177857993719
5,train,2,1152,17,24,224,0.9710656316160904,0.9294605809128631,0.9032258064516129,0.9161554192229039,0.01454234388366125,0.9443417312839758,1417,248,0.5,0.996454096415464,0.9827172483737688,0.019584535367577136,0.06353032865311299
5,train,3,1485,61,2,246,0.9648829431438127,0.8013029315960912,0.9919354838709677,0.8864864864864865,0.03945666235446313,0.9762394107582524,1794,248,0.5,0.9967475900346368,0.9810484757878106,0.02520525528324909,0.08165549757841346
5,train,4,1504,36,4,244,0.9776286353467561,0.8714285714285714,0.9838709677419355,0.9242424242424242,0.023376623376623377,0.980247172182656,1788,248,0.5,0.9989186217008797,0.9939306605109636,0.015253279082840052,0.04829485770201524
5,train,5,1080,25,18,230,0.9682187730968219,0.9019607843137255,0.9274193548387096,0.9145129224652088,0.02262443438914027,0.9523974602247847,1353,248,0.5,0.9954459203036053,0.9803767141910109,0.023526857091826454,0.07692789711757214
5,train,6,1497,30,7,241,0.9791549295774647,0.8892988929889298,0.9717741935483871,0.928709055876686,0.019646365422396856,0.9760639140629952,1775,248,0.5,0.9984842723451,0.9916888989914814,0.013480827732406147,0.043980955024774254
5,train,7,1054,29,20,228,0.9631855747558227,0.8871595330739299,0.9193548387096774,0.902970297029703,0.02677746999076639,0.9462886843594556,1331,248,0.5,0.9931120245435321,0.973570868407832,0.02675752332936587,0.08893170281330047
5,train,8,1362,72,7,241,0.9530321046373365,0.7699680511182109,0.9717741935483871,0.8591800356506238,0.0502092050209205,0.9607824942637333,1682,248,0.5,0.9960520987987582,0.9812258980981303,0.03054559107279639,0.0921381582994839
5,train,9,1243,52,10,238,0.9598185353208036,0.8206896551724138,0.9596774193548387,0.8847583643122676,0.040154440154440155,0.9597614896001994,1543,248,0.5,0.9952764976958526,0.9785769853562122,0.028823065565693955,0.0915632723489607
5,validation,0,255,33,0,62,0.9057142857142857,0.6526315789473685,1.0,0.7898089171974523,0.11458333333333333,0.9427083333333333,350,62,0.5,0.9891913082437276,0.9561849924881576,0.05532807102905952,0.16128303455131576
5,validation,1,225,10,1,61,0.9629629629629629,0.8591549295774648,0.9838709677419355,0.9172932330827067,0.0425531914893617,0.970658888126287,297,62,0.5,0.9983527796842828,0.9943299995559927,0.023032966381512393,0.08548443728874562
5,validation,2,362,29,0,62,0.9359823399558499,0.6813186813186813,1.0,0.8104575163398693,0.0741687979539642,0.9629156010230179,453,62,0.5,0.9995049913373485,0.9969439489853151,0.047449106668651445,0.14222295376385471
5,validation,3,191,2,10,52,0.9529411764705882,0.9629629629629629,0.8387096774193549,0.896551724137931,0.010362694300518135,0.9141734915594184,255,62,0.5,0.9937322413504931,0.9816573305665889,0.03403968892120743,0.10298311193418401
5,validation,4,218,1,4,58,0.9822064056939501,0.9830508474576272,0.9354838709677419,0.9586776859504132,0.0045662100456621,0.9654588304610399,281,62,0.5,0.9968331123876859,0.9910298840944003,0.016811905978457976,0.06303330748838099
5,validation,5,621,8,1,61,0.9869753979739508,0.8840579710144928,0.9838709677419355,0.9312977099236641,0.012718600953895072,0.9855761833940202,691,62,0.5,0.9990768757372173,0.9912699435794804,0.009830432942152367,0.03155490872281383
5,validation,6,297,0,8,54,0.9777158774373259,1.0,0.8709677419354839,0.9310344827586207,0.0,0.935483870967742,359,62,0.5,0.9981535787987401,0.9920130273330336,0.017083609493107645,0.05697231410372502
5,validation,7,278,15,0,62,0.9577464788732394,0.8051948051948052,1.0,0.8920863309352518,0.051194539249146756,0.9744027303754266,355,62,0.5,0.9984586590333591,0.992834080998527,0.024212568017422813,0.07645384117262245
5,validation,8,270,1,4,58,0.984984984984985,0.9830508474576272,0.9354838709677419,0.9586776859504132,0.0036900369003690036,0.9658969170336864,333,62,0.5,0.9993453160338055,0.9972511839217026,0.009890609479603765,0.03330081654400956
5,validation,9,335,18,0,62,0.9566265060240964,0.775,1.0,0.8732394366197183,0.05099150141643059,0.9745042492917847,415,62,0.5,0.9979438910719182,0.9894059954904746,0.034547458069512545,0.1054757675489183
10,train,0,1437,12,5,243,0.9899823217442546,0.9529411764705882,0.9798387096774194,0.9662027833001988,0.008281573498964804,0.9857785680892273,1697,248,0.5,0.9990955942919477,0.9950651814638384,0.009012618097726492,0.029721832510380266
10,train,1,1385,18,8,240,0.984251968503937,0.9302325581395349,0.967741935483871,0.9486166007905138,0.012829650748396294,0.9774561423677374,1651,248,0.5,0.9989768468489183,0.994966211035267,0.01011528922097015,0.03235715086320864
10,train,2,1152,17,11,237,0.9802399435426958,0.9330708661417323,0.9556451612903226,0.9442231075697212,0.01454234388366125,0.9705514087033307,1417,248,0.5,0.9982098015949668,0.991472480481783,0.012990881662304778,0.042545591441701
10,train,3,1526,20,13,235,0.9816053511705686,0.9215686274509803,0.9475806451612904,0.9343936381709742,0.0129366106080207,0.9673220172766348,1794,248,0.5,0.998604619621917,0.9922779893349803,0.01090156795189467,0.034750103970783125
10,train,4,1525,15,5,243,0.9888143176733781,0.9418604651162791,0.9798387096774194,0.9604743083003953,0.00974025974025974,0.9850492249685798,1788,248,0.5,0.9993951612903226,0.9963564627254302,0.00787203616992751,0.025870318096114637
10,train,5,1100,5,11,237,0.9881744271988174,0.9793388429752066,0.9556451612903226,0.9673469387755103,0.004524886877828055,0.9755601372062472,1353,248,0.5,0.9993212669683258,0.9970508802552136,0.008985540621622552,0.031733385944276604
10,train,6,1513,14,10,238,0.9864788732394366,0.9444444444444444,0.9596774193548387,0.952,0.0091683038637852,0.9752545577455267,1775,248,0.5,0.9988777277816507,0.9934282111591707,0.009710529879218019,0.0314838129293602
10,train,7,1076,7,13,235,0.9849737039819685,0.9710743801652892,0.9475806451612904,0.9591836734693877,0.006463527239150508,0.9705585589610699,1331,248,0.5,0.9985740029190122,0.994542370090008,0.011155795503393878,0.03959236363248631
10,train,8,1419,15,6,242,0.9875148632580262,0.9416342412451362,0.9758064516129032,0.9584158415841584,0.010460251046025104,0.982673100283439,1682,248,0.5,0.9991508075763711,0.9951931591518092,0.009362048740664401,0.03236078868672323
10,train,9,1277,18,7,241,0.9837977965003241,0.9305019305019305,0.9717741935483871,0.9506903353057199,0.013899613899613899,0.9789372898243867,1543,248,0.5,0.9986019429567817,0.993264239794902,0.012275517744640245,0.03910963817437796
10,validation,0,285,3,18,44,0.94,0.9361702127659575,0.7096774193548387,0.8073394495412844,0.010416666666666666,0.849630376344086,350,62,0.5,0.9882952508960573,0.9505002515843722,0.04342128760815931,0.1342048243972195
