split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1438,11,2,246,0.9923394225103123,0.9571984435797666,0.9919354838709677,0.9742574257425742,0.00759144237405107,0.9921720207484583,1697,248,0.5,0.9998052049244195,0.9988719347597338,0.0052429632645808215,0.017971749830220127
train,fixed,1,1388,15,2,246,0.9897032101756511,0.9425287356321839,0.9919354838709677,0.9666011787819253,0.010691375623663579,0.9906220541236521,1651,248,0.5,0.99979881820063,0.9989440013254302,0.006288764715979749,0.01997609810046625
train,fixed,2,1153,16,3,245,0.9865913902611151,0.9386973180076629,0.9879032258064516,0.962671905697446,0.013686911890504704,0.9871081569579734,1417,248,0.5,0.9994929495847016,0.9976664028406804,0.0086999952225113,0.027794894771890885
train,fixed,3,1542,4,2,246,0.9966555183946488,0.984,0.9919354838709677,0.9879518072289156,0.00258732212160414,0.9946740808746818,1794,248,0.5,0.9998904561198514,0.9993156126518902,0.003557381698438899,0.0138397648475827
train,fixed,4,1527,13,0,248,0.9927293064876958,0.9501915708812261,1.0,0.9744597249508841,0.008441558441558441,0.9957792207792208,1788,248,0.5,0.999816715542522,0.9988692633753566,0.0060004696880843165,0.01978543261762148
train,fixed,5,1101,4,2,246,0.9955654101995566,0.984,0.9919354838709677,0.9879518072289156,0.0036199095022624436,0.9941577871843527,1353,248,0.5,0.9998357903955626,0.9992865875247472,0.004919220365515707,0.018731762017004605
train,fixed,6,1514,13,0,248,0.9926760563380281,0.9501915708812261,1.0,0.9744597249508841,0.008513425016371971,0.995743287491814,1775,248,0.5,0.999899655660477,0.9993868295233617,0.0050079078272842175,0.016679933659344056
train,fixed,7,1073,10,6,242,0.9879789631855748,0.9603174603174603,0.9758064516129032,0.968,0.009233610341643583,0.9832864206356298,1331,248,0.5,0.9994750245733177,0.9977710755506088,0.008039560344763438,0.02595351200970793
train,fixed,8,1420,14,7,241,0.9875148632580262,0.9450980392156862,0.9717741935483871,0.9582504970178927,0.009762900976290097,0.9810056462860486,1682,248,0.5,0.9994685517613713,0.9970233346451922,0.007274004209957148,0.023604950035563097
train,fixed,9,1278,17,3,245,0.9870382372002592,0.9351145038167938,0.9879032258064516,0.9607843137254902,0.013127413127413128,0.9873879063395192,1543,248,0.5,0.9995703076348238,0.9978886260522932,0.008768920152933854,0.026764775245916233
train,val_f1,0,1440,9,3,245,0.9929286977018268,0.9645669291338582,0.9879032258064516,0.9760956175298805,0.006211180124223602,0.990846022841114,1697,248,0.5800000000000001,0.9998052049244195,0.9988719347597338,0.0052429632645808215,0.017971749830220127
train,val_f1,1,1394,9,3,245,0.9927316777710479,0.9645669291338582,0.9879032258064516,0.9760956175298805,0.006414825374198147,0.9907442002161267,1651,248,0.5800000000000001,0.99979881820063,0.9989440013254302,0.006288764715979749,0.01997609810046625
train,val_f1,2,1157,12,3,245,0.9894142554693014,0.953307392996109,0.9879032258064516,0.9702970297029703,0.010265183917878529,0.9888190209442865,1417,248,0.5800000000000001,0.9994929495847016,0.9976664028406804,0.0086999952225113,0.027794894771890885
train,val_f1,3,1544,2,5,243,0.9960981047937569,0.9918367346938776,0.9798387096774194,0.9858012170385395,0.00129366106080207,0.9892725243083087,1794,248,0.5800000000000001,0.9998904561198514,0.9993156126518902,0.003557381698438899,0.0138397648475827
train,val_f1,4,1529,11,0,248,0.993847874720358,0.9575289575289575,1.0,0.9783037475345168,0.007142857142857143,0.9964285714285714,1788,248,0.5800000000000001,0.999816715542522,0.9988692633753566,0.0060004696880843165,0.01978543261762148
train,val_f1,5,1103,2,5,243,0.9948263118994827,0.9918367346938776,0.9798387096774194,0.9858012170385395,0.0018099547511312218,0.9890143774631441,1353,248,0.5800000000000001,0.9998357903955626,0.9992865875247472,0.004919220365515707,0.018731762017004605
train,val_f1,6,1519,8,1,247,0.9949295774647887,0.9686274509803922,0.9959677419354839,0.9821073558648111,0.005239030779305829,0.995364355578089,1775,248,0.5800000000000001,0.999899655660477,0.9993868295233617,0.0050079078272842175,0.016679933659344056
train,val_f1,7,1073,10,7,241,0.9872276483846731,0.9601593625498008,0.9717741935483871,0.9659318637274549,0.009233610341643583,0.9812702916033718,1331,248,0.5800000000000001,0.9994750245733177,0.9977710755506088,0.008039560344763438,0.02595351200970793
train,val_f1,8,1425,9,7,241,0.990487514863258,0.964,0.9717741935483871,0.9678714859437751,0.006276150627615063,0.982749021460386,1682,248,0.5800000000000001,0.9994685517613713,0.9970233346451922,0.007274004209957148,0.023604950035563097
train,val_f1,9,1280,15,5,243,0.9870382372002592,0.9418604651162791,0.9798387096774194,0.9604743083003953,0.011583011583011582,0.9841278490472039,1543,248,0.5800000000000001,0.9995703076348238,0.9978886260522932,0.008768920152933854,0.026764775245916233
train,val_fpr02,0,1436,13,0,248,0.9923394225103123,0.9501915708812261,1.0,0.9744597249508841,0.008971704623878536,0.9955141476880607,1697,248,0.39,0.9998052049244195,0.9988719347597338,0.0052429632645808215,0.017971749830220127
train,val_fpr02,1,1383,20,1,247,0.9872804360993337,0.9250936329588015,0.9959677419354839,0.9592233009708738,0.014255167498218105,0.9908562872186328,1651,248,0.39,0.99979881820063,0.9989440013254302,0.006288764715979749,0.01997609810046625
train,val_fpr02,2,1148,21,1,247,0.9844742413549753,0.9216417910447762,0.9959677419354839,0.9573643410852714,0.017964071856287425,0.9890018350395982,1417,248,0.39,0.9994929495847016,0.9976664028406804,0.0086999952225113,0.027794894771890885
train,val_fpr02,3,1538,8,1,247,0.9949832775919732,0.9686274509803922,0.9959677419354839,0.9821073558648111,0.00517464424320828,0.9953965488461378,1794,248,0.39,0.9998904561198514,0.9993156126518902,0.003557381698438899,0.0138397648475827
train,val_fpr02,4,1520,20,0,248,0.9888143176733781,0.9253731343283582,1.0,0.9612403100775194,0.012987012987012988,0.9935064935064934,1788,248,0.39,0.999816715542522,0.9988692633753566,0.0060004696880843165,0.01978543261762148
train,val_fpr02,5,1096,9,1,247,0.9926090169992609,0.96484375,0.9959677419354839,0.9801587301587301,0.008144796380090498,0.9939114727776968,1353,248,0.39,0.9998357903955626,0.9992865875247472,0.004919220365515707,0.018731762017004605
train,val_fpr02,6,1512,15,0,248,0.9915492957746479,0.9429657794676806,1.0,0.9706457925636007,0.009823182711198428,0.9950884086444007,1775,248,0.39,0.999899655660477,0.9993868295233617,0.0050079078272842175,0.016679933659344056
train,val_fpr02,7,1067,16,2,246,0.9864763335837716,0.9389312977099237,0.9919354838709677,0.9647058823529412,0.014773776546629732,0.988580853662169,1331,248,0.39,0.9994750245733177,0.9977710755506088,0.008039560344763438,0.02595351200970793
