epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.2786802168872758,,,,6.152842679796322e-09,7.79209798906777e-08,,0.0,0,0,0,0,0,18.17549532908015,18.17054701806046,18.17054701806046,0.0013571130111813545,0.0,16081,0,10,1.0
2,0.11424943129967846,,,,6.097641946922749e-09,7.609528296370627e-08,,0.0,0,0,0,0,0,13.101368543924764,13.096471885917708,13.096471885917708,0.001320420065894723,0.0,16081,0,10,1.0
3,0.0823788518601167,,,,6.1219496139131024e-09,7.5708911140282e-08,,0.0,0,0,0,0,0,12.910616441862658,12.90405101585202,12.90405101585202,0.0016074429731816053,0.0,16081,0,10,1.0
4,0.06638363506497862,,,,6.119996065478972e-09,7.477824937041078e-08,,0.0,0,0,0,0,0,12.85510422103107,12.850208131130785,12.850208131130785,0.0014271968975663185,0.0,16081,0,10,1.0
5,0.06077445995237028,0.09347891670833315,0.9630917357582242,0.8844221105527639,6.174727840146943e-09,7.478530505977687e-08,0.0,0.0,0,0,0,0,0,12.723189330194145,12.718680395046249,12.718680395046249,0.0012735920026898384,0.0,16081,0,10,1.0
6,0.05534798543656779,,,,6.26714458107358e-09,7.502362819877817e-08,,0.0,0,0,0,0,0,13.157618308905512,13.153144054114819,13.153144054114819,0.0012100599706172943,0.0,16081,0,10,1.0
7,0.059728790639600425,,,,6.30544150226342e-09,7.480035435492027e-08,,0.0,0,0,0,0,0,13.335801183013245,13.325383506016806,13.325383506016806,0.0013278480619192123,0.0,16081,0,10,1.0
8,0.05629013052598123,,,,6.4129137555823945e-09,7.510895017048824e-08,,0.0,0,0,0,0,0,13.240361104020849,13.23546633310616,13.23546633310616,0.001372573897242546,0.0,16081,0,10,1.0
9,0.05079019257824158,,,,6.36257535546747e-09,7.357702713761682e-08,,0.0,0,0,0,0,0,12.915217714151368,12.910256618866697,12.910256618866697,0.0013718749396502972,0.0,16081,0,10,1.0
10,0.050108216992394594,0.07271385284759244,0.9695105643220112,0.9037162162162162,6.52509246634736e-09,7.459753703642491e-08,0.0,0.0,0,0,0,0,0,12.94334714114666,12.93874635384418,12.93874635384418,0.001283489866182208,0.0,16081,0,10,1.0
11,0.05179497333589007,,,,6.558549703328254e-09,7.419731673508068e-08,,0.0,0,0,0,0,0,12.974654123885557,12.969968011137098,12.969968011137098,0.0012866728939116001,0.0,16081,0,10,1.0
12,0.046339959470723946,,,,6.6053171821067735e-09,7.380949540447546e-08,,0.0,0,0,0,0,0,12.843854242935777,12.839211540995166,12.839211540995166,0.0012928710784763098,0.0,16081,0,10,1.0
13,0.0510513795467112,,,,6.671827534887598e-09,7.381642319614912e-08,,0.0,0,0,0,0,0,13.652291641104966,13.641312194988132,13.641312194988132,0.0013184489216655493,0.0,16081,0,10,1.0
14,0.04733658865092795,,,,6.688567921742106e-09,7.325834872062842e-08,,0.0,0,0,0,0,0,12.987306855153292,12.982791455928236,12.982791455928236,0.0012652440927922726,0.0,16081,0,10,1.0
15,0.04464147904040275,0.06552455184040636,0.9743246857448515,0.918918918918919,6.875514824145057e-09,7.438980276219809e-08,0.0,0.0,0,0,0,0,0,12.841499814065173,12.83685095491819,12.83685095491819,0.0012655621394515038,0.0,16081,0,10,1.0
16,0.045284158568214244,,,,6.939246510739849e-09,7.444995731020754e-08,,0.0,0,0,0,0,0,12.957394286990166,12.952352277003229,12.952352277003229,0.001366941025480628,0.0,16081,0,10,1.0
17,0.04613847471258185,,,,6.920662265486044e-09,7.355220077442937e-08,,0.0,0,0,0,0,0,13.035598160000518,13.03097256179899,13.03097256179899,0.0012809201143682003,0.0,16081,0,10,1.0
18,0.043015140197315394,,,,6.991606404938011e-09,7.333662921382711e-08,,0.0,0,0,0,0,0,12.926251446129754,12.921188771957532,12.921188771957532,0.001405796967446804,0.0,16081,0,10,1.0
19,0.04020590013381068,,,,7.2154957564407596e-09,7.482750419285367e-08,,0.0,0,0,0,0,0,12.89759728196077,12.89295919984579,12.89295919984579,0.0013238429091870785,0.0,16081,0,10,1.0
20,0.04365013952234789,0.10576019335188556,0.9601497726664884,0.8656447249774571,7.290791081970838e-09,7.478212182832067e-08,0.0,0.0,0,0,0,0,0,12.818400939926505,12.806162452092394,12.806162452092394,0.0012356119696050882,0.0,16081,0,10,1.0
21,0.041832770645853806,,,,7.354614695032069e-09,7.473362728660504e-08,,0.0,0,0,0,0,0,13.129942695843056,13.125150247011334,13.125150247011334,0.001370617188513279,0.0,16081,0,10,1.0
22,0.0452317763540395,,,,7.325481110598275e-09,7.386397271602618e-08,,0.0,0,0,0,0,0,13.165539381094277,13.160434196935967,13.160434196935967,0.0014116319362074137,0.0,16081,0,10,1.0
23,0.040895746137644996,,,,7.308401439587442e-09,7.291301784562165e-08,,0.0,0,0,0,0,0,13.119420586153865,13.114663598127663,13.114663598127663,0.0012801659759134054,0.0,16081,0,10,1.0
24,0.03738454096359805,,,,7.429848292161978e-09,7.339478713674907e-08,,0.0,0,0,0,0,0,12.86580035998486,12.861382012953982,12.861382012953982,0.0012243380770087242,0.0,16081,0,10,1.0
25,0.03603338886891667,0.053088212853173555,0.9780690024070607,0.9348171701112877,7.64869323433004e-09,7.481872899006703e-08,0.0,0.0,0,0,0,0,0,12.662685985909775,12.658123612869531,12.658123612869531,0.0012527040671557188,0.0,16081,0,10,1.0
26,0.04068336718946864,,,,7.591987483124285e-09,7.361572329500632e-08,,0.0,0,0,0,0,0,12.400914872996509,12.39622839493677,12.39622839493677,0.0013122260570526123,0.0,16081,0,10,1.0
27,0.03772569442914164,,,,7.766177922974293e-09,7.463693663112281e-08,,0.0,0,0,0,0,0,12.398526777047664,12.393822798971087,12.393822798971087,0.0012543769553303719,0.0,16081,0,10,1.0
28,0.03486861773326369,,,,7.812918312311012e-09,7.422693926173451e-08,,0.0,0,0,0,0,0,12.348299807868898,12.34356705704704,12.34356705704704,0.0013341361191123724,0.0,16081,0,10,1.0
29,0.03525148502769762,,,,7.966096227107755e-09,7.509495958402113e-08,,0.0,0,0,0,0,0,11.997747529996559,11.992646225960925,11.992646225960925,0.001351844985038042,0.0,16081,0,10,1.0
30,0.038595122295322276,0.06235423620734587,0.9748595881251672,0.9229508196721311,7.883079078396804e-09,7.367933108071156e-08,0.0,0.0,0,0,0,0,0,12.388500458095223,12.376478279940784,12.376478279940784,0.0012997209560126066,0.0,16081,0,10,1.0
31,0.0347687516005996,,,,7.90758569735317e-09,7.341012064898678e-08,,0.0,0,0,0,0,0,12.369969688821584,12.364860695088282,12.364860695088282,0.0014277251902967691,0.0,16081,0,10,1.0
32,0.03442122387812658,,,,7.993041784004618e-09,7.36802974188322e-08,,0.0,0,0,0,0,0,12.299873691052198,12.295260033104569,12.295260033104569,0.0012485941406339407,0.0,16081,0,10,1.0
33,0.03197715562859727,,,,8.063475220865257e-09,7.370483245949799e-08,,0.0,0,0,0,0,0,10.553725117817521,10.548639922169968,10.548639922169968,0.001431613927707076,0.0,16081,0,10,1.0
34,0.032468487414947296,,,,8.105311088968392e-09,7.359248854754696e-08,,0.0,0,0,0,0,0,10.660796604119241,10.656134117860347,10.656134117860347,0.001342118950560689,0.0,16081,0,10,1.0
35,0.03356968236332042,0.04781686599141959,0.9761968440759561,0.9293089753772835,8.193828726632546e-09,7.389709111293996e-08,0.0,0.0,0,0,0,0,0,10.607052114093676,10.602406497113407,10.602406497113407,0.0012977910228073597,0.0,16081,0,10,1.0
36,0.03431527045970718,,,,8.252475147685345e-09,7.381887456858749e-08,,0.0,0,0,0,0,0,10.711099103093147,10.70609510014765,10.70609510014765,0.0014548010658472776,0.0,16081,0,10,1.0
37,0.032010617741409036,,,,8.432349929421434e-09,7.476408114825972e-08,,0.0,0,0,0,0,0,10.645185695961118,10.63885728083551,10.63885728083551,0.0013570170849561691,0.0,16081,0,10,1.0
38,0.03185350457842848,,,,8.348609803476847e-09,7.343474095478086e-08,,0.0,0,0,0,0,0,10.677749325986952,10.67260932805948,10.67260932805948,0.0013741059228777885,0.0,16081,0,10,1.0
39,0.036223221500061034,,,,8.549132957114125e-09,7.465359885827638e-08,,0.0,0,0,0,0,0,11.159394979011267,11.154675933066756,11.154675933066756,0.0012854458764195442,0.0,16081,0,10,1.0
40,0.03163240625680616,0.08394124856177373,0.9721850762235892,0.9195046439628483,8.55228599050406e-09,7.408092983496317e-08,0.0,0.0,0,0,0,0,0,10.712025319924578,10.705760300159454,10.705760300159454,0.0013412521220743656,0.0,16081,0,10,1.0
41,0.034796063099690064,,,,8.548659558016425e-09,7.35949470254127e-08,,0.0,0,0,0,0,0,10.753357301000506,10.748359774937853,10.748359774937853,0.0013838140293955803,0.0,16081,0,10,1.0
42,0.03220957551660235,,,,8.649574390062753e-09,7.403667723338003e-08,,0.0,0,0,0,0,0,10.737940354971215,10.73303400282748,10.73303400282748,0.0014217670541256666,0.0,16081,0,10,1.0
43,0.028512209819837236,,,,8.68314131707848e-09,7.365049725649442e-08,,0.0,0,0,0,0,0,10.99019614700228,10.985617242055014,10.985617242055014,0.0012973130214959383,0.0,16081,0,10,1.0
44,0.02925621055765729,,,,8.797478301403316e-09,7.42882448889759e-08,,0.0,0,0,0,0,0,10.588616088032722,10.583534555975348,10.583534555975348,0.001350051024928689,0.0,16081,0,10,1.0
45,0.03476193638012396,0.056256164631709155,0.9753944905054828,0.9285714285714286,8.787697680645579e-09,7.37723837573867e-08,0.0,0.0,0,0,0,0,0,10.550865299068391,10.546017572982237,10.546017572982237,0.0013028369285166264,0.0,16081,0,10,1.0
46,0.03078066514650096,,,,8.86564865965056e-09,7.396587164976154e-08,,0.0,0,0,0,0,0,10.912164029898122,10.90719572105445,10.90719572105445,0.0013282420113682747,0.0,16081,0,10,1.0
47,0.03165363440566114,,,,8.894505576506617e-09,7.366565313304818e-08,,0.0,0,0,0,0,0,10.679832616820931,10.67480717995204,10.67480717995204,0.0014226981438696384,0.0,16081,0,10,1.0
48,0.02664045292975401,,,,8.95379503873528e-09,7.370389454308679e-08,,0.0,0,0,0,0,0,10.819358641048893,10.81440342287533,10.81440342287533,0.0013251521158963442,0.0,16081,0,10,1.0
49,0.027136250662274358,,,,8.911739790562478e-09,7.300296545054152e-08,,0.0,0,0,0,0,0,10.866918134037405,10.861983367009088,10.861983367009088,0.0013598438818007708,0.0,16081,0,10,1.0
50,0.03188876530094034,0.06515745064724357,0.9756619416956406,0.9291828793774319,9.08041286606931e-09,7.413621716523267e-08,0.0,0.0,0,0,0,0,0,10.82344001205638,10.818655145121738,10.818655145121738,0.0013455778826028109,0.0,16081,0,10,1.0
