epoch,split,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
5,train,0,1440,7,40,208,0.9722713864306785,0.9674418604651163,0.8387096774193549,0.8984881209503239,0.0048375950241879755,0.9169360411975834,1695,248,0.5,0.9962213255456227,0.9797066139119172,0.020692722921741458,0.06739264669048553
5,train,1,1438,0,33,215,0.9804270462633452,1.0,0.8669354838709677,0.9287257019438445,0.0,0.9334677419354839,1686,248,0.5,0.9987269505137063,0.9931056483255611,0.014522583982199468,0.048533911359332514
5,train,2,1555,6,14,234,0.9889441680486457,0.975,0.9435483870967742,0.9590163934426229,0.003843689942344651,0.9698523485772148,1809,248,0.5,0.9991088218883677,0.9941560825622223,0.008311300397482768,0.028815836477981766
5,train,3,1187,0,45,203,0.9686411149825784,1.0,0.8185483870967742,0.9002217294900222,0.0,0.9092741935483871,1435,248,0.5,0.9978157186727179,0.9909418173405551,0.022964648300537224,0.07543253155628431
5,train,4,1545,6,33,215,0.9783212896053363,0.9728506787330317,0.8669354838709677,0.9168443496801706,0.0038684719535783366,0.9315335059586947,1799,248,0.5,0.9982659470476904,0.9893663507587929,0.016183163972516804,0.05164205778076278
5,train,5,1240,2,26,222,0.9812080536912752,0.9910714285714286,0.8951612903225806,0.940677966101695,0.001610305958132045,0.9467754921822242,1490,248,0.5,0.9974709106020467,0.988957278050147,0.016355928119622058,0.05818592110974147
5,train,6,1487,0,40,208,0.9769452449567724,1.0,0.8387096774193549,0.9122807017543859,0.0,0.9193548387096775,1735,248,0.5,0.9997803544699221,0.9987299402449267,0.01458452405559277,0.04383886232037983
5,train,7,1559,15,10,238,0.9862788144895719,0.9407114624505929,0.9596774193548387,0.9500998003992016,0.009529860228716646,0.9750737795630611,1822,248,0.5,0.9983245890888224,0.9912982199749988,0.011133097904023191,0.040788849351755405
5,train,8,954,5,44,204,0.9594034797017399,0.9760765550239234,0.8225806451612904,0.8927789934354485,0.005213764337851929,0.9086834404117192,1207,248,0.5,0.9968549228026505,0.9883361964047421,0.028100217840422874,0.08867129278757353
5,train,9,1151,4,38,210,0.970064148253742,0.9813084112149533,0.8467741935483871,0.9090909090909091,0.003463203463203463,0.9216554950425918,1403,248,0.5,0.9964739561513755,0.9848083516028658,0.021761269494386656,0.06949207368852042
5,validation,0,304,4,3,59,0.981081081081081,0.9365079365079365,0.9516129032258065,0.944,0.012987012987012988,0.9693129451193967,370,62,0.5,0.9983242563887725,0.9919515641744727,0.014702800256376096,0.052757285737080974
5,validation,1,405,0,12,50,0.974304068522484,1.0,0.8064516129032258,0.8928571428571429,0.0,0.9032258064516129,467,62,0.5,0.9999601752289925,0.9997439836149513,0.020327596704739874,0.06525003367063896
5,validation,2,262,1,2,60,0.9907692307692307,0.9836065573770492,0.967741935483871,0.975609756097561,0.0038022813688212928,0.9819698270575248,325,62,0.5,0.9990187660983687,0.996448252688172,0.014021373416352357,0.0556382100350294
5,validation,3,207,0,13,49,0.9516728624535316,1.0,0.7903225806451613,0.8828828828828829,0.0,0.8951612903225806,269,62,0.5,0.9997662459093034,0.9992358220603537,0.03280101989527897,0.09892977954762498
5,validation,4,306,8,11,51,0.949468085106383,0.864406779661017,0.8225806451612904,0.8429752066115702,0.025477707006369428,0.8985514690774605,376,62,0.5,0.9931169098006986,0.9672130397172998,0.02832553896766779,0.08223956745775157
5,validation,5,285,0,10,52,0.9711815561959655,1.0,0.8387096774193549,0.9122807017543859,0.0,0.9193548387096775,347,62,0.5,0.9999434069043577,0.9997439836149513,0.020391614290192716,0.06179561575226155
5,validation,6,322,0,17,45,0.9557291666666666,1.0,0.7258064516129032,0.8411214953271028,0.0,0.8629032258064516,384,62,0.5,0.9973452213985173,0.9869316255174658,0.0365998731221401,0.15337832234974333
5,validation,7,168,10,4,58,0.9416666666666667,0.8529411764705882,0.9354838709677419,0.8923076923076924,0.056179775280898875,0.9396520478434215,240,62,0.5,0.986317506342878,0.9600115570155885,0.038712750676494365,0.11954278778165538
5,validation,8,487,23,8,54,0.9458041958041958,0.7012987012987013,0.8709677419354839,0.7769784172661871,0.045098039215686274,0.9129348513598988,572,62,0.5,0.9893738140417457,0.930948581018061,0.0432479623783126,0.15240694700601462
5,validation,9,327,0,12,50,0.9691516709511568,1.0,0.8064516129032258,0.8928571428571429,0.0,0.9032258064516129,389,62,0.5,0.999408108907961,0.9969439489853151,0.02245301055139419,0.07121260822201839
10,train,0,1447,0,22,226,0.9870206489675516,1.0,0.9112903225806451,0.9535864978902954,0.0,0.9556451612903225,1695,248,0.5,0.9994036605212119,0.9967271578159569,0.009992284073851637,0.03368922104438061
10,train,1,1429,9,33,215,0.9750889679715302,0.9598214285714286,0.8669354838709677,0.9110169491525424,0.006258692628650904,0.9303383956211584,1686,248,0.5,0.9981156624343847,0.9894651594150199,0.015257372550256599,0.04694299519271328
10,train,2,1557,4,18,230,0.9878385848535103,0.9829059829059829,0.9274193548387096,0.9543568464730291,0.0025624599615631004,0.9624284474385733,1809,248,0.5,0.9994627100080593,0.9964704472751038,0.008317561227447109,0.027478375123896503
10,train,3,1186,1,40,208,0.9714285714285714,0.9952153110047847,0.8387096774193549,0.9102844638949672,0.0008424599831508003,0.918933608718102,1435,248,0.5,0.9989842921977335,0.9950859068214855,0.019552861294148485,0.05803974386870241
10,train,4,1548,3,34,214,0.9794330183435241,0.9861751152073732,0.8629032258064516,0.9204301075268817,0.0019342359767891683,0.9304844949148312,1799,248,0.5,0.998642915080801,0.9916892408390002,0.014554824682166491,0.04538291107978946
10,train,5,1241,1,24,224,0.9832214765100671,0.9955555555555555,0.9032258064516129,0.9471458773784355,0.0008051529790660225,0.9512103267362735,1490,248,0.5,0.9990325177912835,0.9954045931189506,0.012356507329422508,0.04023526877208462
10,train,6,1487,0,41,207,0.9763688760806917,1.0,0.8346774193548387,0.9098901098901099,0.0,0.9173387096774194,1735,248,0.5,0.9996420591361694,0.9979157814024123,0.015099434080429209,0.04485634163219592
10,train,7,1556,18,18,230,0.9802414928649835,0.9274193548387096,0.9274193548387096,0.9274193548387096,0.011435832274459974,0.9579917612821248,1822,248,0.5,0.998183690617699,0.9893906872620293,0.011951506192229126,0.037880503224869064
10,train,8,955,4,30,218,0.971830985915493,0.9819819819819819,0.8790322580645161,0.9276595744680851,0.004171011470281543,0.9374306232971172,1207,248,0.5,0.9982466615089642,0.9933797389726402,0.01930030156736357,0.060406635993744386
10,train,9,1148,7,20,228,0.9807555238774056,0.9702127659574468,0.9193548387096774,0.9440993788819876,0.006060606060606061,0.9566471163245356,1403,248,0.5,0.9982509426057813,0.9924338253573899,0.013482086620212061,0.04483911144658634
10,validation,0,306,2,5,57,0.981081081081081,0.9661016949152542,0.9193548387096774,0.9421487603305785,0.006493506493506494,0.9564306661080855,370,62,0.5,0.9972769166317553,0.9880443320676873,0.015891208850752472,0.05457453322624904
10,validation,1,405,0,11,51,0.9764453961456103,1.0,0.8225806451612904,0.9026548672566371,0.0,0.9112903225806452,467,62,0.5,0.9998805256869773,0.9992358220603538,0.017642641364115256,0.05414027382012918
10,validation,2,254,9,0,62,0.9723076923076923,0.8732394366197183,1.0,0.9323308270676691,0.034220532319391636,0.9828897338403042,325,62,0.5,0.9989574389795167,0.9958824640571934,0.028014496117757828,0.09355291169738483
10,validation,3,207,0,13,49,0.9516728624535316,1.0,0.7903225806451613,0.8828828828828829,0.0,0.8951612903225806,269,62,0.5,0.9992208196976781,0.9974210648354147,0.03422964734370826,0.10300110194480043
10,validation,4,312,2,3,59,0.9867021276595744,0.9672131147540983,0.9516129032258065,0.959349593495935,0.006369426751592357,0.9726217382371071,376,62,0.5,0.9991781384836655,0.9959554549689069,0.01067868129192251,0.03809565108131028
10,validation,5,285,0,5,57,0.9855907780979827,1.0,0.9193548387096774,0.957983193277311,0.0,0.9596774193548387,347,62,0.5,0.999490662139219,0.9977758821242807,0.010502284604686536,0.03445785463562707
10,validation,6,322,0,15,47,0.9609375,1.0,0.7580645161290323,0.8623853211009175,0.0,0.8790322580645161,384,62,0.5,0.998447204968944,0.9924300062158227,0.02826287985682495,0.09812066416418593
10,validation,7,173,5,12,50,0.9291666666666667,0.9090909090909091,0.8064516129032258,0.8547008547008547,0.028089887640449437,0.8891808626313882,240,62,0.5,0.9876766944545126,0.967113422332545,0.040662677592957594,0.11993415690227525
10,validation,8,499,11,8,54,0.9667832167832168,0.8307692307692308,0.8709677419354839,0.8503937007874016,0.021568627450980392,0.9246995572422517,572,62,0.5,0.9947185325743201,0.9616814582249917,0.02582329648225463,0.0894260478109286
10,validation,9,327,0,13,49,0.9665809768637532,1.0,0.7903225806451613,0.8828828828828829,0.0,0.8951612903225806,389,62,0.5,0.9997040544539805,0.9984791399915671,0.02124363991379307,0.06270937145515264
15,train,0,1445,2,21,227,0.9864306784660767,0.9912663755458515,0.9153225806451613,0.9517819706498952,0.00138217000691085,0.9569702053191251,1695,248,0.5,0.9994677530820162,0.9969450250158158,0.009781276811299144,0.031122969608070525
