epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5178474882790342,,,,6.102832905696687e-09,7.872899487892937e-08,,0.0,6452080,20,6452080,6452080,0,17.853715039091185,17.84728040662594,6.569238932803273,0.003678953042253852,5.181664,15500,10,10,
2,0.4371214175523872,,,,6.054415635503574e-09,7.798487189347725e-08,,0.0,6452080,20,6452080,6452080,0,12.540428871056065,12.535408990923315,1.5507035278715193,0.0032622828148305416,5.181664,15500,10,10,
3,0.32014655554179183,,,,6.336731139811036e-09,8.129231332532072e-08,,0.0,6452080,20,6452080,6452080,0,12.420172585174441,12.41547132190317,1.5025324588641524,0.0030982799362391233,5.181664,15500,10,10,
4,0.3156338041917741,,,,6.152663267755543e-09,7.896760934045233e-08,,0.0,6452080,20,6452080,6452080,0,12.038179440889508,12.033499032724649,1.503366078948602,0.003069469006732106,5.181664,15500,10,10,
5,0.2574719054296797,0.16383221146585694,0.9469907407407407,0.814874696847211,5.9785256745215065e-09,7.661851242346529e-08,0.0,0.0,6452080,20,6452080,6452080,0,12.117174612125382,12.112379218218848,1.5540804481133819,0.0030663120560348034,5.181664,15500,10,10,
6,0.24167898308084487,,,,6.099894811484319e-09,7.806222157569209e-08,,0.0,6452080,20,6452080,6452080,0,12.454267729073763,12.449461025185883,1.5477841040119529,0.0029981639236211777,5.181664,15500,10,10,
7,0.2230569238879465,,,,6.225741699950049e-09,7.95207100168227e-08,,0.0,6452080,20,6452080,6452080,0,12.587890026858076,12.583081108052284,1.5787371799815446,0.003132737008854747,5.181664,15500,10,10,
8,0.20617930570185136,,,,6.113322292833345e-09,7.793081380214062e-08,,0.0,6452080,20,6452080,6452080,0,12.570403641089797,12.565338781103492,1.6052517080679536,0.0033482778817415237,5.181664,15500,10,10,
9,0.19057927668349478,,,,6.199213586910446e-09,7.884550967673931e-08,,0.0,6452080,20,6452080,6452080,0,12.411072176881135,12.405809917254373,1.563248289981857,0.003408971941098571,5.181664,15500,10,10,
10,0.18147719938549872,0.11227859489960222,0.9631944444444445,0.8632846087704213,6.3945564399148225e-09,8.117785199601713e-08,0.0,0.0,6452080,20,6452080,6452080,0,12.394450651947409,12.38958287681453,1.6066358690150082,0.0032387319952249527,5.181664,15500,10,10,
11,0.17217337008068606,,,,6.2875957773655955e-09,7.964654002989846e-08,,0.0,6452080,20,6452080,6452080,0,12.110503050964326,12.105569971725345,1.5301639619283378,0.0032099420204758644,5.181664,15500,10,10,
12,0.1469788738944759,,,,6.237363958661035e-09,7.883883057502317e-08,,0.0,6452080,20,6452080,6452080,0,12.351256428053603,12.346230634255335,1.5771339270286262,0.003280129050835967,5.181664,15500,10,10,
13,0.1413728455503535,,,,6.096729787685717e-09,7.693341075309945e-08,,0.0,6452080,20,6452080,6452080,0,12.136080430820584,12.131140092620626,1.52904298203066,0.0031898310407996178,5.181664,15500,10,10,
14,0.1273177901828575,,,,6.230680416052792e-09,7.847728511478635e-08,,0.0,6452080,20,6452080,6452080,0,12.6738254299853,12.668502590153366,1.6479770299047232,0.0034399142023175955,5.181664,15500,10,10,
15,0.1361270792257374,0.08775820193707037,0.9648148148148148,0.8795562599049128,6.33334318322909e-09,7.963902959318148e-08,0.0,0.0,6452080,20,6452080,6452080,0,12.244617472868413,12.238901616074145,1.5727321880403906,0.0035937230568379164,5.181664,15500,10,10,
16,0.13068727043610018,,,,6.1666671768989545e-09,7.744093721839818e-08,,0.0,6452080,20,6452080,6452080,0,12.118128521833569,12.112718880875036,1.5417969378177077,0.0034432269167155027,5.181664,15500,10,10,
17,0.13372654729674877,,,,6.22867135646743e-09,7.809408941739093e-08,,0.0,6452080,20,6452080,6452080,0,12.627734208013862,12.62201766949147,1.5767880650237203,0.003163309069350362,5.181664,15500,10,10,
18,0.1374648432412754,,,,6.263387586358249e-09,7.847443583841596e-08,,0.0,6452080,20,6452080,6452080,0,12.358407940948382,12.353168165776879,1.5583156959619373,0.0033318540081381798,5.181664,15500,10,10,
19,0.12768390806013205,,,,6.2062461836376315e-09,7.762666598409851e-08,,0.0,6452080,20,6452080,6452080,0,12.283962458837777,12.27896305732429,1.530894024996087,0.0032765630166977644,5.181664,15500,10,10,
20,0.12198398915815525,0.07918702887366638,0.9710648148148148,0.8964374482187241,6.254965878582652e-09,7.817585156999485e-08,0.0,0.0,6452080,20,6452080,6452080,0,12.569037545006722,12.564127731136978,1.5978381831664592,0.0031099009793251753,5.181664,15500,10,10,
21,0.11482308254274651,,,,6.258416895832397e-09,7.803532042771621e-08,,0.0,6452080,20,6452080,6452080,0,12.355099069187418,12.35014992300421,1.5334356899838895,0.003221452934667468,5.181664,15500,10,10,
22,0.12088531534441457,,,,6.296944299322149e-09,7.844439409154802e-08,,0.0,6452080,20,6452080,6452080,0,12.464286687085405,12.459109100978822,1.5357796689495444,0.0034350280184298754,5.181664,15500,10,10,
23,0.11560811989083733,,,,6.253510154152764e-09,7.778635335853323e-08,,0.0,6452080,20,6452080,6452080,0,12.532323203980923,12.52751077990979,1.5860343261156231,0.0031258619856089354,5.181664,15500,10,10,
24,0.11255067208243041,,,,6.2135736556001575e-09,7.721852313125055e-08,,0.0,6452080,20,6452080,6452080,0,12.732391237048432,12.727401322918013,1.608284197980538,0.0032805008813738823,5.181664,15500,10,10,
25,0.1087416459037649,0.07047391192344864,0.9743055555555555,0.9089417555373257,6.366883464892226e-09,7.901522280917561e-08,0.0,0.0,6452080,20,6452080,6452080,0,12.37428084295243,12.369495186023414,1.5939588930923492,0.0030638868920505047,5.181664,15500,10,10,
26,0.10091302882830115,,,,6.1914486870762175e-09,7.675479452018408e-08,,0.0,6452080,20,6452080,6452080,0,11.894699722994119,11.889573116786778,1.548187677981332,0.003364433068782091,5.181664,15500,10,10,
27,0.10460796500277972,,,,6.30384278110796e-09,7.806681878719246e-08,,0.0,6452080,20,6452080,6452080,0,11.903643915895373,11.898446407634765,1.5007708291523159,0.0033795719500631094,5.181664,15500,10,10,
28,0.09859331679972284,,,,6.451382539296446e-09,7.980539606933235e-08,,0.0,6452080,20,6452080,6452080,0,11.825004377868026,11.819952124962583,1.5286052369046956,0.0032837518956512213,5.181664,15500,10,10,
29,0.09189922445347787,,,,6.404206498444864e-09,7.912124999620573e-08,,0.0,6452080,20,6452080,6452080,0,11.801434116903692,11.795971544226632,1.4421917020808905,0.0036481989081948996,5.181664,15500,10,10,
30,0.09913767406415916,0.06550666098217185,0.9752314814814815,0.9086251067463706,6.286625442442073e-09,7.754927366931952e-08,0.0,0.0,6452080,20,6452080,6452080,0,11.851617126958445,11.846083161886781,1.4779344918206334,0.0035566838923841715,5.181664,15500,10,10,
31,0.10311034315935516,,,,6.3906173686234524e-09,7.878141872197375e-08,,0.0,6452080,20,6452080,6452080,0,11.722373252967373,11.717219394398853,1.5662481600884348,0.0033028151374310255,5.181664,15500,10,10,
32,0.091253784771986,,,,6.33189145560209e-09,7.791210521190806e-08,,0.0,6452080,20,6452080,6452080,0,12.384393331129104,12.379294191021472,1.644811653997749,0.003305093850940466,5.181664,15500,10,10,
33,0.08945181946920874,,,,6.272669050844115e-09,7.710575289365806e-08,,0.0,6452080,20,6452080,6452080,0,11.90728196199052,11.902145589701831,1.474651614902541,0.0033809919841587543,5.181664,15500,10,10,
34,0.10171664508603102,,,,6.364126114988267e-09,7.814129077132748e-08,,0.0,6452080,20,6452080,6452080,0,11.695147068006918,11.69019521260634,1.5127554640639573,0.0032217218540608883,5.181664,15500,10,10,
35,0.09532692338789578,0.06015174707159843,0.9761574074074074,0.9138075313807531,6.3715281939380475e-09,7.814154656671235e-08,0.0,0.0,6452080,20,6452080,6452080,0,11.42637714301236,11.4212885806337,1.4586719300132245,0.003281868062913418,5.181664,15500,10,10,
36,0.09528834053489968,,,,6.267343088950383e-09,7.675640745219425e-08,,0.0,6452080,20,6452080,6452080,0,11.630482360022143,11.62527224724181,1.5155327001120895,0.0033992009703069925,5.181664,15500,10,10,
37,0.09006325368828727,,,,6.3440648290225e-09,7.762307063785556e-08,,0.0,6452080,20,6452080,6452080,0,11.537616048939526,11.532106140162796,1.4407561849802732,0.003605277044698596,5.181664,15500,10,10,
38,0.09488936913371483,,,,6.290005849507452e-09,7.684634084625941e-08,,0.0,6452080,20,6452080,6452080,0,11.576197743183002,11.571203070925549,1.4922195319086313,0.0032024879474192858,5.181664,15500,10,10,
39,0.08439169664314031,,,,6.320086676225856e-09,7.715001260066856e-08,,0.0,6452080,20,6452080,6452080,0,11.611267861910164,11.604050696827471,1.459065468981862,0.0039033161010593176,5.181664,15500,10,10,
40,0.07972614784518556,0.05618822411755752,0.9803240740740741,0.9287510477787091,6.471164937238427e-09,7.887388875360557e-08,0.0,0.0,6452080,20,6452080,6452080,0,11.647901712916791,11.642355455551296,1.487553054932505,0.0036601838655769825,5.181664,15500,10,10,
41,0.09119079329420894,,,,6.262953711200225e-09,7.624669962069675e-08,,0.0,6452080,20,6452080,6452080,0,11.703730132197961,11.698733857832849,1.4640561591368169,0.00323539599776268,5.181664,15500,10,10,
42,0.08977449601591646,,,,6.4264940036196094e-09,7.814782776449647e-08,,0.0,6452080,20,6452080,6452080,0,11.73741973307915,11.731652399990708,1.4801975737791508,0.0038045989349484444,5.181664,15500,10,10,
43,0.07954526247220475,,,,6.290555187860036e-09,7.639983579110776e-08,,0.0,6452080,20,6452080,6452080,0,11.92178943916224,11.91659661498852,1.4728567318525165,0.0033302889205515385,5.181664,15500,10,10,
44,0.0789869229341351,,,,6.319507583896211e-09,7.664883838742753e-08,,0.0,6452080,20,6452080,6452080,0,11.705540206981823,11.700745973736048,1.5155138070695102,0.003093261970207095,5.181664,15500,10,10,
45,0.08687696737190989,0.052926557000713845,0.98125,0.93255620316403,6.285178599796382e-09,7.615530250859592e-08,0.0,0.0,6452080,20,6452080,6452080,0,11.593918792204931,11.58641611225903,1.4215803991537541,0.005106772994622588,5.181664,15500,10,10,
