epoch,split,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
5,train,0,1154,73,73,175,0.9010169491525424,0.7056451612903226,0.7056451612903226,0.7056451612903226,0.059494702526487364,0.8230752293819177,1475,248,0.5,0.9599304624444619,0.8137440612222291,0.06597052716613828,0.22077769310686185
5,train,1,1227,105,34,214,0.9120253164556962,0.670846394984326,0.8629032258064516,0.7548500881834215,0.07882882882882883,0.8920371984888114,1580,248,0.5,0.9559690739126223,0.8401880157430393,0.07192617621989342,0.24539303731372272
5,train,2,1571,76,33,215,0.9424802110817943,0.738831615120275,0.8669354838709677,0.7977736549165121,0.0461445051608986,0.9103954893550346,1895,248,0.5,0.9785362438059424,0.9115502246507927,0.046158158822746195,0.1623658251244157
5,train,3,1304,60,58,190,0.9267990074441688,0.76,0.7661290322580645,0.7630522088353414,0.04398826979472141,0.8610703812316716,1612,248,0.5,0.9540133383785829,0.8313123173873425,0.05973166854549665,0.205441828637136
5,train,4,1598,92,35,213,0.9344685242518059,0.6983606557377049,0.8588709677419355,0.7703435804701627,0.054437869822485205,0.9022165489597251,1938,248,0.5,0.9828903416682573,0.9104544153934601,0.048511405254894696,0.17082261239389568
5,train,5,1276,23,66,182,0.9424692954104719,0.8878048780487805,0.7338709677419355,0.8035320088300221,0.01770592763664357,0.858082520052646,1547,248,0.5,0.9734876704164495,0.8923028706491405,0.052341796005670356,0.17755068317703446
5,train,6,1273,30,42,206,0.9535783365570599,0.8728813559322034,0.8306451612903226,0.8512396694214877,0.023023791250959325,0.9038106850196816,1551,248,0.5,0.9865292253608299,0.9221798516720843,0.04438177198675679,0.1630205137355135
5,train,7,1021,35,67,181,0.9217791411042945,0.8379629629629629,0.7298387096774194,0.7801724137931034,0.03314393939393939,0.84834738514174,1304,248,0.5,0.9702773704789834,0.9055917888905096,0.06383266363045953,0.22076913727278294
5,train,8,1019,52,47,201,0.9249431387414708,0.7944664031620553,0.8104838709677419,0.8023952095808383,0.04855275443510738,0.8809655582663172,1319,248,0.5,0.9725610674377279,0.9158830645728243,0.06645401111516379,0.23040873158451436
5,train,9,1009,22,30,218,0.9593432369038312,0.9083333333333333,0.8790322580645161,0.8934426229508197,0.02133850630455868,0.9288468758799787,1279,248,0.5,0.9904258314821188,0.9644304638379242,0.055566608727173956,0.2080799970719335
5,validation,0,431,11,11,51,0.9563492063492064,0.8225806451612904,0.8225806451612904,0.8225806451612904,0.024886877828054297,0.898846883666618,504,62,0.5,0.9917530287549263,0.9465787149971454,0.030578756346691043,0.11303694312860632
5,validation,1,287,0,26,36,0.9255014326647565,1.0,0.5806451612903226,0.7346938775510204,0.0,0.7903225806451613,349,62,0.5,0.9883106665168033,0.9542111637134849,0.056669119983010656,0.1838709368320162
5,validation,2,425,27,0,62,0.9474708171206225,0.6966292134831461,1.0,0.8211920529801324,0.059734513274336286,0.9701327433628318,514,62,0.5,0.9912931772766201,0.9392421345443012,0.04659299533372499,0.1691651615639891
5,validation,3,655,34,0,62,0.9547270306258322,0.6458333333333334,1.0,0.7848101265822784,0.04934687953555878,0.9753265602322205,751,62,0.5,0.99524790486446,0.9547521061932891,0.03065374760936063,0.10881646366847667
5,validation,4,231,2,23,39,0.9152542372881356,0.9512195121951219,0.6290322580645161,0.7572815533980582,0.008583690987124463,0.8102242835386959,295,62,0.5,0.9694725183441784,0.9032461122631366,0.07218095131497106,0.2333707280236169
5,validation,5,368,3,19,43,0.9491916859122402,0.9347826086956522,0.6935483870967742,0.7962962962962963,0.008086253369272238,0.842731066863751,433,62,0.5,0.9658290583427529,0.8750937427632035,0.05447508485938639,0.18543951225567565
5,validation,6,181,13,1,61,0.9453125,0.8243243243243243,0.9838709677419355,0.8970588235294118,0.06701030927835051,0.9584303292317925,256,62,0.5,0.9963418689723977,0.989966740999825,0.09118448987713093,0.3327919233002472
5,validation,7,426,11,0,62,0.9779559118236473,0.8493150684931506,1.0,0.9185185185185185,0.02517162471395881,0.9874141876430206,499,62,0.5,0.9986712925370931,0.9910787578681374,0.027440347110368368,0.11073705561712607
5,validation,8,353,12,1,61,0.9695550351288056,0.8356164383561644,0.9838709677419355,0.9037037037037037,0.03287671232876712,0.9754971277065843,427,62,0.5,0.9965090587715423,0.9807932162045294,0.038955599299414854,0.15000857163640252
5,validation,9,230,0,35,27,0.8801369863013698,1.0,0.43548387096774194,0.6067415730337079,0.0,0.717741935483871,292,62,0.5,0.9955119214586254,0.9853827907393145,0.07233390034001183,0.2201906274046804
10,train,0,1203,24,70,178,0.936271186440678,0.8811881188118812,0.717741935483871,0.7911111111111111,0.019559902200488997,0.849091016641691,1475,248,0.5,0.984547940163525,0.92847167684117,0.04311692921596888,0.14377567711456732
10,train,1,1286,46,28,220,0.9531645569620253,0.8270676691729323,0.8870967741935484,0.8560311284046692,0.03453453453453453,0.9262811198295069,1580,248,0.5,0.9799476896251089,0.9298836586886998,0.039846371616360364,0.14631174779770972
10,train,2,1625,22,26,222,0.97467018469657,0.9098360655737705,0.8951612903225806,0.9024390243902439,0.013357619914996965,0.9409018352037919,1895,248,0.5,0.9912769062028713,0.9634621042000492,0.02504068699581608,0.09600446394497847
10,train,3,1347,17,51,197,0.9578163771712159,0.9205607476635514,0.7943548387096774,0.8528138528138528,0.012463343108504398,0.8909457478005864,1612,248,0.5,0.9799865197237727,0.9336337748346661,0.03624962711487695,0.13310994928396874
10,train,4,1655,35,34,214,0.9643962848297214,0.8594377510040161,0.8629032258064516,0.8611670020120724,0.020710059171597635,0.9210965833174269,1938,248,0.5,0.9916968887192212,0.9537929933195316,0.028508239827469372,0.10374936057416005
10,train,5,1293,6,63,185,0.9553975436328378,0.9685863874345549,0.7459677419354839,0.8428246013667426,0.004618937644341801,0.870674402145571,1547,248,0.5,0.9882850331520524,0.9527725685831737,0.03686406619907312,0.12613298801060954
10,train,6,1288,15,47,201,0.9600257898130239,0.9305555555555556,0.8104838709677419,0.8663793103448276,0.011511895625479662,0.8994859876711311,1551,248,0.5,0.9934673086921001,0.9671103860901994,0.030003545644148623,0.1076952749623836
10,train,7,1044,12,65,183,0.9409509202453987,0.9384615384615385,0.7379032258064516,0.8261851015801355,0.011363636363636364,0.8632697947214076,1304,248,0.5,0.9848026637341154,0.9473915241686883,0.045417646037585684,0.15481146457728068
10,train,8,1053,18,41,207,0.9552691432903715,0.92,0.8346774193548387,0.8752642706131079,0.01680672268907563,0.9089353483328815,1319,248,0.5,0.9869883437245865,0.9556409419953125,0.04029552891487003,0.14556404388709887
10,train,9,1027,4,42,206,0.9640344018764659,0.9809523809523809,0.8306451612903226,0.8995633187772926,0.0038797284190106693,0.913382716435656,1279,248,0.5,0.9943172929507837,0.9806351408051135,0.035416175499056034,0.1345481967439974
10,validation,0,437,5,12,50,0.9662698412698413,0.9090909090909091,0.8064516129032258,0.8547008547008547,0.011312217194570135,0.8975696978543278,504,62,0.5,0.9947452926580062,0.9659688335512552,0.0233085573214654,0.0796493930441222
10,validation,1,287,0,21,41,0.9398280802292264,1.0,0.6612903225806451,0.7961165048543689,0.0,0.8306451612903225,349,62,0.5,0.9938743396650557,0.9741068198906289,0.04519970588799545,0.14504792316114645
10,validation,2,442,10,0,62,0.980544747081712,0.8611111111111112,1.0,0.9253731343283582,0.022123893805309734,0.9889380530973451,514,62,0.5,0.9988224379103625,0.9920191078027664,0.024952478754173273,0.09627924098703966
10,validation,3,677,12,0,62,0.9840213049267643,0.8378378378378378,1.0,0.9117647058823529,0.01741654571843251,0.9912917271407837,751,62,0.5,0.9996488599653541,0.996233541731977,0.014494794869743578,0.05616255391706829
10,validation,4,233,0,29,33,0.9016949152542373,1.0,0.532258064516129,0.6947368421052632,0.0,0.7661290322580645,295,62,0.5,0.9767409663574692,0.9298626685558714,0.06799811466659976,0.2096596524541679
10,validation,5,371,0,19,43,0.9561200923787528,1.0,0.6935483870967742,0.819047619047619,0.0,0.8467741935483871,433,62,0.5,0.9857838448830537,0.9445036028942474,0.035674012726497,0.12797128656467638
10,validation,6,186,8,3,59,0.95703125,0.8805970149253731,0.9516129032258065,0.9147286821705426,0.041237113402061855,0.9551878949118724,256,62,0.5,0.9969238443631526,0.9914755456816813,0.045494531533180005,0.19001509829442426
10,validation,7,431,6,4,58,0.9799599198396793,0.90625,0.9354838709677419,0.9206349206349206,0.013729977116704805,0.9608769469255185,499,62,0.5,0.9986343839964569,0.9908543734914957,0.021235955488864023,0.08048725919565099
10,validation,8,365,0,1,61,0.9976580796252927,1.0,0.9838709677419355,0.991869918699187,0.0,0.9919354838709677,427,62,0.5,0.9999558108705259,0.9997439836149513,0.022166314450466212,0.09198700594331924
10,validation,9,230,0,29,33,0.9006849315068494,1.0,0.532258064516129,0.6947368421052632,0.0,0.7661290322580645,292,62,0.5,0.9988779803646564,0.9962470094363955,0.0663644920898444,0.19611739463514744
15,train,0,1204,23,44,204,0.9545762711864407,0.8986784140969163,0.8225806451612904,0.8589473684210527,0.018744906275468622,0.9019178694429109,1475,248,0.5,0.9907327076267844,0.9559516616232948,0.031612193006674914,0.1067798797930233
15,train,1,1279,53,19,229,0.9544303797468354,0.8120567375886525,0.9233870967741935,0.8641509433962264,0.03978978978978979,0.9417986534922018,1580,248,0.5,0.9885177516225905,0.9595968574904677,0.03206237532966035,0.11384102654680191
15,train,2,1613,34,12,236,0.9757255936675462,0.8740740740740741,0.9516129032258065,0.9111969111969112,0.020643594414086218,0.9654846544058602,1895,248,0.5,0.9949247899406546,0.977592912538227,0.019569462504377667,0.07342801991175213
15,train,3,1336,28,31,217,0.9633995037220844,0.8857142857142857,0.875,0.8803245436105477,0.020527859237536656,0.9272360703812317,1612,248,0.5,0.9875277882887145,0.9579062202553111,0.02676903181579198,0.09874430270362645
15,train,4,1636,54,21,227,0.9613003095975232,0.8078291814946619,0.9153225806451613,0.8582230623818525,0.03195266272189349,0.9416849589616338,1938,248,0.5,0.9942450849398741,0.9672991992592567,0.024082422412445268,0.08375699077264628
15,train,5,1282,17,35,213,0.9663865546218487,0.9260869565217391,0.8588709677419355,0.891213389121339,0.01308698999230177,0.9228919888748168,1547,248,0.5,0.9928822419230674,0.9686269965127924,0.0257193798391869,0.08865074599420669
15,train,6,1280,23,25,223,0.9690522243713733,0.9065040650406504,0.8991935483870968,0.902834008097166,0.017651573292402148,0.9407709875473473,1551,248,0.5,0.9947391874829797,0.9736020171856572,0.02291868070423961,0.08199634162338669
15,train,7,1047,9,40,208,0.9624233128834356,0.9585253456221198,0.8387096774193549,0.8946236559139785,0.008522727272727272,0.9150934750733137,1304,248,0.5,0.9917598362658846,0.9712116570548708,0.030800143018317093,0.10965191894208463
15,train,8,1054,17,28,220,0.9658832448824868,0.9282700421940928,0.8870967741935484,0.9072164948453608,0.015873015873015872,0.9356118791602662,1319,248,0.5,0.993520526490166,0.9776698452226273,0.02662756683313679,0.09950337839006378
15,train,9,1010,21,21,227,0.9671618451915559,0.9153225806451613,0.9153225806451613,0.9153225806451613,0.020368574199806012,0.9474770032226776,1279,248,0.5,0.9946536403742061,0.9810757373102361,0.02699844737642992,0.10310724707222048
15,validation,0,432,10,8,54,0.9642857142857143,0.84375,0.8709677419354839,0.8571428571428571,0.02262443438914027,0.9241716537731718,504,62,0.5,0.995365640052547,0.9697000480919575,0.019859441905729615,0.06475402982238003
15,validation,1,285,2,11,51,0.9627507163323782,0.9622641509433962,0.8225806451612904,0.8869565217391304,0.006968641114982578,0.9078060020231539,349,62,0.5,0.9949421153197707,0.9781991361013072,0.028020104179406754,0.09297192654145463
15,validation,2,430,22,0,62,0.9571984435797666,0.7380952380952381,1.0,0.8493150684931506,0.048672566371681415,0.9756637168141593,514,62,0.5,0.998037396517271,0.9869699121419744,0.02557303159524268,0.08860439379067962
15,validation,3,672,17,0,62,0.9773635153129161,0.7848101265822784,1.0,0.8794326241134752,0.02467343976777939,0.9876632801161103,751,62,0.5,0.999976590664357,0.9997439836149513,0.014547059972887907,0.05009360477427828
15,validation,4,233,0,20,42,0.9322033898305084,1.0,0.6774193548387096,0.8076923076923077,0.0,0.8387096774193548,295,62,0.5,0.9778485393880659,0.9372568073679579,0.05285380196920998,0.16590131960520083
15,validation,5,371,0,9,53,0.9792147806004619,1.0,0.8548387096774194,0.9217391304347826,0.0,0.9274193548387097,433,62,0.5,0.9921311190331276,0.967275776607158,0.02248866091251464,0.08432222463111039
15,validation,6,185,9,1,61,0.9609375,0.8714285714285714,0.9838709677419355,0.9242424242424242,0.04639175257731959,0.968739607582308,256,62,0.5,0.9971732623877618,0.9917502153407857,0.03573691801222576,0.14722527642759137
15,validation,7,417,20,0,62,0.9599198396793587,0.7560975609756098,1.0,0.8611111111111112,0.04576659038901602,0.9771167048054921,499,62,0.5,0.9990772864840924,0.9936998802262902,0.024761784292332566,0.0809058635536581
15,validation,8,358,7,0,62,0.9836065573770492,0.8985507246376812,1.0,0.9465648854961832,0.019178082191780823,0.9904109589041096,427,62,0.5,0.9999116217410517,0.9994838379333697,0.018974907736250674,0.07537214233803544
15,validation,9,230,0,16,46,0.9452054794520548,1.0,0.7419354838709677,0.8518518518518519,0.0,0.8709677419354839,292,62,0.5,0.9999298737727911,0.9997439836149513,0.03781977489218455,0.1204494156675326
20,train,0,1203,24,53,195,0.9477966101694916,0.8904109589041096,0.7862903225806451,0.8351177730192719,0.019559902200488997,0.8833652101900781,1475,248,0.5,0.9893130373057811,0.9486534221410508,0.03583193121077837,0.11401204465245339
20,train,1,1285,47,22,226,0.9563291139240506,0.8278388278388278,0.9112903225806451,0.8675623800383877,0.03528528528528529,0.9380025186476799,1580,248,0.5,0.9885207788433594,0.9549695347215084,0.03094916283699332,0.10707219349682619
20,train,2,1620,27,17,231,0.9767810026385224,0.8953488372093024,0.9314516129032258,0.9130434782608695,0.01639344262295082,0.9575290851401375,1895,248,0.5,0.9957253657676715,0.9792060263949869,0.01708411976914564,0.06373293263591034
20,train,3,1346,18,37,211,0.9658808933002482,0.9213973799126638,0.8508064516129032,0.8846960167714885,0.013196480938416423,0.9188049853372434,1612,248,0.5,0.9893961072746192,0.960571953242375,0.025452174571973244,0.09199536972292896
20,train,4,1657,33,24,224,0.9705882352941176,0.8715953307392996,0.9032258064516129,0.8871287128712871,0.01952662721893491,0.941849589616339,1938,248,0.5,0.9946888719221225,0.9699839566215521,0.020774438572894332,0.07279090945942811
20,train,5,1294,5,41,207,0.9702650290885585,0.9764150943396226,0.8346774193548387,0.9,0.003849114703618168,0.9154141523256103,1547,248,0.5,0.9933944225086294,0.9715880687407792,0.0258469792749172,0.08866528165466629
20,train,6,1288,15,30,218,0.9709864603481625,0.9356223175965666,0.8790322580645161,0.9064449064449065,0.011511895625479662,0.9337601812195182,1551,248,0.5,0.9962586339217191,0.9812346244568696,0.01975946544763247,0.07075215364120624
20,train,7,1048,8,43,205,0.9608895705521472,0.9624413145539906,0.8266129032258065,0.8893709327548807,0.007575757575757576,0.9095185728250245,1304,248,0.5,0.9924586082600195,0.9725705666829378,0.029700727792660263,0.1027667967041938
20,train,8,1052,19,31,217,0.9620924943138741,0.9194915254237288,0.875,0.8966942148760331,0.017740429505135387,0.9286297852474323,1319,248,0.5,0.9917547664226981,0.9716862590461814,0.02843050534813937,0.10061639100308203
20,train,9,1023,8,30,218,0.9702892885066459,0.9646017699115044,0.8790322580645161,0.919831223628692,0.007759456838021339,0.9356364006132474,1279,248,0.5,0.9956118394293044,0.9848026423477176,0.022982074304826516,0.08889618313912828
20,validation,0,437,5,10,52,0.9702380952380952,0.9122807017543859,0.8387096774193549,0.8739495798319328,0.011312217194570135,0.9136987301123924,504,62,0.5,0.996241424609546,0.9752663375427778,0.01832318940585131,0.05992312984633361
