split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1209,18,37,211,0.9627118644067797,0.9213973799126638,0.8508064516129032,0.8846960167714885,0.014669926650366748,0.9180682624812683,1475,248,0.5,0.9956095380813419,0.9779020241594438,0.02375375078772558,0.07278141291147415
train,fixed,1,1302,30,19,229,0.9689873417721518,0.8841698841698842,0.9233870967741935,0.903353057199211,0.02252252252252252,0.9504322871258355,1580,248,0.5,0.9943148793955247,0.9751590125525192,0.02153921743349005,0.07252552293216587
train,fixed,2,1633,14,15,233,0.9846965699208443,0.9433198380566802,0.9395161290322581,0.9414141414141414,0.008500303582270795,0.9655079127249937,1895,248,0.5,0.9977941320484949,0.9875570529317412,0.012652803663081176,0.04484882196078159
train,fixed,3,1354,10,32,216,0.9739454094292804,0.9557522123893806,0.8709677419354839,0.9113924050632911,0.007331378299120235,0.9318181818181819,1612,248,0.5,0.9955065745908619,0.9809297952373139,0.01808612608245873,0.06407673487313244
train,fixed,4,1668,22,25,223,0.9757481940144479,0.9102040816326531,0.8991935483870968,0.9046653144016227,0.01301775147928994,0.9430878984539034,1938,248,0.5,0.9973014888337468,0.9827760073226243,0.014853298994223574,0.04926121386122367
train,fixed,5,1297,2,27,221,0.9812540400775694,0.9910313901345291,0.8911290322580645,0.9384288747346072,0.001539645881447267,0.9447946931883087,1547,248,0.5,0.9985348531128163,0.9928593003999319,0.016248820725286245,0.05495857042396323
train,fixed,6,1300,3,17,231,0.9871050934880722,0.9871794871794872,0.9314516129032258,0.9585062240663901,0.0023023791250959325,0.964574616889065,1551,248,0.5,0.9985641076424133,0.993275969258322,0.013221556878664826,0.047329587908692905
train,fixed,7,1044,12,28,220,0.9693251533742331,0.9482758620689655,0.8870967741935484,0.9166666666666666,0.011363636363636364,0.937866568914956,1304,248,0.5,0.996326673998045,0.9852050158976399,0.020340497993845075,0.06797697111142634
train,fixed,8,1046,25,22,226,0.9643669446550417,0.900398406374502,0.9112903225806451,0.905811623246493,0.02334267040149393,0.9439738260895756,1319,248,0.5,0.993897021174061,0.9784073325890117,0.02413495099766867,0.07996728592876645
train,fixed,9,1024,7,21,227,0.9781078967943706,0.9700854700854701,0.9153225806451613,0.941908713692946,0.006789524733268671,0.9542665279559464,1279,248,0.5,0.9978450298801664,0.9917383231213504,0.01623831246366942,0.06071000691106486
train,val_f1,0,1204,23,19,229,0.9715254237288136,0.9087301587301587,0.9233870967741935,0.916,0.018744906275468622,0.9523210952493624,1475,248,0.28,0.9956095380813419,0.9779020241594438,0.02375375078772558,0.07278141291147415
train,val_f1,1,1283,49,11,237,0.9620253164556962,0.8286713286713286,0.9556451612903226,0.8876404494382022,0.03678678678678678,0.959429187251768,1580,248,0.28,0.9943148793955247,0.9751590125525192,0.02153921743349005,0.07252552293216587
train,val_f1,2,1607,40,9,239,0.9741424802110817,0.8566308243727598,0.9637096774193549,0.9070208728652751,0.024286581663630843,0.969711547877862,1895,248,0.28,0.9977941320484949,0.9875570529317412,0.012652803663081176,0.04484882196078159
train,val_f1,3,1344,20,18,230,0.9764267990074442,0.92,0.9274193548387096,0.9236947791164659,0.01466275659824047,0.9563782991202345,1612,248,0.28,0.9955065745908619,0.9809297952373139,0.01808612608245873,0.06407673487313244
train,val_f1,4,1649,41,8,240,0.9747162022703818,0.8540925266903915,0.967741935483871,0.9073724007561437,0.0242603550295858,0.9717407902271427,1938,248,0.28,0.9973014888337468,0.9827760073226243,0.014853298994223574,0.04926121386122367
train,val_f1,5,1286,13,12,236,0.9838396897220426,0.9477911646586346,0.9516129032258065,0.9496981891348089,0.010007698229407237,0.9708026024981996,1547,248,0.28,0.9985348531128163,0.9928593003999319,0.016248820725286245,0.05495857042396323
train,val_f1,6,1271,32,7,241,0.9748549323017408,0.8827838827838828,0.9717741935483871,0.9251439539347409,0.024558710667689946,0.9736077414403486,1551,248,0.28,0.9985641076424133,0.993275969258322,0.013221556878664826,0.047329587908692905
train,val_f1,7,1024,32,10,238,0.9677914110429447,0.8814814814814815,0.9596774193548387,0.918918918918919,0.030303030303030304,0.9646871945259042,1304,248,0.28,0.996326673998045,0.9852050158976399,0.020340497993845075,0.06797697111142634
train,val_f1,8,1007,64,10,238,0.9438968915845337,0.7880794701986755,0.9596774193548387,0.8654545454545455,0.059757236227824466,0.9499600915635071,1319,248,0.28,0.993897021174061,0.9784073325890117,0.02413495099766867,0.07996728592876645
train,val_f1,9,1009,22,4,244,0.9796716184519155,0.9172932330827067,0.9838709677419355,0.9494163424124513,0.02133850630455868,0.9812662307186883,1279,248,0.28,0.9978450298801664,0.9917383231213504,0.01623831246366942,0.06071000691106486
train,val_fpr02,0,1200,27,13,235,0.9728813559322034,0.8969465648854962,0.9475806451612904,0.9215686274509803,0.022004889975550123,0.9627878775928701,1475,248,0.22,0.9956095380813419,0.9779020241594438,0.02375375078772558,0.07278141291147415
train,val_fpr02,1,1275,57,7,241,0.959493670886076,0.8087248322147651,0.9717741935483871,0.8827838827838828,0.04279279279279279,0.9644907003777972,1580,248,0.22,0.9943148793955247,0.9751590125525192,0.02153921743349005,0.07252552293216587
train,val_fpr02,2,1599,48,7,241,0.9709762532981531,0.8339100346020761,0.9717741935483871,0.8975791433891993,0.029143897996357013,0.9713151477760151,1895,248,0.22,0.9977941320484949,0.9875570529317412,0.012652803663081176,0.04484882196078159
train,val_fpr02,3,1338,26,14,234,0.9751861042183623,0.9,0.9435483870967742,0.9212598425196851,0.01906158357771261,0.9622434017595308,1612,248,0.22,0.9955065745908619,0.9809297952373139,0.01808612608245873,0.06407673487313244
train,val_fpr02,4,1643,47,5,243,0.9731682146542827,0.8379310344827586,0.9798387096774194,0.9033457249070632,0.027810650887573965,0.9760140293949227,1938,248,0.22,0.9973014888337468,0.9827760073226243,0.014853298994223574,0.04926121386122367
train,val_fpr02,5,1279,20,8,240,0.9819004524886877,0.9230769230769231,0.967741935483871,0.9448818897637795,0.015396458814472672,0.9761727383346992,1547,248,0.22,0.9985348531128163,0.9928593003999319,0.016248820725286245,0.05495857042396323
train,val_fpr02,6,1266,37,4,244,0.973565441650548,0.8683274021352313,0.9838709677419355,0.9224952741020794,0.0283960092095165,0.9777374792662095,1551,248,0.22,0.9985641076424133,0.993275969258322,0.013221556878664826,0.047329587908692905
train,val_fpr02,7,1019,37,6,242,0.9670245398773006,0.8673835125448028,0.9758064516129032,0.9184060721062619,0.035037878787878785,0.9703842864125123,1304,248,0.22,0.996326673998045,0.9852050158976399,0.020340497993845075,0.06797697111142634
train,val_fpr02,8,987,84,8,240,0.9302501895375285,0.7407407407407407,0.967741935483871,0.8391608391608392,0.0784313725490196,0.9446552814674256,1319,248,0.22,0.993897021174061,0.9784073325890117,0.02413495099766867,0.07996728592876645
train,val_fpr02,9,996,35,3,245,0.9702892885066459,0.875,0.9879032258064516,0.928030303030303,0.03394762366634336,0.976977801070054,1279,248,0.22,0.9978450298801664,0.9917383231213504,0.01623831246366942,0.06071000691106486
validation,fixed,0,442,0,11,51,0.9781746031746031,1.0,0.8225806451612904,0.9026548672566371,0.0,0.9112903225806452,504,62,0.5,0.9998905269303752,0.9992358220603539,0.012943986786038076,0.04185908561646073
validation,fixed,1,287,0,14,48,0.9598853868194842,1.0,0.7741935483870968,0.8727272727272727,0.0,0.8870967741935484,349,62,0.5,0.9978644486905698,0.9908706254327945,0.027819108985675998,0.0873798085231003
