epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.49899887528848863,,,,6.179724287846966e-09,7.973282123430181e-08,,0.0,6452080,20,6452080,6452080,0,18.233668484026566,18.225329001434147,6.3584269841667265,0.00469471700489521,5.181664,16031,10,10,
2,0.40305894508911166,,,,6.059974744232477e-09,7.802688628544274e-08,,0.0,6452080,20,6452080,6452080,0,13.191310021094978,13.185055241920054,1.5252456611488014,0.0036001119296997786,5.181664,16031,10,10,
3,0.26279997366292795,,,,6.167700128401066e-09,7.907424048880785e-08,,0.0,6452080,20,6452080,6452080,0,12.76472971914336,12.758403605083004,1.4283523170743138,0.003653388936072588,5.181664,16031,10,10,
4,0.27226327144285367,,,,6.221960280328176e-09,7.981895322473065e-08,,0.0,6452080,20,6452080,6452080,0,12.630684892879799,12.625075849471614,1.458242247113958,0.0034766430035233498,5.181664,16031,10,10,
5,0.2306445031785233,0.19864838961634285,0.9224069675376089,0.7048192771084337,6.172450106589622e-09,7.899622289642139e-08,0.0,0.0,6452080,20,6452080,6452080,0,12.54591497592628,12.541256334632635,1.4811138638760895,0.003031437983736396,5.181664,16031,10,10,
6,0.2149833607305815,,,,6.168641153436738e-09,7.87954874681418e-08,,0.0,6452080,20,6452080,6452080,0,12.90059512690641,12.89542670827359,1.4679860300384462,0.0033373089972883463,5.181664,16031,10,10,
7,0.1893067516323843,,,,6.237565575162307e-09,7.94762513578462e-08,,0.0,6452080,20,6452080,6452080,0,13.03610226418823,13.030884189764038,1.4740004141349345,0.003402942791581154,5.181664,16031,10,10,
8,0.1838301933568065,,,,6.2624407881628485e-09,7.961470060990905e-08,,0.0,6452080,20,6452080,6452080,0,13.073442734079435,13.06820635846816,1.5007957550697029,0.0033559580333530903,5.181664,16031,10,10,
9,0.18043327587420604,,,,6.3277552087015465e-09,8.030267650838141e-08,,0.0,6452080,20,6452080,6452080,0,12.789101670030504,12.78420737455599,1.4478405248373747,0.0031741620041429996,5.181664,16031,10,10,
10,0.15743061504355432,0.13314902994948724,0.9548693586698337,0.8549618320610687,6.181022804696568e-09,7.823031467069086e-08,0.0,0.0,6452080,20,6452080,6452080,0,13.051666386891156,13.043814519420266,1.4703876881394535,0.005238750949501991,5.181664,16031,10,10,
11,0.15398739938827483,,,,6.0997829010034366e-09,7.705160243176579e-08,,0.0,6452080,20,6452080,6452080,0,12.907654800219461,12.902130918577313,1.409978253999725,0.003657273016870022,5.181664,16031,10,10,
12,0.1487217144571965,,,,6.328030099922444e-09,7.977779148404807e-08,,0.0,6452080,20,6452080,6452080,0,12.600119735114276,12.594451512210071,1.4863751700613648,0.0034747738391160965,5.181664,16031,10,10,
13,0.1352778701874825,,,,6.286808407196531e-09,7.909080323997841e-08,,0.0,6452080,20,6452080,6452080,0,12.81160707701929,12.805463574826717,1.4416856379248202,0.0036112810485064983,5.181664,16031,10,10,
14,0.12104510606472554,,,,6.152652165525296e-09,7.726836770416412e-08,,0.0,6452080,20,6452080,6452080,0,12.858799341134727,12.853739168029279,1.4954857409466058,0.003248512977734208,5.181664,16031,10,10,
15,0.12529416020243994,0.09964262844635456,0.9656901557139087,0.8932676518883416,6.294852639143755e-09,7.893710574080615e-08,0.0,0.0,6452080,20,6452080,6452080,0,12.559387736022472,12.553898422047496,1.3999776090495288,0.0035816170275211334,5.181664,16031,10,10,
16,0.12067203449925563,,,,6.333123803159424e-09,7.925916634121677e-08,,0.0,6452080,20,6452080,6452080,0,12.619005639106035,12.612948850961402,1.493332837941125,0.0035690770018845797,5.181664,16031,10,10,
17,0.1258779858619507,,,,6.301298594024729e-09,7.876428753661457e-08,,0.0,6452080,20,6452080,6452080,0,12.904047194868326,12.898686543572694,1.4243729950394481,0.003441974986344576,5.181664,16031,10,10,
18,0.11447394898381122,,,,6.321387857610716e-09,7.888500874742022e-08,,0.0,6452080,20,6452080,6452080,0,12.778380119008943,12.773217421490699,1.4234120489563793,0.003415310988202691,5.181664,16031,10,10,
19,0.10692967278231347,,,,6.160152832279664e-09,7.674881175034898e-08,,0.0,6452080,20,6452080,6452080,0,12.951628335984424,12.946562448050827,1.45113865705207,0.0032803670037537813,5.181664,16031,10,10,
20,0.10720791084509458,0.09455814083173256,0.9635787806809184,0.8804159445407279,6.2782454790522024e-09,7.809634183786329e-08,0.0,0.0,6452080,20,6452080,6452080,0,12.860465449048206,12.855871946318075,1.5144494499545544,0.0029589198529720306,5.181664,16031,10,10,
21,0.10745564636846931,,,,6.36811492427114e-09,7.914026411981467e-08,,0.0,6452080,20,6452080,6452080,0,12.95612505893223,12.951056770281866,1.471904250094667,0.0033119949512183666,5.181664,16031,10,10,
22,0.10048793849030697,,,,6.300416188764757e-09,7.818396596803723e-08,,0.0,6452080,20,6452080,6452080,0,12.925681097898632,12.920750081539154,1.4827638941351324,0.0032878639176487923,5.181664,16031,10,10,
23,0.10259520013954573,,,,6.292890653014638e-09,7.801751422675807e-08,,0.0,6452080,20,6452080,6452080,0,12.761066607898101,12.755773084238172,1.4366450170055032,0.003478422062471509,5.181664,16031,10,10,
24,0.10212037048976474,,,,6.324657686462842e-09,7.828341352933421e-08,,0.0,6452080,20,6452080,6452080,0,12.669768280116841,12.664886703016236,1.4799059911165386,0.003174067009240389,5.181664,16031,10,10,
25,0.09259796983271215,0.0830114593416637,0.9654262338347849,0.8957836117740652,6.2985869853093845e-09,7.785313727026733e-08,0.0,0.0,6452080,20,6452080,6452080,0,12.516637181164697,12.511692188447341,1.4274061110336334,0.003185621928423643,5.181664,16031,10,10,
26,0.10401352278892854,,,,6.287497633650219e-09,7.75903856720106e-08,,0.0,6452080,20,6452080,6452080,0,12.468266273848712,12.460788066033274,1.4118764500599355,0.003827212145552039,5.181664,16031,10,10,
27,0.10107687791529525,,,,6.26927842972691e-09,7.732722906439449e-08,,0.0,6452080,20,6452080,6452080,0,12.307101554935798,12.301924029598013,1.3826248729601502,0.00333982496522367,5.181664,16031,10,10,
28,0.0910644834528992,,,,6.224812221233833e-09,7.662583811907098e-08,,0.0,6452080,20,6452080,6452080,0,12.212154624983668,12.206260751234367,1.4399917921982706,0.003507239045575261,5.181664,16031,10,10,
29,0.08846685881852409,,,,6.310738154269302e-09,7.76016477743724e-08,,0.0,6452080,20,6452080,6452080,0,12.236440788954496,12.231242071138695,1.3690702270250767,0.00335664302110672,5.181664,16031,10,10,
30,0.09869539730259748,0.07882632670370664,0.9693850620216415,0.9036544850498339,6.3637801694937934e-09,7.817956770850287e-08,0.0,0.0,6452080,20,6452080,6452080,0,12.339058805955574,12.333866165019572,1.3847401109524071,0.003312618937343359,5.181664,16031,10,10,
31,0.0859434157918368,,,,6.425478371596682e-09,7.883903663241654e-08,,0.0,6452080,20,6452080,6452080,0,12.153223050991073,12.148148086853325,1.38923474913463,0.003236177144572139,5.181664,16031,10,10,
32,0.0891420265699997,,,,6.2841469805619e-09,7.69786510090853e-08,,0.0,6452080,20,6452080,6452080,0,12.371585880871862,12.366033576894552,1.4090637031476945,0.0036288509145379066,5.181664,16031,10,10,
33,0.0819190005075156,,,,6.442679723051015e-09,7.883801345087704e-08,,0.0,6452080,20,6452080,6452080,0,12.137674246914685,12.132347363280132,1.385415812022984,0.003408547956496477,5.181664,16031,10,10,
34,0.08727474320155201,,,,6.304152755376435e-09,7.704482385406664e-08,,0.0,6452080,20,6452080,6452080,0,12.293472239049152,12.288491397397593,1.3959265940357,0.003251540008932352,5.181664,16031,10,10,
35,0.08742221985855021,0.07915378648606707,0.9693850620216415,0.9015280135823429,6.296549948103802e-09,7.687122405286573e-08,0.0,0.0,6452080,20,6452080,6452080,0,12.20116146793589,12.196285787271336,1.4614456768613309,0.003178737126290798,5.181664,16031,10,10,
36,0.0883185395768634,,,,6.366202232044316e-09,7.760046827343103e-08,,0.0,6452080,20,6452080,6452080,0,12.127310829935595,12.12201505410485,1.4312053639441729,0.0034353991504758596,5.181664,16031,10,10,
37,0.0824990968147375,,,,6.266959839962283e-09,7.63343379617254e-08,,0.0,6452080,20,6452080,6452080,0,12.156275192042813,12.151294358773157,1.3934232769533992,0.0032164729200303555,5.181664,16031,10,10,
38,0.07545919735349685,,,,6.323671808416975e-09,7.690046288644226e-08,,0.0,6452080,20,6452080,6452080,0,12.165245125070214,12.15966825466603,1.4034195740241557,0.003647706937044859,5.181664,16031,10,10,
39,0.08129571077166016,,,,6.351347447974831e-09,7.714902494626585e-08,,0.0,6452080,20,6452080,6452080,0,12.178954193834215,12.17339980485849,1.4283165759406984,0.0036081718280911446,5.181664,16031,10,10,
40,0.07755985411159207,0.07499328280348355,0.9627870150435471,0.8867469879518072,6.297735222204892e-09,7.640142740683586e-08,0.0,0.0,6452080,20,6452080,6452080,0,12.15398738719523,12.149087031837553,1.3644009220879525,0.0031487620435655117,5.181664,16031,10,10,
41,0.07388009259835807,,,,6.415480147126118e-09,7.77313573507854e-08,,0.0,6452080,20,6452080,6452080,0,12.168300533900037,12.163060216000304,1.4102662801742554,0.0034328659530729055,5.181664,16031,10,10,
42,0.08142198706272985,,,,6.421065901207612e-09,7.769585153027947e-08,,0.0,6452080,20,6452080,6452080,0,12.35553286690265,12.349642467452213,1.438151097856462,0.004012905992567539,5.181664,16031,10,10,
43,0.07986689488832495,,,,6.514704775639757e-09,7.876955976371391e-08,,0.0,6452080,20,6452080,6452080,0,12.036073656054214,12.030666357837617,1.3407602629158646,0.0035281190648674965,5.181664,16031,10,10,
44,0.07775739112796064,,,,6.375394434599002e-09,7.694927006696162e-08,,0.0,6452080,20,6452080,6452080,0,11.863223775057122,11.858168811770156,1.3899526251479983,0.0033224301878362894,5.181664,16031,10,10,
45,0.07650835660384707,0.07124009383466609,0.96648192135128,0.8961569910057237,6.408813035818639e-09,7.728118589511723e-08,0.0,0.0,6452080,20,6452080,6452080,0,12.188379420898855,12.18315225886181,1.4312032889574766,0.003472103038802743,5.181664,16031,10,10,
46,0.07683393300826866,,,,6.474279334867106e-09,7.7944392273821e-08,,0.0,6452080,20,6452080,6452080,0,12.126982246991247,12.121472450904548,1.4264629881363362,0.0037258390802890062,5.181664,16031,10,10,
47,0.07086310293545865,,,,6.207331981755715e-09,7.462255524615102e-08,,0.0,6452080,20,6452080,6452080,0,12.497701552929357,12.492399867856875,1.3930248781107366,0.003470413153991103,5.181664,16031,10,10,
48,0.06824402570733173,,,,6.409902386650401e-09,7.69769243902374e-08,,0.0,6452080,20,6452080,6452080,0,12.28420855710283,12.279002188239247,1.3777727731503546,0.0033267040271312,5.181664,16031,10,10,
49,0.07167897493967257,,,,6.294978316390143e-09,7.551122394033882e-08,,0.0,6452080,20,6452080,6452080,0,11.445299735991284,11.440008792094886,1.3849114580079913,0.0035293849650770426,5.181664,16031,10,10,
50,0.07477893378483248,0.06576966315897703,0.9701768276590129,0.9086499595796281,6.441950972657651e-09,7.717940775364696e-08,0.0,0.0,6452080,20,6452080,6452080,0,10.658655603881925,10.653655189322308,1.3005126670468599,0.0032709618099033833,5.181664,16031,10,10,
