split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1431,18,15,233,0.9805539186800236,0.9282868525896414,0.9395161290322581,0.9338677354709419,0.012422360248447204,0.9635468843919055,1697,248,0.5,0.9978739508893787,0.9887868930250773,0.013553153488861611,0.04573346329527949
train,fixed,1,1384,19,10,238,0.982434887946699,0.9260700389105059,0.9596774193548387,0.9425742574257425,0.0135424091233072,0.9730675051157658,1651,248,0.5,0.9988015312808958,0.9939757258347072,0.010936180735791952,0.039912459982503805
train,fixed,2,1157,12,34,214,0.9675370501058574,0.9469026548672567,0.8629032258064516,0.9029535864978903,0.010265183917878529,0.9263190209442865,1417,248,0.5,0.9958608129363393,0.9804866104889933,0.022151929746708623,0.06966553708321419
train,fixed,3,1515,31,7,241,0.9788182831661093,0.8860294117647058,0.9717741935483871,0.926923076923077,0.020051746442432083,0.9758612235529776,1794,248,0.5,0.9968806076033885,0.9797402624759044,0.01646569494614238,0.058182922552454934
train,fixed,4,1522,18,7,241,0.9860178970917226,0.9305019305019305,0.9717741935483871,0.9506903353057199,0.011688311688311689,0.9800429409300377,1788,248,0.5,0.9990966694595727,0.9948353034401815,0.009809092890127623,0.03602576890384391
train,fixed,5,1084,21,27,221,0.9645232815964523,0.9132231404958677,0.8911290322580645,0.9020408163265307,0.019004524886877826,0.9360622536855934,1353,248,0.5,0.9963946869070209,0.9846221703900992,0.020307043293768524,0.06613656887318713
train,fixed,6,1517,10,13,235,0.9870422535211267,0.9591836734693877,0.9475806451612904,0.9533468559837728,0.006548788474132285,0.970515928343579,1775,248,0.5,0.9983707248030083,0.9905883802746018,0.011842223068307161,0.042862598903591315
train,fixed,7,1068,15,32,216,0.9646882043576258,0.935064935064935,0.8709677419354839,0.9018789144050104,0.013850415512465374,0.9285586632115093,1331,248,0.5,0.9943965388854139,0.9783725606795571,0.0234412097637531,0.07676343792759081
train,fixed,8,1408,26,9,239,0.9791914387633769,0.9018867924528302,0.9637096774193549,0.9317738791423001,0.01813110181311018,0.9727892878031223,1682,248,0.5,0.9983156746299546,0.9913715267429295,0.014772289941381463,0.05304594921821083
train,fixed,9,1263,32,13,235,0.9708360337005832,0.8801498127340824,0.9475806451612904,0.912621359223301,0.02471042471042471,0.9614351102254328,1543,248,0.5,0.9961078590110848,0.9811912221241182,0.019537845764697918,0.0644695597503039
train,val_f1,0,1440,9,22,226,0.9817324690630524,0.9617021276595744,0.9112903225806451,0.9358178053830227,0.006211180124223602,0.9525395712282108,1697,248,0.59,0.9978739508893787,0.9887868930250773,0.013553153488861611,0.04573346329527949
train,val_f1,1,1392,11,13,235,0.9854633555420957,0.9552845528455285,0.9475806451612904,0.951417004048583,0.007840342124019958,0.9698701515186352,1651,248,0.59,0.9988015312808958,0.9939757258347072,0.010936180735791952,0.039912459982503805
train,val_f1,2,1159,10,40,208,0.9647141848976711,0.9541284403669725,0.8387096774193549,0.8927038626609443,0.00855431993156544,0.9150776787438948,1417,248,0.59,0.9958608129363393,0.9804866104889933,0.022151929746708623,0.06966553708321419
train,val_f1,3,1521,25,13,235,0.9788182831661093,0.9038461538461539,0.9475806451612904,0.9251968503937008,0.016170763260025874,0.9657049409506322,1794,248,0.59,0.9968806076033885,0.9797402624759044,0.01646569494614238,0.058182922552454934
train,val_f1,4,1528,12,11,237,0.9871364653243848,0.9518072289156626,0.9556451612903226,0.9537223340040242,0.007792207792207792,0.9739264767490574,1788,248,0.59,0.9990966694595727,0.9948353034401815,0.009809092890127623,0.03602576890384391
train,val_f1,5,1087,18,32,216,0.9630450849963045,0.9230769230769231,0.8709677419354839,0.8962655601659751,0.016289592760180997,0.9273390745876514,1353,248,0.59,0.9963946869070209,0.9846221703900992,0.020307043293768524,0.06613656887318713
train,val_f1,6,1520,7,20,228,0.9847887323943662,0.9702127659574468,0.9193548387096774,0.9440993788819876,0.0045841519318926,0.9573853433888924,1775,248,0.59,0.9983707248030083,0.9905883802746018,0.011842223068307161,0.042862598903591315
train,val_f1,7,1071,12,37,211,0.9631855747558227,0.9461883408071748,0.8508064516129032,0.8959660297239915,0.0110803324099723,0.9198630596014654,1331,248,0.59,0.9943965388854139,0.9783725606795571,0.0234412097637531,0.07676343792759081
train,val_f1,8,1416,18,14,234,0.9809750297265161,0.9285714285714286,0.9435483870967742,0.936,0.012552301255230125,0.965498042920772,1682,248,0.59,0.9983156746299546,0.9913715267429295,0.014772289941381463,0.05304594921821083
