epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.49084800421727026,,,,6.121014806126368e-09,7.893849840456824e-08,,0.0,6452080,20,6452080,6452080,0,20.569604021962732,20.56375027494505,8.564283734885976,0.0037911429535597563,5.181664,16081,10,10,
2,0.40610147710490835,,,,6.064636348668273e-09,7.80157662916281e-08,,0.0,6452080,20,6452080,6452080,0,13.724290699930862,13.719315821072087,1.5571030110586435,0.0032191439531743526,5.181664,16081,10,10,
3,0.29725988593611363,,,,6.049823308984514e-09,7.758616504816018e-08,,0.0,6452080,20,6452080,6452080,0,13.680573605000973,13.675479229772463,1.6024068570695817,0.0033362579997628927,5.181664,16081,10,10,
4,0.2799624902283969,,,,6.1080909219413115e-09,7.832607451518925e-08,,0.0,6452080,20,6452080,6452080,0,13.452896372880787,13.44793565152213,1.5727185809519142,0.0032779050525277853,5.181664,16081,10,10,
5,0.2302944967647524,0.18582641890974264,0.920032094142819,0.7654901960784314,6.270461039292741e-09,8.021770980803922e-08,0.0,0.0,6452080,20,6452080,6452080,0,13.503950882004574,13.498821832006797,1.549925884930417,0.0033951031509786844,5.181664,16081,10,10,
6,0.2254649510567869,,,,6.0593094985961216e-09,7.7410533094735e-08,,0.0,6452080,20,6452080,6452080,0,13.379465617937967,13.374343211064115,1.516206145985052,0.003290574997663498,5.181664,16081,10,10,
7,0.1950056522816423,,,,6.065666191545915e-09,7.730755413604129e-08,,0.0,6452080,20,6452080,6452080,0,13.426474561914802,13.421386297093704,1.5422506949398667,0.003382802940905094,5.181664,16081,10,10,
8,0.1833638454311083,,,,6.222138360101326e-09,7.913978805618171e-08,,0.0,6452080,20,6452080,6452080,0,13.355366870993748,13.350459112320095,1.5274716611020267,0.0032080779783427715,5.181664,16081,10,10,
9,0.15898113854242343,,,,6.290230114558426e-09,7.979762983723049e-08,,0.0,6452080,20,6452080,6452080,0,13.224636076018214,13.220011985162273,1.5234952939208597,0.0030367840081453323,5.181664,16081,10,10,
10,0.14658888855468505,0.12287486254799937,0.9470446643487563,0.8304794520547946,6.232597993260924e-09,7.892968767464481e-08,0.0,0.0,6452080,20,6452080,6452080,0,13.395232140086591,13.390521053457633,1.5133678440470248,0.0030769091099500656,5.181664,16081,10,10,
