split,node,engines,windows,positive,positive_fraction
train,0,8,1695,248,0.1463126843657817
train,1,8,1686,248,0.14709371293001186
train,2,8,1809,248,0.1370923161967938
train,3,8,1435,248,0.17282229965156795
train,4,8,1799,248,0.1378543635352974
train,5,8,1490,248,0.16644295302013423
train,6,8,1735,248,0.14293948126801154
train,7,8,1822,248,0.13611416026344675
train,8,8,1207,248,0.20546810273405136
train,9,8,1403,248,0.1767640769779045
validation,0,2,370,62,0.16756756756756758
validation,1,2,467,62,0.13276231263383298
validation,2,2,325,62,0.19076923076923077
validation,3,2,269,62,0.23048327137546468
validation,4,2,376,62,0.16489361702127658
validation,5,2,347,62,0.1786743515850144
validation,6,2,384,62,0.16145833333333334
validation,7,2,240,62,0.25833333333333336
validation,8,2,572,62,0.10839160839160839
validation,9,2,389,62,0.15938303341902313
test,0,10,857,47,0.05484247374562427
test,1,10,1525,45,0.029508196721311476
test,2,10,1356,30,0.022123893805309734
test,3,10,1247,27,0.02165196471531676
test,4,10,1440,17,0.011805555555555555
test,5,10,1351,34,0.025166543301258327
test,6,10,959,46,0.047966631908237745
test,7,9,1187,45,0.037910699241786014
test,8,9,844,0,0.0
test,9,9,951,0,0.0
