epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5178474882790342,,,,0.0007193856290541589,0.009281175211071968,,0.8596016764640808,6452080,20,6452080,6452080,0,18.511702820193022,18.502430342836305,6.596179049927741,0.00652204011566937,0.5261664,15500,10,10,0.8726779962499653
2,0.4340907386075701,,,,0.0014272562693804502,0.01838630624115467,,1.7556530237197876,6452080,20,6452080,6452080,0,13.353263355093077,13.346054567024112,1.6274074229877442,0.005307832965627313,0.5261664,15500,10,10,0.8726779962499653
3,0.31605302999211926,,,,0.0019305815221741796,0.024777928367257118,,1.2425340414047241,6452080,20,6452080,6452080,0,13.163132368121296,13.155043225036934,1.6664212129544467,0.006238321075215936,0.5261664,15500,10,10,0.8726779962499653
4,0.30556915277165075,,,,0.0018184185028076172,0.023350084200501442,,1.18289053440094,6452080,20,6452080,6452080,0,13.100769388023764,13.094049347331747,1.6279683818574995,0.004903094843029976,0.5261664,15500,10,10,0.8726779962499653
5,0.2534389306261246,0.16155266306952243,0.9388888888888889,0.7708333333333334,0.0019391885725781322,0.02485700324177742,0.03819444444444445,1.3541404008865356,6452080,20,6452080,6452080,0,13.09697610186413,13.090611395891756,1.690544174052775,0.004620634019374847,0.5261664,15500,10,10,0.8726779962499653
6,0.24257366025861252,,,,0.0020902107935398817,0.02677283249795437,,1.376492977142334,6452080,20,6452080,6452080,0,13.194942915113643,13.1883658177685,1.8151009029243141,0.0048243708442896605,0.5261664,15500,10,10,0.8726779962499653
7,0.21995565889411442,,,,0.002260667970404029,0.028901860117912292,,1.3628891706466675,6452080,20,6452080,6452080,0,12.54603836289607,12.539272168418393,1.5241782709490508,0.004992150003090501,0.5261664,15500,10,10,0.8726779962499653
8,0.21109141764985967,,,,0.0023139212280511856,0.02954091876745224,,1.289932131767273,6452080,20,6452080,6452080,0,12.958341016899794,12.951404764084145,1.6275961538776755,0.005148507887497544,0.5261664,15500,10,10,0.8726779962499653
9,0.19530797954803328,,,,0.002407785737887025,0.030679762363433838,,1.2994924783706665,6452080,20,6452080,6452080,0,12.837835893034935,12.831563751213253,1.620403059059754,0.004544069059193134,0.5261664,15500,10,10,0.8726779962499653
10,0.17184330739795567,0.11524058963907602,0.9567129629629629,0.8524072612470402,0.0025065955705940723,0.03186456486582756,0.03833333333333333,1.442214012145996,6452080,20,6452080,6452080,0,12.961616232991219,12.954987016739324,1.6042239358648658,0.004919599974527955,0.5261664,15500,10,10,0.8726779962499653
11,0.17215333675778305,,,,0.0025243235286325216,0.03204276040196419,,1.475442886352539,6452080,20,6452080,6452080,0,12.84946314082481,12.842257784912363,1.5725221280008554,0.005378879839554429,0.5261664,15500,10,10,0.8726779962499653
12,0.16753070401602327,,,,0.0025524809025228024,0.03233889862895012,,1.4101581573486328,6452080,20,6452080,6452080,0,12.718342464184389,12.711811420042068,1.600446623051539,0.00484161707572639,0.5261664,15500,10,10,0.8726779962499653
13,0.1460388429443256,,,,0.0024660315830260515,0.031180530786514282,,1.414731740951538,6452080,20,6452080,6452080,0,12.406518795993179,12.399925793055445,1.5612634930294007,0.004815249005332589,0.5261664,15500,10,10,0.8726779962499653
