split,node,engines,windows,positive,positive_fraction
train,0,8,1475,248,0.168135593220339
train,1,8,1580,248,0.1569620253164557
train,2,8,1895,248,0.1308707124010554
train,3,8,1612,248,0.15384615384615385
train,4,8,1938,248,0.12796697626418987
train,5,8,1547,248,0.1603102779573368
train,6,8,1551,248,0.15989684074790458
train,7,8,1304,248,0.1901840490797546
train,8,8,1319,248,0.18802122820318423
train,9,8,1279,248,0.19390148553557468
validation,0,2,504,62,0.12301587301587301
validation,1,2,349,62,0.17765042979942694
validation,2,2,514,62,0.12062256809338522
validation,3,2,751,62,0.08255659121171771
validation,4,2,295,62,0.21016949152542372
validation,5,2,433,62,0.14318706697459585
validation,6,2,256,62,0.2421875
validation,7,2,499,62,0.12424849699398798
validation,8,2,427,62,0.1451990632318501
validation,9,2,292,62,0.21232876712328766
test,0,10,1225,15,0.012244897959183673
test,1,10,1327,23,0.01733232856066315
test,2,10,1059,25,0.023607176581680833
test,3,10,1345,50,0.03717472118959108
test,4,10,953,36,0.03777544596012592
test,5,10,984,0,0.0
test,6,10,1289,6,0.004654771140418929
test,7,9,1474,100,0.06784260515603799
test,8,9,785,14,0.017834394904458598
test,9,9,1276,22,0.017241379310344827
