split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1213,14,33,215,0.9681355932203389,0.9388646288209607,0.8669354838709677,0.9014675052410901,0.011409942950285249,0.9277627704603413,1475,248,0.5,0.9962470752162368,0.9805229709049728,0.02095447614715039,0.06679446448211358
train,fixed,1,1311,21,25,223,0.970886075949367,0.9139344262295082,0.8991935483870968,0.9065040650406504,0.015765765765765764,0.9417138913106655,1580,248,0.5,0.9938607962801511,0.9728430305360275,0.021499843117319173,0.0742499120095214
train,fixed,2,1642,5,18,230,0.9878627968337731,0.9787234042553191,0.9274193548387096,0.9523809523809523,0.0030358227079538553,0.9621917660653778,1895,248,0.5,0.9991724934876707,0.9951813117392198,0.010528020733762397,0.0399464241334253
train,fixed,3,1364,0,33,215,0.9795285359801489,1.0,0.8669354838709677,0.9287257019438445,0.0,0.9334677419354839,1612,248,0.5,0.9968575584145304,0.9871129159712213,0.017106654227968213,0.06448466986024652
train,fixed,4,1685,5,32,216,0.9809081527347782,0.9773755656108597,0.8709677419354839,0.9211087420042644,0.0029585798816568047,0.9340045810269135,1938,248,0.5,0.998394254628746,0.9893457918261954,0.012630857138569504,0.04048728126033212
train,fixed,5,1294,5,24,224,0.9812540400775694,0.9781659388646288,0.9032258064516129,0.939203354297694,0.003849114703618168,0.9496883458739973,1547,248,0.5,0.9980723385234299,0.9907129402026125,0.015461096417136059,0.0525820355893379
train,fixed,6,1276,27,6,242,0.9787234042553191,0.8996282527881041,0.9758064516129032,0.9361702127659575,0.02072141212586339,0.9775425197435199,1551,248,0.5,0.9986817022751466,0.9937510360324509,0.012965994984145099,0.04344367379336535
train,fixed,7,1049,7,18,230,0.9808282208588958,0.9704641350210971,0.9274193548387096,0.9484536082474226,0.006628787878787879,0.960395283479961,1304,248,0.5,0.9980144183773216,0.9920173343984264,0.015136177672458926,0.05338489007737739
train,fixed,8,1058,13,22,226,0.9734647460197119,0.9456066945606695,0.9112903225806451,0.9281314168377823,0.012138188608776844,0.9495760669859341,1319,248,0.5,0.9960618656064576,0.9854982252718117,0.019371749692979473,0.06687606827540837
train,fixed,9,1024,7,11,237,0.9859265050820953,0.9713114754098361,0.9556451612903226,0.9634146341463414,0.006789524733268671,0.974427818278527,1279,248,0.5,0.9987523857200964,0.9951935823301943,0.013187582669309483,0.05294719478751349
train,val_f1,0,1210,17,23,225,0.9728813559322034,0.9297520661157025,0.907258064516129,0.9183673469387755,0.013854930725346373,0.9467015668953913,1475,248,0.38,0.9962470752162368,0.9805229709049728,0.02095447614715039,0.06679446448211358
train,val_f1,1,1302,30,16,232,0.970886075949367,0.8854961832061069,0.9354838709677419,0.9098039215686274,0.02252252252252252,0.9564806742226097,1580,248,0.38,0.9938607962801511,0.9728430305360275,0.021499843117319173,0.0742499120095214
train,val_f1,2,1637,10,5,243,0.9920844327176781,0.9604743083003953,0.9798387096774194,0.9700598802395209,0.006071645415907711,0.9868835321307559,1895,248,0.38,0.9991724934876707,0.9951813117392198,0.010528020733762397,0.0399464241334253
train,val_f1,3,1363,1,28,220,0.9820099255583127,0.995475113122172,0.8870967741935484,0.9381663113006397,0.0007331378299120235,0.9431818181818181,1612,248,0.38,0.9968575584145304,0.9871129159712213,0.017106654227968213,0.06448466986024652
train,val_f1,4,1677,13,20,228,0.9829721362229102,0.946058091286307,0.9193548387096774,0.9325153374233128,0.007692307692307693,0.9558312655086849,1938,248,0.38,0.998394254628746,0.9893457918261954,0.012630857138569504,0.04048728126033212
train,val_f1,5,1290,9,21,227,0.9806076276664512,0.961864406779661,0.9153225806451613,0.9380165289256198,0.006928406466512702,0.9541970870893243,1547,248,0.38,0.9980723385234299,0.9907129402026125,0.015461096417136059,0.0525820355893379
train,val_f1,6,1267,36,4,244,0.9742101869761445,0.8714285714285714,0.9838709677419355,0.9242424242424242,0.02762854950115119,0.9781212091203921,1551,248,0.38,0.9986817022751466,0.9937510360324509,0.012965994984145099,0.04344367379336535
train,val_f1,7,1042,14,12,236,0.9800613496932515,0.944,0.9516129032258065,0.9477911646586346,0.013257575757575758,0.9691776637341154,1304,248,0.38,0.9980144183773216,0.9920173343984264,0.015136177672458926,0.05338489007737739
train,val_f1,8,1044,27,14,234,0.9689158453373768,0.896551724137931,0.9435483870967742,0.9194499017681729,0.025210084033613446,0.9591691515315803,1319,248,0.38,0.9960618656064576,0.9854982252718117,0.019371749692979473,0.06687606827540837
train,val_f1,9,1014,17,6,242,0.982017200938233,0.9343629343629344,0.9758064516129032,0.9546351084812623,0.016488845780795344,0.979658802916054,1279,248,0.38,0.9987523857200964,0.9951935823301943,0.013187582669309483,0.05294719478751349
train,val_fpr02,0,1204,23,10,238,0.9776271186440678,0.9118773946360154,0.9596774193548387,0.9351669941060904,0.018744906275468622,0.9704662565396851,1475,248,0.22,0.9962470752162368,0.9805229709049728,0.02095447614715039,0.06679446448211358
train,val_fpr02,1,1271,61,6,242,0.9575949367088608,0.7986798679867987,0.9758064516129032,0.8784029038112523,0.0457957957957958,0.9650053279085538,1580,248,0.22,0.9938607962801511,0.9728430305360275,0.021499843117319173,0.0742499120095214
train,val_fpr02,2,1619,28,3,245,0.9836411609498681,0.8974358974358975,0.9879032258064516,0.9404990403071017,0.01700060716454159,0.985451309320955,1895,248,0.22,0.9991724934876707,0.9951813117392198,0.010528020733762397,0.0399464241334253
train,val_fpr02,3,1355,9,17,231,0.9838709677419355,0.9625,0.9314516129032258,0.9467213114754098,0.006598240469208211,0.9624266862170088,1612,248,0.22,0.9968575584145304,0.9871129159712213,0.017106654227968213,0.06448466986024652
train,val_fpr02,4,1659,31,6,242,0.9809081527347782,0.8864468864468864,0.9758064516129032,0.9289827255278311,0.018343195266272188,0.9787316281733156,1938,248,0.22,0.998394254628746,0.9893457918261954,0.012630857138569504,0.04048728126033212
train,val_fpr02,5,1282,17,15,233,0.9793148028442146,0.932,0.9395161290322581,0.9357429718875502,0.01308698999230177,0.9632145695199782,1547,248,0.22,0.9980723385234299,0.9907129402026125,0.015461096417136059,0.0525820355893379
train,val_fpr02,6,1250,53,2,246,0.9645390070921985,0.822742474916388,0.9919354838709677,0.8994515539305301,0.04067536454336147,0.9756300596638031,1551,248,0.22,0.9986817022751466,0.9937510360324509,0.012965994984145099,0.04344367379336535
train,val_fpr02,7,1023,33,4,244,0.9716257668711656,0.8808664259927798,0.9838709677419355,0.9295238095238095,0.03125,0.9763104838709677,1304,248,0.22,0.9980144183773216,0.9920173343984264,0.015136177672458926,0.05338489007737739
train,val_fpr02,8,1015,56,7,241,0.9522365428354814,0.8114478114478114,0.9717741935483871,0.8844036697247707,0.05228758169934641,0.9597433059245204,1319,248,0.22,0.9960618656064576,0.9854982252718117,0.019371749692979473,0.06687606827540837
train,val_fpr02,9,994,37,2,246,0.9695074276778733,0.8692579505300353,0.9919354838709677,0.9265536723163842,0.03588748787584869,0.9780239979975596,1279,248,0.22,0.9987523857200964,0.9951935823301943,0.013187582669309483,0.05294719478751349
validation,fixed,0,442,0,13,49,0.9742063492063492,1.0,0.7903225806451613,0.8828828828828829,0.0,0.8951612903225806,504,62,0.5,0.9986498321412932,0.9910644511992575,0.016721156371898305,0.0516034854511674
validation,fixed,1,287,0,10,52,0.9713467048710601,1.0,0.8387096774193549,0.9122807017543859,0.0,0.9193548387096775,349,62,0.5,0.9968528717545241,0.9868182985894577,0.02600958072044671,0.08782574904417627
validation,fixed,2,452,0,12,50,0.9766536964980544,1.0,0.8064516129032258,0.8928571428571429,0.0,0.9032258064516129,514,62,0.5,0.997680559520411,0.9840754617326086,0.016544314569648368,0.05468044270310221
validation,fixed,3,689,0,3,59,0.996005326231691,1.0,0.9516129032258065,0.9752066115702479,0.0,0.9758064516129032,751,62,0.5,0.999976590664357,0.9997439836149513,0.00482227125586458,0.019494894069034808
validation,fixed,4,233,0,23,39,0.9220338983050848,1.0,0.6290322580645161,0.7722772277227723,0.0,0.814516129032258,295,62,0.5,0.982348054824865,0.9435828134388242,0.058458512040389495,0.1826252881667428
validation,fixed,5,371,0,8,54,0.9815242494226328,1.0,0.8709677419354839,0.9310344827586207,0.0,0.935483870967742,433,62,0.5,0.9950004347448048,0.9766783449083454,0.01960120456921343,0.0848903732298924
validation,fixed,6,185,9,5,57,0.9453125,0.8636363636363636,0.9193548387096774,0.890625,0.04639175257731959,0.9364815430661789,256,62,0.5,0.9947622214832059,0.9853790976074516,0.025921922825083526,0.0914781585873477
validation,fixed,7,437,0,3,59,0.9939879759519038,1.0,0.9516129032258065,0.9752066115702479,0.0,0.9758064516129032,499,62,0.5,0.9999630914593637,0.9997439836149513,0.006627559583117164,0.027768200998168617
validation,fixed,8,358,7,0,62,0.9836065573770492,0.8985507246376812,1.0,0.9465648854961832,0.019178082191780823,0.9904109589041096,427,62,0.5,0.9981440565620857,0.9888505927261827,0.014345574846623714,0.05227346861027138
validation,fixed,9,230,0,8,54,0.9726027397260274,1.0,0.8709677419354839,0.9310344827586207,0.0,0.935483870967742,292,62,0.5,0.9992987377279102,0.9976446492575524,0.01796265693645052,0.05861471694418864
validation,val_f1,0,442,0,6,56,0.9880952380952381,1.0,0.9032258064516129,0.9491525423728814,0.0,0.9516129032258065,504,62,0.38,0.9986498321412932,0.9910644511992575,0.016721156371898305,0.0516034854511674
validation,val_f1,1,287,0,8,54,0.9770773638968482,1.0,0.8709677419354839,0.9310344827586207,0.0,0.935483870967742,349,62,0.38,0.9968528717545241,0.9868182985894577,0.02600958072044671,0.08782574904417627
validation,val_f1,2,447,5,7,55,0.9766536964980544,0.9166666666666666,0.8870967741935484,0.9016393442622951,0.011061946902654867,0.9380174136454468,514,62,0.38,0.997680559520411,0.9840754617326086,0.016544314569648368,0.05468044270310221
validation,val_f1,3,688,1,1,61,0.9973368841544608,0.9838709677419355,0.9838709677419355,0.9838709677419355,0.001451378809869376,0.9912097944660331,751,62,0.38,0.999976590664357,0.9997439836149513,0.00482227125586458,0.019494894069034808
validation,val_f1,4,233,0,20,42,0.9322033898305084,1.0,0.6774193548387096,0.8076923076923077,0.0,0.8387096774193548,295,62,0.38,0.982348054824865,0.9435828134388242,0.058458512040389495,0.1826252881667428
validation,val_f1,5,370,1,8,54,0.9792147806004619,0.9818181818181818,0.8709677419354839,0.9230769230769231,0.0026954177897574125,0.9341361620728632,433,62,0.38,0.9950004347448048,0.9766783449083454,0.01960120456921343,0.0848903732298924
validation,val_f1,6,182,12,1,61,0.94921875,0.8356164383561644,0.9838709677419355,0.9037037037037037,0.061855670103092786,0.9610076488194214,256,62,0.38,0.9947622214832059,0.9853790976074516,0.025921922825083526,0.0914781585873477
validation,val_f1,7,436,1,0,62,0.9979959919839679,0.9841269841269841,1.0,0.992,0.002288329519450801,0.9988558352402745,499,62,0.38,0.9999630914593637,0.9997439836149513,0.006627559583117164,0.027768200998168617
validation,val_f1,8,355,10,0,62,0.9765807962529274,0.8611111111111112,1.0,0.9253731343283582,0.0273972602739726,0.9863013698630136,427,62,0.38,0.9981440565620857,0.9888505927261827,0.014345574846623714,0.05227346861027138
validation,val_f1,9,230,0,6,56,0.9794520547945206,1.0,0.9032258064516129,0.9491525423728814,0.0,0.9516129032258065,292,62,0.38,0.9992987377279102,0.9976446492575524,0.01796265693645052,0.05861471694418864
validation,val_fpr02,0,436,6,3,59,0.9821428571428571,0.9076923076923077,0.9516129032258065,0.9291338582677166,0.013574660633484163,0.9690191212961612,504,62,0.22,0.9986498321412932,0.9910644511992575,0.016721156371898305,0.0516034854511674
validation,val_fpr02,1,284,3,6,56,0.9742120343839542,0.9491525423728814,0.9032258064516129,0.9256198347107438,0.010452961672473868,0.9463864223895695,349,62,0.22,0.9968528717545241,0.9868182985894577,0.02600958072044671,0.08782574904417627
validation,val_fpr02,2,441,11,0,62,0.9785992217898832,0.8493150684931506,1.0,0.9185185185185185,0.024336283185840708,0.9878318584070797,514,62,0.22,0.997680559520411,0.9840754617326086,0.016544314569648368,0.05468044270310221
validation,val_fpr02,3,681,8,0,62,0.9893475366178429,0.8857142857142857,1.0,0.9393939393939394,0.011611030478955007,0.9941944847605225,751,62,0.22,0.999976590664357,0.9997439836149513,0.00482227125586458,0.019494894069034808
validation,val_fpr02,4,231,2,15,47,0.9423728813559322,0.9591836734693877,0.7580645161290323,0.8468468468468469,0.008583690987124463,0.8747404125709539,295,62,0.22,0.982348054824865,0.9435828134388242,0.058458512040389495,0.1826252881667428
validation,val_fpr02,5,368,3,7,55,0.976905311778291,0.9482758620689655,0.8870967741935484,0.9166666666666666,0.008086253369272238,0.9395052604121381,433,62,0.22,0.9950004347448048,0.9766783449083454,0.01960120456921343,0.0848903732298924
validation,val_fpr02,6,180,14,0,62,0.9453125,0.8157894736842105,1.0,0.8985507246376812,0.07216494845360824,0.9639175257731959,256,62,0.22,0.9947622214832059,0.9853790976074516,0.025921922825083526,0.0914781585873477
validation,val_fpr02,7,428,9,0,62,0.9819639278557114,0.8732394366197183,1.0,0.9323308270676691,0.020594965675057208,0.9897025171624714,499,62,0.22,0.9999630914593637,0.9997439836149513,0.006627559583117164,0.027768200998168617
validation,val_fpr02,8,349,16,0,62,0.9625292740046838,0.7948717948717948,1.0,0.8857142857142857,0.043835616438356165,0.9780821917808219,427,62,0.22,0.9981440565620857,0.9888505927261827,0.014345574846623714,0.05227346861027138
validation,val_fpr02,9,230,0,3,59,0.9897260273972602,1.0,0.9516129032258065,0.9752066115702479,0.0,0.9758064516129032,292,62,0.22,0.9992987377279102,0.9976446492575524,0.01796265693645052,0.05861471694418864
test_all,fixed,0,1210,0,11,4,0.9910204081632653,1.0,0.26666666666666666,0.42105263157894735,0.0,0.6333333333333333,1225,15,0.5,0.997741046831956,0.8486548636548636,0.005582072124174724,0.017193780805787633
test_all,fixed,1,1304,0,6,17,0.9954785229841748,1.0,0.7391304347826086,0.85,0.0,0.8695652173913043,1327,23,0.5,1.0,0.9999999999999999,0.0029690842383733105,0.010068319814523738
test_all,fixed,2,1034,0,6,19,0.9943342776203966,1.0,0.76,0.8636363636363636,0.0,0.88,1059,25,0.5,0.9945067698259188,0.9079426446240146,0.00586048028784243,0.024333541221143135
test_all,fixed,3,1291,4,17,33,0.9843866171003718,0.8918918918918919,0.66,0.7586206896551724,0.003088803088803089,0.8284555984555985,1345,50,0.5,0.9893127413127413,0.8579814183507941,0.013715079795160732,0.06357420765917786
test_all,fixed,4,917,0,18,18,0.9811122770199371,1.0,0.5,0.6666666666666666,0.0,0.75,953,36,0.5,0.999787955894826,0.9952601410934745,0.015451282473491182,0.05537449786195985
test_all,fixed,5,984,0,0,0,1.0,0.0,0.0,0.0,0.0,0.5,984,0,0.5,,,2.443190168104852e-07,0.00026155098662359466
test_all,fixed,6,1282,1,0,6,0.9992242048099301,0.8571428571428571,1.0,0.9230769230769231,0.000779423226812159,0.9996102883865939,1289,6,0.5,1.0,1.0,0.0011661833805601876,0.007605401091063577
test_all,fixed,7,1367,7,11,89,0.9877883310719131,0.9270833333333334,0.89,0.9081632653061225,0.005094614264919942,0.9424526928675401,1474,100,0.5,0.9966812227074235,0.9674966964308651,0.010500559793337886,0.03829460075980264
test_all,fixed,8,771,0,4,10,0.9949044585987261,1.0,0.7142857142857143,0.8333333333333334,0.0,0.8571428571428572,785,14,0.5,0.9999073559384843,0.9952380952380953,0.003525184405241206,0.016172677248533565
test_all,fixed,9,1254,0,1,21,0.9992163009404389,1.0,0.9545454545454546,0.9767441860465116,0.0,0.9772727272727273,1276,22,0.5,1.0,1.0,0.0012674584148027552,0.006156531729698914
test_all,val_f1,0,1209,1,8,7,0.9926530612244898,0.875,0.4666666666666667,0.6086956521739131,0.0008264462809917355,0.7329201101928375,1225,15,0.38,0.997741046831956,0.8486548636548636,0.005582072124174724,0.017193780805787633
test_all,val_f1,1,1304,0,5,18,0.9962321024868124,1.0,0.782608695652174,0.8780487804878049,0.0,0.8913043478260869,1327,23,0.38,1.0,0.9999999999999999,0.0029690842383733105,0.010068319814523738
test_all,val_f1,2,1031,3,4,21,0.9933899905571294,0.875,0.84,0.8571428571428571,0.0029013539651837525,0.9185493230174081,1059,25,0.38,0.9945067698259188,0.9079426446240146,0.00586048028784243,0.024333541221143135
test_all,val_f1,3,1289,6,16,34,0.9836431226765799,0.85,0.68,0.7555555555555555,0.004633204633204633,0.8376833976833977,1345,50,0.38,0.9893127413127413,0.8579814183507941,0.013715079795160732,0.06357420765917786
