epoch,split,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
5,train,0,1407,42,72,176,0.9328226281673542,0.8073394495412844,0.7096774193548387,0.7553648068669528,0.028985507246376812,0.840345956054231,1697,248,0.5,0.9647727019746655,0.8473324377813197,0.05212041316017421,0.17844211933340035
5,train,1,1353,50,26,222,0.9539672925499697,0.8161764705882353,0.8951612903225806,0.8538461538461538,0.03563791874554526,0.9297616857885177,1651,248,0.5,0.9854171935713792,0.9209191354899073,0.040314627649152654,0.14892487134714255
5,train,2,1167,2,147,101,0.89484827099506,0.9805825242718447,0.40725806451612906,0.5754985754985755,0.001710863986313088,0.702773600264908,1417,248,0.5,0.9868580810728773,0.9333218435190722,0.07859001851391154,0.242078793365299
5,train,3,1493,53,23,225,0.9576365663322185,0.8093525179856115,0.907258064516129,0.8555133079847909,0.03428201811125485,0.9364880232024371,1794,248,0.5,0.9869199390727372,0.9257608495513124,0.042535817706870864,0.15491021234546065
5,train,4,1497,43,95,153,0.9228187919463087,0.7806122448979592,0.6169354838709677,0.6891891891891891,0.02792207792207792,0.7945067029744449,1788,248,0.5,0.970818496020109,0.8351441617413564,0.05141357732401292,0.16551466635430748
5,train,5,1063,42,74,174,0.9142645971914265,0.8055555555555556,0.7016129032258065,0.75,0.03800904977375565,0.8318019267260255,1353,248,0.5,0.9480696248722815,0.8449505983100906,0.07340216302975842,0.24187098322763434
5,train,6,1444,83,43,205,0.9290140845070423,0.7118055555555556,0.8266129032258065,0.7649253731343284,0.05435494433529797,0.8861289794452543,1775,248,0.5,0.9715286139806072,0.8412776144128287,0.04937271709240213,0.16835311377804124
5,train,7,1075,8,126,122,0.8993238166791886,0.9384615384615385,0.49193548387096775,0.6455026455026455,0.007386888273314866,0.7422742977988264,1331,248,0.5,0.9481540225776666,0.8428028483544544,0.08072023853710573,0.26139528240842963
5,train,8,1412,22,64,184,0.9488703923900119,0.8932038834951457,0.7419354838709677,0.8105726872246696,0.015341701534170154,0.8632968911683988,1682,248,0.5,0.9850885184685293,0.9216205501146392,0.04511555255053298,0.15904566959309785
5,train,9,1238,57,81,167,0.9105638366817888,0.7455357142857143,0.6733870967741935,0.7076271186440678,0.044015444015444015,0.8146858263793748,1543,248,0.5,0.9538018433179722,0.7910087655486655,0.06225330498147006,0.20526714466064463
5,validation,0,270,18,6,56,0.9314285714285714,0.7567567567567568,0.9032258064516129,0.8235294117647058,0.0625,0.9203629032258065,350,62,0.5,0.9865031362007168,0.9458884196001205,0.0726724762076076,0.27081315945856604
5,validation,1,220,15,4,58,0.936026936026936,0.7945205479452054,0.9354838709677419,0.8592592592592593,0.06382978723404255,0.9358270418668497,297,62,0.5,0.9908030199039122,0.9702122202786905,0.07888838866020245,0.2878568755739723
5,validation,2,389,2,6,56,0.9823399558498896,0.9655172413793104,0.9032258064516129,0.9333333333333333,0.005115089514066497,0.9490553584687732,453,62,0.5,0.9990512333965845,0.9940572555911266,0.025586967882103923,0.107661146959701
5,validation,3,193,0,36,26,0.8588235294117647,1.0,0.41935483870967744,0.5909090909090909,0.0,0.7096774193548387,255,62,0.5,0.9996657195386929,0.9989954374449691,0.08912615842870998,0.2615111378098722
5,validation,4,219,0,37,25,0.8683274021352313,1.0,0.4032258064516129,0.5747126436781609,0.0,0.7016129032258065,281,62,0.5,0.9643541022241862,0.9038453824143126,0.09335626447232123,0.2888446545091678
5,validation,5,591,38,0,62,0.9450072358900145,0.62,1.0,0.7654320987654321,0.06041335453100159,0.9697933227344993,691,62,0.5,0.9974101235960818,0.9759806796889867,0.03351065042845169,0.11626982561556856
