split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1434,15,11,237,0.9846788450206246,0.9404761904761905,0.9556451612903226,0.948,0.010351966873706004,0.9726465972083083,1697,248,0.5,0.9984722500500902,0.9916876323608581,0.011326589327022607,0.03837779646073709
train,fixed,1,1388,15,8,240,0.9860690490611751,0.9411764705882353,0.967741935483871,0.9542743538767395,0.010691375623663579,0.9785252799301036,1651,248,0.5,0.9992211390338676,0.9957795193233651,0.009395867427714456,0.03588689078546671
train,fixed,2,1158,11,15,233,0.981651376146789,0.9549180327868853,0.9395161290322581,0.9471544715447154,0.009409751924721984,0.9650531885537681,1417,248,0.5,0.997895913242639,0.9897399460428505,0.01409048401374255,0.046870543268047474
train,fixed,3,1510,36,0,248,0.979933110367893,0.8732394366197183,1.0,0.9323308270676691,0.02328589909443726,0.9883570504527814,1794,248,0.5,0.9986541751867463,0.9913990603091387,0.016673544951674387,0.058370647373546
train,fixed,4,1500,40,1,247,0.977069351230425,0.8606271777003485,0.9959677419354839,0.9233644859813084,0.025974025974025976,0.9849968579807289,1788,248,0.5,0.9994475282781735,0.9968182219685084,0.014084928357342468,0.04591436136479528
train,fixed,5,1083,22,10,238,0.9763488543976349,0.9153846153846154,0.9596774193548387,0.937007874015748,0.019909502262443438,0.9698839585461976,1353,248,0.5,0.998164501532623,0.9922687911160615,0.015480200134835163,0.055869007914591214
train,fixed,6,1500,27,9,239,0.979718309859155,0.8984962406015038,0.9637096774193549,0.9299610894941635,0.01768172888015717,0.9730139742695989,1775,248,0.5,0.9982809430255403,0.9899111690537585,0.014006126973095874,0.04955908898368001
train,fixed,7,1078,5,23,225,0.9789631855747558,0.9782608695652174,0.907258064516129,0.9414225941422594,0.0046168051708217915,0.9513206296726536,1331,248,0.5,0.9982165728412713,0.9927567238471551,0.015195568311643842,0.053052783712876875
train,fixed,8,1409,25,4,244,0.9827586206896551,0.9070631970260223,0.9838709677419355,0.9439071566731141,0.017433751743375175,0.9832186079992802,1682,248,0.5,0.9989061726728754,0.9941490157970422,0.012071504095259368,0.04266811463082903
train,fixed,9,1279,16,10,238,0.983149708360337,0.937007874015748,0.9596774193548387,0.9482071713147411,0.012355212355212355,0.9736611034998133,1543,248,0.5,0.998399551625358,0.9922964621584056,0.012134309186114538,0.04267105512214272
train,val_f1,0,1445,4,31,217,0.9793753682969947,0.9819004524886877,0.875,0.9253731343283582,0.0027605244996549345,0.9361197377501725,1697,248,0.81,0.9984722500500902,0.9916876323608581,0.011326589327022607,0.03837779646073709
train,val_f1,1,1402,1,24,224,0.9848576620230164,0.9955555555555555,0.9032258064516129,0.9471458773784355,0.0007127583749109052,0.951256524038351,1651,248,0.81,0.9992211390338676,0.9957795193233651,0.009395867427714456,0.03588689078546671
train,val_f1,2,1164,5,42,206,0.9668313338038109,0.976303317535545,0.8306451612903226,0.8976034858387799,0.00427715996578272,0.91318400066227,1417,248,0.81,0.997895913242639,0.9897399460428505,0.01409048401374255,0.046870543268047474
train,val_f1,3,1535,11,16,232,0.9849498327759197,0.9547325102880658,0.9354838709677419,0.945010183299389,0.0071151358344113845,0.9641843675666653,1794,248,0.81,0.9986541751867463,0.9913990603091387,0.016673544951674387,0.058370647373546
train,val_f1,4,1533,7,7,241,0.9921700223713646,0.9717741935483871,0.9717741935483871,0.9717741935483871,0.004545454545454545,0.9836143695014663,1788,248,0.81,0.9994475282781735,0.9968182219685084,0.014084928357342468,0.04591436136479528
train,val_f1,5,1105,0,40,208,0.9704360679970436,1.0,0.8387096774193549,0.9122807017543859,0.0,0.9193548387096775,1353,248,0.81,0.998164501532623,0.9922687911160615,0.015480200134835163,0.055869007914591214
train,val_f1,6,1523,4,33,215,0.9791549295774647,0.9817351598173516,0.8669354838709677,0.9207708779443254,0.0026195153896529143,0.9321579842406574,1775,248,0.81,0.9982809430255403,0.9899111690537585,0.014006126973095874,0.04955908898368001
train,val_f1,7,1083,0,55,193,0.9586776859504132,1.0,0.7782258064516129,0.8752834467120182,0.0,0.8891129032258065,1331,248,0.81,0.9982165728412713,0.9927567238471551,0.015195568311643842,0.053052783712876875
train,val_f1,8,1432,2,25,223,0.9839476813317479,0.9911111111111112,0.8991935483870968,0.9429175475687104,0.001394700139470014,0.9488994241238133,1682,248,0.81,0.9989061726728754,0.9941490157970422,0.012071504095259368,0.04266811463082903
train,val_f1,9,1291,4,28,220,0.9792611795204148,0.9821428571428571,0.8870967741935484,0.9322033898305084,0.003088803088803089,0.9420039855523726,1543,248,0.81,0.998399551625358,0.9922964621584056,0.012134309186114538,0.04267105512214272
train,val_fpr02,0,1442,7,21,227,0.9835002946375958,0.9700854700854701,0.9153225806451613,0.941908713692946,0.004830917874396135,0.9552458313853825,1697,248,0.6900000000000001,0.9984722500500902,0.9916876323608581,0.011326589327022607,0.03837779646073709
train,val_fpr02,1,1400,3,15,233,0.9890975166565718,0.9872881355932204,0.9395161290322581,0.9628099173553719,0.0021382751247327157,0.9686889269537626,1651,248,0.6900000000000001,0.9992211390338676,0.9957795193233651,0.009395867427714456,0.03588689078546671
train,val_fpr02,2,1162,7,31,217,0.9731827805222301,0.96875,0.875,0.9194915254237288,0.005988023952095809,0.9345059880239521,1417,248,0.6900000000000001,0.997895913242639,0.9897399460428505,0.01409048401374255,0.046870543268047474
train,val_fpr02,3,1529,17,5,243,0.987736900780379,0.9346153846153846,0.9798387096774194,0.9566929133858267,0.010996119016817595,0.9844212953303009,1794,248,0.6900000000000001,0.9986541751867463,0.9913990603091387,0.016673544951674387,0.058370647373546
train,val_fpr02,4,1522,18,3,245,0.988255033557047,0.9315589353612167,0.9879032258064516,0.958904109589041,0.011688311688311689,0.98810745705907,1788,248,0.6900000000000001,0.9994475282781735,0.9968182219685084,0.014084928357342468,0.04591436136479528
train,val_fpr02,5,1099,6,23,225,0.9785661492978566,0.974025974025974,0.907258064516129,0.9394572025052192,0.005429864253393665,0.9509141001313677,1353,248,0.6900000000000001,0.998164501532623,0.9922687911160615,0.015480200134835163,0.055869007914591214
train,val_fpr02,6,1518,9,20,228,0.9836619718309859,0.9620253164556962,0.9193548387096774,0.9402061855670103,0.005893909626719057,0.9567304645414791,1775,248,0.6900000000000001,0.9982809430255403,0.9899111690537585,0.014006126973095874,0.04955908898368001
train,val_fpr02,7,1083,0,37,211,0.9722013523666416,1.0,0.8508064516129032,0.9193899782135077,0.0,0.9254032258064516,1331,248,0.6900000000000001,0.9982165728412713,0.9927567238471551,0.015195568311643842,0.053052783712876875
train,val_fpr02,8,1424,10,12,236,0.9869203329369798,0.959349593495935,0.9516129032258065,0.9554655870445344,0.00697350069735007,0.9723197012642282,1682,248,0.6900000000000001,0.9989061726728754,0.9941490157970422,0.012071504095259368,0.04266811463082903
train,val_fpr02,9,1287,8,18,230,0.983149708360337,0.9663865546218487,0.9274193548387096,0.9465020576131687,0.006177606177606178,0.9606208743305518,1543,248,0.6900000000000001,0.998399551625358,0.9922964621584056,0.012134309186114538,0.04267105512214272
validation,fixed,0,275,13,12,50,0.9285714285714286,0.7936507936507936,0.8064516129032258,0.8,0.04513888888888889,0.8806563620071685,350,62,0.5,0.9813508064516129,0.9264583551088594,0.04911694978757576,0.14172832833525867
validation,fixed,1,229,6,5,57,0.9629629629629629,0.9047619047619048,0.9193548387096774,0.912,0.02553191489361702,0.9469114619080301,297,62,0.5,0.9940974605353465,0.9816295327728966,0.025439857328697336,0.08723705490489354
validation,fixed,2,362,29,0,62,0.9359823399558499,0.6813186813186813,1.0,0.8104575163398693,0.0741687979539642,0.9629156010230179,453,62,0.5,0.9993399884497979,0.9958708779715514,0.04119836881680897,0.11942209232259564
validation,fixed,3,186,7,14,48,0.9176470588235294,0.8727272727272727,0.7741935483870968,0.8205128205128205,0.03626943005181347,0.8689620591676417,255,62,0.5,0.9845395286645495,0.9513671108701169,0.04419022572554877,0.1274323183884635
validation,fixed,4,214,5,3,59,0.9715302491103203,0.921875,0.9516129032258065,0.9365079365079365,0.0228310502283105,0.964390926498748,281,62,0.5,0.9974959493297981,0.9923395733401449,0.017992938956889845,0.06161441197297186
validation,fixed,5,608,21,0,62,0.9696092619392185,0.7469879518072289,1.0,0.8551724137931035,0.033386327503974564,0.9833068362480127,691,62,0.5,0.9992307297810143,0.9928214513450287,0.019960741389145473,0.06054217983291702
validation,fixed,6,297,0,2,60,0.9944289693593314,1.0,0.967741935483871,0.9836065573770492,0.0,0.9838709677419355,359,62,0.5,0.9998370804822418,0.9992555831265508,0.00882050527751617,0.03778842440845351
validation,fixed,7,281,12,0,62,0.9661971830985916,0.8378378378378378,1.0,0.9117647058823529,0.040955631399317405,0.9795221843003412,355,62,0.5,0.998018275900033,0.9901793698672225,0.022409270855578457,0.0699976103780997
validation,fixed,8,265,6,0,62,0.9819819819819819,0.9117647058823529,1.0,0.9538461538461539,0.02214022140221402,0.9889298892988929,333,62,0.5,0.999642899654803,0.9984791399915671,0.012244551105703624,0.04095308075111466
validation,fixed,9,327,26,0,62,0.9373493975903614,0.7045454545454546,1.0,0.8266666666666667,0.07365439093484419,0.9631728045325779,415,62,0.5,0.9995887782143836,0.997751080536979,0.033497352231935625,0.0971727247871802
validation,val_f1,0,286,2,20,42,0.9371428571428572,0.9545454545454546,0.6774193548387096,0.7924528301886793,0.006944444444444444,0.8352374551971327,350,62,0.81,0.9813508064516129,0.9264583551088594,0.04911694978757576,0.14172832833525867
validation,val_f1,1,235,0,11,51,0.9629629629629629,1.0,0.8225806451612904,0.9026548672566371,0.0,0.9112903225806452,297,62,0.81,0.9940974605353465,0.9816295327728966,0.025439857328697336,0.08723705490489354
validation,val_f1,2,379,12,0,62,0.9735099337748344,0.8378378378378378,1.0,0.9117647058823529,0.030690537084398978,0.9846547314578005,453,62,0.81,0.9993399884497979,0.9958708779715514,0.04119836881680897,0.11942209232259564
validation,val_f1,3,193,0,23,39,0.9098039215686274,1.0,0.6290322580645161,0.7722772277227723,0.0,0.814516129032258,255,62,0.81,0.9845395286645495,0.9513671108701169,0.04419022572554877,0.1274323183884635
validation,val_f1,4,219,0,7,55,0.9750889679715302,1.0,0.8870967741935484,0.9401709401709402,0.0,0.9435483870967742,281,62,0.81,0.9974959493297981,0.9923395733401449,0.017992938956889845,0.06161441197297186
validation,val_f1,5,621,8,1,61,0.9869753979739508,0.8840579710144928,0.9838709677419355,0.9312977099236641,0.012718600953895072,0.9855761833940202,691,62,0.81,0.9992307297810143,0.9928214513450287,0.019960741389145473,0.06054217983291702
validation,val_f1,6,297,0,10,52,0.9721448467966574,1.0,0.8387096774193549,0.9122807017543859,0.0,0.9193548387096775,359,62,0.81,0.9998370804822418,0.9992555831265508,0.00882050527751617,0.03778842440845351
validation,val_f1,7,290,3,1,61,0.9887323943661972,0.953125,0.9838709677419355,0.9682539682539683,0.010238907849829351,0.9868160299460531,355,62,0.81,0.998018275900033,0.9901793698672225,0.022409270855578457,0.0699976103780997
validation,val_f1,8,270,1,2,60,0.990990990990991,0.9836065573770492,0.967741935483871,0.975609756097561,0.0036900369003690036,0.982025949291751,333,62,0.81,0.999642899654803,0.9984791399915671,0.012244551105703624,0.04095308075111466
validation,val_f1,9,352,1,2,60,0.9927710843373494,0.9836065573770492,0.967741935483871,0.975609756097561,0.0028328611898017,0.9824545371470346,415,62,0.81,0.9995887782143836,0.997751080536979,0.033497352231935625,0.0971727247871802
