epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.49084800421727026,,,,0.0007669604965485632,0.009891635738313198,,1.1754173040390015,6452080,20,6452080,6452080,0,20.574841334018856,20.561493850080296,8.646314399782568,0.010957772145047784,0.5261664,16081,10,10,0.8726779962499653
2,0.40315837397301124,,,,0.0014790573623031378,0.0190307404845953,,1.6457855701446533,6452080,20,6452080,6452080,0,13.585488190874457,13.578221712494269,1.566487821051851,0.005341681186109781,0.5261664,16081,10,10,0.8726779962499653
3,0.29351984795503533,,,,0.0017485936405137181,0.022433562204241753,,1.2159056663513184,6452080,20,6452080,6452080,0,13.537818389944732,13.531118646264076,1.5470964170526713,0.004941574996337295,0.5261664,16081,10,10,0.8726779962499653
4,0.2718814639455708,,,,0.0018110526725649834,0.02323313243687153,,1.416198968887329,6452080,20,6452080,6452080,0,13.435815369011834,13.428754322929308,1.554275541799143,0.005284593906253576,0.5261664,16081,10,10,0.8726779962499653
5,0.24151498718223272,0.23248500123238927,0.8892752072746724,0.5642105263157895,0.0018540889723226428,0.023741992190480232,0.03638888888888889,1.2740058898925781,6452080,20,6452080,6452080,0,13.451556049985811,13.445026232628152,1.5454921228811145,0.004793897038325667,0.5261664,16081,10,10,0.8726779962499653
6,0.21180086854669827,,,,0.0019862260669469833,0.025385305285453796,,1.3757143020629883,6452080,20,6452080,6452080,0,13.402704769046977,13.393905007047579,1.5541165799368173,0.00653938390314579,0.5261664,16081,10,10,0.8726779962499653
7,0.19121275649484865,,,,0.00217672111466527,0.02775522880256176,,1.4143562316894531,6452080,20,6452080,6452080,0,13.402382740052417,13.389046289026737,1.5348456760402769,0.009769469033926725,0.5261664,16081,10,10,0.8726779962499653
8,0.18446378076055506,,,,0.0021833123173564672,0.027790989726781845,,1.3656038045883179,6452080,20,6452080,6452080,0,13.173333305167034,13.165683101397008,1.539704591035843,0.005722624948248267,0.5261664,16081,10,10,0.8726779962499653
9,0.15994123977615485,,,,0.0022679483518004417,0.028803164139389992,,1.4292550086975098,6452080,20,6452080,6452080,0,12.869000706123188,12.861990311881527,1.5293980650603771,0.005132816964760423,0.5261664,16081,10,10,0.8726779962499653
10,0.15292670885835088,0.16249719357664275,0.9280556298475529,0.7825383993532741,0.0022755051031708717,0.02884349226951599,0.042916666666666665,1.5263522863388062,6452080,20,6452080,6452080,0,12.814622225938365,12.808245378313586,1.4911092219408602,0.004683478968217969,0.5261664,16081,10,10,0.8726779962499653
11,0.14495482490148145,,,,0.0022471838165074587,0.028437087312340736,,1.6473851203918457,6452080,20,6452080,6452080,0,12.971535621909425,12.964667368447408,1.504668999928981,0.0050390311516821384,0.5261664,16081,10,10,0.8726779962499653
12,0.13621994052750763,,,,0.0023177152033895254,0.029292650520801544,,1.4650168418884277,6452080,20,6452080,6452080,0,13.164366317912936,13.157850177958608,1.877957443939522,0.0048125130124390125,0.5261664,16081,10,10,0.8726779962499653
13,0.12564278273326704,,,,0.00223618489690125,0.02820606715977192,,1.5578951835632324,6452080,20,6452080,6452080,0,12.970453415997326,12.963465994689614,1.510020013898611,0.005059944931417704,0.5261664,16081,10,10,0.8726779962499653
14,0.12356633083265545,,,,0.0022925343364477158,0.028885744512081146,,1.5352325439453125,6452080,20,6452080,6452080,0,12.993979558814317,12.98725875467062,1.5106116968672723,0.00488065998069942,0.5261664,16081,10,10,0.8726779962499653
15,0.12678887011900003,0.13802509977214908,0.9366140679326023,0.7908208296557812,0.0022834802512079477,0.028734391555190086,0.023333333333333334,1.4652727842330933,6452080,20,6452080,6452080,0,12.752352582057938,12.745876657078043,1.5110344679560512,0.004836827050894499,0.5261664,16081,10,10,0.8726779962499653
16,0.1103006738366847,,,,0.0022385038901120424,0.028134087100625038,,1.6863442659378052,6452080,20,6452080,6452080,0,12.972817761823535,12.966222189133987,1.5148608130402863,0.004924902925267816,0.5261664,16081,10,10,0.8726779962499653
17,0.11023364782915661,,,,0.002141067758202553,0.026863129809498787,,1.4209243059158325,6452080,20,6452080,6452080,0,12.924434589920565,12.91777158388868,1.4991082241758704,0.004863898037001491,0.5261664,16081,10,10,0.8726779962499653
18,0.1014576425604365,,,,0.0022902258206158876,0.028689878061413765,,1.678222417831421,6452080,20,6452080,6452080,0,13.0193125680089,13.01281749503687,1.4852720338385552,0.004873343976214528,0.5261664,16081,10,10,0.8726779962499653
19,0.10229628562512402,,,,0.0022148536518216133,0.027713963761925697,,1.6384344100952148,6452080,20,6452080,6452080,0,12.962642003083602,12.956075528403744,1.5175158469937742,0.004845154006034136,0.5261664,16081,10,10,0.8726779962499653
20,0.10485811845061206,0.13339904052466806,0.9368815191227601,0.8093699515347335,0.00225350190885365,0.028161628171801567,0.03944444444444444,1.580714464187622,6452080,20,6452080,6452080,0,12.900455405004323,12.893959071021527,1.484144537942484,0.004776298068463802,0.5261664,16081,10,10,0.8726779962499653
21,0.09239847216607555,,,,0.0022041769698262215,0.027503490447998047,,1.6912733316421509,6452080,20,6452080,6452080,0,13.066613583127037,13.059792417334393,1.5190342569258064,0.005030100932344794,0.5261664,16081,10,10,0.8726779962499653
22,0.09160508384074768,,,,0.002161394339054823,0.026931680738925934,,1.4913173913955688,6452080,20,6452080,6452080,0,13.041842629900202,13.03517863759771,1.505728178890422,0.0048688119277358055,0.5261664,16081,10,10,0.8726779962499653
23,0.0971666057875314,,,,0.002099444158375263,0.026133567094802856,,1.629685640335083,6452080,20,6452080,6452080,0,13.101371197029948,13.0946221339982,1.5184217430651188,0.0049286040011793375,0.5261664,16081,10,10,0.8726779962499653
24,0.09520500116318492,,,,0.0021357459481805563,0.02654908038675785,,1.6958746910095215,6452080,20,6452080,6452080,0,12.85711499885656,12.85025997669436,1.471775267040357,0.005115790059790015,0.5261664,16081,10,10,0.8726779962499653
25,0.08771250946313573,0.1266661590214852,0.942230542925916,0.8299212598425196,0.0022003022022545338,0.027319306507706642,0.04069444444444444,1.9414712190628052,6452080,20,6452080,6452080,0,12.556316865142435,12.549496770370752,1.4617637279443443,0.005060177994892001,0.5261664,16081,10,10,0.8726779962499653
26,0.08587757773735365,,,,0.0021632041316479445,0.026830317452549934,,1.607394814491272,6452080,20,6452080,6452080,0,12.364866700023413,12.35740161081776,1.4046955178491771,0.005593586014583707,0.5261664,16081,10,10,0.8726779962499653
27,0.08139063773334601,,,,0.0022113127633929253,0.027378419414162636,,1.6179242134094238,6452080,20,6452080,6452080,0,12.543540117098019,12.53646700666286,1.4381775551009923,0.0052389760967344046,0.5261664,16081,10,10,0.8726779962499653
28,0.08020754015995642,,,,0.0022656810469925404,0.02801842801272869,,1.6933090686798096,6452080,20,6452080,6452080,0,12.299458049004897,12.292906827060506,1.3951376939658076,0.00483135087415576,0.5261664,16081,10,10,0.8726779962499653
29,0.07977704162415601,,,,0.0022392510436475277,0.02765018865466118,,1.6137878894805908,6452080,20,6452080,6452080,0,12.233042681124061,12.226239767856896,1.403640141012147,0.005082169082015753,0.5261664,16081,10,10,0.8726779962499653
30,0.07473029017277352,0.10158066594607917,0.9545332976731746,0.8622366288492707,0.002258535008877516,0.02785152941942215,0.03972222222222222,1.645021915435791,6452080,20,6452080,6452080,0,12.290187460137531,12.27939927089028,1.4214405280072242,0.007945049786940217,0.5261664,16081,10,10,0.8726779962499653
31,0.08784609613836339,,,,0.002223201794549823,0.027381107211112976,,1.6711119413375854,6452080,20,6452080,6452080,0,12.419657747028396,12.412131937453523,1.4217858428601176,0.005620368989184499,0.5261664,16081,10,10,0.8726779962499653
32,0.07760349932068697,,,,0.0022550327703356743,0.027745045721530914,,1.57611882686615,6452080,20,6452080,6452080,0,12.443905083928257,12.436945204390213,1.4420493450015783,0.0051441919058561325,0.5261664,16081,10,10,0.8726779962499653
33,0.07361097539848656,,,,0.0022582958918064833,0.027745449915528297,,1.6267153024673462,6452080,20,6452080,6452080,0,12.25208665500395,12.244199607754126,1.4098599888384342,0.00602196785621345,0.5261664,16081,10,10,0.8726779962499653
34,0.07704924331431376,,,,0.0022650384344160557,0.02779221162199974,,1.6439368724822998,6452080,20,6452080,6452080,0,12.191645269049332,12.18190656392835,1.4477528219576925,0.007275777868926525,0.5261664,16081,10,10,0.8726779962499653
