split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1446,1,36,212,0.9781710914454277,0.9953051643192489,0.8548387096774194,0.9197396963123644,0.000691085003455425,0.9270738123369819,1695,248,0.5,0.9985091513030295,0.9922427871919102,0.014910496376243998,0.05029935006031077
train,fixed,1,1421,17,23,225,0.9762752075919335,0.9297520661157025,0.907258064516129,0.9183673469387755,0.011821974965229486,0.9477180447754497,1686,248,0.5,0.9974118399210372,0.9864220311765952,0.015382360441185244,0.0507972903938455
train,fixed,2,1535,26,2,246,0.9845218352681039,0.9044117647058824,0.9919354838709677,0.9461538461538461,0.016655989750160152,0.9876397470604038,1809,248,0.5,0.9987936806430948,0.9925990436947694,0.012351960864797803,0.043452651436645465
train,fixed,3,1182,5,21,227,0.9818815331010453,0.978448275862069,0.9153225806451613,0.9458333333333333,0.004212299915754001,0.9555551403647036,1435,248,0.5,0.9986921488164796,0.9937907560752127,0.013829170913211012,0.04926594803401621
train,fixed,4,1547,4,26,222,0.9833240689271817,0.9823008849557522,0.8951612903225806,0.9367088607594937,0.0025789813023855577,0.9462911545100976,1799,248,0.5,0.998908092593748,0.9934250735344323,0.01147535356473171,0.03901012031363201
train,fixed,5,1233,9,26,222,0.9765100671140939,0.961038961038961,0.8951612903225806,0.9269311064718163,0.007246376811594203,0.9439574567554931,1490,248,0.5,0.9969579502363514,0.9867935082956614,0.017275484861510294,0.0597736502372814
train,fixed,6,1487,0,44,204,0.9746397694524496,1.0,0.8225806451612904,0.9026548672566371,0.0,0.9112903225806452,1735,248,0.5,0.9988638089246589,0.9938068490807062,0.017049161522684788,0.05492568133199144
train,fixed,7,1566,8,9,239,0.9906695938529089,0.9676113360323887,0.9637096774193549,0.9656565656565657,0.005082592121982211,0.9793135426486863,1822,248,0.5,0.999072631880969,0.9949853299085145,0.009265296165830106,0.03514283933539098
train,fixed,8,958,1,44,204,0.9627174813587407,0.9951219512195122,0.8225806451612904,0.9006622516556292,0.0010427528675703858,0.91076894614686,1207,248,0.5,0.9961233139358875,0.9863541869352458,0.030146852766585765,0.10470428217594482
train,fixed,9,1151,4,24,224,0.9800427655024947,0.9824561403508771,0.9032258064516129,0.9411764705882353,0.003463203463203463,0.9498813014942047,1403,248,0.5,0.9984324814969976,0.9929729414675529,0.014871248487117551,0.05159372376629436
train,val_f1,0,1416,31,6,242,0.9781710914454277,0.8864468864468864,0.9758064516129032,0.9289827255278311,0.021423635107118175,0.9771914082528925,1695,248,0.17,0.9985091513030295,0.9922427871919102,0.014910496376243998,0.05029935006031077
train,val_f1,1,1398,40,9,239,0.9709371293001187,0.8566308243727598,0.9637096774193549,0.9070208728652751,0.027816411682892908,0.9679466328682309,1686,248,0.17,0.9974118399210372,0.9864220311765952,0.015382360441185244,0.0507972903938455
train,val_f1,2,1491,70,0,248,0.9613045881702598,0.779874213836478,1.0,0.8763250883392226,0.04484304932735426,0.9775784753363228,1809,248,0.17,0.9987936806430948,0.9925990436947694,0.012351960864797803,0.043452651436645465
train,val_f1,3,1149,38,0,248,0.9735191637630662,0.8671328671328671,1.0,0.9288389513108615,0.03201347935973041,0.9839932603201348,1435,248,0.17,0.9986921488164796,0.9937907560752127,0.013829170913211012,0.04926594803401621
train,val_f1,4,1527,24,4,244,0.9844357976653697,0.9104477611940298,0.9838709677419355,0.9457364341085271,0.015473887814313346,0.9841985399638111,1799,248,0.17,0.998908092593748,0.9934250735344323,0.01147535356473171,0.03901012031363201
train,val_f1,5,1205,37,10,238,0.9684563758389262,0.8654545454545455,0.9596774193548387,0.9101338432122371,0.029790660225442835,0.964943379564698,1490,248,0.17,0.9969579502363514,0.9867935082956614,0.017275484861510294,0.0597736502372814
train,val_f1,6,1480,7,14,234,0.9878962536023055,0.970954356846473,0.9435483870967742,0.9570552147239264,0.004707464694014795,0.9694204612013797,1735,248,0.17,0.9988638089246589,0.9938068490807062,0.017049161522684788,0.05492568133199144
train,val_f1,7,1523,51,3,245,0.9703622392974753,0.8277027027027027,0.9879032258064516,0.9007352941176471,0.032401524777636595,0.9777508505144075,1822,248,0.17,0.999072631880969,0.9949853299085145,0.009265296165830106,0.03514283933539098
train,val_f1,8,948,11,27,221,0.9685169842584921,0.9525862068965517,0.8911290322580645,0.9208333333333333,0.011470281543274244,0.9398293753573952,1207,248,0.17,0.9961233139358875,0.9863541869352458,0.030146852766585765,0.10470428217594482
train,val_f1,9,1120,35,3,245,0.9729151817533856,0.875,0.9879032258064516,0.928030303030303,0.030303030303030304,0.9788000977517106,1403,248,0.17,0.9984324814969976,0.9929729414675529,0.014871248487117551,0.05159372376629436
train,val_fpr02,0,1447,0,50,198,0.9705014749262537,1.0,0.7983870967741935,0.8878923766816144,0.0,0.8991935483870968,1695,248,0.66,0.9985091513030295,0.9922427871919102,0.014910496376243998,0.05029935006031077
train,val_fpr02,1,1435,3,32,216,0.9792408066429419,0.9863013698630136,0.8709677419354839,0.9250535331905781,0.002086230876216968,0.9344407555296335,1686,248,0.66,0.9974118399210372,0.9864220311765952,0.015382360441185244,0.0507972903938455
train,val_fpr02,2,1545,16,14,234,0.9834162520729685,0.936,0.9435483870967742,0.9397590361445783,0.010249839846252402,0.966649273625261,1809,248,0.66,0.9987936806430948,0.9925990436947694,0.012351960864797803,0.043452651436645465
train,val_fpr02,3,1185,2,40,208,0.9707317073170731,0.9904761904761905,0.8387096774193549,0.9082969432314411,0.0016849199663016006,0.9185123787265266,1435,248,0.66,0.9986921488164796,0.9937907560752127,0.013829170913211012,0.04926594803401621
train,val_fpr02,4,1550,1,38,210,0.9783212896053363,0.995260663507109,0.8467741935483871,0.9150326797385621,0.0006447453255963894,0.9230647241113954,1799,248,0.66,0.998908092593748,0.9934250735344323,0.01147535356473171,0.03901012031363201
train,val_fpr02,5,1242,0,37,211,0.9751677852348993,1.0,0.8508064516129032,0.9193899782135077,0.0,0.9254032258064516,1490,248,0.66,0.9969579502363514,0.9867935082956614,0.017275484861510294,0.0597736502372814
train,val_fpr02,6,1487,0,55,193,0.968299711815562,1.0,0.7782258064516129,0.8752834467120182,0.0,0.8891129032258065,1735,248,0.66,0.9988638089246589,0.9938068490807062,0.017049161522684788,0.05492568133199144
train,val_fpr02,7,1574,0,24,224,0.986827661909989,1.0,0.9032258064516129,0.9491525423728814,0.0,0.9516129032258065,1822,248,0.66,0.999072631880969,0.9949853299085145,0.009265296165830106,0.03514283933539098
train,val_fpr02,8,959,0,56,192,0.9536039768019884,1.0,0.7741935483870968,0.8727272727272727,0.0,0.8870967741935484,1207,248,0.66,0.9961233139358875,0.9863541869352458,0.030146852766585765,0.10470428217594482
train,val_fpr02,9,1153,2,39,209,0.9707769066286529,0.990521327014218,0.842741935483871,0.9106753812636166,0.0017316017316017316,0.9205051668761346,1403,248,0.66,0.9984324814969976,0.9929729414675529,0.014871248487117551,0.05159372376629436
validation,fixed,0,298,10,10,52,0.9459459459459459,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.032467532467532464,0.9031210724759112,370,62,0.5,0.9890029325513197,0.9543286424667219,0.03673686997833187,0.11082112702693775
validation,fixed,1,405,0,9,53,0.9807280513918629,1.0,0.8548387096774194,0.9217391304347826,0.0,0.9274193548387097,467,62,0.5,0.9995619275189167,0.9973005103446165,0.012199999331812702,0.0400340480394572
validation,fixed,2,217,46,0,62,0.8584615384615385,0.5740740740740741,1.0,0.7294117647058823,0.17490494296577946,0.9125475285171103,325,62,0.5,0.9993254016926285,0.9973198838987247,0.0708855320510962,0.19286463981413005
validation,fixed,3,207,0,13,49,0.9516728624535316,1.0,0.7903225806451613,0.8828828828828829,0.0,0.8951612903225806,269,62,0.5,1.0,1.0,0.02580658824544148,0.08323804942892689
validation,fixed,4,310,4,3,59,0.9813829787234043,0.9365079365079365,0.9516129032258065,0.944,0.012738853503184714,0.9694370248613109,376,62,0.5,0.997791247174851,0.9901065857662505,0.017544133372757207,0.06010517216933483
validation,fixed,5,282,3,5,57,0.9769452449567724,0.95,0.9193548387096774,0.9344262295081968,0.010526315789473684,0.9544142614601019,347,62,0.5,0.9976796830786644,0.9904077501280883,0.01670907063489579,0.05759349416418993
validation,fixed,6,322,0,23,39,0.9401041666666666,1.0,0.6290322580645161,0.7722772277227723,0.0,0.814516129032258,384,62,0.5,0.9998998196754157,0.9994959677419355,0.04286740709681436,0.13496685428093366
validation,fixed,7,178,0,27,35,0.8875,1.0,0.5645161290322581,0.7216494845360825,0.0,0.782258064516129,240,62,0.5,0.9951069227981152,0.9869429538187888,0.07669241714225092,0.21902812254067286
validation,fixed,8,485,25,7,55,0.9440559440559441,0.6875,0.8870967741935484,0.7746478873239436,0.049019607843137254,0.9190385831752055,572,62,0.5,0.9876660341555977,0.9200375726384903,0.04426057988294294,0.15671683647588736
