epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.5178474882790342,,,,0.0012098634615540504,0.0156090147793293,,0.0,0,0,0,0,0,17.200599388917908,17.196346109732985,6.441402201075107,0.0019246211741119623,0.0,15500,0,10,1.0
2,0.43399771939457255,,,,0.002724874299019575,0.03510328009724617,,0.0,0,0,0,0,0,11.818753478117287,11.815544374519959,1.4137475329916924,0.0013733450323343277,0.0,15500,0,10,1.0
3,0.32625063143209904,,,,0.003989728167653084,0.05123557150363922,,0.0,0,0,0,0,0,12.02539155492559,12.022062649019063,1.5354341289494187,0.0013597130309790373,0.0,15500,0,10,1.0
4,0.30930081258016073,,,,0.00427667610347271,0.054938822984695435,,0.0,0,0,0,0,0,11.402093427954242,11.399023436941206,1.3912308670114726,0.0013510722201317549,0.0,15500,0,10,1.0
5,0.23180437032774046,0.18957033670522944,0.9310185185185185,0.7167300380228137,0.004968315362930298,0.06369251012802124,0.057777777777777775,0.0,0,0,0,0,0,11.731924350140616,11.728706772206351,1.485926209948957,0.0013631659094244242,0.0,15500,0,10,1.0
6,0.256691640659572,,,,0.005422872956842184,0.06949840486049652,,0.0,0,0,0,0,0,11.824933855095878,11.821654377970845,1.440707908011973,0.0014916900545358658,0.0,15500,0,10,1.0
7,0.21462151765272477,,,,0.006172703113406897,0.07897122949361801,,0.0,0,0,0,0,0,12.22376591898501,12.220826918957755,1.518248975975439,0.001300357049331069,0.0,15500,0,10,1.0
8,0.21074908534562775,,,,0.00675843795761466,0.08636216819286346,,0.0,0,0,0,0,0,12.41687489906326,12.413627770030871,1.5488215659279376,0.0013924799859523773,0.0,15500,0,10,1.0
9,0.19139886525375063,,,,0.007452620193362236,0.09507836401462555,,0.0,0,0,0,0,0,12.238640883006155,12.235524757066742,1.5725593410898,0.0013858869206160307,0.0,15500,0,10,1.0
10,0.18431267961624723,0.12709657789388792,0.9537037037037037,0.8420221169036335,0.008034815080463886,0.10240858793258667,0.05291666666666667,0.0,0,0,0,0,0,12.11743842298165,12.114424317376688,1.4685086298268288,0.0013281188439577818,0.0,15500,0,10,1.0
11,0.16462620349086193,,,,0.008660433813929558,0.11019689589738846,,0.0,0,0,0,0,0,11.972809690982103,11.969704950461164,1.462718419963494,0.0014101399574428797,0.0,15500,0,10,1.0
12,0.15697696722059015,,,,0.009180644527077675,0.1166778951883316,,0.0,0,0,0,0,0,12.204565500142053,12.201483567012474,1.541499064071104,0.0013657151721417904,0.0,15500,0,10,1.0
13,0.14625224628951708,,,,0.009674116969108582,0.12281424552202225,,0.0,0,0,0,0,0,11.913077042903751,11.910144864814356,1.5411359048448503,0.0012798979878425598,0.0,15500,0,10,1.0
14,0.1367409603863892,,,,0.010163365863263607,0.12885479629039764,,0.0,0,0,0,0,0,12.016943742986768,12.013884485000744,1.491179262055084,0.0013642190024256706,0.0,15500,0,10,1.0
15,0.14318473960844202,0.12575114217857514,0.9513888888888888,0.8281505728314239,0.01062136609107256,0.1345060020685196,0.055,0.0,0,0,0,0,0,12.09730877703987,12.09411165304482,1.626171190990135,0.001410987926647067,0.0,15500,0,10,1.0
16,0.120004449713162,,,,0.011101104319095612,0.14036373794078827,,0.0,0,0,0,0,0,12.026469305856153,12.022970125079155,1.5317126270383596,0.001396208070218563,0.0,15500,0,10,1.0
17,0.11987289995182755,,,,0.01151434425264597,0.14547528326511383,,0.0,0,0,0,0,0,11.985136084025726,11.981471756473184,1.5356701959390193,0.0016488018445670605,0.0,15500,0,10,1.0
18,0.12279734319866206,,,,0.011911043897271156,0.1503511220216751,,0.0,0,0,0,0,0,12.07394356210716,12.070622488623485,1.5043577139731497,0.0015045648906379938,0.0,15500,0,10,1.0
19,0.11059561459704778,,,,0.012287777848541737,0.1549389511346817,,0.0,0,0,0,0,0,12.033156627090648,12.029144510161132,1.4928407059051096,0.0013804270420223475,0.0,15500,0,10,1.0
20,0.11074057873813077,0.10591963706537433,0.9534722222222223,0.8359183673469388,0.012698683887720108,0.15997470915317535,0.058472222222222224,0.0,0,0,0,0,0,12.149820032995194,12.144447576021776,1.5137591308448464,0.0020074299536645412,0.0,15500,0,10,1.0
21,0.10386626820071385,,,,0.013075278140604496,0.16456858813762665,,0.0,0,0,0,0,0,12.041846842970699,12.0384189740289,1.4565274980850518,0.0014877128414809704,0.0,15500,0,10,1.0
22,0.0916750811696488,,,,0.013557369820773602,0.17040106654167175,,0.0,0,0,0,0,0,11.997489243978634,11.99434531503357,1.5010488079860806,0.0013661228585988283,0.0,15500,0,10,1.0
