split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1227,0,32,216,0.9783050847457627,1.0,0.8709677419354839,0.9310344827586207,0.0,0.935483870967742,1475,248,0.5,0.9992047217183269,0.996282888588391,0.01711443541145341,0.05655817053278025
train,fixed,1,1317,15,12,236,0.9829113924050633,0.9402390438247012,0.9516129032258065,0.9458917835671342,0.01126126126126126,0.9701758209822726,1580,248,0.5,0.9987860844715684,0.9938231865057279,0.012018970447261343,0.04499396247686225
train,fixed,2,1645,2,28,220,0.9841688654353562,0.990990990990991,0.8870967741935484,0.9361702127659575,0.0012143290831815423,0.9429412225551834,1895,248,0.5,0.999630315137983,0.9975128465157752,0.009652963515770855,0.031221034141103842
train,fixed,3,1327,37,0,248,0.9770471464019851,0.8701754385964913,1.0,0.9305816135084428,0.027126099706744868,0.9864369501466276,1612,248,0.5,0.9998226279443762,0.999022481506107,0.014799545501385085,0.051333856963423026
train,fixed,4,1667,23,9,239,0.9834881320949432,0.9122137404580153,0.9637096774193549,0.9372549019607843,0.013609467455621301,0.9750501049818667,1938,248,0.5,0.9986495514411147,0.9922122929359207,0.01047647145998669,0.03477596877461799
train,fixed,5,1286,13,9,239,0.9857789269553976,0.9484126984126984,0.9637096774193549,0.956,0.010007698229407237,0.9768509895949737,1547,248,0.5,0.9985503737366213,0.99227437587452,0.011158841775727034,0.03932905960498816
train,fixed,6,1301,2,16,232,0.988394584139265,0.9914529914529915,0.9354838709677419,0.9626556016597511,0.0015349194167306216,0.9669744757755057,1551,248,0.5,0.99969982422697,0.9984335576103494,0.0077464545405800545,0.024720080712590325
train,fixed,7,1037,19,16,232,0.973159509202454,0.9243027888446215,0.9354838709677419,0.9298597194388778,0.017992424242424244,0.9587457233626588,1304,248,0.5,0.995811186461388,0.9855973311082197,0.0191809462340791,0.06486275443246908
train,fixed,8,1070,1,32,216,0.974981046247157,0.9953917050691244,0.8709677419354839,0.9290322580645162,0.0009337068160597573,0.9350170175597121,1319,248,0.5,0.9972779434354387,0.9896226739973364,0.01990369226172478,0.07787354380653227
train,fixed,9,1029,2,9,239,0.9913995308835027,0.991701244813278,0.9637096774193549,0.9775051124744376,0.0019398642095053346,0.9808849066049248,1279,248,0.5,0.9997927161227746,0.9991523582545923,0.006495339294283634,0.02753186002068337
train,val_f1,0,1214,13,7,241,0.9864406779661017,0.9488188976377953,0.9717741935483871,0.9601593625498008,0.010594947025264874,0.9805896232615612,1475,248,0.09,0.9992047217183269,0.996282888588391,0.01711443541145341,0.05655817053278025
train,val_f1,1,1238,94,0,248,0.9405063291139241,0.7251461988304093,1.0,0.8406779661016949,0.07057057057057058,0.9647147147147147,1580,248,0.09,0.9987860844715684,0.9938231865057279,0.012018970447261343,0.04499396247686225
train,val_f1,2,1633,14,1,247,0.9920844327176781,0.946360153256705,0.9959677419354839,0.9705304518664047,0.008500303582270795,0.9937337191766065,1895,248,0.09,0.999630315137983,0.9975128465157752,0.009652963515770855,0.031221034141103842
