epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.49899887528848863,,,,0.001237165299244225,0.015962965786457062,,0.0,0,0,0,0,0,17.563273815903813,17.5589689144399,5.979443004820496,0.001579520059749484,0.0,16031,0,10,1.0
2,0.3989374316086012,,,,0.00269528292119503,0.03471032902598381,,0.0,0,0,0,0,0,13.124215658986941,13.121030678972602,1.5207112508360296,0.0014660670422017574,0.0,16031,0,10,1.0
3,0.2861205724119168,,,,0.003638285445049405,0.04671980440616608,,0.0,0,0,0,0,0,12.8450032081455,12.842138132080436,1.4690119160804898,0.0012666438706219196,0.0,16031,0,10,1.0
4,0.2564840790028565,,,,0.004265789408236742,0.05474605783820152,,0.0,0,0,0,0,0,12.650043606990948,12.646766829304397,1.4424644778482616,0.001465921988710761,0.0,16031,0,10,1.0
5,0.22550841118627565,0.22774366360384427,0.9247822644497229,0.7262247838616714,0.0050001018680632114,0.06405339390039444,0.06736111111111111,0.0,0,0,0,0,0,12.709909473080188,12.705582958180457,1.4220763889607042,0.0013651191256940365,0.0,16031,0,10,1.0
6,0.2094907342092453,,,,0.005695846397429705,0.07286205142736435,,0.0,0,0,0,0,0,12.934675626922399,12.931159623200074,1.497449218062684,0.0015276651829481125,0.0,16031,0,10,1.0
7,0.1922993766441466,,,,0.0064220186322927475,0.08199294656515121,,0.0,0,0,0,0,0,13.342638597125188,13.339271006872877,1.4940843130461872,0.0014182638842612505,0.0,16031,0,10,1.0
8,0.1824067794954228,,,,0.007145806681364775,0.09108045697212219,,0.0,0,0,0,0,0,13.163621969055384,13.160583199001849,1.5005196570418775,0.0013441990595310926,0.0,16031,0,10,1.0
9,0.1737577090907725,,,,0.007722605485469103,0.09828381985425949,,0.0,0,0,0,0,0,12.920061045093462,12.91689551831223,1.6253435381222516,0.0014217689167708158,0.0,16031,0,10,1.0
10,0.1504365905594725,0.19663202500840113,0.9147532330430193,0.7393058918482648,0.008291402831673622,0.10534374415874481,0.08083333333333333,0.0,0,0,0,0,0,13.09740058099851,13.09429549658671,1.447120328200981,0.0013477772008627653,0.0,16031,0,10,1.0
11,0.15078324011628047,,,,0.008831849321722984,0.11202681064605713,,0.0,0,0,0,0,0,12.680149375228211,12.676930135581642,1.5011197379790246,0.0014265161007642746,0.0,16031,0,10,1.0
12,0.13457263692146423,,,,0.009366296231746674,0.11862137168645859,,0.0,0,0,0,0,0,12.809619451873004,12.806673452956602,1.4463024050928652,0.0012975409626960754,0.0,16031,0,10,1.0
13,0.1352633572867876,,,,0.009805930778384209,0.12401535362005234,,0.0,0,0,0,0,0,12.773480304982513,12.770365491509438,1.417107444955036,0.0014007238205522299,0.0,16031,0,10,1.0
14,0.12176153629093774,,,,0.010285853408277035,0.12988446652889252,,0.0,0,0,0,0,0,12.863069981103763,12.859895546920598,1.429960311157629,0.0013636520598083735,0.0,16031,0,10,1.0
15,0.12791429775614654,0.1858767122331143,0.9216152019002375,0.7633466135458168,0.010701755993068218,0.13504989445209503,0.08555555555555555,0.0,0,0,0,0,0,12.573052448919043,12.569825520040467,1.479814357124269,0.0014021990355104208,0.0,16031,0,10,1.0
16,0.10910614345212462,,,,0.011192251928150654,0.14098559319972992,,0.0,0,0,0,0,0,12.523460735101253,12.520445039961487,1.3976021420676261,0.0013065568637102842,0.0,16031,0,10,1.0
17,0.1122437357045601,,,,0.011635605245828629,0.14646278321743011,,0.0,0,0,0,0,0,12.707028842996806,12.703970249509439,1.4492677908856422,0.0013622331898659468,0.0,16031,0,10,1.0
18,0.10621191952606387,,,,0.012045575305819511,0.1514357328414917,,0.0,0,0,0,0,0,12.630240825004876,12.627072766190395,1.4322800131049007,0.0014405481051653624,0.0,16031,0,10,1.0
19,0.10726561299358535,,,,0.012441128492355347,0.15627585351467133,,0.0,0,0,0,0,0,12.830599855165929,12.827631341060624,1.4492265419103205,0.0012830861378461123,0.0,16031,0,10,1.0
20,0.09471119953791977,0.1826258667603356,0.9290050145157034,0.7938697318007663,0.012875822372734547,0.16155442595481873,0.06291666666666666,0.0,0,0,0,0,0,12.765573231969029,12.762212430592626,1.4432449510786682,0.0015267140697687864,0.0,16031,0,10,1.0
21,0.0927764509636682,,,,0.01328656729310751,0.16652660071849823,,0.0,0,0,0,0,0,13.04191875597462,13.038731104461476,1.587149237981066,0.0014209749642759562,0.0,16031,0,10,1.0
22,0.09454701798915444,,,,0.013682054355740547,0.17130422592163086,,0.0,0,0,0,0,0,12.916322178207338,12.913344406755641,1.45354732288979,0.0013093480374664068,0.0,16031,0,10,1.0
23,0.08376382293466976,,,,0.014086360111832619,0.17620134353637695,,0.0,0,0,0,0,0,12.854492482030764,12.85126200481318,1.4320110229309648,0.001437366008758545,0.0,16031,0,10,1.0
24,0.08821681872902912,,,,0.01447976566851139,0.18096785247325897,,0.0,0,0,0,0,0,12.758773814188316,12.755711054895073,1.4326546238735318,0.0013441781047731638,0.0,16031,0,10,1.0
25,0.08997145028634504,0.18380072641221112,0.9308524676695699,0.8003048780487805,0.01481663715094328,0.1850636750459671,0.08222222222222222,0.0,0,0,0,0,0,12.423267408041283,12.420089483028278,1.3989903519395739,0.0013836889993399382,0.0,16031,0,10,1.0
26,0.08512625337139958,,,,0.015195924788713455,0.18958353996276855,,0.0,0,0,0,0,0,12.19075349601917,12.187516003614292,1.4042795770801604,0.0014196292031556368,0.0,16031,0,10,1.0
