split,node,engines,windows,positive,positive_fraction
train,0,8,1697,248,0.14614024749558044
train,1,8,1651,248,0.15021199273167776
train,2,8,1417,248,0.17501764290755117
train,3,8,1794,248,0.13823857302118173
train,4,8,1788,248,0.13870246085011187
train,5,8,1353,248,0.18329637841832963
train,6,8,1775,248,0.13971830985915493
train,7,8,1331,248,0.18632607062359127
train,8,8,1682,248,0.14744351961950058
train,9,8,1543,248,0.1607258587167855
validation,0,2,350,62,0.17714285714285713
validation,1,2,297,62,0.20875420875420875
validation,2,2,453,62,0.1368653421633554
validation,3,2,255,62,0.24313725490196078
validation,4,2,281,62,0.2206405693950178
validation,5,2,691,62,0.08972503617945007
validation,6,2,359,62,0.17270194986072424
validation,7,2,355,62,0.17464788732394365
validation,8,2,333,62,0.18618618618618618
validation,9,2,415,62,0.1493975903614458
test,0,10,831,20,0.024067388688327317
test,1,10,1164,40,0.03436426116838488
test,2,10,1175,16,0.013617021276595745
test,3,10,1379,61,0.04423495286439449
test,4,10,1273,29,0.022780832678711706
test,5,10,1060,23,0.02169811320754717
test,6,10,1682,38,0.022592152199762187
test,7,9,975,9,0.009230769230769232
test,8,9,933,0,0.0
test,9,9,1245,55,0.04417670682730924
