split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1445,4,22,226,0.9846788450206246,0.9826086956521739,0.9112903225806451,0.9456066945606695,0.0027605244996549345,0.9542648990404952,1697,248,0.5,0.9993043033014982,0.9958436829376633,0.01114020708637199,0.03830804427341047
train,fixed,1,1395,8,7,241,0.9909145972138098,0.9678714859437751,0.9717741935483871,0.9698189134808853,0.005702066999287242,0.98303606327455,1651,248,0.5,0.9995918883498494,0.9976851145519191,0.006692532013190779,0.02575429089380262
train,fixed,2,1160,9,9,239,0.9872971065631616,0.9637096774193549,0.9637096774193549,0.9637096774193549,0.007698887938408896,0.978005394740473,1417,248,0.5,0.9989514059438727,0.9951144829034735,0.011231472420888344,0.04230359132282552
train,fixed,3,1542,4,3,245,0.9960981047937569,0.9839357429718876,0.9879032258064516,0.9859154929577465,0.00258732212160414,0.9926579518424237,1794,248,0.5,0.9998226432416643,0.9989554585577775,0.004080053691518979,0.015900633592604935
train,fixed,4,1528,12,5,243,0.9904921700223713,0.9529411764705882,0.9798387096774194,0.9662027833001988,0.007792207792207792,0.9860232509426058,1788,248,0.5,0.9992956640134059,0.9955523596414357,0.007975991079918166,0.0306941033621074
train,fixed,5,1077,28,8,240,0.9733924611973392,0.8955223880597015,0.967741935483871,0.9302325581395349,0.025339366515837104,0.971201284484017,1353,248,0.5,0.9974200846591739,0.9893801914819682,0.01909464363350925,0.0634648519621404
train,fixed,6,1522,5,17,231,0.9876056338028169,0.9788135593220338,0.9314516129032258,0.9545454545454546,0.0032743942370661427,0.9640886093330798,1775,248,0.5,0.9980327228172465,0.9906877039594629,0.009636566993173676,0.03841539208660668
train,fixed,7,1080,3,12,236,0.9887302779864763,0.9874476987447699,0.9516129032258065,0.9691991786447639,0.002770083102493075,0.9744214100616567,1331,248,0.5,0.9996537396121884,0.9985076064316782,0.007788781815556477,0.030066821200435724
train,fixed,8,1434,0,22,226,0.9869203329369798,1.0,0.9112903225806451,0.9535864978902954,0.0,0.9556451612903225,1682,248,0.5,0.9996175822198228,0.9978787035298328,0.009582013750508479,0.03212625664066095
train,fixed,9,1292,3,12,236,0.9902786779001944,0.9874476987447699,0.9516129032258065,0.9691991786447639,0.0023166023166023165,0.9746481504546021,1543,248,0.5,0.9995360567941213,0.9977082256626109,0.007094221499981584,0.02684610803793895
train,val_f1,0,1445,4,18,230,0.9870359457866824,0.9829059829059829,0.9274193548387096,0.9543568464730291,0.0027605244996549345,0.9623294151695274,1697,248,0.45,0.9993043033014982,0.9958436829376633,0.01114020708637199,0.03830804427341047
train,val_f1,1,1394,9,4,244,0.9921259842519685,0.9644268774703557,0.9838709677419355,0.9740518962075848,0.006414825374198147,0.9887280711838686,1651,248,0.45,0.9995918883498494,0.9976851145519191,0.006692532013190779,0.02575429089380262
train,val_f1,2,1157,12,7,241,0.9865913902611151,0.9525691699604744,0.9717741935483871,0.9620758483033932,0.010265183917878529,0.9807545048152543,1417,248,0.45,0.9989514059438727,0.9951144829034735,0.011231472420888344,0.04230359132282552
train,val_f1,3,1537,9,3,245,0.9933110367892977,0.9645669291338582,0.9879032258064516,0.9760956175298805,0.005821474773609315,0.9910408755164212,1794,248,0.45,0.9998226432416643,0.9989554585577775,0.004080053691518979,0.015900633592604935
train,val_f1,4,1524,16,3,245,0.9893736017897091,0.9386973180076629,0.9879032258064516,0.962671905697446,0.01038961038961039,0.9887568077084206,1788,248,0.45,0.9992956640134059,0.9955523596414357,0.007975991079918166,0.0306941033621074
train,val_f1,5,1074,31,6,242,0.9726533628972653,0.8864468864468864,0.9758064516129032,0.9289827255278311,0.028054298642533938,0.9738760764851846,1353,248,0.45,0.9974200846591739,0.9893801914819682,0.01909464363350925,0.0634648519621404
