epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.49084800421727026,,,,0.0015586040681228042,0.020101645961403847,,0.0,0,0,0,0,0,18.943954843096435,18.93937673792243,6.702777028083801,0.001711555989459157,0.0,16081,0,10,1.0
2,0.4007106573633871,,,,0.0029152908828109503,0.03750915452837944,,0.0,0,0,0,0,0,13.821777197998017,13.818346999119967,1.5625818211119622,0.0015153661370277405,0.0,16081,0,10,1.0
3,0.29629094584608123,,,,0.003840051591396332,0.04929419234395027,,0.0,0,0,0,0,0,13.711650396930054,13.70848626922816,1.5724483290687203,0.001391424098983407,0.0,16081,0,10,1.0
4,0.26888201856275995,,,,0.004410597030073404,0.05659154802560806,,0.0,0,0,0,0,0,13.535118886968121,13.531763871200383,1.5873019760474563,0.0014981769490987062,0.0,16081,0,10,1.0
5,0.24640784605433694,0.256938798184294,0.8684140144423643,0.5794871794871795,0.005008752457797527,0.06417714059352875,0.11486111111111111,0.0,0,0,0,0,0,13.530326454900205,13.527328263735399,1.5539449318312109,0.001299670897424221,0.0,16081,0,10,1.0
6,0.20995596207264794,,,,0.005678723566234112,0.07265349477529526,,0.0,0,0,0,0,0,13.400515724904835,13.397391390055418,1.5440317320171744,0.0013798859436064959,0.0,16081,0,10,1.0
7,0.1938398493336512,,,,0.006323414854705334,0.0807604268193245,,0.0,0,0,0,0,0,13.468372422037646,13.465180925559253,1.5474020750261843,0.0014915450010448694,0.0,16081,0,10,1.0
8,0.17500236707247885,,,,0.006945401430130005,0.08857500553131104,,0.0,0,0,0,0,0,13.51541684102267,13.51242215000093,1.6651313719339669,0.0013189800083637238,0.0,16081,0,10,1.0
9,0.17117995576957298,,,,0.007435000501573086,0.09470129013061523,,0.0,0,0,0,0,0,13.345301092136651,13.342346188845113,1.5564174898900092,0.0012986748479306698,0.0,16081,0,10,1.0
10,0.15282956195172442,0.23338198051649592,0.9069269858250869,0.7314814814814815,0.00798830296844244,0.10157155990600586,0.07791666666666666,0.0,0,0,0,0,0,13.467708416981623,13.46462175087072,1.579694168874994,0.0013790761586278677,0.0,16081,0,10,1.0
11,0.15020913335437944,,,,0.008450398221611977,0.10734822601079941,,0.0,0,0,0,0,0,13.328470658045262,13.32534066773951,1.5298245099838823,0.001336076995357871,0.0,16081,0,10,1.0
12,0.12886576228301655,,,,0.008912266232073307,0.11305497586727142,,0.0,0,0,0,0,0,12.912210539914668,12.909239430679008,1.5270924209617078,0.00133643695153296,0.0,16081,0,10,1.0
13,0.13331748001432292,,,,0.00938298087567091,0.11888840049505234,,0.0,0,0,0,0,0,13.128911896143109,13.125881484244019,1.4989537759684026,0.0013490479905158281,0.0,16081,0,10,1.0
14,0.11608456748913917,,,,0.00987314060330391,0.12494013458490372,,0.0,0,0,0,0,0,13.157543251058087,13.15454115299508,1.4815710128750652,0.0013131899759173393,0.0,16081,0,10,1.0
15,0.11375645336615521,0.2315488545447155,0.900240706071142,0.7101787101787101,0.010304121300578117,0.13024573028087616,0.06319444444444444,0.0,0,0,0,0,0,13.207731552887708,13.204655320616439,1.5603607238736004,0.0014250020030885935,0.0,16081,0,10,1.0
16,0.11118290450218064,,,,0.010743984021246433,0.1356205940246582,,0.0,0,0,0,0,0,13.396646935958415,13.39348932588473,1.5125948411878198,0.0014018449001014233,0.0,16081,0,10,1.0
17,0.10510334709866062,,,,0.011071653105318546,0.13965551555156708,,0.0,0,0,0,0,0,13.412651082035154,13.409187210956588,1.5497520009521395,0.0015826148446649313,0.0,16081,0,10,1.0
18,0.11293270587343533,,,,0.011518952436745167,0.14513204991817474,,0.0,0,0,0,0,0,13.265267401002347,13.262224883772433,1.5326214248780161,0.0013214570935815573,0.0,16081,0,10,1.0
19,0.09610188679178072,,,,0.011973542161285877,0.15069009363651276,,0.0,0,0,0,0,0,13.391763161867857,13.388695505680516,1.5373196059372276,0.0013053049333393574,0.0,16081,0,10,1.0
20,0.10297275110794435,0.20893323840178704,0.9189622893821877,0.7566265060240964,0.012318197637796402,0.15486520528793335,0.06013888888888889,0.0,0,0,0,0,0,13.739252855069935,13.735870068427175,1.6115842470899224,0.0015255201142281294,0.0,16081,0,10,1.0
21,0.09891383064571173,,,,0.012688579969108105,0.15937930345535278,,0.0,0,0,0,0,0,13.530685881851241,13.527769101783633,1.5547543589491397,0.0012981509789824486,0.0,16081,0,10,1.0
22,0.09307775348183757,,,,0.013196008279919624,0.16546085476875305,,0.0,0,0,0,0,0,13.669442116981372,13.666387038305402,1.5877928519621491,0.0013964278623461723,0.0,16081,0,10,1.0
