split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,1441,6,5,243,0.9935103244837759,0.9759036144578314,0.9798387096774194,0.9778672032193159,0.00414651002073255,0.9878460998283434,1695,248,0.5,0.9997185500590766,0.9983809952625183,0.004833657047683957,0.01712265198977848
train,fixed,1,1430,8,7,241,0.9911032028469751,0.9678714859437751,0.9717741935483871,0.9698189134808853,0.005563282336578581,0.9831054556059042,1686,248,0.5,0.999685943739064,0.9982043665294189,0.005545760947924112,0.020327458801693368
train,fixed,2,1516,45,2,246,0.9740187949143173,0.845360824742268,0.9919354838709677,0.9128014842300557,0.028827674567584883,0.9815539046516915,1809,248,0.5,0.99890733814139,0.9937005398586937,0.019171613295410776,0.06302861225798001
train,fixed,3,1176,11,5,243,0.9888501742160278,0.9566929133858267,0.9798387096774194,0.9681274900398407,0.009267059814658803,0.9852858249313803,1435,248,0.5,0.9995312117835693,0.9978543395912765,0.008117346059056953,0.03050247368148506
train,fixed,4,1510,41,5,243,0.9744302390216787,0.8556338028169014,0.9798387096774194,0.9135338345864662,0.026434558349451968,0.9767020756639837,1799,248,0.5,0.9983517397724673,0.9907917972968223,0.021965332391858203,0.08593406199532648
train,fixed,5,1242,0,22,226,0.9852348993288591,1.0,0.9112903225806451,0.9535864978902954,0.0,0.9556451612903225,1490,248,0.5,0.9993928886811074,0.9972195283494534,0.010086009215909167,0.035026220863741256
train,fixed,6,1469,18,7,241,0.9855907780979827,0.9305019305019305,0.9717741935483871,0.9506903353057199,0.0121049092131809,0.9798346421676032,1735,248,0.5,0.9983892661127622,0.989920304341754,0.010824240773004715,0.039491296323482264
train,fixed,7,1571,3,40,208,0.9763995609220637,0.985781990521327,0.8387096774193549,0.906318082788671,0.0019059720457433292,0.9184018526868059,1822,248,0.5,0.998350206992663,0.9899240254663206,0.016491091284239538,0.052348863942158916
train,fixed,8,946,13,12,236,0.9792874896437448,0.9477911646586346,0.9516129032258065,0.9496981891348089,0.013555787278415016,0.9690285579736957,1207,248,0.5,0.9978682431296041,0.9923291173037436,0.015459723684559348,0.05131567995532566
train,fixed,9,1155,0,78,170,0.9444048467569494,1.0,0.6854838709677419,0.8133971291866029,0.0,0.842741935483871,1403,248,0.5,0.9980205278592374,0.9909082435862828,0.03825428251870441,0.11897241287675975
train,val_f1,0,1434,13,2,246,0.9911504424778761,0.9498069498069498,0.9919354838709677,0.9704142011834319,0.008984105044920525,0.9914756894130237,1695,248,0.25,0.9997185500590766,0.9983809952625183,0.004833657047683957,0.01712265198977848
train,val_f1,1,1422,16,0,248,0.9905100830367735,0.9393939393939394,1.0,0.96875,0.011126564673157162,0.9944367176634215,1686,248,0.25,0.999685943739064,0.9982043665294189,0.005545760947924112,0.020327458801693368
