epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.3360321200958991,,,,6.213140224531344e-09,7.783123123772384e-08,,0.0,0,0,0,0,0,34.85901980078779,34.85295059508644,34.85295059508644,0.0014766401145607233,0.0,39332,0,10,1.0
2,0.2508467546144483,,,,6.135319807754058e-09,7.479680874666883e-08,,0.0,0,0,0,0,0,31.169174624141306,31.162982913199812,31.162982913199812,0.0015221741050481796,0.0,39332,0,10,1.0
3,0.22906640656031027,,,,6.264192720095707e-09,7.401708757015513e-08,,0.0,0,0,0,0,0,31.658584620105103,31.65340217202902,31.65340217202902,0.0013925861567258835,0.0,39332,0,10,1.0
4,0.2253344096512369,,,,6.454882406359275e-09,7.409021662851956e-08,,0.0,0,0,0,0,0,31.891930911922827,31.887116173980758,31.887116173980758,0.001303754048421979,0.0,39332,0,10,1.0
5,0.19159343803685425,0.24736382740073326,0.8808151502675998,0.7126550868486352,6.780007666407073e-09,7.512370103768262e-08,0.0,0.0,0,0,0,0,0,31.484443861059844,31.478306566830724,31.478306566830724,0.0013902829959988594,0.0,39332,0,10,1.0
6,0.17169685871527396,,,,6.999982371524993e-09,7.534147528076574e-08,,0.0,0,0,0,0,0,31.61745041096583,31.611179045867175,31.611179045867175,0.0014707711525261402,0.0,39332,0,10,1.0
7,0.16942171209855397,,,,6.9605210484269264e-09,7.287435721536895e-08,,0.0,0,0,0,0,0,31.455040745902807,31.450246278895065,31.450246278895065,0.0013100949581712484,0.0,39332,0,10,1.0
8,0.15301345855294657,,,,7.323717632345961e-09,7.442002214474996e-08,,0.0,0,0,0,0,0,31.767603429965675,31.762816424947232,31.762816424947232,0.0012963558547198772,0.0,39332,0,10,1.0
9,0.16369320523589742,,,,7.521860467818442e-09,7.43436316952284e-08,,0.0,0,0,0,0,0,31.68329303502105,31.67734027490951,31.67734027490951,0.0013657750096172094,0.0,39332,0,10,1.0
10,0.1526974272325773,0.13561320317302208,0.9444215726636476,0.8232984293193717,7.766252529961548e-09,7.431308546301807e-08,0.0,0.0,0,0,0,0,0,31.7606407799758,31.75429398007691,31.75429398007691,0.0013656539376825094,0.0,39332,0,10,1.0
11,0.14515976264101435,,,,7.945977209544708e-09,7.381001410067256e-08,,0.0,0,0,0,0,0,30.46410294715315,30.458985381992534,30.458985381992534,0.0013627319131046534,0.0,39332,0,10,1.0
12,0.12948231567877494,,,,8.154616537581205e-09,7.343647467905612e-08,,0.0,0,0,0,0,0,30.019457718823105,30.014166014036164,30.014166014036164,0.0014901868999004364,0.0,39332,0,10,1.0
13,0.14617649755245257,,,,8.446673582795938e-09,7.366385545992671e-08,,0.0,0,0,0,0,0,30.148724705912173,30.14275863301009,30.14275863301009,0.0013466121163219213,0.0,39332,0,10,1.0
14,0.12105492243313491,,,,8.674210683068395e-09,7.375233224138356e-08,,0.0,0,0,0,0,0,30.527926735114306,30.52118440414779,30.52118440414779,0.0015254758764058352,0.0,39332,0,10,1.0
15,0.11162119629887299,0.25395952975252095,0.8942980650473445,0.7464823500370279,8.896975600691803e-09,7.36169667447939e-08,0.0,0.0,0,0,0,0,0,29.813259383896366,29.80793164204806,29.80793164204806,0.0014338309410959482,0.0,39332,0,10,1.0
16,0.10933631252268984,,,,9.21381015928091e-09,7.410201163793317e-08,,0.0,0,0,0,0,0,29.875548904994503,29.870576249901205,29.870576249901205,0.0013666150625795126,0.0,39332,0,10,1.0
17,0.10450011191721621,,,,9.387668420401951e-09,7.350605102374175e-08,,0.0,0,0,0,0,0,30.746036547934636,30.74086289596744,30.74086289596744,0.0014313259162008762,0.0,39332,0,10,1.0
18,0.11251169872412141,,,,9.507585829737764e-09,7.305960991743632e-08,,0.0,0,0,0,0,0,29.49843204487115,29.49311951897107,29.49311951897107,0.0014119339175522327,0.0,39332,0,10,1.0
19,0.10361422129186793,,,,9.849425275376689e-09,7.355585296409117e-08,,0.0,0,0,0,0,0,30.262083974201232,30.254074870841578,30.254074870841578,0.0023967961315065622,0.0,39332,0,10,1.0
20,0.10175903853671932,0.1339944594215561,0.9495677233429395,0.8292682926829268,1.0026615093750024e-08,7.339810537132507e-08,0.0,0.0,0,0,0,0,0,29.681452877121046,29.676517652114853,29.676517652114853,0.0014208040665835142,0.0,39332,0,10,1.0
21,0.09761286096310769,,,,1.0262649396963752e-08,7.343904684375957e-08,,0.0,0,0,0,0,0,22.641018703812733,22.63674550689757,22.63674550689757,0.0011743770446628332,0.0,39332,0,10,1.0
22,0.10064059052209845,,,,1.0487820389926128e-08,7.328618067958814e-08,,0.0,0,0,0,0,0,20.383747008861974,20.379617823055014,20.379617823055014,0.0011824171524494886,0.0,39332,0,10,1.0
23,0.09165345639335919,,,,1.0739982236884771e-08,7.343450647567806e-08,,0.0,0,0,0,0,0,21.085104992846027,21.07983201998286,21.07983201998286,0.001240351004526019,0.0,39332,0,10,1.0
24,0.09422190127888411,,,,1.0991108467806043e-08,7.338523744238046e-08,,0.0,0,0,0,0,0,19.943672544090077,19.93940405617468,19.93940405617468,0.0012709388975054026,0.0,39332,0,10,1.0
