split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,3168,28,17,603,0.9882075471698113,0.9556259904912837,0.9725806451612903,0.9640287769784173,0.008760951188986232,0.981909846986152,3816,620,0.5,0.9989901691630667,0.9949097449238796,0.009399668596653556,0.031009904913428147
train,fixed,1,3270,18,25,595,0.9889969293756398,0.9706362153344209,0.9596774193548387,0.9651257096512571,0.005474452554744526,0.9771014834000471,3908,620,0.5,0.9993088258378463,0.9964039891707808,0.007689642388407202,0.02540823609590472
train,fixed,2,3785,33,20,600,0.9880576836412799,0.9478672985781991,0.967741935483871,0.9577015163607342,0.008643268727082242,0.9795493333783944,4438,620,0.5,0.999028371550719,0.9943198249664363,0.009052365092820107,0.029378793096880525
train,fixed,3,2870,13,32,588,0.987153868113046,0.978369384359401,0.9483870967741935,0.9631449631449631,0.004509191814082553,0.9719389524800555,3503,620,0.5,0.9990416568762378,0.9958800884872263,0.009219672204607707,0.03079763888606608
train,fixed,4,3041,15,50,570,0.9823177366702938,0.9743589743589743,0.9193548387096774,0.946058091286307,0.004908376963350785,0.9572232308731633,3676,620,0.5,0.998177039351461,0.9915204214048069,0.014412835484572685,0.048245627236461405
train,fixed,5,3727,18,22,598,0.9908361970217641,0.9707792207792207,0.964516129032258,0.9676375404530745,0.004806408544726302,0.9798548602437659,4365,620,0.5,0.9995210818726042,0.9971523129288299,0.006474190983098275,0.021820968261355985
train,fixed,6,3212,5,14,606,0.9950482147511076,0.9918166939443536,0.9774193548387097,0.9845653939886271,0.001554243083618278,0.9879325558775457,3837,620,0.5,0.9997453046817812,0.9987322229004285,0.0044615441000239835,0.017319053767586527
train,fixed,7,2884,6,25,595,0.9911680911680911,0.9900166389351082,0.9596774193548387,0.9746109746109746,0.0020761245674740486,0.9788006473936823,3510,620,0.5,0.9995579863824088,0.9980817013985819,0.006498020140770742,0.023680430635106196
train,fixed,8,3617,15,37,583,0.9877704609595485,0.9749163879598662,0.9403225806451613,0.9573070607553367,0.004129955947136564,0.9680963123490123,4252,620,0.5,0.9985549594997869,0.9928808343738317,0.009068993726187151,0.03319653593890922
train,fixed,9,3431,7,13,576,0.9950335237149243,0.9879931389365352,0.9779286926994907,0.9829351535836177,0.002036067481093659,0.9879463126091985,4027,589,0.5,0.9997639485190486,0.9986501092771746,0.004428564339297292,0.01691784057074441
train,val_f1,0,3136,60,9,611,0.9819182389937107,0.910581222056632,0.9854838709677419,0.9465530596436871,0.01877346683354193,0.9833552020670999,3816,620,0.2,0.9989901691630667,0.9949097449238796,0.009399668596653556,0.031009904913428147
train,val_f1,1,3251,37,8,612,0.9884851586489253,0.9429892141756548,0.9870967741935484,0.9645390070921985,0.011253041362530414,0.9879218664155089,3908,620,0.2,0.9993088258378463,0.9964039891707808,0.007689642388407202,0.02540823609590472
train,val_f1,2,3751,67,7,613,0.9833258224425416,0.9014705882352941,0.9887096774193549,0.943076923076923,0.01754845468831849,0.9855806113655182,4438,620,0.2,0.999028371550719,0.9943198249664363,0.009052365092820107,0.029378793096880525
train,val_f1,3,2839,44,14,606,0.9834427633457037,0.9323076923076923,0.9774193548387097,0.9543307086614173,0.015261879986125564,0.981078737426292,3503,620,0.2,0.9990416568762378,0.9958800884872263,0.009219672204607707,0.03079763888606608
train,val_f1,4,3028,28,33,587,0.9834058759521219,0.9544715447154472,0.9467741935483871,0.9506072874493927,0.009162303664921465,0.9688059449417328,3676,620,0.2,0.998177039351461,0.9915204214048069,0.014412835484572685,0.048245627236461405
