epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.32918839437206776,,,,6.0413789526592154e-09,7.594652373654753e-08,,0.0,0,0,0,0,0,37.79933299403638,37.79287566198036,37.79287566198036,0.0015870379284024239,0.0,38833,0,10,1.0
2,0.24210505675646976,,,,6.0720100059086235e-09,7.467734519650548e-08,,0.0,0,0,0,0,0,32.832187734078616,32.82550717913546,32.82550717913546,0.0014675641432404518,0.0,38833,0,10,1.0
3,0.22117898461470764,,,,6.433382271353594e-09,7.693025594335268e-08,,0.0,0,0,0,0,0,32.59179262910038,32.58706385898404,32.58706385898404,0.0012982480693608522,0.0,38833,0,10,1.0
4,0.1905325221668264,,,,6.467338664606359e-09,7.480853980723623e-08,,0.0,0,0,0,0,0,32.547726622084156,32.541543680941686,32.541543680941686,0.0015668238047510386,0.0,38833,0,10,1.0
5,0.19306099911623545,0.15939269524620261,0.9411649534997553,0.7953694245829077,6.748751335550196e-09,7.540215563039965e-08,0.0,0.0,0,0,0,0,0,32.42063274118118,32.414947318146005,32.414947318146005,0.0012904389295727015,0.0,38833,0,10,1.0
6,0.17610020045813354,,,,6.778108740945754e-09,7.331210838401603e-08,,0.0,0,0,0,0,0,32.37065321486443,32.364338360959664,32.364338360959664,0.0014814550522714853,0.0,38833,0,10,1.0
7,0.15409553170371465,,,,6.9503380828450645e-09,7.306374527615844e-08,,0.0,0,0,0,0,0,32.48601730586961,32.48094333917834,32.48094333917834,0.001400717068463564,0.0,38833,0,10,1.0
8,0.16563987982198505,,,,7.280142710897053e-09,7.451963313087617e-08,,0.0,0,0,0,0,0,32.47462602914311,32.469727056100965,32.469727056100965,0.0013490589335560799,0.0,38833,0,10,1.0
9,0.15149547004378608,,,,7.512509725415839e-09,7.444435823344975e-08,,0.0,0,0,0,0,0,32.31419469602406,32.30798118794337,32.30798118794337,0.001467664958909154,0.0,38833,0,10,1.0
10,0.1310348078691781,0.1354481099207891,0.9461576113558492,0.8350329934013198,7.60364038399075e-09,7.290321946129552e-08,0.0,0.0,0,0,0,0,0,32.470573806902394,32.465872248169035,32.465872248169035,0.001323628006502986,0.0,38833,0,10,1.0
11,0.15245990045275618,,,,7.944383817459766e-09,7.362058340731892e-08,,0.0,0,0,0,0,0,30.358352985000238,30.352384532103315,30.352384532103315,0.001487094908952713,0.0,38833,0,10,1.0
12,0.1203970632436249,,,,8.190139233477112e-09,7.371225052565933e-08,,0.0,0,0,0,0,0,30.391650223871693,30.386472145095468,30.386472145095468,0.0013322420418262482,0.0,38833,0,10,1.0
13,0.14265223868570936,,,,8.469169365810103e-09,7.413784430809756e-08,,0.0,0,0,0,0,0,30.922956470865756,30.918082647956908,30.918082647956908,0.001358135836198926,0.0,38833,0,10,1.0
14,0.11262931843447177,,,,8.802754969394755e-09,7.452411665553882e-08,,0.0,0,0,0,0,0,30.734118642052636,30.728271532803774,30.728271532803774,0.001351325074210763,0.0,38833,0,10,1.0
15,0.1222386857601627,0.13992679362193816,0.9512481644640235,0.8335561497326203,8.973527698685757e-09,7.356965170401963e-08,0.0,0.0,0,0,0,0,0,29.88883802597411,29.883277030894533,29.883277030894533,0.001266692066565156,0.0,38833,0,10,1.0
16,0.11243457571153609,,,,9.209650819741455e-09,7.339605190281873e-08,,0.0,0,0,0,0,0,30.39284951193258,30.387796703958884,30.387796703958884,0.001455388031899929,0.0,38833,0,10,1.0
17,0.10678985420960505,,,,9.591636818129246e-09,7.394876888611179e-08,,0.0,0,0,0,0,0,30.175712832948193,30.16981102502905,30.16981102502905,0.0013538019265979528,0.0,38833,0,10,1.0
18,0.10142786259273047,,,,9.848476700824449e-09,7.381154176755444e-08,,0.0,0,0,0,0,0,29.929128895048052,29.924322484061122,29.924322484061122,0.0013526580296456814,0.0,38833,0,10,1.0
19,0.09837807773226821,,,,1.0120650983935775e-08,7.343714969465509e-08,,0.0,0,0,0,0,0,29.91033415403217,29.903997658053413,29.903997658053413,0.0015303529798984528,0.0,38833,0,10,1.0
20,0.08465675578598438,0.14637143099602026,0.9485070974057758,0.8336495888678052,1.0485427637263456e-08,7.350962505370262e-08,0.0,0.0,0,0,0,0,0,28.93244571890682,28.927263763034716,28.927263763034716,0.0012735479976981878,0.0,38833,0,10,1.0
21,0.1033654368183441,,,,1.077454747644424e-08,7.38205656602986e-08,,0.0,0,0,0,0,0,25.544975472148508,25.53910923888907,25.53910923888907,0.0013675400987267494,0.0,38833,0,10,1.0
22,0.08827774489516563,,,,1.1049048787015181e-08,7.366991638946274e-08,,0.0,0,0,0,0,0,23.28307808889076,23.276577388867736,23.276577388867736,0.0014549200423061848,0.0,38833,0,10,1.0
23,0.07904834666717026,,,,1.133087224047813e-08,7.370716303967129e-08,,0.0,0,0,0,0,0,23.41628949996084,23.4103637218941,23.4103637218941,0.001476936973631382,0.0,38833,0,10,1.0
24,0.08203014607157275,,,,1.1595930438090818e-08,7.393665413246708e-08,,0.0,0,0,0,0,0,23.334628243930638,23.32847776496783,23.32847776496783,0.0014616819098591805,0.0,38833,0,10,1.0
25,0.0861621390623049,0.15096302964465266,0.951052373959863,0.831876260928043,1.1818190870371836e-08,7.386999101299807e-08,0.0,0.0,0,0,0,0,0,21.873735377099365,21.869468221906573,21.869468221906573,0.001199397025629878,0.0,38833,0,10,1.0
26,0.08133157447557357,,,,1.2024344187011593e-08,7.362076104300286e-08,,0.0,0,0,0,0,0,23.41031361813657,23.404481711098924,23.404481711098924,0.0014148140326142311,0.0,38833,0,10,1.0
27,0.06951524771061572,,,,1.2343469357745107e-08,7.403821911111663e-08,,0.0,0,0,0,0,0,23.534216464031488,23.528618809068576,23.528618809068576,0.0013178610242903233,0.0,38833,0,10,1.0
28,0.07532516730796225,,,,1.2543336147530226e-08,7.39565280127863e-08,,0.0,0,0,0,0,0,23.640174838947132,23.635504740057513,23.635504740057513,0.0012470949441194534,0.0,38833,0,10,1.0
29,0.06344273839687621,,,,1.2719921116399746e-08,7.393406775690892e-08,,0.0,0,0,0,0,0,23.468398055061698,23.463766508037224,23.463766508037224,0.001303080003708601,0.0,38833,0,10,1.0
30,0.06486371747853063,0.2533875176469722,0.9286343612334802,0.7680559974546611,1.297954277390545e-08,7.422156045322481e-08,0.0,0.0,0,0,0,0,0,21.943630781956017,21.939568287925795,21.939568287925795,0.0011606691405177116,0.0,38833,0,10,1.0
31,0.060973472544792524,,,,1.3152079425537977e-08,7.396778300972073e-08,,0.0,0,0,0,0,0,23.442649929085746,23.43807805608958,23.43807805608958,0.001242560101673007,0.0,38833,0,10,1.0
32,0.05220976154280443,,,,1.329643062319974e-08,7.371205867912067e-08,,0.0,0,0,0,0,0,23.470652709016576,23.46580472192727,23.46580472192727,0.0013586520217359066,0.0,38833,0,10,1.0
33,0.0552392448076193,,,,1.3491784578434363e-08,7.386681488696922e-08,,0.0,0,0,0,0,0,23.323922370094806,23.31828006496653,23.31828006496653,0.0012569848913699389,0.0,38833,0,10,1.0
34,0.05649711075193916,,,,1.3746109139844975e-08,7.418822178806295e-08,,0.0,0,0,0,0,0,23.54836116381921,23.543347317026928,23.543347317026928,0.0013979580253362656,0.0,38833,0,10,1.0
35,0.055215243760273425,0.2556693395127691,0.9415565345080763,0.8059798505037374,1.3817094135504249e-08,7.364405973930843e-08,0.0,0.0,0,0,0,0,0,21.651391718070954,21.646013671066612,21.646013671066612,0.001258406089618802,0.0,38833,0,10,1.0
36,0.05419759067937694,,,,1.4028334938132048e-08,7.372352683887584e-08,,0.0,0,0,0,0,0,22.16476520500146,22.159995320951566,22.159995320951566,0.0013009607791900635,0.0,38833,0,10,1.0
37,0.045282749280236054,,,,1.4229027733847488e-08,7.408504387740322e-08,,0.0,0,0,0,0,0,22.147599494084716,22.141972546931356,22.141972546931356,0.0015112629625946283,0.0,38833,0,10,1.0
38,0.048932241845988794,,,,1.4472083087468945e-08,7.453809303115122e-08,,0.0,0,0,0,0,0,22.19026843481697,22.185599575052038,22.185599575052038,0.0012908449862152338,0.0,38833,0,10,1.0
39,0.03781004570660739,,,,1.4437665285527146e-08,7.366675447428861e-08,,0.0,0,0,0,0,0,22.520255853887647,22.51582970400341,22.51582970400341,0.0011994580272585154,0.0,38833,0,10,1.0
40,0.04719170793913784,0.2810365937719355,0.9338228095937346,0.7982089552238806,1.4676629689347465e-08,7.412953806351652e-08,0.0,0.0,0,0,0,0,0,21.106951114023104,21.101461676880717,21.101461676880717,0.0012849359773099422,0.0,38833,0,10,1.0
41,0.03642440056930243,,,,1.4754383492743273e-08,7.386196898551134e-08,,0.0,0,0,0,0,0,22.184558745007962,22.179727079812437,22.179727079812437,0.0013367170467972755,0.0,38833,0,10,1.0
42,0.03569206657545783,,,,1.4950620297327077e-08,7.404824486911821e-08,,0.0,0,0,0,0,0,22.437861969927326,22.432168181054294,22.432168181054294,0.0012963188346475363,0.0,38833,0,10,1.0
43,0.0385327878636192,,,,1.4950837012861484e-08,7.345822439219774e-08,,0.0,0,0,0,0,0,22.258619538042694,22.253859577002004,22.253859577002004,0.0013302939478307962,0.0,38833,0,10,1.0
44,0.034263525012933276,,,,1.510723635078648e-08,7.362439902180995e-08,,0.0,0,0,0,0,0,22.227113846922293,22.222621249966323,22.222621249966323,0.0012361831031739712,0.0,38833,0,10,1.0
45,0.03046461334556358,0.3183941028709136,0.9328438570729319,0.7657103825136612,1.539435778852294e-08,7.446324445936625e-08,0.0,0.0,0,0,0,0,0,21.16852741409093,21.164189737988636,21.164189737988636,0.0011913832277059555,0.0,38833,0,10,1.0
46,0.029438414124911678,,,,1.5377962014895274e-08,7.385573752571872e-08,,0.0,0,0,0,0,0,22.15806366596371,22.1536126001738,22.1536126001738,0.0012319760862737894,0.0,38833,0,10,1.0
47,0.030044207582388138,,,,1.539743266221194e-08,7.340693031210321e-08,,0.0,0,0,0,0,0,22.341424025129527,22.33691318309866,22.33691318309866,0.0012337248772382736,0.0,38833,0,10,1.0
48,0.0296617722610358,,,,1.5583593082624247e-08,7.382563893543193e-08,,0.0,0,0,0,0,0,20.90232278010808,20.896763619966805,20.896763619966805,0.0013466370292007923,0.0,38833,0,10,1.0
49,0.028277888130326095,,,,1.571736873984264e-08,7.386737621573047e-08,,0.0,0,0,0,0,0,19.08523597405292,19.07663737097755,19.07663737097755,0.0015083479229360819,0.0,38833,0,10,1.0
50,0.027435100308644596,0.32335621960014765,0.928928046989721,0.7735495945102931,1.5889172644278915e-08,7.414479341605329e-08,0.0,0.0,0,0,0,0,0,18.76241222000681,18.75725823198445,18.75725823198445,0.0012968461960554123,0.0,38833,0,10,1.0
