split,node,engines,windows,positive,positive_fraction
train,0,20,3635,620,0.17056396148555708
train,1,20,3716,620,0.1668460710441335
train,2,20,3975,620,0.1559748427672956
train,3,20,3584,620,0.17299107142857142
train,4,20,3954,620,0.15680323722812342
train,5,20,4046,620,0.1532377656945131
train,6,20,3762,620,0.16480595427963848
train,7,20,4118,620,0.15055852355512384
train,8,20,3818,620,0.16238868517548455
train,9,19,3533,589,0.16671384092838948
validation,0,5,1274,155,0.12166405023547881
validation,1,5,1085,155,0.14285714285714285
validation,2,5,1009,155,0.15361744301288405
validation,3,5,990,155,0.15656565656565657
validation,4,5,1194,155,0.12981574539363483
validation,5,5,1000,155,0.155
validation,6,5,1071,155,0.14472455648926238
validation,7,5,1097,155,0.14129443938012762
validation,8,5,1426,155,0.10869565217391304
validation,9,5,761,155,0.20367936925098554
test,0,23,2758,97,0.03517041334300217
test,1,23,2795,45,0.016100178890876567
test,2,23,3376,78,0.0231042654028436
test,3,23,3114,87,0.027938342967244702
test,4,23,2258,66,0.029229406554472984
test,5,23,3248,114,0.035098522167487683
test,6,23,2895,54,0.01865284974093264
test,7,23,3519,105,0.029838022165387893
test,8,22,2932,90,0.030695770804911322
test,9,22,2521,128,0.05077350257834193
