split,policy,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
train,fixed,0,2964,51,200,420,0.930949105914718,0.89171974522293,0.6774193548387096,0.76993583868011,0.01691542288557214,0.8302519659765688,3635,620,0.5,0.9662258599475739,0.8592157336027373,0.053347916918180624,0.17955852581970916
train,fixed,1,3023,73,271,349,0.907427341227126,0.8270142180094787,0.5629032258064516,0.6698656429942419,0.023578811369509043,0.7696622072184713,3716,620,0.5,0.9546251146119862,0.8038862599533068,0.06719765550161803,0.2162605645142122
train,fixed,2,3300,55,238,382,0.9262893081761007,0.8741418764302059,0.6161290322580645,0.7228003784295175,0.01639344262295082,0.7998677948175568,3975,620,0.5,0.9644267102543147,0.8720563566663967,0.052840829370338335,0.17790138596053878
train,fixed,3,2939,25,210,410,0.9344308035714286,0.9425287356321839,0.6612903225806451,0.7772511848341233,0.008434547908232119,0.8264278873362065,3584,620,0.5,0.9810897435897437,0.9281396867788598,0.046381908830192324,0.15437628275328155
train,fixed,4,3285,49,207,413,0.9352554375316136,0.8939393939393939,0.6661290322580645,0.7634011090573013,0.014697060587882423,0.8257159858350911,3954,620,0.5,0.971841921938193,0.8956242986665223,0.04639179357239273,0.15757504444368567
train,fixed,5,3362,64,168,452,0.9426594167078596,0.875968992248062,0.7290322580645161,0.795774647887324,0.018680677174547577,0.8551757904449843,4046,620,0.5,0.9703387755870667,0.8863536667938636,0.043598572509827405,0.1511726083300758
train,fixed,6,3113,29,228,392,0.9316852737905369,0.9311163895486936,0.632258064516129,0.7531219980787704,0.009229789942711649,0.8115141372867087,3762,620,0.5,0.9616024311615778,0.8932653336841557,0.051040792789895394,0.18070363929038946
train,fixed,7,3312,186,143,477,0.9201068479844585,0.7194570135746606,0.7693548387096775,0.7435697583787997,0.05317324185248713,0.8580907984285951,4118,620,0.5,0.9606360316494218,0.8411398985646819,0.054811440559198066,0.17907719146867063
train,fixed,8,3068,130,192,428,0.9156626506024096,0.7670250896057348,0.6903225806451613,0.7266553480475382,0.04065040650406504,0.8248360870705481,3818,620,0.5,0.9412934495349916,0.7440857182542913,0.0637630213579312,0.2172433914903059
train,fixed,9,2791,153,141,448,0.9167846023209737,0.7454242928452579,0.7606112054329371,0.7529411764705882,0.051970108695652176,0.8543205483686425,3533,589,0.5,0.9640095593120248,0.8102906303413915,0.0584760019433114,0.18650379165518177
train,val_f1,0,2947,68,172,448,0.9339752407152683,0.8682170542635659,0.7225806451612903,0.7887323943661971,0.022553897180762852,0.8500133739902638,3635,620,0.4,0.9662258599475739,0.8592157336027373,0.053347916918180624,0.17955852581970916
train,val_f1,1,3001,95,244,376,0.908772874058127,0.7983014861995754,0.6064516129032258,0.689275893675527,0.030684754521963824,0.7878834291906309,3716,620,0.4,0.9546251146119862,0.8038862599533068,0.06719765550161803,0.2162605645142122
train,val_f1,2,3278,77,198,422,0.9308176100628931,0.845691382765531,0.6806451612903226,0.7542448614834674,0.022950819672131147,0.8288471708090956,3975,620,0.4,0.9644267102543147,0.8720563566663967,0.052840829370338335,0.17790138596053878
