epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.4642294028106746,,,,5.991971807617347e-09,7.720048955661696e-08,,0.0,6452080,20,6452080,6452080,0,35.187701682094485,35.181741654640064,5.858337230980396,0.0036985769402235746,5.181664,39332,10,10,
2,0.4278683847942569,,,,6.0102678389739594e-09,7.722568540202701e-08,,0.0,6452080,20,6452080,6452080,0,31.247842179145664,31.24302204977721,3.5883880441542715,0.0031796840485185385,5.181664,39332,10,10,
3,0.3623556921670267,,,,6.072058411632497e-09,7.77285933395433e-08,,0.0,6452080,20,6452080,6452080,0,31.955413980176672,31.94889668817632,3.670911066001281,0.0034505799412727356,5.181664,39332,10,10,
4,0.37283977555988024,,,,5.952128123709599e-09,7.607282270782889e-08,,0.0,6452080,20,6452080,6452080,0,32.00967164780013,32.004581798333675,3.6484833490103483,0.0032695429399609566,5.181664,39332,10,10,
5,0.3528757592994133,0.30401530736628624,0.858480856319473,0.3480322427690849,6.104348138080695e-09,7.776842636531e-08,0.0,0.0,6452080,20,6452080,6452080,0,31.65527239604853,31.649342101300135,3.5718299401924014,0.003587316023185849,5.181664,39332,10,10,
6,0.34401428951728724,,,,6.091737336788583e-09,7.739708962617442e-08,,0.0,6452080,20,6452080,6452080,0,31.810840690042824,31.805912857176736,3.622172222007066,0.0032255800906568766,5.181664,39332,10,10,
7,0.3279875023737292,,,,6.149707409974781e-09,7.786129430087385e-08,,0.0,6452080,20,6452080,6452080,0,31.718194782966748,31.712993072811514,3.651271014008671,0.0034102529752999544,5.181664,39332,10,10,
8,0.3092705216967718,,,,6.1557172692516815e-09,7.763725307086133e-08,,0.0,6452080,20,6452080,6452080,0,31.316921941004694,31.310398797737435,3.595780884847045,0.003890081075951457,5.181664,39332,10,10,
9,0.3168742821798942,,,,6.154771359234701e-09,7.741606111721921e-08,,0.0,6452080,20,6452080,6452080,0,31.334763751132414,31.329573364928365,3.58629854908213,0.0033678850159049034,5.181664,39332,10,10,
10,0.30753703178674197,0.26638673820118125,0.8835940716344175,0.5594078691079081,6.2360450137077805e-09,7.817940428367365e-08,0.0,0.0,6452080,20,6452080,6452080,0,31.629949447931722,31.624993002042174,3.5775879840366542,0.003082080977037549,5.181664,39332,10,10,
11,0.3013970046644081,,,,6.152904408196491e-09,7.687374647957768e-08,,0.0,6452080,20,6452080,6452080,0,30.27084590191953,30.265936576761305,3.6453481749631464,0.0032389890402555466,5.181664,39332,10,10,
12,0.2960798088506144,,,,6.08475714258816e-09,7.579779293109823e-08,,0.0,6452080,20,6452080,6452080,0,29.78348534111865,29.77823873097077,3.3016750279348344,0.00349060189910233,5.181664,39332,10,10,
13,0.2938481954765769,,,,6.1878915325053185e-09,7.683510006017968e-08,,0.0,6452080,20,6452080,6452080,0,29.7735943980515,29.768514272756875,3.3460948679130524,0.0033449470065534115,5.181664,39332,10,10,
14,0.2779328267477418,,,,6.214239345325723e-09,7.68762902225717e-08,,0.0,6452080,20,6452080,6452080,0,29.340544608887285,29.335585668915883,3.3571694928687066,0.0032505770213901997,5.181664,39332,10,10,
15,0.28638632954206555,0.2391314644232846,0.905413750514615,0.6825561312607945,6.2030234282417496e-09,7.648804967175238e-08,0.0,0.0,6452080,20,6452080,6452080,0,29.276953138876706,29.27218178776093,3.2826015781611204,0.003135557984933257,5.181664,39332,10,10,
16,0.26116627540113385,,,,6.3191274435325795e-09,7.761281750617854e-08,,0.0,6452080,20,6452080,6452080,0,29.28713568719104,29.281588482437655,3.4450869620777667,0.003162120934575796,5.181664,39332,10,10,
17,0.28370326523122547,,,,6.267015351113514e-09,7.675102864368455e-08,,0.0,6452080,20,6452080,6452080,0,29.54056544508785,29.53500466956757,3.3297112949658185,0.0036340858787298203,5.181664,39332,10,10,
18,0.26145195721749853,,,,6.263529250816191e-09,7.645562050129229e-08,,0.0,6452080,20,6452080,6452080,0,29.299782084999606,29.293927556136623,3.2814476410858333,0.00326065206900239,5.181664,39332,10,10,
19,0.27139219560550165,,,,6.133634489202677e-09,7.458310591346162e-08,,0.0,6452080,20,6452080,6452080,0,29.761652129003778,29.756320671876892,3.5748748288024217,0.0033703548833727837,5.181664,39332,10,10,
20,0.2615016606809683,0.22610720019413244,0.910559901193907,0.7291991274540355,6.221093418190549e-09,7.537455104511537e-08,0.0,0.0,6452080,20,6452080,6452080,0,29.77702429611236,29.77216763678007,3.528694842942059,0.0032080530654639006,5.181664,39332,10,10,
21,0.2425525223953763,,,,6.363009230625494e-09,7.67707959425934e-08,,0.0,6452080,20,6452080,6452080,0,23.332842886913568,23.32853046269156,2.7459358288906515,0.0028218550141900778,5.181664,39332,10,10,
22,0.2505245902830764,,,,6.215896686256883e-09,7.475956920188764e-08,,0.0,6452080,20,6452080,6452080,0,20.213097295025364,20.20878389920108,2.3995789859909564,0.002868928015232086,5.181664,39332,10,10,
23,0.2469644210471995,,,,6.309111011404411e-09,7.553921932412777e-08,,0.0,6452080,20,6452080,6452080,0,19.8522851918824,19.84806018974632,2.3349678479135036,0.0027633528225123882,5.181664,39332,10,10,
24,0.24998074778777662,,,,6.312210309999955e-09,7.53376099282832e-08,,0.0,6452080,20,6452080,6452080,0,19.764516212046146,19.76033865706995,2.242609445936978,0.0027259429916739464,5.181664,39332,10,10,
25,0.2465467247825675,0.20127879609190508,0.9178674351585014,0.7354111405835544,6.277914188501654e-09,7.464789320010823e-08,0.0,0.0,6452080,20,6452080,6452080,0,19.84553895215504,19.84081414830871,2.2600081181153655,0.002769947052001953,5.181664,39332,10,10,
26,0.2412502899230164,,,,6.414728304093842e-09,7.599793150347978e-08,,0.0,6452080,20,6452080,6452080,0,19.440660760970786,19.43654354265891,2.2587711699306965,0.002668726956471801,5.181664,39332,10,10,
27,0.2492142864191139,,,,6.274804675854284e-09,7.408143432030556e-08,,0.0,6452080,20,6452080,6452080,0,19.66540240100585,19.661038130754605,2.184414885006845,0.002870370866730809,5.181664,39332,10,10,
28,0.2266306705739542,,,,6.494798476808228e-09,7.634786669541427e-08,,0.0,6452080,20,6452080,6452080,0,19.864786034915596,19.860246203141287,2.1712428820319474,0.002842836081981659,5.181664,39332,10,10,
29,0.24524401380485567,,,,6.433082955226155e-09,7.536198154411977e-08,,0.0,6452080,20,6452080,6452080,0,19.76417152606882,19.75980794802308,2.3884568880312145,0.002826184965670109,5.181664,39332,10,10,
30,0.25134254256017985,0.19871033217527728,0.9199258954302182,0.7333790267306374,6.535758156900329e-09,7.63208802823101e-08,0.0,0.0,6452080,20,6452080,6452080,0,19.70449401717633,19.70027344627306,2.3187068740371615,0.002765356795862317,5.181664,39332,10,10,
31,0.227895407828716,,,,6.3517373583010794e-09,7.387407663372869e-08,,0.0,6452080,20,6452080,6452080,0,19.899207203881815,19.895067143952474,2.546811036998406,0.0027331640012562275,5.181664,39332,10,10,
32,0.23571641470292545,,,,6.53853815535399e-09,7.575655303071471e-08,,0.0,6452080,20,6452080,6452080,0,19.827224422013387,19.822832128964365,2.2813763320446014,0.002872859826311469,5.181664,39332,10,10,
33,0.23773370165161753,,,,6.499430327266964e-09,7.502202237219535e-08,,0.0,6452080,20,6452080,6452080,0,19.601076922146603,19.596818761900067,2.198452912038192,0.0027433750219643116,5.181664,39332,10,10,
34,0.2242200110586711,,,,6.5884706579311114e-09,7.575216898203507e-08,,0.0,6452080,20,6452080,6452080,0,19.832423629937693,19.82645015930757,2.3625916368328035,0.0032671720255166292,5.181664,39332,10,10,
35,0.22191470177428535,0.19580828810190368,0.9214697406340058,0.7218374043018593,6.487959058887327e-09,7.430406157027392e-08,0.0,0.0,6452080,20,6452080,6452080,0,19.918802835978568,19.914648108184338,2.309140214929357,0.0026831869035959244,5.181664,39332,10,10,
36,0.22928363889090764,,,,6.576491795584616e-09,7.502242027612738e-08,,0.0,6452080,20,6452080,6452080,0,19.578736745053902,19.574205743847415,2.2562047080136836,0.0029871880542486906,5.181664,39332,10,10,
37,0.23061655216914892,,,,6.713718470052754e-09,7.634727694494359e-08,,0.0,6452080,20,6452080,6452080,0,19.958922751015052,19.9535385069903,2.1918829770293087,0.003100208006799221,5.181664,39332,10,10,
38,0.2087045010924416,,,,6.600230140207941e-09,7.473001772950738e-08,,0.0,6452080,20,6452080,6452080,0,20.280993945896626,20.276412388309836,2.355256726965308,0.002960665849968791,5.181664,39332,10,10,
